Case ID,Closeness Centrality,Eigenvector Centrality,Betweenness Centrality
97067,0.209728422,0.000733097,2.24E-05
97068,0,0,0
97069,0,0,0
97070,0.15007748,6.38E-07,0
97071,0,0,0
97072,0.18393017,1.78E-05,0
97073,0.188625872,8.07E-05,6.27E-05
97074,0.170103435,4.41E-05,0
97075,0.17961195,2.50E-05,5.21E-07
97076,0.169434392,4.45E-06,0
97077,0.162955102,1.55E-06,0
97078,0.164555241,8.33E-06,0
97079,0,0,0
97080,4.01E-05,1.96E-44,0
97081,0,0,0
97082,4.01E-05,1.96E-44,0
97083,6.02E-05,3.92E-44,1.81E-09
97084,0.21405193,0.000525929,0.000169938
97085,0.199287863,0.00012745,8.02E-05
97086,0.191586481,9.42E-05,3.20E-06
97087,0.214364857,0.000322519,0.000202826
97088,0.201777071,0.00041477,9.36E-06
97089,0.192800811,9.10E-05,5.87E-06
97090,0.180989022,0.000108522,2.16E-07
97091,0.212406187,0.000620329,3.25E-05
97092,0.17944991,8.26E-06,1.34E-05
97093,0.215197745,0.001536209,6.02E-05
97094,0.186902797,6.84E-05,3.20E-06
97095,0.170391063,5.00E-06,0
97096,0.159712475,9.81E-07,0
97097,0.170988417,9.24E-06,1.06E-06
97098,0.204052198,0.000155346,9.53E-05
97099,0.160241676,1.38E-06,5.12E-05
97100,0.180721629,2.16E-05,1.56E-06
97101,0.154898659,8.40E-07,1.87E-05
97102,0.203422525,0.000300789,5.16E-05
97103,0.191896676,7.70E-05,2.00E-05
97104,0.227104628,0.001688045,0.000188125
97106,0.213446733,0.000433412,0.000175201
97107,0.169212545,1.12E-05,0
97108,0.192609248,0.000133058,8.35E-06
97109,0.202112243,0.00018252,6.03E-05
97110,0.171851664,8.17E-06,5.95E-07
97111,0.208510637,0.000176494,0.000129568
97112,0.180877393,2.17E-05,1.49E-07
97113,0.176960789,7.48E-06,3.28E-05
97114,0.209444216,0.000517049,5.13E-05
97115,0.202090816,0.000231996,1.03E-05
97116,0.184413572,2.04E-05,1.55E-05
97117,0.192154595,6.72E-05,2.91E-05
97118,0.177184216,1.15E-05,5.07E-07
97119,0.150672583,4.21E-07,0
97120,0.182827612,9.67E-05,0
97121,0.232759366,0.001698154,0.000890098
97122,0.202798524,0.00029551,4.40E-06
97123,0.20131182,0.000130821,6.24E-05
97124,0.172820238,1.54E-05,3.11E-07
97125,0.178996349,4.40E-05,8.89E-07
97126,0.163487349,3.66E-06,3.56E-06
97127,0.193284658,8.28E-05,4.88E-06
97128,0.195476495,7.26E-05,2.20E-05
97129,0.174646384,1.96E-05,3.86E-05
97130,0.22445061,0.001492004,0.000124615
97131,0.184471573,6.68E-05,5.37E-08
97132,0.210560486,0.000618204,2.62E-05
97133,0.226101211,0.000844687,0.00018353
97134,0.221319125,0.00146458,6.95E-05
97135,0.169995983,7.40E-06,0
97136,0.183017774,3.53E-05,4.39E-06
97137,0.190585633,2.81E-05,4.11E-05
97138,0.168825397,6.02E-06,0
97139,0.163772952,1.58E-06,2.79E-06
97140,0.186511146,0.000115754,0
97141,0.16412665,5.69E-06,1.76E-07
97142,0.176433933,1.54E-05,0
97143,0.183606851,1.87E-05,2.76E-06
97144,0.192489309,3.59E-05,2.09E-05
97145,0.166688475,4.08E-06,0
97146,0.18955591,0.000125647,2.63E-06
97147,0.19024959,0.000146308,4.75E-06
97148,0.167615534,3.59E-06,3.26E-07
97149,0.169763845,6.52E-06,0
97150,0.239439984,0.007120311,0.000656603
97151,0.218340487,0.002036299,5.54E-05
97152,0.205030694,0.001370766,1.03E-05
97153,0.184835278,3.53E-05,8.18E-07
97154,0.205550249,0.000418538,0.000142934
97155,0.194246478,6.65E-05,3.37E-05
97156,0.183093949,1.62E-05,3.93E-07
97157,0.186224168,3.63E-05,3.27E-06
97158,0.204345677,0.000391461,3.00E-05
97159,0.176841768,2.33E-05,3.25E-06
97160,0.173515027,7.61E-06,8.19E-07
97161,0.220137035,0.001902236,4.02E-05
97162,0.217889177,0.00178344,2.74E-05
97163,0.176696969,1.97E-05,1.44E-06
97164,0.228483838,0.002522505,7.00E-05
97165,0.192256341,4.11E-05,6.29E-05
97166,0.195538322,0.000121879,7.03E-05
97167,0.158237533,1.83E-06,0
97168,0.198996603,0.000110179,3.97E-05
97169,0.175080821,1.88E-05,5.20E-07
97170,0.215646095,0.001122468,4.47E-05
97171,0.209480659,0.000610924,2.55E-05
97172,0.187684894,4.36E-05,2.97E-06
97173,0.168987533,3.27E-05,0
97174,0.182858304,2.67E-05,4.26E-06
97175,0.142553217,5.22E-08,0
97176,0.194676296,0.000107675,0.000151577
97177,0.157672543,1.62E-06,0
97178,0.186102962,0.000163309,4.99E-05
97179,0.212364776,0.001899411,8.53E-06
97180,0,0,0
97181,0.168511986,3.88E-06,9.90E-07
97182,0.19261087,8.39E-05,2.31E-05
97183,0.186181728,3.63E-05,1.62E-06
97184,0.20615416,0.000410494,4.66E-05
97185,0.189813872,0.000114537,1.17E-05
97186,0.224173456,0.00364252,4.65E-05
97187,0,0,0
97188,0.200563423,0.000164752,5.33E-05
