,Case ID,Page Rank,Hubs,Authorities
0,131072,1.00429253622e-05,0.0,0.0
1,131073,1.00429253622e-05,0.0,0.0
2,131079,1.00429253622e-05,0.0,0.0
3,87383,1.00429253622e-05,0.0,0.0
4,87385,1.04808633933e-05,0.0,2.19721840047e-06
5,131120,1.00429253622e-05,0.0,0.0
6,131128,1.00429253622e-05,0.0,0.0
7,131129,1.00429253622e-05,0.0,0.0
8,131130,1.00429253622e-05,0.0,0.0
9,131131,1.00429253622e-05,0.0,0.0
10,131132,1.00429253622e-05,0.0,0.0
11,131134,1.00429253622e-05,0.0,0.0
12,131135,1.00429253622e-05,0.0,0.0
13,131136,1.00429253622e-05,0.0,0.0
14,131138,1.00429253622e-05,0.0,0.0
15,131139,1.00429253622e-05,0.0,0.0
16,131140,1.00429253622e-05,0.0,0.0
17,131141,1.00429253622e-05,0.0,0.0
18,131143,2.24152621303e-05,1.99098640875e-05,8.18006001514e-06
19,131144,1.5585078301e-05,3.31695419843e-05,1.17996946479e-05
20,131145,1.33865083843e-05,8.2892612902e-06,3.10792612799e-06
21,131146,1.04698118865e-05,3.7326038899e-05,1.85665844391e-05
22,131147,1.24836939679e-05,1.21985227682e-05,1.01053056325e-05
23,131148,1.10725144698e-05,1.04350738421e-05,5.31220787128e-07
24,131149,3.67147287012e-05,0.00137979574813,0.000148383243507
25,131150,1.45767757285e-05,0.000111844498675,2.21627206212e-06
26,131151,1.78673196238e-05,1.68936248726e-05,1.17161554227e-05
27,131152,1.00429253622e-05,7.09078314051e-07,0.0
28,131153,1.23946701277e-05,2.09098865522e-05,2.87283531131e-06
29,131154,1.08723800017e-05,5.92482815837e-05,1.49310875219e-05
30,131155,1.09779814564e-05,4.2077510965e-05,3.61078966443e-05
31,131156,2.25124540301e-05,3.1737877535e-05,1.41208070192e-05
32,131157,1.29942137786e-05,6.51908659362e-05,3.42331742315e-06
33,131158,1.00429253622e-05,7.48956595618e-05,0.0
34,131159,2.11368486054e-05,1.06038403743e-05,1.63736724997e-05
35,131160,1.05941043611e-05,2.09306221044e-05,2.96833899323e-06
36,131161,1.77477772317e-05,0.000261671088221,2.24582862022e-05
37,131162,2.4283104749e-05,2.66483605111e-05,2.4875173089e-05
38,131163,1.08213421488e-05,2.35741877032e-05,1.92803187523e-05
39,131164,2.01618764874e-05,7.51454265484e-06,1.08866706423e-05
40,131165,1.13617189387e-05,0.000122506811201,4.56684425806e-06
41,131166,1.17351201135e-05,0.000205674493559,8.76442615938e-06
42,131167,1.1136527335e-05,2.73030223794e-05,1.7054380885e-07
43,131168,1.47809480037e-05,1.33690962756e-05,5.027857742e-06
44,131169,1.00429253622e-05,2.45581686145e-08,0.0
45,131170,1.00429253622e-05,1.90849446035e-06,0.0
46,131171,1.00429253622e-05,1.45807307012e-07,0.0
47,131172,1.00429253622e-05,1.45807307012e-07,0.0
48,131173,1.00429253622e-05,3.00029619625e-08,0.0
49,2490480,5.08132972995e-05,3.49755467006e-205,1.68898226539e-203
50,131185,1.00429253622e-05,6.20553639639e-08,0.0
51,131186,1.00429253622e-05,6.20553639639e-08,0.0
52,131187,1.00429253622e-05,6.20553639639e-08,0.0
53,131188,1.00429253622e-05,6.20553639639e-08,0.0
54,131190,1.00429253622e-05,6.20553639639e-08,0.0
55,131191,1.00429253622e-05,6.20553639639e-08,0.0
56,131197,1.00429253622e-05,0.0,0.0
57,131198,1.00429253622e-05,0.0,0.0
58,131199,1.00429253622e-05,9.5035930025e-08,0.0
59,131200,1.00429253622e-05,0.0,0.0
60,131201,1.00429253622e-05,0.0,0.0
61,131202,1.00429253622e-05,0.0,0.0
62,131203,1.00429253622e-05,0.0,0.0
63,131204,1.00429253622e-05,0.0,0.0
64,131205,1.00429253622e-05,0.0,0.0
65,131206,1.00429253622e-05,0.0,0.0
66,131208,1.00429253622e-05,0.0,0.0
67,131209,1.00429253622e-05,0.0,0.0
68,131210,1.00429253622e-05,0.0,0.0
69,131211,1.00429253622e-05,0.0,0.0
70,2490597,5.08132972995e-05,3.49755467006e-205,1.68898226539e-203
71,2228460,1.00429253622e-05,0.0,0.0
72,131447,1.84668362428e-05,0.0,1.68898226539e-203
73,2359388,4.29133497221e-05,9.76854571438e-07,1.1841528726e-06
74,132004,1.84668362428e-05,0.0,1.68898226539e-203
75,2229179,1.09420115001e-05,0.0,2.8016748e-06
76,2098227,1.00429253622e-05,0.0,0.0
77,132184,1.84668362428e-05,0.0,1.68898226539e-203
78,109433,1.96528437997e-05,0.000200520338016,0.000133357410808
79,87593,1.52741556696e-05,0.0,9.32013855137e-07
80,218666,1.00429253622e-05,1.10852501598e-05,0.0
81,87595,1.50346130958e-05,0.0,3.28743768832e-08
82,218677,1.00429253622e-05,0.0,0.0
83,1443328,1.53724131854e-05,7.30875963649e-07,8.21694082108e-07
84,2229888,1.00429253622e-05,0.0,0.0
85,1443494,1.44392167946e-05,1.0361313976e-09,3.03545899159e-09
86,1722,1.05633179664e-05,3.95875287163e-05,5.66725603703e-06
87,1723,1.62662431915e-05,9.24629291753e-05,3.14702453181e-05
88,1724,1.06909185068e-05,2.88000402264e-06,3.06065110163e-07
89,1725,1.00429253622e-05,6.19526741558e-06,0.0
90,1726,1.55956752544e-05,1.5595419991e-05,5.75378335834e-06
91,1727,1.16051900534e-05,1.72421028071e-05,2.87858341585e-07
92,1728,1.31176135529e-05,8.98257141041e-05,1.42580866783e-06
93,1729,1.47834080295e-05,3.73500800384e-05,1.92753327813e-06
94,1730,1.00429253622e-05,5.23518508591e-06,0.0
95,1731,1.30134758995e-05,8.70255620253e-06,4.95008968717e-06
96,1732,1.53304408286e-05,2.64113908399e-05,2.18743959242e-05
97,1733,1.84668362428e-05,2.61871256696e-06,1.68898226539e-203
98,1734,1.15513445916e-05,0.000172695356817,1.56999609148e-05
99,1735,1.34841459772e-05,1.43868199483e-05,2.20675951604e-06
100,1736,1.51394239253e-05,0.000107509086155,1.15921445083e-05
101,1737,1.00429253622e-05,2.13452265671e-05,0.0
102,1738,1.00429253622e-05,1.1231893213e-05,0.0
