,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,vetterlein,court,tax,87744
1,copyright,state,patent,87744
2,pilkey,v,bankrupt,87744
3,schlorb,case,land,87744
4,jamesson,act,bankruptci,87744
5,seymour,tax,north,87744
6,brainard,compani,water,87744
7,woodman,unit,truste,87744
8,flatboat,upon,carolina,87744
9,dower,land,properti,87744
10,blodget,law,deed,87744
11,patent,plaintiff,estat,87744
12,arbitr,sct,secretari,87744
13,car,said,incom,87744
14,robinson,defend,grand,87744
15,eha,may,wit,87744
16,koa,us,leas,87744
17,partnership,u,fire,87744
18,miner,properti,obscen,87744
19,muster,right,exempt,87744
20,powder,claim,govern,87744
21,alimoni,shall,shall,87744
22,—long,l,fee,87744
23,walden,§,sugar,87744
24,sheard,made,liquor,87744
25,lath,appeal,plea,87744
26,iowa,judgment,subpoena,87744
27,milk,statut,section,87744
28,catawba,petition,copyright,87744
29,parodi,section,regist,87744
30,settlor,district,sale,87744
31,land,would,communist,87744
32,liquor,one,immigr,87744
33,baum,error,appel,87744
34,sugar,contract,compani,87744
35,drainag,co,lesse,87744
36,newyork,ct,citi,87744
37,2255,ed,mandevil,87744
38,subpoena,govern,subscrib,87744
39,jobber,patent,build,87744
40,communist,mr,breed,87744
41,foxal,question,manufactur,87744
42,monsanto,order,death,87744
43,export,time,wife,87744
44,birdsel,new,carrier,87744
45,tax,feder,copi,87744
46,inspect,use,hous,87744
47,gallaway,1,vetterlein,87744
48,stein,power,commission,87744
49,deed,constitut,apprais,87744
50,apprais,parti,sheriff,87744
51,obscen,congress,rent,87744
52,carrier,suit,deduct,87744
53,glasgow,person,pilkey,87744
54,hester,decre,deneal,87744
55,screw,juri,deceas,87744
56,“exceptions”,jurisdict,schlorb,87744
57,maxi,rule,moragn,87744
58,tva,citi,packag,87744
59,penitentiari,evid,refin,87744
60,hud,bill,alimoni,87744
61,grigson,respond,testimoni,87744
62,strauss,circuit,iowa,87744
63,roeder,c,miner,87744
64,morrison,led2d,entri,87744
65,pca,sale,woodman,87744
66,alcald,offic,control,87744
67,reel,action,brainard,87744
68,oil,see,jamesson,87744
69,libel,railroad,improv,87744
70,fee,fact,seymour,87744
71,assess,appel,baum,87744
72,steamdredg,proceed,registr,87744
73,uman,titl,tennesse,87744
74,cavailhez,requir,widow,87744
75,extradit,corpor,park,87744
76,island,author,plaster,87744
77,leve,sup,blodget,87744
78,dunlop,grant,taxat,87744
79,bayli,opinion,examin,87744
80,certif,led,may,87744
81,lineup,within,project,87744
82,slave,decis,german,87744
83,ssr,interest,timber,87744
84,mandevil,part,convey,87744
85,counti,2,sea,87744
86,bank,gener,wire,87744
87,mcdonnel,counti,nelson,87744
88,confess,provid,premis,87744
89,bacon,trial,refere,87744
90,paschal,petit,ordin,87744
91,vessel,provis,oliv,87744
92,film,issu,inspect,87744
93,kentucki,whether,orlean,87744
94,vallejo,caus,trust,87744
95,park,must,eha,87744
96,blueford,record,koa,87744
97,thaw,reason,corn,87744
98,kin,commiss,louisiana,87744
99,senior,amend,award,87744
100,lyon,purpos,street,87744
101,vote,file,stock,87744
102,refere,estat,possess,87744
103,adult,justic,2255,87744
104,week,suprem,ne2d,87744
105,beater,make,inc,87744
106,buhr,deed,flatboat,87744
107,deneal,3,municip,87744
108,furnac,present,reel,87744
109,ramsay,public,waterproof,87744
110,coffe,writ,hotel,87744
111,bridg,also,petit,87744
112,estat,commerc,murder,87744
113,livestock,water,l,87744
114,deport,year,lath,87744
115,german,york,—long,87744
116,hill,day,russian,87744
117,child,bank,sheard,87744
118,anim,stock,quartermast,87744
119,hose,purchas,collector,87744
120,plea,motion,capit,87744
121,lat,first,color,87744
122,wire,possess,machineri,87744
123,overpay,busi,purchas,87744
124,trademark,commission,robinson,87744
125,mineola,could,catawba,87744
126,preclear,rep,powder,87744
127,maritim,term,affidavit,87744
128,grigsbi,amount,polici,87744
129,bargain,applic,c,87744
130,compani,without,foxal,87744
131,habea,except,remov,87744
132,apprendi,valu,parodi,87744
133,steamtug,held,stein,87744
134,virginian,secretari,underground,87744
135,sentenc,effect,newyork,87744
136,color,bond,repair,87744
137,osag,execut,proof,87744
138,statuari,payment,dower,87744
139,coppedg,subject,muster,87744
140,treati,truste,saw,87744
141,lektophon,damag,walden,87744
142,tympanum,receiv,lake,87744
143,pike,limit,gallaway,87744
144,waterpow,bankruptci,birdsel,87744
145,leith,carrier,profit,87744
146,fha,regul,appelle,87744
147,meal,board,furnac,87744
148,54d1,determin,extradit,87744
149,wiretap,stat,dock,87744
150,sculptur,oper,sell,87744
151,eibel,charg,kin,87744
152,breed,incom,tenant,87744
153,2347,wit,§1983,87744
154,releas,employe,roeder,87744
155,church,appear,“exceptions”,87744
156,deposit,dismiss,dredg,87744
157,sea,insur,day,87744
158,wife,alleg,oper,87744
159,benham,paid,maxi,87744
160,water,decid,paschal,87744
161,russian,two,titl,87744
162,identif,place,hester,87744
163,processor,therefor,1910,87744
164,agricultur,n,pca,87744
165,grand,line,morrison,87744
166,lien,interst,grigson,87744
167,haller,bankrupt,monsanto,87744
168,waight,4,steamdredg,87744
169,backhaul,f2d,uman,87744
170,airlin,follow,strauss,87744
171,lagun,polici,tva,87744
172,plf,counsel,ed,87744
173,refin,show,expir,87744
174,road,construct,church,87744
175,static,trust,cavailhez,87744
176,vein,servic,gain,87744
177,lade,due,settlor,87744
178,hospit,given,screw,87744
179,bill,5,alcald,87744
180,qta,ground,firstdegre,87744
181,duck,find,segreg,87744
182,elyria,death,ssr,87744
183,prison,affirm,blueford,87744
184,myer,r,use,87744
185,subscrib,supra,oil,87744
186,eaja,note,bayli,87744
187,rico,duti,room,87744
188,glikeman,appelle,instrument,87744
189,affili,pay,telecommun,87744
190,connecticut,per,buhr,87744
191,court,declar,governor,87744
192,§1692ka3,might,usuri,87744
193,locat,assess,conductor,87744
194,postmast,found,glasgow,87744
195,oliv,secur,beater,87744
196,search,respect,milk,87744
197,stock,matter,patente,87744
198,sonora,give,export,87744
199,bett,fee,intox,87744
200,848q4b,brought,mine,87744
201,troy,employ,lyon,87744
202,school,convey,barn,87744
203,vogt,plea,york,87744
204,l,judg,claim,87744
205,bond,testimoni,restrict,87744
206,corn,appli,line,87744
207,§201b,sum,mineola,87744
208,save,consider,jobber,87744
209,polici,administr,mcdonnel,87744
210,klein,agreement,1977,87744
211,franchis,enter,thaw,87744
212,ramsey,deni,2013,87744
213,106a,remov,administr,87744
214,§10b,set,area,87744
215,indian,relat,stipul,87744
216,griseofulvin,cost,attorney’,87744
217,machin,owner,dunlop,87744
218,guaranti,control,hud,87744
219,truste,rate,coppedg,87744
220,ambriz,allow,second,87744
221,asphalt,mean,tympanum,87744
222,buck,taken,lektophon,87744
223,state,exempt,hill,87744
224,hulk,j,meal,87744
225,commot,direct,adult,87744
226,omaha,refer,identif,87744
227,racket,nation,54d1,87744
228,moragn,claus,arlington,87744
229,mcgregor,attorney,eibel,87744
230,tennesse,violat,leith,87744
231,atkinson,7,static,87744
232,contempt,take,mainstream,87744
233,picket,object,duck,87744
234,waterproof,6,hulk,87744
235,coord,p,lat,87744
236,tribe,consid,lineup,87744
237,adulter,good,3d,87744
238,dividend,deliv,speaker,87744
239,tate,date,execut,87744
240,kenzi,report,waight,87744
241,pennsalt,review,coffe,87744
242,rugen,work,lagun,87744
243,exempt,territori,method,87744
244,158d,12,sculptur,87744
245,gun,leas,place,87744
246,flexner,legisl,backhaul,87744
247,incom,second,plf,87744
248,stilson,condit,deliveri,87744
249,entri,north,rio,87744
250,god,name,hose,87744
251,rail,vessel,product,87744
252,canal,refus,counti,87744
253,barn,money,anim,87744
254,herndon,instruct,waterpow,87744
255,21w,establish,film,87744
256,partner,revers,statuari,87744
257,chlorat,page,glikeman,87744
258,kernel,process,confeder,87744
259,ed,protect,kenzi,87744
260,murder,pass,waterwork,87744
261,saw,8,leve,87744
262,7830,includ,insan,87744
263,leas,word,elyria,87744
264,timber,origin,1875,87744
265,resciss,louisiana,§1692ka3,87744
266,inmat,equiti,2347,87744
267,rusin,entitl,contain,87744
268,whdh,10,haller,87744
269,buford,entri,vallejo,87744
270,cotton,convict,ramsay,87744
271,fugit,manufactur,grigsbi,87744
272,veto,notic,motor,87744
273,distributor,differ,norfolk,87744
274,premium,certif,60b,87744
275,heiskel,howev,ny,87744
276,1830,point,fha,87744
277,trust,answer,adam,87744
278,faa,st,§201b,87744
279,801690,9,arizona,87744
280,afb,w,qta,87744
281,§285,common,848q4b,87744
282,improv,debt,garri,87744
283,alien,carolina,pike,87744
284,philippin,transport,benham,87744
285,denver,certain,inventori,87744
286,said,id,1905,87744
287,slag,benefit,staat,87744
288,green,thu,dohsa,87744
289,cervant,account,surrend,87744
290,presbyterian,circumst,guilford,87744
