,mod,wt,km_10,km_100,gmm_10,gmm_100
108104,1,5,2,46,1,91
108107,2,67,2,36,1,2
108100,1,5,2,76,1,97
108102,1,1,2,46,1,91
108103,2,21,2,36,0,2
109855,1,5,3,73,8,40
109857,0,36,2,36,1,2
109856,0,84,0,40,3,38
109859,2,1,2,36,1,2
109858,2,13,2,36,1,2
100131,0,33,3,61,8,86
100130,0,3,2,49,1,44
100133,2,13,3,79,8,70
100132,1,3,2,49,8,44
100135,0,1809,3,84,8,86
100134,2,13,2,15,1,44
103706,2,88,2,36,1,2
103705,1,5,2,17,1,44
103704,2,1,3,45,8,45
103703,2,30,2,46,1,91
103702,1,2,2,49,1,44
103701,1,5,2,17,8,45
103700,0,21,3,45,8,45
100136,0,1,2,76,1,97
103709,2,89,3,39,8,53
103708,1,2,2,36,1,2
111955,2,1,2,49,3,44
111954,1,5,2,15,1,87
111957,1,2,2,49,1,44
91219,2,13,2,46,1,91
111951,1,5,2,36,1,2
111950,1,5,7,52,1,33
111953,1,5,7,52,1,33
111952,1,5,2,27,1,14
91212,8,326,2,46,1,91
91213,2,69,0,3,3,19
91210,2,187,3,0,9,60
91211,126,2264,2,75,1,26
111959,1,83,3,39,8,53
111958,1,3,2,76,1,97
91214,15,32,2,49,1,44
91215,2,14,1,89,0,56
145770,1,2,2,15,1,2
145771,2,327,2,36,1,2
145772,2,2,2,89,1,87
145773,1,2,2,84,1,13
145774,1,5,3,93,8,72
145775,1,2,3,48,1,71
145776,1,5,3,0,8,83
101942,0,661,2,40,1,38
145778,0,10,9,11,9,76
101941,2,1483,0,56,3,91
101701,2,1,3,93,8,0
101700,126,2264,9,75,9,26
101703,0,12,2,0,8,83
101702,2,7,2,15,3,44
101705,2,7,2,14,1,11
101704,0,52,0,22,3,14
101707,0,35,2,46,1,91
101706,0,3,3,84,1,46
101709,0,12,2,36,1,2
101708,2,79,2,66,1,6
101946,0,12,2,27,1,1
87901,126,2264,3,54,8,36
87900,2,336,3,83,8,0
87903,2,13,0,17,3,45
87902,126,2264,3,96,8,28
109271,1,5,2,75,9,26
109270,1,2,9,73,9,40
87907,2,613,2,36,1,2
109272,2,1,2,84,1,46
87909,0,52,1,80,0,99
87908,2,7,9,75,1,26
101944,2,128,1,67,0,51
107286,2,1,2,36,3,2
107287,1,2,2,36,1,2
107284,126,2264,9,11,9,76
107285,2,13,2,75,1,26
92741,2,853,3,21,8,25
92740,2,18,3,23,1,18
92743,0,3,3,32,4,42
92742,2,358,1,6,0,47
92749,2,91,3,69,6,10
92748,0,35,9,75,9,26
107288,2,5,2,17,1,87
1379993,1,5,2,96,1,28
85678,0,1918,9,99,9,34
85671,1,1,3,74,1,46
85670,2,1477,1,34,0,11
85673,2,1,2,21,1,25
85672,1,1927,2,89,1,87
85675,0,548,9,41,9,93
85674,0,3,2,84,1,87
85677,0,1928,2,36,9,2
85676,2,215,2,49,1,44
87299,8,96,3,63,8,64
87298,0,97,3,63,8,64
87291,0,98,9,11,9,76
87290,126,2264,2,84,1,46
87293,126,2264,2,36,1,2
87292,126,2264,2,76,1,97
87295,126,2264,2,84,1,46
87294,9,99,2,84,1,46
87297,2,100,2,76,4,97
87296,0,101,2,36,1,2
1087669,1,1,3,65,1,49
1087668,1,5,0,40,3,38
1087667,1,1,2,81,1,73
1087666,1,2,3,23,8,18
1087665,0,52,2,36,3,2
1087664,2,0,2,67,0,51
1087663,0,1,6,50,7,31
1087662,2,7,3,61,8,86
1087660,0,12,3,95,8,23
108849,1,1,0,12,8,45
108848,1,5,2,84,1,46
89949,2,102,2,49,3,44
89948,0,103,2,84,1,28
89943,2,1249,2,75,1,26
89942,126,2264,2,89,1,44
89941,2,141,3,45,8,45
89940,0,405,2,49,1,2
89947,126,2264,3,18,8,66
89946,0,12,0,3,3,19
108847,1,59,3,18,8,66
108846,1,2,3,84,8,46
87127,2,104,2,40,1,38
87126,126,2264,3,48,8,71
87125,126,2264,2,89,1,87
87124,126,2264,2,36,1,2
87123,2,7,2,36,1,2
87122,126,2264,2,84,1,46
87121,2,9,2,49,1,44
87120,2,7,2,49,1,44
