,mod,wt,km_10,km_100,gmm_10,gmm_100
110672,2,884,8,64,4,90
95908,0,22,7,96,6,96
95909,2,13,7,70,2,80
95906,55,585,8,63,4,60
95907,0,204,7,25,6,9
95904,2,13,8,71,4,81
95905,2,213,8,71,4,90
95902,0,22,8,71,5,90
95903,0,22,8,8,2,12
95900,2,65,7,47,6,98
95901,2,808,7,95,6,23
625847,1,1,7,45,6,45
88746,126,2264,7,73,2,40
88747,126,2264,1,63,0,64
88744,2,13,1,63,0,64
88745,2,7,1,28,0,41
88742,2,290,1,28,0,41
88743,2,127,1,28,0,41
88740,3,1450,1,28,0,41
88741,0,12,1,87,0,73
111948,1,5,3,55,2,21
88748,126,2264,8,8,5,90
88749,2,1197,8,8,5,85
91347,2,151,8,8,5,85
103717,0,1222,8,8,5,85
1744847,0,1549,8,91,4,55
90304,2,18,1,28,0,41
96767,0,10,8,91,4,55
96766,2,1851,8,8,5,85
96765,0,3,8,8,5,85
96764,1,3,1,28,0,41
96763,2,885,7,48,6,71
96762,2,2,7,21,6,25
96761,3,204,1,58,0,17
96760,0,12,8,8,5,85
90308,126,2264,8,8,5,90
96769,0,105,8,48,5,71
96768,0,116,8,64,4,90
97416,1,30,9,11,9,74
97414,2,76,8,71,5,81
97415,2,76,8,71,5,90
97412,1,2,7,83,2,59
97413,2,76,9,11,9,74
97410,2,7,7,59,6,9
97411,1,2,7,59,2,9
97418,1,1,3,87,2,79
97419,0,105,7,57,2,59
94699,0,3,7,96,6,96
94695,0,47,7,52,2,33
94694,2,130,7,25,2,59
94697,0,315,9,11,9,74
94696,2,750,7,65,6,49
94691,1,3,1,87,0,79
94690,2,7,7,73,6,40
94693,2,13,3,95,8,23
94692,2,1333,7,21,6,25
101293,0,33,1,28,0,41
102278,7,1,1,28,0,41
102279,0,50,7,4,6,9
101292,2,44,8,7,2,80
102274,0,52,7,21,6,25
102275,0,1,7,25,6,9
102276,0,21,8,8,5,85
102277,126,2264,3,83,6,0
102270,0,3,8,8,5,82
93564,2,290,7,52,6,33
102272,2,7,7,7,2,59
102273,126,2264,7,50,6,31
93562,0,3,7,25,6,9
93563,0,105,7,37,6,9
93560,3,886,7,63,1,64
93561,0,156,8,70,2,61
2215103,126,2264,7,83,6,0
108352,1,1,7,25,8,24
97642,0,131,8,63,2,64
99670,1,12,7,59,6,9
99671,1,3,7,59,6,9
111889,1,887,7,59,6,9
99673,0,22,4,37,6,48
99674,2,13,8,8,5,90
99675,0,69,8,8,5,85
99676,1,3,1,97,0,22
99677,0,215,8,92,5,61
99678,0,3,7,25,6,98
111882,1,1,0,3,6,19
111881,2,68,7,18,6,92
111880,1,2,7,48,6,71
111887,1,3,8,8,5,85
111886,2,1,7,39,6,53
111885,1,2,0,3,6,19
98553,126,2264,7,21,6,98
106490,3,2,3,46,1,91
95128,0,3,3,87,0,79
95129,4,418,8,8,5,85
91352,126,2264,1,28,0,41
95124,1,5,7,59,6,9
95125,0,52,9,11,9,74
95126,0,12,8,64,4,4
95127,2,488,7,57,6,9
95120,2,204,8,8,5,85
91351,2,13,8,94,6,98
95122,0,3,1,58,0,17
95123,2,204,1,58,0,17
112507,2,2,8,8,5,12
112506,1,1,9,11,6,66
112505,1,2,3,81,2,73
91350,0,233,8,8,5,85
112503,2,44,7,92,5,61
112502,0,780,8,8,5,85
112501,26,889,8,8,5,85
112500,2,9,7,57,6,1
106494,2,189,0,3,6,69
112509,2,1,8,8,5,85
106495,0,10,7,52,2,33
103468,2,44,7,59,6,9
103469,0,287,8,91,4,55
103466,0,12,8,8,5,90
103467,2,13,9,11,9,74
103464,2,30,1,37,5,82
103465,0,12,7,68,6,24
111266,1,2,7,7,2,60
111265,1,2,7,96,2,28
111264,1,1,8,31,5,90
111263,1,83,8,63,5,60
111262,1,2,8,94,5,88
111261,1,1,1,28,0,41
111260,1,2,7,60,6,98
107358,1,890,8,8,5,85
107359,1,2,3,95,6,98
92699,0,12,1,28,0,41
92698,0,891,7,37,5,82
107354,1,2,7,7,2,59
107355,1,5,7,47,2,32
107356,1,2,3,23,6,18
107357,1,890,7,21,6,25
92693,2,1756,8,91,4,55
92692,2,139,8,91,4,55
92690,0,22,8,91,4,55
102700,126,2264,8,64,4,90
102701,2,7,7,21,8,25
95854,3,1,8,8,5,82
102703,2,1,6,9,0,47
95855,1,2,8,27,2,85
95856,0,12,7,50,6,60
95857,2,9,8,8,5,85
95850,0,10,8,8,5,85
95851,0,892,1,87,0,79
95852,0,3,7,73,2,40
95853,74,893,1,87,0,79
91920,2,414,7,25,6,0
90916,3,385,7,60,6,58
91922,1,2,9,11,9,74
91923,0,5,7,96,6,28
91924,2,240,7,96,6,28
91926,126,2264,8,96,5,28
90917,2,894,7,96,6,28
91928,0,22,1,87,0,79
91929,126,2264,3,63,6,64
90914,3,522,8,8,5,82
90915,2,1,7,59,6,9
102407,1,2,7,25,6,21
90913,3,3,8,91,4,55
102405,0,12,8,64,4,90
90911,3,870,3,96,2,28
101219,0,10,8,8,5,12
101218,0,3,1,87,0,79
89624,0,12,8,37,5,12
101213,2,86,3,73,0,40
101212,0,3,1,63,0,64
101211,2,621,8,70,2,21
101210,5,78,8,70,2,21
101217,1,3,7,52,2,33
101216,126,2264,8,37,5,12
101215,0,36,7,60,6,58
101214,2,13,7,78,6,30
104197,0,455,7,59,2,75
104196,1,2,8,64,5,90
104195,0,1,7,63,2,60
104194,2,30,3,63,5,64
104193,2,53,8,63,5,64
104192,0,10,3,63,6,64
104191,0,3,8,64,4,90
104116,0,1,7,25,6,58
104199,75,1,7,69,6,10
104198,0,21,8,70,2,80
104114,0,1,7,52,6,33
104113,0,21,7,25,5,12
85270,2,1723,7,25,6,9
104110,2,1,7,47,6,98
2381329,3,678,7,7,2,60
101969,0,22,7,83,8,98
101968,2,8,8,8,2,85
101961,0,21,8,8,4,85
101960,2,7,8,91,4,55
101963,1,83,8,70,5,21
101962,1,2,8,8,5,85
101965,0,3,1,28,5,41
101964,1,1,1,28,0,41
101967,2,50,8,8,5,82
101966,0,277,1,28,0,41
105244,1,3,1,28,0,41
105245,1,2,1,28,0,41
105246,2,1,1,28,0,41
105247,0,12,1,28,0,41
105240,17,163,8,71,5,81
105241,1,2,8,71,5,81
105242,1,2,7,7,2,59
105243,2,7,7,83,6,0
105248,0,3,8,92,5,21
105249,1,2,1,47,0,84
902770,1,5,8,64,5,90
902772,2,14,1,67,0,78
99392,0,724,3,39,6,98
1087959,1,2,7,7,2,60
1087958,1,2,3,23,6,18
1087951,0,1,8,8,5,85
1087950,1,5,7,7,6,98
1087953,2,68,8,37,5,12
1087952,1,1,8,64,4,90
1087955,1,2,8,70,5,21
1087954,1,2,8,8,5,85
1087957,2,0,7,83,6,0
1087956,1,5,7,25,6,58
86788,2,128,8,8,5,17
86789,2,52,0,3,6,98
620568,2,68,7,96,6,28
86780,2,7,8,64,5,90
86781,1,895,7,96,6,28
86782,2,1794,7,8,5,12
620566,2,1,7,59,6,9
86784,3,2234,7,23,6,18
86785,2,7,8,8,5,85
86786,2,338,4,37,5,12
86787,2,1754,3,79,2,70
106605,2,68,7,37,2,75
106604,2,44,7,96,6,96
106607,1,5,8,80,5,82
106606,1,2,8,31,4,4
106601,0,1,7,7,6,59
106600,1,5,7,52,6,33
106603,0,346,7,96,6,28
106602,1,2,8,79,2,70
106609,1,5,7,50,2,31
106608,1,5,7,4,6,58
102735,2,1,8,31,4,90
102734,0,12,7,37,2,82
102737,2,213,7,7,2,60
102736,2,206,3,73,8,40
102731,0,12,7,59,6,9
102730,2,13,9,39,9,53
102733,0,10,9,39,9,53
102732,1,3,9,11,9,74
102739,2,897,8,91,4,55
102738,2,0,1,73,0,40
108553,1,1,7,63,2,64
108552,0,10,8,7,5,60
108551,1,2,0,3,6,69
108550,1,1,7,27,2,60
108557,0,1,8,64,2,80
108556,1,5,8,52,2,33
108555,2,13,8,7,2,59
108554,1,2,8,8,5,12
89639,126,2264,7,52,5,33
89638,126,2264,1,58,0,17
108559,2,1,8,8,5,85
108558,2,1,8,8,5,85
1116658,2,1,8,8,5,85
89189,72,826,7,33,6,78
89188,2,898,3,81,8,73
89187,3,284,7,25,6,96
89186,15,32,7,21,6,25
89185,2,7,7,96,6,96
89184,0,1,8,8,5,82
89183,126,2264,8,64,4,90
89182,0,22,8,8,5,90
89181,126,2264,8,8,5,85
89180,3,899,8,64,4,90
93432,2,276,8,95,5,12
88243,126,2264,3,7,2,59
88580,3,1319,3,63,2,64
87553,126,2264,7,7,2,60
88582,126,2264,1,28,0,41
88583,126,2264,8,73,2,40
88584,0,21,7,25,6,59
109605,1,36,7,18,6,92
88586,126,2264,8,92,5,61
87555,2,128,8,8,5,90
109608,0,900,8,8,5,85
109609,0,12,8,8,5,90
87558,2,901,7,18,6,92
87559,2,51,7,96,6,28
2521763,1,59,7,60,6,58
103956,1,5,7,73,6,40
103957,0,902,3,81,2,73
103954,0,21,7,33,6,78
103955,2,44,8,8,5,90
103952,1,1,3,39,9,53
103953,1,1,1,87,0,79
103950,1,1,1,87,0,79
103951,0,1,7,33,6,78
103958,2,1,7,64,6,12
103959,2,7,7,97,0,22
100603,3,222,7,59,6,9
100602,2,1,8,8,5,85
84928,126,2264,7,47,6,98
100600,0,659,8,91,4,55
100607,0,36,7,47,6,32
100606,47,0,7,95,6,23
100605,0,12,7,83,6,0
100604,3,903,1,58,0,17
84922,126,2264,1,73,0,84
84923,126,2264,1,87,0,79
100609,0,50,8,64,4,90
100608,0,904,3,96,6,28
84926,126,2264,8,8,5,90
84927,126,2264,8,64,4,29
84924,126,2264,8,33,4,78
84925,126,2264,7,81,6,73
91292,3,905,7,7,6,98
94590,0,22,7,50,8,31
86209,126,2264,8,8,5,90
86208,2,102,8,94,5,59
86205,0,906,7,52,6,33
86204,0,907,7,7,6,60
86207,76,908,8,52,2,33
86206,1,2,7,73,2,40
86201,0,700,7,7,2,59
86200,42,909,8,8,5,85
86203,3,779,0,29,6,19
86202,0,910,7,25,2,59
88476,1,1,7,96,6,96
90529,0,911,7,7,6,59
90528,2,13,8,91,4,55
90527,2,912,7,37,2,33
90526,2,14,8,8,5,85
90525,0,521,3,50,6,31
90524,0,11,1,58,0,17
90523,126,2264,8,31,4,4
90522,126,2264,8,70,5,80
90521,3,397,8,8,5,90
90520,0,21,8,8,5,85
101550,2,44,8,8,5,85
101551,2,44,8,91,4,55
101552,0,21,1,81,0,73
101553,0,11,8,91,4,55
101554,0,10,1,73,0,40
101555,0,52,7,73,2,40
101556,0,82,7,92,6,61
101557,0,1,7,59,2,12
101558,1,2,7,79,8,70
101559,0,12,7,59,8,9
87569,1,5,8,63,5,64
92857,1,2,8,8,5,85
2620975,126,2264,1,28,0,41
87567,0,3,7,69,6,10
2620970,2,1,7,96,6,96
2620973,126,2264,7,59,6,75
87566,2,225,7,25,6,98
97685,3,360,7,25,6,24
2620979,126,2264,1,96,5,28
87565,2,53,7,59,5,9
87564,0,3,0,96,6,28
2959750,1,1,3,96,6,28
111688,1,5,8,8,5,85
87561,2,35,3,96,6,28
97684,2,25,7,96,6,28
87560,2,44,8,91,4,55
97892,0,52,8,91,4,55
97893,2,30,1,73,0,40
97890,2,7,3,50,6,31
97891,3,352,1,73,2,40
97896,2,13,7,37,6,12
97897,0,3,8,64,4,55
97894,2,20,7,27,2,14
97895,1,3,7,59,6,75
111065,1,2,7,73,6,75
111064,2,1,8,31,4,4
97898,126,2264,1,73,0,40
97899,0,35,7,47,6,98
111061,1,83,8,91,7,55
111060,0,11,7,23,2,18
111063,1,5,8,91,4,55
111062,2,30,7,21,6,25
95009,0,3,8,94,5,12
95008,2,549,1,97,0,22
95006,2,9,1,28,0,41
95005,0,12,7,7,2,59
95004,0,50,7,25,6,24
95003,2,432,7,52,6,33
95002,0,50,3,39,8,53
95001,2,0,7,96,6,96
95000,3,9,7,60,6,58
1748,0,10,0,3,6,69
1749,1,2,7,83,2,75
1744,2,1,7,37,2,75
1745,1,2,7,60,6,58
1746,1,2,7,21,6,96
1747,1,5,3,48,6,71
1740,2,1,7,92,6,12
1741,1,5,1,96,5,28
1742,1,2,7,73,6,40
100173,2,30,7,70,2,80
112460,2,1,7,94,2,59
98318,1,1,7,52,6,88
98319,1,1,7,59,6,9
109695,1,2,3,87,2,60
98310,2,206,7,59,6,9
98311,0,724,8,31,4,4
98312,0,2,7,94,4,59
98314,3,41,8,8,5,90
98315,0,36,7,52,6,33
98316,3,1,8,64,4,90
98317,0,1,7,60,6,58
105002,1,5,7,83,6,0
105003,1,30,7,60,6,58
105000,2,7,8,8,5,85
105001,1,5,7,59,6,98
105006,0,3,3,23,0,18
105007,1,847,8,8,5,12
105004,3,1,1,28,0,41
105005,0,10,1,63,0,64
105008,2,68,7,59,6,9
105009,0,1,9,41,9,93
97339,0,3,7,96,6,28
97338,0,13,1,58,0,17
107072,0,1,1,87,0,79
107539,2,1,7,7,2,43
107534,2,68,7,7,2,24
107535,126,2264,8,64,4,4
107536,1,5,8,71,4,81
107537,126,2264,8,64,4,90
107533,1,5,1,73,0,40
94156,126,2264,3,18,6,65
94157,0,52,8,64,4,60
94154,2,425,7,96,6,28
94155,0,3,8,31,4,4
94152,2,432,7,59,6,9
94153,0,3,8,8,5,85
94150,3,170,1,87,0,1
94151,2,7,7,67,0,75
98862,2,30,7,59,2,9
98863,0,625,7,52,6,33
98860,1,5,8,64,4,90
98861,1,3,6,9,8,47
98867,2,7,7,63,6,64
94158,0,233,1,28,0,41
94159,2,918,7,52,6,33
99191,0,1,7,21,6,25
99190,1,1,8,31,4,4
90644,2,43,8,64,4,90
99192,0,36,7,25,2,43
99195,0,1,7,52,6,33
90643,2,237,8,96,5,28
90640,126,2264,7,52,6,33
90641,2,802,7,73,6,40
99199,0,21,1,87,0,84
99198,0,21,8,71,4,81
90648,126,2264,8,70,2,21
90649,2,609,8,71,5,90
108711,2,30,8,91,4,55
108710,1,2,8,91,4,55
108713,1,5,3,87,0,46
108712,2,1,8,5,4,4
108715,0,1,3,50,6,31
108714,1,5,7,59,0,9
108717,1,5,7,83,6,0
108716,0,1,7,80,5,82
108719,1,59,3,7,2,59
108718,1,2,8,31,4,4
104849,1,2,7,83,6,98
104848,2,68,7,37,6,75
104845,1,2,3,63,6,64
104844,1,5,3,87,8,79
104847,0,12,7,73,2,40
104846,2,0,7,59,6,9
104841,2,30,1,28,0,41
104840,0,10,1,28,0,41
104843,1,5,7,23,6,18
104842,1,5,7,83,6,88
106722,2,68,1,28,0,41
106723,0,12,1,28,0,41
106720,2,5,7,92,6,99
106721,2,1,1,58,0,82
91065,0,3,8,31,4,4
106727,1,5,7,45,6,45
106724,2,1,7,83,6,0
106725,1,5,7,74,6,74
91069,2,9,7,37,6,75
91068,0,22,8,5,4,4
106728,2,68,7,25,2,30
106729,1,5,7,21,6,25
99735,0,22,7,7,6,60
99734,1,1,1,58,0,17
99737,2,128,1,58,0,17
99736,40,1,7,59,6,9
99731,2,13,7,25,6,9
99730,0,1,7,59,6,75
99733,0,22,7,33,6,78
99732,2,13,7,52,6,33
99739,2,318,8,90,4,61
109448,2,1,8,31,4,4
109449,1,30,8,31,4,4
109446,0,1,8,47,5,32
109447,1,59,8,31,4,55
109444,1,3,7,37,6,59
109445,0,36,7,21,6,25
109442,1,2,8,8,5,12
109443,1,5,7,7,2,80
109440,126,2264,3,7,2,80
109441,126,2264,7,52,2,33
91685,0,275,7,52,2,33
91684,0,3,7,68,1,24
91687,126,2264,7,52,2,33
91681,2,18,7,96,6,28
91680,2,151,7,73,6,40
91683,2,53,7,63,2,64
91682,2,13,7,7,2,59
91689,126,2264,4,97,5,22
91688,126,2264,8,5,5,90
105824,0,30,7,37,6,75
105825,2,44,7,60,6,58
105826,1,1,8,91,4,60
105827,2,44,8,32,4,60
105820,1,83,8,63,4,64
105821,1,2,7,21,8,25
105822,40,920,8,37,4,13
105823,126,2264,7,37,1,98
109190,1,2,7,94,2,59
109191,1,2,7,37,6,12
109192,0,1,7,37,6,75
109193,0,36,7,21,6,25
109194,2,68,7,7,2,59
105829,0,12,7,73,2,73
109196,1,2,1,87,0,79
109197,0,921,1,80,5,99
107093,0,12,1,59,0,9
102494,0,21,8,8,5,12
107090,126,2264,7,52,6,33
107094,1,922,7,88,6,57
107099,2,204,7,59,6,9
90987,2,13,7,59,6,9
102497,0,21,1,63,0,64
145929,1,1,7,7,6,59
145928,1,1,8,8,5,85
145925,0,1,6,57,2,47
145924,1,2,7,25,6,24
145927,126,2264,7,4,6,10
145926,1,2,8,64,5,90
145921,1,2,8,7,2,59
145920,1,2,7,25,6,24
145923,2,2,7,7,2,80
145922,1,2,8,70,5,21
102492,0,1,8,8,5,12
90982,41,1,7,25,6,24
145697,1,1,1,58,0,17
145696,2,30,8,8,5,85
100379,2,14,7,96,6,28
100378,2,7,3,81,8,73
145693,2,1,7,96,6,28
145692,2,1,7,96,6,28
145691,1,5,7,87,6,75
145690,1,2,7,69,6,10
100373,1,1,7,68,6,24
100372,0,7,7,83,6,0
100371,2,13,7,21,6,1
92085,126,2264,7,7,2,60
100377,2,432,7,25,6,30
100376,2,13,9,41,9,93
92080,15,679,8,91,4,55
145698,0,5,7,37,2,32
110949,1,5,7,7,2,59
110941,1,2,7,25,2,24
110940,0,1,7,94,5,98
110943,2,68,8,92,5,61
110942,0,1,7,7,2,80
110945,1,1,8,96,5,28
110944,1,68,7,25,6,33
1215914,2,923,7,83,6,0
86211,0,52,3,78,6,98
93683,2,924,8,92,5,61
93682,0,50,8,94,5,12
93681,0,925,3,65,8,49
93680,2,175,8,8,5,85
93687,77,926,7,65,6,49
93686,2,350,7,60,6,58
93685,1,468,7,96,6,96
93684,2,7,7,96,6,96
93689,126,2264,7,68,2,24
93688,1,2,8,5,4,4
98453,0,3,7,59,6,9
98452,2,1,6,9,3,47
98451,2,688,1,58,0,17
98450,2,76,3,81,0,73
98457,0,105,7,7,2,59
98456,2,139,9,11,9,76
98455,0,1,7,7,2,60
98454,126,2264,8,7,2,60
98459,2,104,7,25,2,59
98458,0,52,3,73,2,59
100959,0,12,3,81,2,73
100958,1,12,3,81,2,73
100957,0,3,6,50,6,31
100956,0,3,7,7,2,43
100955,0,12,8,67,5,90
100954,2,2,7,27,2,60
100953,2,30,7,96,6,96
100952,2,30,7,59,6,9
100951,1,2,7,59,6,9
100950,0,35,7,25,6,1
101028,1,3,8,64,4,90
101029,1,3,7,52,2,33
104018,0,1,7,37,2,99
104019,3,204,8,70,2,80
104012,1,1,8,91,4,55
101021,1,9,8,79,2,70
101022,2,30,7,7,2,60
101023,47,927,7,25,6,43
101024,0,35,8,8,5,85
101025,0,1,1,28,0,82
101026,2,30,7,7,2,60
101027,0,12,7,67,0,75
85424,2,929,8,96,5,28
85425,2,529,7,4,6,23
85426,126,2264,1,87,0,79
85427,2,90,8,31,4,4
85420,2,44,7,59,6,9
85421,3,645,3,73,6,40
85422,126,2264,1,71,5,81
85423,126,2264,7,21,6,25
85428,2,930,1,80,0,82
85429,2,931,8,64,5,90
87372,2,65,8,37,5,82
87373,126,2264,1,80,0,99
87370,126,2264,7,88,6,57
87371,1,1,7,25,6,1
87376,126,2264,7,52,6,33
87377,0,932,7,96,6,96
87374,126,2264,7,96,6,96
87375,126,2264,7,96,6,96
87378,126,2264,8,73,4,40
87379,0,12,7,47,6,32
106876,2,30,8,31,4,4
106877,1,5,7,59,6,9
91737,3,934,8,80,5,82
106875,1,5,7,59,6,9
106872,1,5,8,8,5,90
106873,1,1,8,90,2,61
626055,1,2,7,25,6,1
626054,2,1,7,59,6,9
623142,2,68,8,31,4,4
623143,1,2,7,25,6,24
86429,0,12,7,59,6,98
86428,2,44,3,39,9,53
86425,0,3,7,37,6,75
86424,0,50,7,73,6,40
86427,1,2,7,95,6,23
86426,0,938,8,90,4,4
86421,2,7,7,78,1,30
86420,1,7,8,64,4,55
86423,3,939,8,8,5,12
86422,2,147,8,92,5,12
103276,0,346,8,8,5,85
93334,2,90,7,37,5,12
2620698,1,5,7,37,6,12
2620699,1,83,7,96,6,28
2620691,2,942,1,58,0,17
2620693,0,12,3,81,6,73
2620695,0,22,8,8,5,90
2620696,0,407,7,59,6,9
2620697,1,1,7,59,6,9
85994,2,943,1,28,0,41
85996,126,2264,8,8,5,90
88959,2,80,8,8,5,85
88958,126,2264,7,59,5,75
88957,3,944,8,37,5,12
88956,2,945,7,73,6,40
88955,78,946,7,65,6,49
88954,3,170,7,96,6,96
88953,0,3,8,64,4,90
88952,0,52,3,81,6,73
88951,126,2264,8,64,4,90
88950,2,144,7,70,2,24
89398,126,2264,8,28,5,82
89399,0,345,3,38,8,67
89396,126,2264,4,35,7,8
89397,0,948,7,94,6,1
89394,2,115,7,92,5,12
89395,2,566,7,25,6,98
89392,0,3,7,37,6,9
89393,1,2,8,71,4,81
89390,2,318,7,18,6,74
89391,126,2264,8,8,5,85
103563,1,5,1,58,0,17
103562,2,44,8,37,5,12
103561,1,2,7,7,2,59
103560,3,949,7,96,6,28
103567,0,36,0,3,6,69
103566,0,346,8,64,4,90
103565,2,189,7,7,2,59
103564,3,1,8,71,4,90
103569,0,12,8,8,5,90
103568,0,1,7,68,2,24
88850,126,2264,7,59,6,9
88855,126,2264,7,47,6,98
103330,0,21,7,47,6,98
97131,0,10,8,91,4,55
97130,0,1,7,94,2,59
97133,2,13,7,52,6,33
97132,0,10,7,7,2,59
97135,2,13,8,92,2,12
97134,0,3,3,0,2,98
97137,2,7,7,37,2,59
97136,2,146,3,48,6,71
97139,3,420,7,52,6,33
97138,2,1586,1,58,0,17
88049,126,2264,7,52,6,33
88048,2,304,9,99,9,62
97689,0,913,7,95,6,23
97688,1,2,7,7,6,59
88041,2,237,1,63,0,64
88040,126,2264,7,25,6,59
88043,2,130,7,7,2,60
88042,2,237,8,8,4,85
97683,1,3,7,21,6,96
97682,2,154,7,59,6,9
88047,62,2,7,96,6,96
97680,0,22,8,8,5,82
100030,0,1,1,63,0,64
100031,0,12,8,8,5,85
100032,0,794,8,91,4,55
100033,1,2,8,91,4,55
100034,1,5,7,37,6,12
100035,0,22,7,7,2,24
100036,0,3,3,73,2,40
100037,2,1,1,8,5,82
100038,3,360,9,11,9,76
100039,0,3,3,45,5,45
107834,1,950,7,52,6,33
93505,2,40,7,0,6,83
90480,3,112,7,25,6,1
90481,2,187,7,73,2,40
90482,0,951,7,83,6,1
90483,3,35,8,71,4,4
90484,126,2264,7,60,6,98
90485,2,13,7,60,6,58
90486,2,53,8,71,5,81
90487,0,48,7,25,6,33
90488,3,284,8,64,2,90
90489,2,19,7,83,6,98
112932,2,1,8,48,5,71
112933,1,5,7,48,6,71
112930,2,44,1,28,5,41
112931,0,1,7,45,2,43
112936,2,30,8,71,4,81
112934,2,1,6,50,5,31
112935,1,2,8,31,4,4
109583,2,68,7,68,8,24
109582,1,5,8,79,2,70
91290,3,157,7,7,2,60
109580,0,52,7,67,2,51
91296,8,97,8,8,5,12
109586,2,30,1,63,0,64
109585,0,12,3,63,8,64
109584,1,2,3,63,8,64
94569,0,22,7,52,6,33
94568,10,952,8,94,5,12
94567,0,22,7,52,6,33
94566,2,100,7,48,6,71
94565,1,7,3,67,2,21
94564,2,90,8,64,5,90
94563,0,3,8,8,5,90
109589,2,68,8,8,5,85
94561,0,50,7,25,6,9
94560,3,232,3,81,3,73
91299,0,1606,3,81,3,73
2540183,126,2264,8,91,4,55
1304346,126,2264,8,31,4,4
97917,0,1,7,96,6,96
97916,3,356,3,7,2,60
97915,0,36,7,37,2,61
97914,2,382,8,91,4,55
97913,3,954,7,7,2,60
97912,126,2264,7,7,2,60
97911,0,36,7,23,6,18
97910,0,1211,8,8,2,12
97919,2,2,8,31,4,4
97918,2,13,8,8,5,85
92248,2,742,8,7,2,60
92249,2,102,8,8,5,85
95218,0,3,7,7,2,59
92240,0,192,7,94,2,59
92241,0,12,7,25,2,43
92242,126,2264,7,94,2,59
92243,0,3,7,92,2,61
92244,0,3,7,7,2,43
92245,6,87,8,79,4,70
92246,0,185,7,7,2,59
95211,2,13,8,64,4,90
96242,0,50,7,39,6,98
111560,1,2,1,97,0,22
111561,1,5,7,37,2,59
111562,2,0,3,39,9,53
111563,2,1,8,92,2,61
2679203,2,30,1,80,0,99
2679202,2,1,1,73,0,40
2679205,126,2264,8,80,5,82
2679204,1,2,7,96,6,96
104258,0,957,8,8,5,90
104259,0,10,3,53,8,35
93119,126,2264,8,92,5,12
93118,2,958,9,11,9,74
104250,2,1,3,95,6,23
104251,2,7,8,8,5,90
93111,2,102,8,64,4,90
93110,2,1848,7,60,2,58
93117,0,1,8,72,5,89
93116,2,141,7,59,6,9
104256,0,12,8,90,2,61
104257,2,1,7,59,6,9
98129,3,352,7,59,6,9
98128,0,3,8,31,4,4
98123,2,22,7,59,6,9
98122,2,13,1,87,0,79
98121,2,1,7,59,6,9
98120,126,2264,7,33,6,78
98127,1,3,7,25,6,9
98126,0,12,9,99,9,62
98125,2,1,7,37,6,75
98124,1,2,8,8,5,80
110215,1,30,8,8,5,85
110214,2,1,7,96,6,28
110217,1,1,7,18,6,1
110216,1,2,7,59,6,9
110211,126,2264,7,94,6,59
110210,1,5,7,33,6,78
110213,1,2,7,73,0,40
110212,1,2,3,46,3,91
110219,2,1,9,11,9,93
110218,2,1,8,64,4,4
106098,3,2,8,8,5,12
106099,1,1,8,31,4,4
106095,2,74,7,73,6,40
106096,2,7,7,94,6,75
106097,1,3,8,91,4,55
106090,2,7,8,91,4,55
106091,1,2,7,48,2,71
106092,0,5,7,79,2,70
102968,0,12,7,7,2,59
102969,0,10,7,7,2,59
102964,2,7,7,94,6,75
102965,1,1,7,60,8,58
102966,0,2,7,32,6,9
102967,2,961,8,31,4,4
102960,0,3,7,7,2,59
102961,0,3,8,8,5,90
102962,2,3,3,23,2,18
102963,0,12,7,78,6,30
98709,2,29,7,25,6,24
2388869,0,3,3,39,0,53
873660,0,1,7,59,6,1
98708,2,705,7,52,5,33
873668,1,2,7,59,6,9
873669,1,83,3,18,6,66
93805,0,35,8,31,4,4
93804,0,52,8,52,5,90
93807,2,432,7,65,6,49
93806,0,22,7,47,6,98
93801,0,3,1,87,0,79
93800,2,964,3,18,8,84
93803,2,13,7,59,6,9
93802,0,3,7,73,2,40
93809,0,7,7,0,6,83
93808,2,292,9,11,9,74
105611,0,965,7,73,2,40
105610,0,966,8,7,2,60
105617,126,2264,3,73,2,40
98705,2,25,3,7,2,59
105615,2,1,8,90,4,61
105619,1,2,3,25,8,24
105618,0,1,7,11,6,74
102340,2,213,7,11,6,74
102341,126,2264,8,8,5,12
102342,0,229,7,7,2,59
102343,0,21,7,37,6,75
102344,2,391,1,87,0,79
102345,2,1,9,11,6,74
102346,2,1,7,33,6,33
102347,0,21,7,92,6,61
102348,2,139,3,73,6,40
102349,2,25,8,8,5,85
3205768,126,2264,3,37,4,71
3205767,126,2264,8,8,5,85
112217,0,1,7,23,6,18
112216,17,5,3,83,2,0
112215,1,2,7,78,6,30
112214,1,1,7,60,6,58
112213,0,1,7,96,5,28
112212,0,68,8,91,4,55
112211,2,68,3,60,8,58
112210,1,2,1,87,0,79
112219,1,83,7,83,6,98
112218,1,5,7,52,6,33
2390042,0,50,3,72,8,89
109879,2,44,8,91,4,55
109878,0,22,6,46,7,91
109873,2,422,7,52,6,33
109872,1,2,7,52,6,33
109871,1,5,8,8,5,85
109870,1,5,3,68,8,24
109877,1,5,9,99,9,62
109876,1,2,7,92,6,61
109875,0,10,3,78,8,30
109874,1,83,0,3,3,19
85571,3,967,1,87,0,79
103761,2,1,7,37,2,59
103760,2,259,9,9,9,47
103763,2,68,8,90,2,80
91233,3,1,8,64,2,85
103765,1,5,7,7,2,59
103764,2,44,7,88,2,75
91236,2,18,7,67,2,30
91237,0,48,7,59,6,9
