,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000
117862,0,0,0,0,0,4
117866,0,0,0,0,0,4
98276,0,0,0,0,0,4
86578,0,0,0,0,0,4
85885,0,0,0,0,0,4
89282,0,0,0,0,0,4
84860,0,0,0,0,0,4
85055,0,0,0,0,0,4
85053,0,0,0,0,0,4
95688,0,0,0,0,0,4
95303,0,0,0,0,0,4
112301,0,0,0,0,0,4
108032,0,0,0,0,0,4
111823,0,0,0,0,0,4
92745,0,0,0,0,0,4
100144,0,0,0,0,0,4
93175,0,0,0,0,0,4
89128,0,0,0,0,0,4
103356,0,0,0,0,0,4
103359,0,0,0,0,0,4
97052,0,0,0,0,0,4
117981,0,0,0,0,0,4
92344,0,0,0,0,0,4
92349,0,0,0,0,0,4
92961,0,0,0,0,0,4
96046,0,0,0,0,0,4
106247,0,0,0,0,0,4
108914,0,0,0,0,0,4
107627,0,0,0,0,0,4
84811,0,0,0,0,0,4
108267,0,0,0,0,0,4
103628,0,0,0,0,0,4
103622,0,0,0,0,0,4
85485,0,0,0,0,0,4
85480,0,0,0,0,0,4
85736,0,0,0,0,0,4
85731,0,0,0,0,0,4
146554,9,59,60,4,59,58
87642,0,0,0,0,0,4
87646,0,0,0,0,0,4
118223,4,39,40,2,4,28
95714,0,0,0,0,0,4
98765,0,0,0,0,0,4
104541,0,0,0,0,0,4
104544,0,0,0,0,0,4
104545,0,0,0,0,0,4
799975,0,0,0,0,0,4
98189,9,32,35,4,59,58
85809,0,0,0,0,0,4
103789,0,0,0,0,0,4
87988,0,0,0,0,0,4
86059,0,0,0,0,0,4
2442451,0,0,0,0,0,4
101434,0,0,0,0,0,4
110922,0,0,0,0,0,4
97290,0,0,0,0,0,4
99659,0,0,0,0,0,4
109344,0,0,0,0,0,4
111242,0,0,0,0,0,4
107371,0,0,0,0,0,4
101231,0,0,0,0,0,4
85218,0,0,0,0,0,4
103611,0,0,0,0,0,4
85215,0,0,0,0,0,4
105267,0,0,0,0,0,4
108574,0,0,0,0,0,4
88213,0,0,0,0,0,4
101574,0,0,0,0,0,4
101570,0,0,0,0,0,4
87466,0,0,0,0,0,4
98802,0,0,0,0,0,4
86338,0,0,0,0,0,4
2409992,0,0,0,0,0,4
1088002,0,0,0,0,0,4
98477,0,0,0,0,0,4
104078,0,0,0,0,0,4
88978,2,11,31,4,79,79
96204,0,0,0,0,0,4
