,mod,wt,km_10,km_100,km_1000,gmm_10,gmm_100
87507,126,2264,9,69,380,3,4
87506,0,496,4,85,821,3,4
87501,126,2264,4,12,530,8,3
87500,2,44,9,22,681,2,69
87503,0,3,4,31,436,4,74
87502,126,2264,4,63,120,0,90
127899,1,2,4,12,775,7,78
127898,1,2,4,12,338,5,0
84977,126,2264,4,12,391,2,77
84976,126,2264,4,12,162,9,78
84971,2,517,4,12,942,2,86
84970,126,2264,4,1,504,5,79
84973,126,2264,4,4,439,4,52
97028,3,41,4,12,508,2,69
97027,2,40,4,75,195,0,42
97026,2,40,0,34,627,5,97
97025,2,13,4,60,820,4,56
88222,3,1354,4,31,888,8,0
97023,1,1,5,11,283,3,49
97022,126,2264,4,12,162,4,22
97021,2,1,3,96,14,1,89
88226,126,2264,4,93,660,5,47
100650,3,112,4,12,390,4,67
100651,1,2,4,60,525,2,17
100652,0,35,4,12,476,9,94
100653,0,12,4,12,10,9,92
100654,0,12,4,50,617,1,95
100655,2,664,4,12,856,6,91
100656,0,1,4,8,140,9,40
100657,0,3,4,72,397,7,36
100658,2,13,4,72,964,7,36
100659,0,21,4,65,631,3,72
90558,2,13,4,38,23,5,13
90559,3,519,4,63,270,9,28
90556,2,129,4,54,61,0,42
90557,0,1,4,54,912,0,42
90554,0,520,9,73,151,7,74
90555,2,9,4,12,9,0,37
90552,126,2264,4,76,821,3,4
90553,2,30,4,85,256,4,88
90550,0,521,4,21,339,3,92
90551,2,382,9,88,687,1,57
96864,0,12,4,21,511,5,62
96865,2,9,4,21,742,5,62
96866,2,25,4,71,764,0,37
96867,0,3,4,12,256,4,56
96860,3,522,4,12,162,6,56
96861,0,33,9,58,116,2,74
96862,0,3,4,12,198,3,72
96863,2,1,4,12,868,2,74
96868,2,76,4,74,88,9,44
96869,3,5,4,12,868,3,74
1577306,2,128,4,76,217,3,28
90084,0,12,4,5,406,4,22
90085,14,1464,9,58,116,2,74
90086,2,90,4,12,581,4,52
90087,1,5,4,62,236,9,14
90080,2,777,4,12,476,4,97
90081,2,302,9,10,959,2,23
90082,2,139,4,12,162,6,7
90083,2,962,4,63,270,9,54
90088,3,523,0,37,649,5,26
90089,4,524,4,5,637,4,0
1853063,2,382,9,82,580,3,74
112828,2,68,4,19,127,3,53
112829,1,2,4,2,683,8,20
112824,1,59,9,77,989,1,19
112825,1,5,4,89,476,4,22
112826,2,1,9,25,659,6,17
112827,2,1,4,94,863,5,26
112820,0,12,4,12,113,9,61
112821,1,2,4,12,244,4,52
112822,0,36,4,31,304,0,71
112823,1,2,4,12,868,2,74
1992717,1,2,9,58,116,2,74
94709,126,2264,4,89,558,6,18
94708,1,1,4,12,162,2,77
94707,0,22,4,75,962,0,42
94706,0,50,4,12,868,3,81
94705,2,9,5,30,355,2,70
94704,2,139,4,76,871,3,74
94703,2,13,2,9,545,4,80
94702,23,1669,4,85,405,0,4
94701,0,275,4,12,754,0,32
94700,2,29,4,54,912,0,60
92797,126,2264,4,12,637,7,74
1087770,0,526,9,22,413,2,45
1087773,2,13,4,89,575,4,17
95078,0,3,4,12,338,9,61
2465894,126,2264,4,43,332,2,86
95076,0,36,5,11,625,4,22
95077,2,379,7,94,156,5,33
95074,0,12,4,12,635,2,67
95075,0,3,4,12,244,9,28
95072,0,12,9,73,989,7,65
95073,126,2264,4,16,576,3,74
95071,0,3,4,12,162,2,74
101161,0,21,4,60,701,2,56
111709,0,12,4,12,440,9,21
94649,2,128,0,15,129,0,32
101160,0,3,4,12,817,2,95
89899,3,527,4,12,663,6,54
89898,0,528,4,16,576,3,74
89895,3,365,4,12,406,4,22
89894,0,1,4,12,821,3,37
89897,2,529,4,12,749,3,26
89896,2,530,4,72,397,7,36
89891,2,9,0,37,98,5,26
89890,23,199,0,37,98,5,26
89893,13,7,4,12,348,2,74
89892,2,13,4,85,483,3,28
142889,2,1,5,44,606,7,87
142888,2,1,4,8,563,9,61
142883,1,1,4,12,637,3,28
142882,0,36,4,89,323,2,64
142881,1,1,9,77,22,7,74
142880,1,2,4,4,579,4,56
142887,2,0,9,73,366,7,41
142886,1,2,4,49,499,2,88
142885,1,1,9,76,728,2,17
142884,1,2,4,62,839,3,14
102229,0,12,4,72,397,7,36
102228,2,635,4,12,430,9,99
90778,3,137,4,76,369,3,2
117957,1,5,4,62,40,3,14
117956,0,36,4,48,305,5,53
117955,2,1,4,41,972,2,77
117954,1,2,4,12,476,0,84
117953,2,44,7,52,702,0,46
117952,0,1,4,31,888,8,51
117951,126,2264,4,19,127,1,53
117950,1,1,4,85,143,9,28
117959,2,7,4,75,962,0,42
117958,1,2,4,22,320,2,8
104452,1,1,4,12,162,3,86
98349,40,1,4,12,561,0,32
98348,2,13,4,85,648,2,6
118131,1,2,4,21,600,4,62
98343,1,1,4,74,513,5,28
98342,2,13,4,12,548,1,99
98341,0,531,5,88,799,1,57
98340,0,36,4,21,600,4,62
98347,0,135,4,85,244,9,94
96145,0,22,4,12,232,4,97
98345,126,2264,4,12,143,9,96
98344,3,35,4,12,868,0,37
110075,1,5,9,10,183,2,64
110074,0,35,4,85,232,4,22
110077,1,1,9,10,5,2,17
92939,2,53,4,4,579,4,56
110071,38,1285,5,31,344,9,83
110070,1,5,4,38,23,5,13
110073,2,68,4,93,554,5,47
110072,2,1,9,58,191,2,74
92932,0,12,4,65,107,3,2
92933,0,3,4,31,945,0,36
92930,0,532,9,58,116,2,74
92931,0,3,4,16,576,3,74
110079,2,1,4,74,261,9,28
110078,2,1,9,82,296,3,19
92934,3,533,4,97,719,4,51
118135,1,1,4,76,309,7,17
104302,2,1,4,5,353,4,46
93040,2,90,4,85,9,4,55
96035,0,3,4,12,868,8,21
104301,2,2,4,12,162,4,81
96033,1,30,6,13,345,9,38
104307,1,12,4,12,50,6,86
93047,2,7,4,12,162,0,42
104305,0,12,9,76,726,3,92
93049,3,1467,7,52,533,9,16
93048,1,2,9,6,342,2,98
104309,1,1,4,49,635,2,48
96039,3,204,4,75,962,0,42
96038,2,534,4,12,476,6,56
101167,0,50,4,5,760,4,92
106238,0,1,2,29,38,4,80
106239,0,12,4,12,338,9,0
106234,126,2264,9,22,647,7,36
106235,0,1,4,75,826,0,91
106236,1,2,4,86,678,4,34
106230,1,2,4,62,634,3,99
106231,1,2,4,58,43,2,74
104977,1,1,4,66,295,5,47
104976,126,2264,4,30,651,0,92
104979,0,30,9,73,989,2,35
112537,0,36,9,73,845,3,84
97346,126,2264,4,12,476,9,97
97347,1,2,4,63,143,9,28
97344,0,35,4,12,942,6,74
97345,0,69,2,22,425,4,45
97342,0,105,4,12,763,0,92
97343,2,13,4,5,353,0,71
97340,1,3,9,22,331,4,45
97341,0,3,4,31,492,2,86
97348,1,2,4,85,946,7,8
97349,0,12,4,74,928,3,28
99120,2,427,9,37,318,5,26
99121,0,105,4,12,162,0,42
99122,0,1194,4,12,414,0,42
99123,2,1,9,49,130,3,99
99124,2,1,4,65,631,3,81
99125,0,536,4,12,754,0,90
99126,0,50,7,52,136,8,46
99127,2,7,4,63,270,9,54
99128,0,1,9,5,702,3,69
99129,3,537,4,65,631,0,32
107548,1,59,4,75,962,0,42
107545,0,52,9,35,593,2,6
107544,1,5,9,58,705,2,74
107547,1,1,4,74,261,9,9
107546,3,538,4,3,395,4,94
107541,0,35,4,31,325,7,11
107540,1,2,4,49,107,3,2
107543,1,2,4,85,694,1,70
101043,2,476,4,89,558,4,0
102078,0,3,4,38,496,5,13
102079,2,44,4,38,496,5,13
102072,0,12,4,89,575,2,39
102073,1,1,9,10,889,3,73
102070,2,13,4,12,414,0,42
102071,1,2,4,58,116,2,74
102076,0,10,4,58,43,2,74
102077,0,10,2,29,794,3,80
102074,2,30,5,44,503,3,37
102075,0,21,4,89,211,7,36
101041,1,2,4,60,525,4,17
98835,1,3,9,76,659,0,65
98834,1,3,9,25,659,3,4
98837,2,259,9,60,701,2,94
98836,2,14,0,37,35,5,26
98831,2,37,4,74,261,3,28
98830,2,76,4,12,775,5,31
98833,0,3,4,63,386,3,67
98832,1,12,9,25,133,2,17
98839,2,5,4,38,239,5,13
98838,2,21,4,88,91,2,57
108746,1,5,4,63,679,9,28
108747,1,5,4,74,261,9,28
108744,0,131,4,60,712,4,94
108745,1,5,9,25,380,2,74
108742,1,5,4,50,86,7,95
108743,1,2,9,10,5,1,94
108740,1,5,4,59,614,8,20
108741,1,5,4,12,162,4,56
104898,2,1,9,58,116,2,74
104899,2,539,4,12,548,0,70
104892,126,2264,9,88,793,2,57
104893,1,35,4,2,683,8,20
104890,1,5,9,7,210,7,73
104891,1,3,4,12,198,6,74
104896,1,2,9,50,501,2,95
104897,0,1,5,85,966,0,57
104894,1,1,4,60,728,2,17
104895,1,2,9,82,341,3,74
218178,2,1,4,31,232,4,97
1744922,2,189,4,12,406,4,97
108298,1,5,9,25,278,2,17
108299,1,2,4,49,10,3,28
108290,1,5,4,35,846,5,43
108291,0,52,4,12,406,4,97
108292,2,0,4,76,946,6,88
108293,0,52,4,12,823,2,74
108294,0,52,9,7,487,3,29
108295,1,5,4,12,50,6,7
108296,1,5,4,12,162,3,81
108297,1,83,4,12,476,3,37
106793,1,2,9,25,133,6,65
106792,1,2,4,76,871,9,65
106791,2,30,4,12,162,6,56
106790,2,30,4,12,581,9,61
106795,1,540,4,76,217,3,28
106794,2,541,7,52,285,9,87
218177,2,1,9,58,897,2,74
103679,2,542,9,36,972,3,69
103678,2,30,4,85,831,4,70
91588,0,12,9,58,116,2,74
91589,2,1021,4,10,959,4,94
103673,3,543,4,12,162,6,7
91587,0,48,9,76,871,7,26
91584,2,1734,4,76,868,3,35
91585,2,13,4,24,598,8,93
91582,126,2264,4,50,617,1,95
91583,0,1,4,12,391,2,77
103675,2,30,4,8,563,9,61
103674,0,10,4,70,886,8,43
1434992,1,5,4,31,216,4,51
103589,0,3,4,0,653,6,7
103588,2,7,4,31,232,4,97
105855,126,2264,4,4,910,8,82
105854,2,544,4,12,868,7,1
105857,1,2,4,12,123,6,98
105851,0,1,9,76,659,6,74
105850,126,2264,4,12,946,7,74
105852,126,2264,4,21,651,0,92
105859,2,1,4,93,640,8,51
105858,0,12,4,76,823,2,74
92583,126,2264,4,12,823,4,74
103585,2,13,5,11,811,4,22
92581,3,545,4,4,823,4,56
92580,2,9,4,31,395,4,18
92587,2,7,4,12,414,0,60
92586,0,1742,4,12,508,2,77
92585,0,3,4,65,731,3,99
92584,2,469,4,65,631,3,28
92589,2,53,4,71,267,0,60
92588,2,17,9,73,341,3,65
103587,2,0,4,10,548,0,95
103586,0,1,4,76,821,3,2
103581,2,68,4,12,86,7,95
103580,2,1,4,81,332,8,82
103583,2,1,4,72,592,7,36
103582,1,2,9,41,358,2,69
131159,2,0,4,36,690,1,77
131158,1,2,9,58,191,2,74
131157,2,1,4,31,823,8,39
131156,2,1,4,12,868,4,0
131155,1,1,4,10,848,2,69
131154,1,83,4,83,690,7,76
131153,0,30,4,12,162,6,42
131152,2,1,9,49,720,1,99
131151,1,2,4,41,940,2,69
131150,1,83,4,31,945,9,28
92059,0,1,4,76,659,6,17
100329,0,455,4,31,888,4,83
145646,1,83,9,30,555,2,69
110915,1,5,4,63,676,3,83
145640,1,83,5,11,625,3,49
145641,1,2,4,76,871,6,74
145642,1,1,4,76,853,6,74
145643,0,1,0,79,135,5,22
92051,3,1534,0,79,135,5,22
100321,0,10,5,11,344,9,12
92053,1,2,9,25,659,7,17
92052,3,1534,4,88,91,5,57
92055,2,9,4,71,557,0,37
145649,126,2264,4,12,99,6,40
110918,1,5,4,54,826,0,42
92056,2,1,4,10,322,4,34
95115,39,716,9,73,133,2,98
95114,1,5,4,5,153,0,51
90621,2,8,4,74,385,9,40
86924,0,22,9,73,341,3,35
86925,2,139,9,77,990,2,58
86926,2,548,4,73,847,3,81
86927,126,2264,4,12,764,3,84
86920,126,2264,9,7,821,3,4
86921,3,592,4,12,910,2,86
86922,126,2264,9,25,278,1,63
86923,2,549,4,60,5,2,17
86928,2,386,4,74,338,9,28
86929,126,2264,4,70,886,8,43
93936,4,550,4,3,70,9,28
95119,0,15,4,3,70,4,48
95118,1,30,4,50,242,1,95
93939,2,7,4,88,91,3,57
84786,126,2264,4,12,719,4,52
84787,126,2264,4,12,617,9,24
84784,126,2264,4,12,957,3,70
84785,126,2264,4,12,406,4,0
84782,126,2264,4,8,505,1,87
84783,126,2264,4,65,743,0,81
84780,126,2264,9,7,210,2,23
84781,126,2264,5,11,344,2,74
84788,126,2264,4,12,162,6,13
84789,126,2264,4,76,211,7,65
87329,126,2264,9,7,376,2,74
87328,2,551,4,85,9,4,97
87325,2,7,4,31,945,2,86
87324,126,2264,4,38,239,5,13
87327,2,44,4,12,631,0,90
87326,2,290,4,12,690,7,76
87321,126,2264,9,10,897,2,86
87320,2,336,5,11,936,2,64
87323,0,10,4,93,554,5,47
87322,2,552,4,31,823,4,91
85789,126,2264,4,60,63,4,94
85788,2,553,0,15,893,0,90
85785,126,2264,4,36,727,2,74
85784,126,2264,4,16,576,3,74
85787,2,3,4,12,823,0,13
85786,126,2264,4,12,528,6,54
85781,126,2264,4,94,146,5,33
85780,2,1041,4,75,61,0,42
85783,1,1,4,12,942,6,86
85782,2,9,4,2,630,6,54
2678468,2,2,4,85,9,9,13
2678466,1,5,4,12,933,6,7
2620825,126,2264,4,12,440,4,0
2620829,126,2264,4,12,162,6,74
2620828,126,2264,9,77,22,2,17
86498,2,555,4,21,175,4,62
86499,126,2264,4,93,640,8,51
86494,2,44,9,7,52,3,73
86495,0,556,4,1,944,7,11
86496,126,2264,4,8,140,9,40
86497,2,557,9,76,753,4,72
86490,0,52,4,12,211,7,65
86491,126,2264,4,12,868,5,31
86492,2,558,4,63,581,4,54
86493,2,559,4,4,579,4,0
88928,2,42,4,12,946,4,36
88929,3,972,9,25,278,6,74
88926,126,2264,4,16,103,3,86
88927,2,560,4,12,576,3,74
88924,2,281,4,30,355,4,22
88925,126,2264,4,12,576,2,86
88922,0,12,9,73,151,2,54
88923,2,30,4,12,856,6,5
88920,126,2264,9,82,580,7,19
88921,126,2264,4,88,91,3,57
86148,0,1,4,88,244,3,57
86149,1,2,4,12,162,6,7
86142,126,2264,4,12,719,4,51
86143,46,450,4,31,544,8,47
86140,2,350,4,65,631,0,83
86141,0,561,5,44,811,3,37
86146,13,7,5,85,163,3,93
86147,0,156,4,5,760,4,92
86144,0,1,4,31,761,0,90
86145,2,562,4,31,761,0,90
103449,0,35,4,31,792,8,0
96231,3,387,4,43,942,2,86
96230,1,3,4,12,338,9,13
96233,0,12,4,3,70,0,83
96232,0,12,9,25,725,2,72
96235,126,2264,9,25,230,2,72
96234,0,30,9,25,662,2,36
96237,0,201,4,12,50,6,43
96236,3,62,4,74,985,9,44
96239,1,1,9,0,402,1,66
96238,2,9,4,12,957,3,13
1322284,2,563,4,79,226,4,97
89349,1,564,4,21,126,5,62
89348,2,1654,9,82,357,2,74
96589,2,189,9,73,580,2,74
96588,126,2264,9,82,580,2,74
96587,0,52,9,31,5,2,17
96586,2,13,4,12,123,6,56
89343,2,154,4,2,212,8,43
89342,15,347,0,34,365,5,97
89345,0,1,0,34,365,5,97
96582,0,50,4,12,973,8,43
89347,45,566,4,12,806,0,34
89346,0,1,4,12,816,8,78
88694,2,8,4,12,338,9,84
103531,1,5,4,76,717,1,93
103532,1,2,4,24,717,1,93
88697,2,242,4,76,910,2,64
88690,2,1,4,12,856,6,86
88691,2,1705,4,58,116,2,74
88692,2,798,9,58,897,2,74
103537,0,1,9,58,43,2,74
103538,0,21,4,12,50,7,98
103539,126,2264,4,12,406,4,97
88698,0,12,9,58,901,2,74
88699,0,12,4,4,256,4,56
111256,1,5,4,12,743,0,13
111257,1,83,4,60,728,4,94
97180,126,2264,4,59,370,8,47
97181,0,22,4,12,10,4,61
97182,2,475,4,12,123,9,89
97183,2,25,4,88,793,9,57
97184,2,9,4,10,405,3,84
97185,0,50,9,60,63,2,17
97186,0,12,5,58,43,2,74
97187,126,2264,4,85,43,2,74
97188,0,48,4,12,717,8,78
97189,126,2264,4,12,868,4,86
99322,1,5,4,12,162,6,74
99323,0,69,4,12,528,6,54
99320,126,2264,4,12,107,4,2
99321,1,5,9,25,897,2,86
99326,0,1,4,89,558,6,91
99327,2,25,4,76,50,7,79
99324,126,2264,4,31,888,4,83
99325,0,21,4,21,126,5,62
99328,0,12,5,50,264,1,95
99329,0,3,4,43,741,2,86
118279,2,13,9,58,741,2,74
118278,1,2,9,58,191,2,74
111258,1,5,9,69,642,2,74
118273,0,36,9,43,291,2,74
118272,0,1,4,12,957,9,0
118271,2,2,9,73,133,3,65
111259,1,83,4,66,295,5,47
118277,1,83,4,12,942,6,89
118276,1,5,4,5,353,3,96
118275,3,567,4,12,631,0,31
118274,1,2,4,90,822,9,96
99498,2,654,4,90,289,9,96
90328,0,1791,4,89,528,6,39
99490,0,3,4,74,88,9,28
90320,2,1,4,12,957,3,99
90323,126,2264,4,12,957,2,34
90322,2,57,4,95,167,2,64
99494,2,259,9,77,22,2,35
90324,3,1006,4,12,406,4,22
99496,1,1,4,12,406,4,22
99497,0,7,4,12,406,4,97
96595,0,1,4,76,632,6,77
100052,0,1,9,77,342,3,19
100053,0,12,2,29,38,4,80
100050,2,50,9,25,103,3,35
100051,2,13,4,63,143,3,96
100056,1,5,3,61,8,9,61
100057,2,1231,4,75,962,0,42
100054,1,3,4,31,395,0,34
86125,2,9,9,35,779,2,64
100055,2,1,4,76,637,3,73
103446,0,12,9,99,52,2,74
86123,42,728,4,31,945,4,51
103729,3,1,4,12,212,8,20
1992692,126,2264,4,29,549,1,2
103447,2,9,5,6,283,2,49
112091,2,30,4,21,760,4,62
98904,0,1,4,12,476,4,34
98907,2,427,4,12,946,3,13
98906,0,22,9,58,191,2,74
98901,2,76,4,12,942,2,74
98900,2,427,4,12,868,7,37
91748,2,42,9,74,143,1,28
91749,126,2264,5,7,602,2,98
106809,1,5,5,88,655,2,57
106808,1,5,4,31,888,9,83
98903,1,1,5,11,597,1,12
94518,55,1812,5,35,648,2,6
94519,62,2,4,76,871,6,98
106803,1,5,4,12,632,6,17
91741,2,9,4,31,945,4,97
91742,2,609,4,75,962,0,42
91743,2,44,3,96,661,9,9
106807,2,68,4,31,735,2,23
106806,0,10,4,21,339,4,62
106805,2,30,4,12,476,9,92
91747,2,57,4,74,928,9,28
97966,1,12,4,12,530,8,15
97967,0,3,4,19,127,4,53
97964,3,7,5,44,503,3,37
97965,0,3,7,70,886,8,43
97962,0,10,4,0,346,9,40
97963,2,1,4,66,431,5,3
97960,0,1,7,52,533,8,93
97961,0,1,4,85,632,2,64
97968,2,572,4,31,517,8,10
97969,126,2264,4,72,51,7,36
92219,7,573,4,76,728,2,17
92218,0,12,0,37,351,5,26
92213,3,268,4,55,211,3,84
92212,0,56,9,31,492,2,17
92211,3,574,4,31,693,4,83
92210,0,22,9,73,341,3,74
92217,126,2264,9,73,341,3,74
92216,7,2,4,30,644,4,22
92215,0,3,9,88,810,2,74
92214,2,141,4,98,795,0,60
111515,1,2,4,54,672,0,42
111514,1,2,4,74,900,3,84
111517,1,5,4,12,761,0,91
111516,0,36,4,12,406,4,97
111511,1,1,4,63,270,4,48
111510,1,1,4,12,123,6,33
111513,2,68,6,13,345,9,38
111512,0,575,9,76,320,1,8
104183,2,1,5,6,547,2,74
1210205,2,274,9,51,37,3,73
87595,0,681,5,11,344,9,91
99861,0,1,4,88,687,9,57
99860,3,1,4,74,372,9,28
99863,0,12,5,48,462,1,50
99862,2,427,2,29,794,4,2
99865,0,10,2,29,794,4,18
99864,0,794,9,76,515,7,74
99867,3,360,5,85,163,9,40
99866,0,33,4,85,9,9,28
99869,0,35,4,2,258,8,20
99868,1,3,4,4,256,4,31
104513,1,1,4,88,91,4,57
104512,2,80,4,38,23,5,13
104511,0,10,4,75,962,0,42
104510,1,1,4,12,162,6,17
104517,0,1,4,56,714,5,55
104516,2,13,4,12,618,5,99
104515,2,1,9,60,63,2,17
104514,1,5,9,25,380,2,45
104519,1,5,9,25,747,2,45
104518,1,1,9,60,63,2,17
105646,2,30,9,65,631,3,72
105647,53,579,4,45,459,5,71
3170730,126,2264,4,29,549,7,2
107738,1,2,4,85,9,6,9
107739,1,2,4,12,406,4,97
107732,2,30,4,8,563,9,61
107733,1,1,5,44,737,3,87
107730,1,2,4,48,157,5,50
107731,1,5,4,31,823,4,51
107736,1,2,4,10,10,9,94
107737,1,5,4,74,143,9,94
107734,1,1,4,12,581,4,48
107735,1,1,4,59,69,8,43
109828,1,2,0,34,434,5,97
109829,0,21,4,89,337,6,54
109820,1,5,4,12,391,2,83
109821,2,2,4,74,143,9,28
109822,2,1,4,74,928,1,28
109823,1,30,4,31,888,3,83
109824,0,12,9,22,762,2,74
109825,1,2,4,49,693,1,88
109826,0,1,9,76,810,2,74
109827,31,1,4,54,672,0,32
112798,2,1,4,12,424,4,22
112799,0,1,9,73,774,3,19
112796,0,52,5,11,625,6,12
112797,2,1,4,12,764,3,13
112794,1,2,4,12,430,9,99
112795,1,83,9,25,278,6,39
112792,1,5,5,85,599,1,6
112793,1,5,9,58,116,2,74
112790,48,580,0,15,129,0,32
112791,1,5,4,75,250,0,42
93517,2,53,4,56,550,5,55
93516,2,13,5,30,355,4,22
101220,0,12,4,31,395,4,22
100429,0,3,0,34,434,5,97
93514,2,9,0,79,55,5,97
100423,0,35,4,8,293,9,40
101226,2,76,4,75,195,0,42
100421,2,13,0,34,969,5,97
100420,0,69,4,12,162,6,10
100427,3,2,4,31,492,4,97
100426,54,309,5,11,625,9,12
100425,126,2264,4,5,140,9,89
101227,0,3,4,12,369,4,2
101224,2,635,9,58,880,2,74
108158,1,5,9,25,230,3,74
108157,1,1,4,63,581,9,40
108156,2,30,4,10,728,2,17
108155,1,2,4,89,212,6,39
101225,0,1,4,12,816,8,43
108153,1,5,4,12,406,4,97
108152,2,1,4,76,72,2,74
108151,1,5,4,12,548,0,42
108150,1,2,4,75,962,0,13
867657,0,1,4,12,162,0,42
1095862,0,3,9,85,596,7,63
103517,2,68,4,19,4,4,53
91263,15,582,4,12,306,6,77
91262,2,289,4,38,23,5,13
91261,3,7,9,58,43,2,74
91260,2,13,0,15,862,0,32
91267,0,1,9,10,594,2,86
91266,2,1,4,74,985,9,44
103738,0,1,4,54,267,0,60
103739,2,67,4,12,258,6,7
103736,2,9,4,12,868,3,81
103737,2,583,4,12,267,0,60
103734,2,1,5,85,354,6,61
103735,1,2,4,22,409,7,36
103732,2,44,4,12,174,7,36
103733,0,44,4,72,475,5,36
103730,2,14,4,4,256,4,56
103731,126,2264,4,97,544,8,20
103431,2,68,6,62,40,9,14
100289,0,3,4,12,609,9,44
100288,1,5,0,17,115,5,15
100287,1,5,4,98,87,0,42
100286,1,2,9,76,753,2,74
100285,0,35,4,93,554,5,47
100284,0,1,4,85,354,4,37
100283,2,150,5,85,966,6,60
100282,0,33,4,65,392,3,81
100281,2,13,4,2,105,8,20
100280,1,1,4,5,285,9,28
103435,3,949,4,21,760,5,92
103434,1,2,4,12,558,6,5
103437,1,5,4,60,63,2,94
101770,2,14,4,31,945,9,0
101771,2,102,9,60,820,2,17
101772,0,36,4,97,973,8,3
101773,1,5,4,70,886,8,43
101774,2,1,4,12,162,9,28
101775,0,36,4,85,831,4,56
101776,0,36,4,29,107,4,2
101777,0,10,5,11,625,9,56
103888,1,5,4,97,863,5,33
103889,1,1,5,44,534,9,9
87958,2,235,5,44,811,9,9
87959,2,586,4,31,945,0,10
103880,0,3,4,10,5,2,17
87957,0,1,1,55,101,3,4
87954,126,2264,4,58,741,2,74
87955,126,2264,5,11,344,2,77
103884,2,44,4,62,236,0,14
87953,126,2264,5,85,354,7,76
87950,126,2264,9,25,747,4,17
103887,1,2,4,76,151,6,17
96064,2,13,9,76,680,2,74
101482,0,1,4,54,267,0,60
101483,0,3,9,99,368,2,98
101480,1,3,4,21,829,6,92
101481,0,1,4,2,258,8,25
101486,0,36,4,12,414,0,90
101487,0,3,4,12,476,6,32
101484,0,1,4,12,370,6,20
101485,0,1,4,12,520,6,86
101488,0,12,4,76,101,7,65
101489,2,5,4,75,962,0,42
96065,3,567,4,12,325,3,98
94096,2,588,4,12,9,4,56
96066,0,62,4,0,460,6,66
85082,126,2264,4,12,162,4,52
85083,126,2264,4,2,199,8,20
85080,126,2264,4,12,198,6,39
85081,126,2264,9,25,648,2,64
85086,126,2264,4,58,43,2,74
85087,126,2264,4,76,50,2,86
85084,126,2264,4,71,634,0,13
85085,126,2264,9,82,493,3,35
85088,126,2264,4,12,520,4,56
85089,126,2264,4,12,99,9,40
96067,1,241,9,7,368,3,73
111840,2,1,4,0,346,6,40
2670966,2,1,4,66,954,5,3
2670965,1,2,4,38,23,5,13
90964,0,333,4,59,319,8,51
96062,126,2264,4,81,332,2,82
85626,2,974,4,12,900,3,84
85627,2,485,4,31,823,2,74
85624,2,660,4,8,293,9,40
85625,126,2264,4,97,336,0,33
85622,126,2264,5,11,625,0,12
85623,2,9,4,19,652,4,20
85620,2,57,4,30,284,4,52
85621,3,1,4,40,473,5,15
85628,2,9,4,40,473,5,20
85629,2,9,4,31,203,3,99
96063,0,1,4,12,430,9,81
108830,1,2,4,85,831,6,40
89991,0,215,4,12,529,9,89
89992,2,37,4,59,319,4,51
89993,0,35,4,12,581,6,40
89994,2,7,4,76,785,5,47
89995,3,1119,9,21,532,5,92
89996,126,2264,4,49,758,8,3
108837,1,1,4,31,395,4,97
108838,1,5,4,31,698,9,28
108839,1,5,4,60,701,4,94
87178,126,2264,4,97,200,8,3
87179,2,590,4,12,957,9,0
87174,2,591,5,11,843,9,9
87175,0,52,4,12,338,9,89
87176,2,1903,4,89,856,5,39
87177,1,1,2,29,549,4,80
87170,126,2264,9,58,116,2,74
87171,126,2264,9,58,485,2,74
87172,126,2264,4,59,614,8,43
87173,126,2264,4,12,933,6,31
87816,126,2264,4,72,592,1,36
118459,1,3,4,31,634,0,99
118458,1,5,4,31,917,0,90
118453,2,2,4,22,965,4,51
118452,1,1,4,12,258,6,54
118451,0,52,5,38,812,5,13
118450,2,1,4,38,812,5,13
118457,2,30,9,73,594,7,74
118456,1,5,5,6,361,3,49
118455,1,5,4,76,942,2,74
118454,0,36,7,52,77,8,43
97036,1,3,4,70,45,8,43
87810,3,1804,4,76,753,2,86
97037,126,2264,4,36,452,2,77
95951,0,35,4,31,395,4,74
95950,2,76,4,12,162,6,7
95953,0,9,4,12,244,4,31
95952,0,3,4,88,91,4,57
95955,0,12,4,12,162,7,36
95954,0,3,4,10,633,2,69
95957,2,189,4,12,162,9,97
95956,2,3,9,60,63,2,17
95959,0,12,4,76,871,6,17
95958,2,475,9,60,63,2,17
88719,2,382,4,89,378,0,39
88718,2,595,9,73,774,7,74
97777,0,596,5,41,316,2,69
88711,0,22,9,25,659,6,98
88710,126,2264,4,72,592,7,36
88713,2,97,4,31,492,2,91
88712,2,7,4,4,284,4,71
88715,0,3,4,90,289,9,96
88714,8,97,4,12,162,6,7
88717,9,99,4,16,576,2,29
88716,126,2264,7,5,285,8,93
801110,1,2,4,72,964,7,36
97773,2,13,4,12,823,4,90
94338,1,2,4,63,985,3,44
94339,2,13,4,89,867,8,47
94336,2,90,4,63,270,4,90
94337,0,1,4,12,162,6,18
94334,1,7,4,12,867,8,47
94335,2,61,4,12,9,9,28
94332,0,5,4,30,74,4,51
94333,0,36,4,63,260,0,28
94331,15,347,5,11,811,9,28
90828,2,3,9,58,897,2,74
90829,0,9,9,25,845,2,74
90826,3,1006,4,12,637,4,31
90827,0,52,4,12,775,4,31
90824,0,3,4,59,69,5,78
90825,2,598,4,71,651,0,37
90822,2,599,4,10,492,4,97
90823,3,600,4,10,322,6,52
90820,2,13,9,77,22,7,19
90821,2,1,4,21,339,1,92
