,mod,wt,km_10,km_100,km_1000,gmm_10,gmm_100
102947,2,1,7,52,585,9,10
102945,1,2,4,5,353,6,43
102948,0,12,4,65,218,3,59
102949,0,35,5,24,124,1,93
102366,3,1,9,25,96,6,39
102367,2,79,4,85,354,7,63
102364,2,80,0,37,649,5,26
102365,2,81,4,88,244,2,74
102363,2,14,5,8,290,1,89
102360,0,82,4,76,50,8,34
102368,0,22,4,5,867,8,47
102369,0,3,0,15,893,0,32
107703,0,36,4,12,151,0,81
107702,0,36,4,12,856,8,39
107701,1,5,1,18,190,7,65
107707,1,5,5,6,415,7,49
107706,1,5,4,29,107,3,16
107705,1,5,4,89,119,6,39
107704,2,68,4,55,101,3,65
107709,1,5,0,15,16,0,32
107708,126,2264,4,84,160,6,5
91950,0,21,4,62,454,3,99
112239,1,83,0,67,992,0,15
112230,2,1,4,1,174,7,79
811779,0,1,4,85,928,9,40
108104,1,5,9,82,692,3,19
108107,2,67,4,12,10,9,44
108100,1,5,4,12,338,9,61
108102,1,1,1,18,190,7,65
108103,2,21,4,89,160,8,54
109855,1,5,4,71,49,0,84
109857,0,36,9,71,847,3,37
109856,0,84,4,84,160,2,8
109859,2,1,4,84,814,7,5
109858,2,13,4,59,370,8,51
100131,0,33,4,5,702,9,46
100130,0,3,9,41,940,2,77
100133,2,13,4,85,764,0,84
100132,1,3,4,65,631,0,32
100135,0,1809,4,5,353,7,31
100134,2,13,4,76,753,3,86
103706,2,88,4,53,894,8,3
103705,1,5,5,44,872,1,87
103704,2,1,5,19,620,1,53
103703,2,30,9,82,382,1,19
103702,1,2,4,19,127,3,53
103701,1,5,5,11,503,9,60
103700,0,21,5,44,503,3,65
100136,0,1,4,12,256,4,31
103709,2,89,4,12,244,3,57
103708,1,2,4,12,217,3,28
111955,2,1,9,10,889,3,23
111954,1,5,4,76,306,3,72
111957,1,2,4,63,900,3,28
91219,2,13,9,82,493,3,19
111951,1,5,4,89,946,2,64
111950,1,5,4,36,41,2,69
111953,1,5,4,41,41,2,69
111952,1,5,9,25,470,7,72
91212,8,326,3,82,692,1,19
91213,2,69,4,23,708,1,44
91210,2,187,4,76,659,9,89
91211,126,2264,9,76,133,1,35
111959,1,83,4,92,79,7,11
111958,1,3,3,61,526,9,61
91214,15,32,4,97,336,8,51
91215,2,14,4,84,941,8,3
145770,1,2,4,12,19,3,99
145771,2,327,4,76,19,1,44
145772,2,2,4,12,10,9,61
145773,1,2,4,53,918,8,78
145774,1,5,7,33,892,8,10
145775,1,2,4,14,333,7,27
145776,1,5,4,54,61,0,42
101942,0,661,4,12,806,6,77
145778,0,10,9,80,667,7,63
101941,2,1483,9,77,381,3,19
101701,2,1,7,39,739,9,10
101700,126,2264,4,1,227,7,11
101703,0,12,4,98,795,0,42
101702,2,7,9,16,684,3,35
101705,2,7,4,23,556,9,44
101704,0,52,5,85,415,7,63
101707,0,35,9,77,381,3,19
101706,0,3,4,12,10,9,13
101709,0,12,4,53,894,8,43
101708,2,79,4,84,160,9,5
101946,0,12,9,25,470,7,58
87901,126,2264,4,85,899,6,74
87900,2,336,9,95,167,2,64
87903,2,13,5,44,737,9,87
87902,126,2264,4,12,353,4,52
109271,1,5,4,76,309,7,11
109270,1,2,4,76,853,6,11
87907,2,613,9,19,4,1,53
109272,2,1,4,8,563,9,61
87909,0,52,4,12,632,2,17
87908,2,7,4,12,729,7,4
101944,2,128,4,89,517,8,62
107286,2,1,4,41,940,2,77
107287,1,2,4,89,983,9,67
107284,126,2264,5,6,361,3,12
107285,2,13,4,12,162,0,91
92741,2,853,4,30,249,0,67
92740,2,18,9,25,230,3,74
92743,0,3,4,81,154,2,82
92742,2,358,4,12,162,6,7
92749,2,91,5,11,193,2,88
92748,0,35,4,8,140,9,89
107288,2,5,8,26,740,6,66
1379993,1,5,4,84,182,9,5
85678,0,1918,4,83,865,7,76
85671,1,1,4,12,795,0,91
85670,2,1477,4,43,348,2,82
85673,2,1,4,8,563,9,61
85672,1,1927,4,84,983,2,64
85675,0,548,4,5,353,7,79
85674,0,3,4,62,454,9,40
85677,0,1928,5,85,307,9,9
85676,2,215,9,73,774,1,35
87299,8,96,4,12,99,6,40
87298,0,97,9,7,210,3,74
87291,0,98,4,83,237,7,76
87290,126,2264,4,76,187,6,34
87293,126,2264,4,56,288,5,55
87292,126,2264,4,12,10,9,61
87295,126,2264,4,74,372,9,28
87294,9,99,5,85,966,0,84
87297,2,100,4,12,609,9,96
87296,0,101,4,76,187,3,28
1087669,1,1,4,12,198,2,77
1087668,1,5,4,12,430,0,60
1087667,1,1,4,76,187,7,63
1087666,1,2,9,67,975,0,72
1087665,0,52,4,10,19,7,8
1087664,2,0,4,2,877,8,54
1087663,0,1,9,69,380,2,64
1087662,2,7,4,90,289,9,96
1087660,0,12,4,62,236,0,14
108849,1,1,5,11,966,0,91
108848,1,5,4,12,123,6,39
89949,2,102,4,5,391,2,29
89948,0,103,9,30,26,2,34
89943,2,1249,4,89,211,7,36
89942,126,2264,9,25,470,7,35
89941,2,141,5,11,458,7,12
89940,0,405,4,12,424,8,34
89947,126,2264,4,58,741,2,74
89946,0,12,5,54,282,0,60
108847,1,59,4,43,741,2,74
108846,1,2,9,73,580,1,19
87127,2,104,9,85,547,9,9
87126,126,2264,4,5,353,9,40
87125,126,2264,4,66,954,5,3
87124,126,2264,4,85,572,1,70
87123,2,7,4,12,424,6,43
87122,126,2264,4,12,162,6,97
87121,2,9,4,12,868,3,95
87120,2,7,4,12,19,9,28
87129,3,28,9,14,438,7,27
87128,0,15,4,63,217,3,96
86656,126,2264,4,19,489,3,53
86657,2,428,4,41,41,2,77
86654,2,1,4,12,304,0,81
86655,3,429,4,76,633,2,64
86652,2,106,4,76,309,7,98
86653,2,107,4,1,174,7,11
86650,2,90,5,11,310,7,98
86651,10,108,4,12,19,9,32
95960,2,260,5,71,356,3,37
95961,2,90,4,89,321,6,54
95962,0,12,4,31,698,3,4
95963,2,3,4,10,30,9,96
95964,0,1,4,89,339,0,54
95965,2,13,9,73,720,1,35
86658,2,228,4,12,211,1,92
86659,0,52,4,12,19,0,67
89491,2,13,4,31,945,0,96
89490,2,416,9,73,774,7,8
89493,2,436,4,43,348,2,64
89492,2,205,4,75,250,0,42
89495,2,7,4,75,962,0,42
89494,2,1,4,12,338,9,61
89497,2,438,4,12,856,8,39
89496,0,22,7,91,565,8,10
89499,2,128,0,15,16,0,32
89498,2,438,5,7,666,3,12
88720,3,110,4,89,19,6,32
88721,126,2264,4,85,690,1,70
88722,0,1,4,89,558,6,39
88723,2,111,4,74,928,9,96
88724,126,2264,9,76,659,6,32
88725,3,112,4,89,19,6,40
88726,126,2264,4,84,160,9,39
88727,2,290,4,12,162,4,52
88728,92,1393,4,72,397,7,36
88729,126,2264,9,73,366,7,35
2539855,126,2264,4,76,10,9,40
1383636,1,5,4,54,61,0,42
91366,0,3,4,48,157,5,50
89235,3,2,4,1,174,7,36
89234,2,113,4,12,536,7,36
89237,12,114,4,12,162,6,77
89236,2,13,4,12,430,0,13
89231,2,115,4,12,957,3,96
89230,0,50,4,12,19,6,32
89233,13,35,9,69,96,2,72
89232,126,2264,5,11,163,9,28
89239,3,294,4,84,802,6,7
89238,2,8,9,36,245,2,77
96439,0,12,4,84,160,9,99
96438,126,2264,4,43,446,2,64
96433,0,116,4,30,249,2,34
96432,2,117,3,96,661,9,61
96431,2,30,9,25,753,3,74
96430,0,3,7,52,156,5,16
96437,2,9,4,23,169,9,44
96436,2,9,4,12,10,9,96
96435,0,22,4,22,965,4,74
96434,7,118,9,10,457,3,23
94361,2,721,4,12,933,6,54
94360,0,22,9,73,720,1,35
94363,2,102,4,90,289,9,9
94362,0,1,4,88,91,9,9
94365,2,348,4,84,928,9,40
94364,13,468,5,44,737,9,87
94367,7,5,4,5,416,0,10
94366,2,13,0,15,129,0,32
94369,2,50,4,76,806,8,93
94368,2,119,9,73,829,9,92
90871,2,25,4,21,548,1,92
90870,2,30,9,23,255,9,44
90873,2,2,4,12,19,7,9
90872,0,120,4,97,717,8,3
90875,2,121,4,12,162,6,7
90874,2,122,9,10,889,3,74
90877,2,470,4,84,318,5,26
90876,1,1,4,0,460,9,40
90879,0,1,5,82,296,3,44
90878,2,471,4,10,30,2,77
118307,1,2,4,10,30,9,96
118306,2,1,4,74,928,9,96
118305,2,1,4,74,900,3,84
118304,1,1,4,12,529,6,10
118303,1,5,4,12,618,0,13
118302,2,14,4,1,420,7,11
118300,1,2,4,12,162,6,7
118309,1,2,0,37,610,5,26
118308,2,1,4,74,301,9,28
90295,126,2264,5,11,872,1,87
90294,126,2264,4,12,162,6,98
90297,2,19,9,22,331,4,56
90296,0,36,9,22,331,2,45
90291,2,7,9,25,133,7,35
90290,0,3,0,37,479,5,26
90293,2,126,4,2,491,8,3
90292,2,127,9,82,580,1,19
101269,126,2264,4,74,928,9,9
90299,2,9,4,12,304,0,32
90298,2,9,4,75,962,0,42
101264,3,12,4,84,971,9,16
101265,2,3,4,12,454,5,99
97470,2,44,4,72,51,7,36
97471,3,502,7,52,533,8,10
97472,2,25,4,12,244,9,79
97473,2,132,5,83,865,7,76
97474,126,2264,4,12,754,0,32
97475,3,133,0,37,453,5,26
97476,1,2,4,70,991,8,43
97477,2,134,4,12,10,9,99
97478,0,135,4,31,748,4,92
97479,14,136,4,59,370,8,34
90123,3,137,4,66,954,5,3
90122,0,22,2,29,685,3,80
90121,2,79,4,12,476,7,63
90120,15,138,4,84,182,1,44
90127,2,13,9,77,381,1,35
90126,2,111,4,89,558,6,91
90125,2,1,4,12,99,6,40
90124,0,22,4,12,162,4,51
90129,2,139,9,22,409,7,36
90128,126,2264,4,12,211,3,28
95188,4,461,4,10,325,3,98
95189,2,9,4,89,558,6,39
95186,2,9,3,96,364,9,61
95187,2,140,5,85,471,1,2
95184,2,13,5,11,666,7,65
95185,0,3,4,49,72,2,8
95182,2,141,4,12,19,6,40
95183,2,13,4,12,561,0,32
95180,2,7,4,84,729,7,11
95181,2,141,4,2,491,5,5
2490153,126,2264,4,12,9,6,86
90500,16,142,4,12,10,9,40
91348,2,1,4,12,113,6,61
91349,126,2264,4,23,970,3,44
106487,126,2264,9,73,774,7,35
94678,2,13,4,12,10,9,96
91345,2,79,4,89,160,9,44
92515,0,1,4,14,438,7,27
106485,2,215,5,11,500,9,91
2093658,126,2264,4,87,256,4,67
106484,0,1,4,72,592,7,36
106483,2,30,7,52,585,8,10
96989,2,90,1,55,463,3,4
91341,2,42,9,82,382,3,19
2390269,1,5,4,12,637,0,81
106481,2,1,9,77,366,3,35
106480,1,2,4,85,480,6,77
91454,2,13,4,12,729,6,7
91455,2,35,4,89,910,2,82
91456,2,147,9,49,78,3,23
91457,2,148,9,51,363,3,73
91450,2,90,4,76,50,6,98
91451,2,149,4,89,558,8,54
91452,0,3,4,12,806,2,77
91453,3,150,4,10,314,6,40
91458,2,151,4,54,61,0,60
91459,0,22,4,12,673,6,7
95821,2,14,9,1,546,7,11
95820,23,1318,9,65,111,3,81
95823,0,22,4,84,182,8,5
95822,2,13,9,25,133,7,58
95825,7,5,5,11,934,2,12
95824,2,152,4,8,563,9,61
95827,2,57,4,10,690,7,76
95826,0,50,4,12,162,6,40
91982,126,2264,4,84,928,9,9
91983,2,97,9,82,493,3,19
91980,2,153,4,12,856,6,32
91981,0,3,9,69,670,6,58
91986,0,12,4,76,50,6,32
91987,2,7,4,90,289,9,61
91984,126,2264,9,72,596,7,36
91985,0,12,4,85,354,0,40
91988,3,155,4,85,983,6,67
91989,0,156,4,62,454,5,99
110518,1,5,4,5,323,5,36
110519,0,30,4,12,19,6,36
110512,1,1,5,11,551,3,65
110513,2,1,3,96,364,9,61
110510,1,59,0,67,992,0,15
110511,2,1,5,44,737,3,44
110516,1,1,4,78,194,0,60
110517,1,3,4,88,91,4,62
110514,2,1,4,12,162,6,7
110515,0,21,4,63,270,8,10
93589,1,3,4,74,217,3,28
93580,2,14,9,74,427,9,28
93581,0,22,9,22,762,2,74
93582,0,158,5,44,534,9,87
93583,3,159,9,7,487,3,23
93584,2,151,4,76,50,6,64
93585,2,13,4,5,353,7,79
93586,2,86,9,69,670,6,58
93587,2,160,4,10,959,6,1
112040,0,12,4,53,894,8,43
112041,1,1,9,7,457,6,98
92187,2,1,4,66,857,5,3
92186,0,3,4,12,314,6,40
92185,3,159,9,10,853,6,74
92184,3,2068,0,37,468,5,26
92183,126,2264,4,76,635,2,67
92182,0,3,9,99,52,3,73
92181,2,154,0,37,453,5,26
92180,3,161,4,10,406,4,22
92189,3,162,4,74,928,9,96
92188,2,129,4,5,353,9,40
104162,1,5,5,85,211,3,28
89611,8,97,5,11,356,0,19
104163,2,259,4,12,260,0,55
112049,1,2,5,11,599,3,84
98602,7,5,5,71,356,3,37
98603,0,33,5,71,356,3,37
98600,52,554,6,13,340,9,38
98601,2,76,4,19,652,3,69
98606,2,242,8,57,109,9,40
98607,0,1,3,96,661,9,61
98604,0,1,4,74,928,9,44
98605,2,427,4,89,558,9,40
98608,1,12,4,12,19,9,28
98609,18,164,4,12,10,9,28
85263,126,2264,4,89,575,9,39
107919,1,5,9,73,187,9,9
107916,2,1,4,35,94,2,6
107917,1,5,5,85,966,9,91
107914,0,21,4,1,309,3,35
107915,2,68,5,44,606,7,87
107912,1,83,5,85,966,9,60
107913,1,2,4,84,160,7,36
104759,0,1,3,96,364,1,9
104758,1,1,1,18,190,7,65
104751,1,1,9,72,51,7,36
104750,1,1,4,60,519,1,89
104753,0,167,9,36,245,2,29
104752,1,2,5,23,543,1,44
104755,1,1,9,74,615,9,28
104754,0,74,4,74,928,9,96
104757,1,22,4,76,776,2,64
104756,1,1,4,1,211,3,4
99959,2,8,9,25,133,7,72
99958,0,1,4,88,793,9,57
99955,0,12,4,74,88,9,28
99954,1,1,4,65,111,0,81
99957,0,169,4,12,162,6,7
99956,0,35,5,11,310,6,91
99951,1,2,4,85,743,0,60
99950,2,90,4,89,321,6,54
99953,126,2264,4,76,776,2,64
99952,0,12,4,46,949,3,59
101987,0,3,4,1,174,7,11
101986,2,1,9,48,510,1,53
101985,1,1,4,63,270,3,67
101984,1,172,4,37,318,0,33
101983,0,1,7,52,956,0,33
101982,126,2264,4,1,944,7,11
101981,0,1,4,66,431,5,47
101980,0,21,5,11,458,6,49
101989,0,3,4,12,211,7,65
101988,2,13,4,30,355,4,34
105406,0,10,4,10,957,1,49
105407,1,1,4,49,776,2,88
105404,1,5,4,45,184,0,71
105405,2,30,4,8,152,5,55
105402,2,68,4,65,631,0,39
105403,1,2,4,12,99,6,40
105400,0,21,4,76,659,6,54
105401,0,12,4,12,10,9,96
105408,2,30,9,25,235,3,4
105409,2,1,4,1,946,7,36
106663,1,1,9,25,515,6,65
106662,1,1,4,60,820,1,17
106661,1,1,4,23,385,9,44
106660,1,5,9,69,670,7,58
106667,1,2,9,77,22,3,35
106668,1,5,9,71,847,3,37
102753,126,2264,4,5,353,0,10
102752,2,2,9,36,727,2,77
102751,0,21,4,12,50,7,65
102750,3,174,9,25,753,2,74
102757,1,2,9,82,580,3,19
102756,2,2,9,22,965,2,74
102755,0,1,4,5,19,9,9
102754,0,3,4,12,973,0,78
102759,0,1,5,11,625,0,12
102758,0,3,6,13,3,9,30
112009,1,3,9,77,366,3,35
107130,2,176,4,29,107,3,2
107131,2,68,4,12,19,9,28
107132,2,0,5,85,354,3,87
107133,20,177,4,36,676,3,29
107134,2,8,9,58,741,2,74
107136,0,178,4,12,244,2,74
107137,1,5,9,76,309,6,11
107138,1,1,4,74,993,9,93
107139,0,1,4,74,261,9,9
88522,126,2264,4,76,50,7,88
88523,2,9,4,21,339,9,92
88520,2,180,1,18,404,7,65
88521,2,181,4,12,561,5,29
88526,2,40,4,12,776,6,98
88527,2,8,4,71,764,3,84
88524,126,2264,4,36,437,3,29
88525,15,182,4,12,162,6,7
88528,126,2264,4,12,162,6,61
88529,2,65,4,76,663,6,64
91361,0,22,4,23,497,9,44
112529,2,1,4,12,370,8,51
88298,2,1,9,82,870,3,19
88299,2,151,4,5,285,0,71
88290,126,2264,4,12,162,6,7
88291,0,52,7,91,565,8,10
88292,0,3,9,25,398,6,72
88293,126,2264,4,67,260,0,90
88294,3,464,9,90,746,9,75
88295,3,1411,0,37,479,5,33
88296,126,2264,4,89,19,8,39
88297,126,2264,4,84,321,2,5
108317,1,5,4,50,86,7,95
108316,1,5,0,37,479,5,33
108319,1,5,4,12,637,7,72
108318,1,5,4,88,244,9,57
1332352,0,3,7,52,136,8,46
86269,2,187,4,76,187,4,8
86268,126,2264,9,73,774,3,74
86267,3,2,4,12,10,0,42
86266,126,2264,4,76,570,4,74
86265,126,2264,4,30,49,5,34
86264,2,188,5,11,503,0,84
86263,2,189,9,82,506,3,81
86262,0,3,7,91,90,9,10
86261,2,189,4,87,771,9,21
86260,3,1311,5,85,783,3,49
103934,2,13,4,74,928,9,40
103935,0,10,4,74,928,9,96
103936,0,11,9,76,86,7,63
103937,2,2,4,60,728,2,89
103930,2,11,4,30,611,4,34
103931,0,12,4,12,162,9,96
103932,0,1,4,72,592,5,36
103933,1,5,4,12,823,0,78
103938,0,190,4,21,763,5,92
103939,0,5,9,82,580,3,19
86843,0,52,4,85,9,9,44
86842,3,1,4,89,417,8,10
86841,2,13,4,73,546,3,35
86840,3,165,5,19,850,1,53
86847,22,191,9,7,368,3,23
86846,3,2,4,1,420,7,79
86845,2,128,5,11,625,0,60
86844,0,192,4,49,805,4,88
86849,1,5,9,95,167,2,64
86848,126,2264,4,30,249,2,8
821432,2,1,0,67,85,1,28
821431,2,1,4,85,354,6,56
109662,0,1,4,12,776,6,82
109663,1,5,9,73,594,3,4
109660,102,1,4,76,309,2,21
109661,1,5,4,12,414,0,42
87574,126,2264,5,50,269,1,95
109667,1,59,4,67,220,1,15
109664,0,1,4,23,556,9,44
109665,1,1,4,89,386,6,64
1728,1,1,4,97,105,8,3
1729,2,2,4,73,151,7,63
1726,2,1,4,62,40,9,14
1727,2,1,4,85,983,6,98
1724,2,1,4,84,182,7,89
1725,1,2,9,22,331,2,45
1722,2,1,4,12,946,2,74
1723,1,2,4,10,609,9,44
2218550,126,2264,4,63,270,3,67
94913,0,47,1,55,312,7,65
94910,0,156,4,68,855,6,54
94911,126,2264,4,12,353,9,42
94916,23,199,4,56,288,5,55
94917,126,2264,4,12,829,9,92
94914,0,273,9,22,965,2,64
94915,0,1121,4,65,631,0,90
94918,0,12,4,65,631,1,70
94919,0,3,4,88,793,9,52
111009,2,1,9,76,680,7,86
111008,1,1,4,76,690,7,72
111003,1,5,4,16,328,3,35
111002,1,5,5,11,458,7,12
111001,0,10,4,97,973,8,43
111000,1,2,4,5,153,9,10
111007,0,36,0,15,16,0,32
111006,2,68,4,12,973,1,21
111005,1,2,9,25,810,2,74
111004,1,2,4,8,140,9,61
110758,1,5,4,76,309,7,11
110759,2,44,4,12,868,7,74
110750,1,5,9,7,727,3,69
110751,1,1,4,54,672,0,91
110752,2,30,6,13,343,9,38
110753,1,5,9,25,222,2,64
110754,1,2,4,76,776,2,64
110755,1,5,4,12,162,6,13
110756,2,1,9,25,861,2,64
110757,1,5,4,5,843,9,12
109634,0,36,4,74,928,9,40
109637,1,2,5,44,503,9,87
88885,2,276,4,46,949,3,59
88884,45,1473,7,52,156,5,16
88887,126,2264,4,60,728,2,17
88886,2,151,4,12,536,7,55
88881,126,2264,4,12,160,9,89
88880,126,2264,5,85,843,3,4
88883,2,200,9,69,642,2,58
88882,2,1479,4,12,9,0,42
88889,0,12,4,32,287,1,41
88888,126,2264,4,84,729,6,7
96668,0,52,5,85,354,9,63
96669,3,201,4,5,153,4,46
96662,0,12,5,11,843,0,12
96663,2,25,4,2,630,6,54
96660,2,3,7,52,11,8,16
96661,2,718,9,7,324,2,74
96666,2,20,4,85,405,4,56
96667,0,52,4,72,397,7,36
96664,2,13,4,76,823,9,40
