,km,mod,wt
94368,26,2,119
90871,12,2,25
90870,24,2,30
90873,14,2,2
90872,14,0,120
90875,28,2,121
90874,16,2,122
90877,28,2,470
90876,24,1,1
90879,24,0,1
90878,29,2,471
118307,24,1,2
118306,24,2,1
118305,27,2,1
118304,1,1,1
118303,12,1,5
118302,9,2,14
118300,28,1,2
118309,15,1,2
118308,24,2,1
90295,2,126,2264
90294,29,126,2264
90297,1,2,19
90296,1,0,36
90291,14,2,7
90290,12,0,3
90293,14,2,126
90292,11,2,127
101269,24,126,2264
90299,12,2,9
90298,11,2,9
101264,4,3,12
101265,27,2,3
97470,15,2,44
97471,14,3,502
97472,28,2,25
97473,22,2,132
97474,1,126,2264
97475,27,3,133
97476,14,1,2
97477,24,2,134
97478,28,0,135
97479,29,14,136
90123,6,3,137
90122,10,0,22
90121,4,2,79
90120,24,15,138
90127,10,2,13
90126,3,2,111
90125,18,2,1
90124,1,0,22
90129,12,2,139
90128,14,126,2264
95188,17,4,461
95189,17,2,9
95186,25,2,9
95187,14,2,140
95184,22,2,13
95185,12,0,3
95182,18,2,141
95183,14,2,13
95180,28,2,7
95181,28,2,141
2490153,12,126,2264
90500,28,16,142
91348,28,2,1
91349,24,126,2264
106487,10,126,2264
94678,24,2,13
91345,14,2,79
92515,14,0,1
106485,12,2,215
2093658,14,126,2264
106484,15,0,1
106483,14,2,30
96989,12,2,90
91341,12,2,42
2390269,10,1,5
106481,16,2,1
106480,17,1,2
91454,28,2,13
91455,4,2,35
91456,10,2,147
91457,12,2,148
91450,29,2,90
91451,14,2,149
91452,29,0,3
91453,18,3,150
91458,11,2,151
91459,14,0,22
95821,9,2,14
95820,10,23,1318
95823,6,0,22
95822,2,2,13
95825,20,7,5
95824,25,2,152
95827,22,2,57
95826,22,0,50
91982,14,126,2264
91983,26,2,97
91980,25,2,153
91981,3,0,3
91986,28,0,12
91987,24,2,7
91984,14,126,2264
91985,14,0,12
91988,14,3,155
91989,14,0,156
110518,14,1,5
110519,14,0,30
110512,12,1,1
110513,14,2,1
110510,12,1,59
110511,12,2,1
110516,12,1,1
110517,28,1,3
110514,28,2,1
110515,17,0,21
93589,10,1,3
93580,24,2,14
93581,12,0,22
93582,12,0,158
93583,2,3,159
93584,17,2,151
93585,22,2,13
93586,3,2,86
93587,18,2,160
112040,6,0,12
112041,14,1,1
92187,3,2,1
92186,18,0,3
92185,20,3,159
92184,0,3,2068
92183,14,126,2264
92182,12,0,3
92181,27,2,154
92180,7,3,161
92189,28,3,162
92188,18,2,129
104162,27,1,5
89611,12,8,97
104163,14,2,259
112049,2,1,2
98602,12,7,5
98603,12,0,33
98600,24,52,554
98601,8,2,76
98606,12,2,242
98607,25,0,1
98604,24,0,1
98605,14,2,427
98608,14,1,12
98609,24,18,164
85263,14,126,2264
107919,14,1,5
107916,14,2,1
107917,14,1,5
107914,14,0,21
107915,14,2,68
107912,12,1,83
107913,15,1,2
104759,26,0,1
104758,16,1,1
104751,15,1,1
104750,22,1,1
104753,8,0,167
104752,24,1,2
104755,24,1,1
104754,24,0,74
104757,29,1,22
104756,9,1,1
99959,12,2,8
99958,24,0,1
99955,27,0,12
99954,16,1,1
99957,28,0,169
99956,12,0,35
99951,12,1,2
99950,14,2,90
99953,29,126,2264
99952,10,0,12
101987,9,0,3
101986,10,2,1
101985,26,1,1
101984,0,1,172
101983,0,0,1
101982,9,126,2264
101981,4,0,1
101980,14,0,21
101989,14,0,3
101988,12,2,13
105406,7,0,10
105407,29,1,1
105404,12,1,5
105405,25,2,30
105402,14,2,68
105403,22,1,2
105400,14,0,21
105401,24,0,12
105408,10,2,30
105409,22,2,1
106663,16,1,1
106662,27,1,1
106661,24,1,1
106660,2,1,5
106667,16,1,2
106668,16,1,5
102753,12,126,2264
102752,29,2,2
102751,17,0,21
102750,10,3,174
102757,12,1,2
102756,16,2,2
102755,14,0,1
102754,12,0,3
102759,12,0,1
102758,27,0,3
112009,10,1,3
107130,10,2,176
107131,14,2,68
107132,14,2,0
107133,8,20,177
107134,10,2,8
107136,22,0,178
107137,14,1,5
107138,12,1,1
107139,12,0,1
88522,14,126,2264
88523,14,2,9
88520,12,2,180
88521,14,2,181
88526,29,2,40
88527,12,2,8
88524,27,126,2264
88525,1,15,182
88528,1,126,2264
88529,14,2,65
91361,24,0,22
112529,26,2,1
88298,16,2,1
88299,16,2,151
88290,28,126,2264
88291,12,0,52
88292,14,0,3
88293,3,126,2264
88294,26,3,464
88295,0,3,1411
88296,14,126,2264
88297,8,126,2264
108317,14,1,5
108316,12,1,5
108319,10,1,5
108318,28,1,5
1332352,16,0,3
86269,19,2,187
86268,16,126,2264
86267,12,3,2
86266,12,126,2264
86265,27,126,2264
86264,12,2,188
86263,12,2,189
86262,12,0,3
86261,14,2,189
86260,16,3,1311
103934,14,2,13
103935,2,0,10
103936,9,0,11
103937,28,2,2
103930,1,2,11
103931,24,0,12
103932,14,0,1
103933,0,1,5
103938,14,0,190
103939,14,0,5
86843,2,0,52
86842,4,3,1
86841,9,2,13
86840,14,3,165
86847,14,22,191
86846,9,3,2
86845,12,2,128
86844,12,0,192
86849,10,1,5
86848,16,126,2264
821432,24,2,1
821431,12,2,1
109662,29,0,1
109663,14,1,5
109660,9,102,1
109661,11,1,5
87574,27,126,2264
109667,22,1,59
109664,24,0,1
109665,17,1,1
1728,14,1,1
1729,10,2,2
1726,11,2,1
1727,4,2,1
1724,4,2,1
1725,20,1,2
1722,16,2,1
1723,24,1,2
2218550,26,126,2264
94913,9,0,47
94910,4,0,156
94911,25,126,2264
94916,10,23,199
94917,26,126,2264
94914,3,0,273
94915,28,0,1121
94918,18,0,12
94919,22,0,3
111009,16,2,1
111008,22,1,1
111003,8,1,5
111002,14,1,5
111001,6,0,10
111000,18,1,2
111007,12,0,36
111006,14,2,68
111005,23,1,2
111004,25,1,2
110758,22,1,5
110759,16,2,44
110750,16,1,5
110751,11,1,1
110752,12,2,30
110753,29,1,5
110754,10,1,2
110755,28,1,5
110756,29,2,1
110757,14,1,5
109634,14,0,36
109637,12,1,2
88885,12,2,276
88884,3,45,1473
88887,9,126,2264
88886,22,2,151
88881,14,126,2264
88880,12,126,2264
88883,10,2,200
88882,2,2,1479
88889,27,0,12
88888,4,126,2264
96668,2,0,52
96669,7,3,201
96662,12,0,12
96663,4,2,25
96660,4,2,3
96661,16,2,718
96666,12,2,20
96667,15,0,52
96664,18,2,13
96665,17,0,3
97391,10,126,2264
97390,15,0,52
97393,10,2,202
97392,12,0,203
97395,18,1,2
97394,24,2,204
97397,24,0,1
97396,14,0,3
97399,24,2,42
97398,22,2,30
94288,2,0,97
94282,12,3,1775
94283,14,2,13
94280,14,2,12
94281,14,3,161
94286,10,1,3
94287,12,2,90
94284,14,126,2264
94285,11,2,7
2512110,12,2,205
97535,24,0,116
97534,6,0,12
97537,14,2,206
97536,14,0,22
97531,2,1,3
97530,14,3,207
97533,24,1,208
97532,12,126,2264
97539,11,1,3
97538,24,1,1
94130,24,0,3
94131,8,0,48
94132,12,0,352
94133,9,2,3
94134,27,2,51
94135,14,2,2
94136,14,2,2
94137,14,2,115
94138,14,2,76
94139,26,2,730
102511,26,25,212
102510,12,2,213
102513,14,2,9
102512,10,0,12
102515,16,1,1
102514,12,2,1
102517,18,2,9
102516,2,126,2264
102519,14,0,21
102518,14,0,1
112648,12,1,1
104829,10,3,28
104828,14,0,21
112640,22,1,2
104822,12,1,5
112642,14,1,2
112643,12,1,2
112644,20,1,1
104826,12,2,216
112646,14,1,2
104824,26,2,67
99289,26,2,159
99281,12,0,35
99280,12,0,218
99283,14,2,219
99282,27,0,3
99285,16,0,220
99284,29,0,12
99287,14,0,33
99286,14,1,3
99757,12,0,22
99756,12,1,1
99755,26,2,13
99754,8,0,35
99753,25,0,22
99752,25,2,1
99751,2,3,222
99750,11,3,222
99759,14,2,40
99758,3,2,13
95663,24,2,204
95662,24,1,5
95661,24,2,14
95660,12,0,36
95667,26,7,5
95666,16,2,2
95665,2,0,1
95664,10,2,22
216734,12,2,1
95669,25,3,28
95668,14,2,223
216733,23,1,83
109428,12,1,5
109429,25,1,2
109424,16,1,5
109425,27,1,1
109426,22,0,12
109427,22,2,14
109420,27,2,1
109421,10,2,14
109422,15,1,1
109423,2,1,5
105882,2,1,2
105883,15,2,68
105880,25,1,2
105881,12,2,1
105886,15,2,7
105887,8,0,1
105888,6,2,1
105889,3,2,1
92572,12,2,760
92573,14,2,206
92570,18,2,53
92571,14,2,240
92576,18,2,348
107034,10,1,5
92574,24,2,313
107036,24,0,21
107039,14,0,229
107038,6,1,2
92578,28,2,13
92579,17,2,122
90996,22,2,42
102482,14,0,131
102481,22,0,3
102480,25,2,7
102487,3,0,10
102486,20,2,1
102485,14,0,52
102484,14,0,21
1447601,4,2,13
92396,27,2,230
92397,15,2,231
92394,27,0,12
92395,1,2,80
92392,22,1,3
92393,26,2,7
92390,14,126,2264
92391,11,3,232
92398,24,0,233
92399,14,3,234
93629,6,2,7
93628,24,2,14
93625,14,0,22
93624,22,2,235
93627,11,3,236
93626,10,3,236
93621,12,2,237
93620,3,2,238
93623,3,2,239
93622,14,2,239
90589,6,2,261
104276,12,2,1
104274,26,0,36
90588,12,2,35
93136,14,2,13
104272,26,1,5
104273,28,1,30
104270,27,126,2264
1395425,26,126,2264
104271,16,2,68
91726,12,0,36
106864,14,1,2
91724,12,2,242
2419163,12,126,2264
91725,6,0,105
105309,12,0,167
105308,26,0,82
106863,18,0,12
105301,14,2,7
105300,4,2,7
105303,25,1,2
105302,16,2,244
105305,18,1,2
105304,12,0,12
105307,12,1,2
105306,14,1,2
2620848,14,126,2264
84755,10,126,2264
84754,17,1,5
2764189,0,2,2
84756,14,126,2264
84759,27,1,5
2764186,27,126,2264
2764185,12,2,7
2764184,14,2,245
2764183,14,26,52
2764182,27,2,44
2764181,22,27,246
2764180,0,1,247
86449,10,2,1
86448,1,126,2264
86447,10,7,573
86446,14,3,1158
86445,14,126,2264
86444,12,3,1046
86443,3,2,678
86442,12,94,1095
86441,14,0,22
86440,14,3,678
106146,10,1,2
106142,18,1,5
106143,9,26,248
106141,12,0,12
102656,11,2,1
102657,2,126,2264
102654,2,2,206
102655,12,0,12
102652,14,0,12
102653,2,2,130
102650,24,2,30
102651,19,2,76
102658,26,0,12
102659,15,3,249
108434,24,28,250
108435,12,1,1
108436,13,2,1
108437,12,1,59
108430,12,1,2
108431,24,1,30
108432,1,1,5
108433,14,2,1
108438,29,1,2
108439,14,3,1
2788983,4,1,59
2788982,14,1,1
90585,10,2,92
89042,14,126,2264
89043,14,126,2264
89040,12,2,13
89041,3,126,2264
89046,14,126,2264
89047,12,2,129
89044,16,126,2264
89045,8,2,251
90584,8,2,838
89048,8,126,2264
89049,2,126,2264
103017,6,1,3
103016,6,2,1
103015,18,0,36
103014,26,0,36
103013,12,0,52
103012,27,2,1
103011,28,0,1
103010,12,126,2264
85936,14,2,102
85937,9,3,253
85934,26,2,128
85935,27,2,90
85932,12,3,2
85933,25,3,254
103019,10,2,14
103018,16,0,10
90586,16,0,3
87471,26,126,2264
87470,14,126,2264
87473,18,126,2264
87472,14,126,2264
87475,27,0,829
109740,26,2,131
87477,26,126,2264
87476,9,2,13
87479,4,126,2264
87478,2,126,2264
109749,14,126,2264
109748,12,0,21
88869,14,2,115
3187539,12,126,2264
103321,6,2,30
88319,12,2,13
88318,12,126,2264
88866,14,8,97
88315,16,2,44
88314,12,126,2264
88317,12,0,1
88316,12,126,2264
88311,10,2,123
88310,12,126,2264
88313,16,2,42
88312,2,2,13
2483562,25,0,3
88864,14,126,2264
88863,14,2,505
103324,14,2,13
1236479,24,2,1
88861,14,2,17
103326,14,0,1
100098,14,0,258
100099,14,2,30
100096,16,2,1
100097,12,0,52
100094,11,0,12
100095,14,0,22
100092,4,0,203
100093,14,2,13
100090,18,2,44
100091,8,2,30
107826,6,1,5
90422,22,2,260
90423,14,2,1
90420,4,126,2264
90421,18,2,261
90426,16,3,92
90427,28,2,262
90424,15,0,3
90425,27,126,2264
90428,0,2,263
90429,24,126,2264
90398,26,2,264
90399,26,2,228
90390,14,0,3
90391,12,126,2264
90392,18,2,265
90393,26,0,3
90394,2,2,128
90395,9,2,856
90396,22,0,105
90397,3,2,266
101329,22,0,12
101328,14,0,12
101325,12,0,1
101324,12,0,1
101323,12,0,3
101322,28,0,12
101321,4,2,9
101320,28,1,2
85169,25,2,125
85168,4,3,882
85161,19,4,864
85160,20,1,1
85163,16,19,865
85162,12,3,1
85165,17,126,2264
85164,23,126,2264
85167,12,2,9
85166,12,2,461
2389766,12,0,105
109574,10,1,5
109575,16,0,3
109572,27,1,2
109573,14,1,5
109570,1,1,5
109571,14,2,1
111630,28,1,2
111631,16,2,2
111632,24,1,2
111633,14,2,1
111634,0,2,1
111635,14,1,5
95278,24,4,270
95279,14,2,271
95271,16,0,3
95272,16,2,272
95273,16,2,13
95274,16,2,50
95275,25,0,52
95276,16,2,44
95277,8,0,13
94897,29,0,3
94896,27,3,2
94895,20,0,12
94894,22,0,12
94893,18,0,273
94892,0,2,206
94891,11,2,76
94890,11,2,274
94899,6,0,275
94898,8,0,3
95858,4,0,22
95859,12,126,2264
92808,10,0,3
92809,24,0,3
92806,12,2,277
92807,25,2,278
92804,14,2,65
92805,20,2,44
92802,14,2,90
92803,25,0,279
92800,14,2,9
92801,18,3,280
89525,14,0,3
89524,12,3,385
89527,14,2,204
89526,2,2,1447
89521,29,0,36
89520,14,2,838
89523,25,2,337
89522,4,3,1450
2012233,15,126,2264
89529,15,2,1976
89528,12,2,123
110273,26,1,5
110272,26,2,1
110271,12,0,22
110270,4,1,1
110275,12,2,1
110274,16,2,1
88241,25,2,7
88240,16,2,281
88247,25,2,139
88246,12,0,12
88245,14,126,2264
88244,14,2,252
105147,18,0,69
105146,29,2,1
105145,27,3,1
105144,16,0,30
105143,14,2,30
105142,10,2,1
105141,14,1,1
100853,10,0,283
105149,14,1,2
105148,29,1,5
100856,28,0,1
100857,12,0,3
93867,4,3,62
93866,29,3,284
93865,25,2,204
93864,4,2,95
93863,14,3,285
93862,10,126,2264
93861,11,3,2
93860,14,2,286
100855,26,2,1
93869,12,126,2264
93868,25,2,139
107789,11,20,177
107788,14,1,2
107783,13,1,5
107782,3,1,2
107781,14,1,2
107787,12,2,30
107785,24,2,8
107784,24,0,1
94075,16,1,3
94074,12,0,3
94077,8,3,2
94076,27,126,2264
94071,14,2,1
94070,23,2,14
94073,29,2,13
94072,10,2,919
94079,28,1,30
94078,9,0,12
90985,9,126,2264
90984,15,2,51
102496,16,0,287
90986,10,2,13
102490,12,2,1
102491,14,0,21
90983,17,3,858
102493,10,0,1
90989,2,2,102
102499,12,2,189
108632,20,0,36
108633,4,0,12
108630,8,2,80
108631,12,1,5
108636,14,1,5
108637,14,2,115
108634,14,1,2
108635,18,1,2
108638,10,2,1
108639,12,1,2
1321753,14,2,44
110706,26,2,1
108188,12,126,2264
108189,3,1,2
108184,8,1,83
108185,10,1,2
108186,14,1,2
108182,3,1,2
108183,16,1,83
91165,11,126,2264
91166,8,126,2264
91167,14,2,13
91160,14,0,50
91161,24,2,289
91168,14,2,272
91169,13,126,2264
106551,20,2,68
91293,18,2,90
109581,25,1,1
91291,20,2,1042
109587,14,1,2
91297,1,2,17
91294,10,2,1052
91295,16,1,2
106559,15,1,5
106558,14,1,2
91298,9,2,170
109588,16,1,5
858086,3,1,5
858085,16,2,1
105928,14,1,5
105921,27,1,2
105920,28,1,2
105923,14,1,2
105922,26,0,10
105925,14,1,2
105924,16,0,7
105927,12,126,2264
105926,14,0,82
91836,13,2,234
91837,12,2,128
91834,12,126,2264
91835,14,0,62
91832,14,2,13
91833,14,126,2264
91830,3,3,692
91831,25,2,290
91838,25,2,215
91839,14,2,57
100258,29,0,291
100259,10,2,292
107209,14,1,2
100254,10,0,3
100255,4,126,2264
100256,14,0,3
107205,3,1,5
100250,9,2,13
100251,14,2,274
107200,14,2,1
107201,14,1,5
107217,27,1,12
117858,12,2,1
117859,24,0,12
117852,29,2,68
117853,24,1,5
117850,16,2,8
117851,18,1,2
117856,26,2,1
117857,26,2,68
117854,10,1,2
117855,16,0,12
107212,24,2,91
93478,29,0,12
93479,22,3,232
220342,9,2,13
101125,18,2,30
101124,22,2,44
93476,3,126,2264
101126,25,126,2264
101121,10,0,10
93471,16,2,1654
101123,10,2,159
93473,14,0,3
98228,14,126,2264
98224,10,0,1
98225,10,2,25
98226,14,2,295
98227,14,0,12
98220,8,1,2
98221,25,1,3
98222,3,0,35
98223,12,3,296
85369,25,126,2264
85368,12,2,651
85363,10,3,998
85362,14,2,999
85361,6,21,1279
85360,26,0,655
85367,10,2,1
85366,24,126,2264
85365,18,126,2264
85364,26,0,1
87211,12,126,2264
87210,14,126,2264
87213,14,126,2264
87212,2,126,2264
87215,12,2,297
87214,14,126,2264
87217,14,126,2264
87216,3,0,52
87219,27,2,30
87218,10,0,1
2230740,14,126,2264
799980,3,1,2
799981,17,2,1
799982,16,0,12
799983,6,2,1
799984,14,1,3
799985,16,1,2
799986,12,2,1
799987,16,2,9
3213873,8,126,2264
3213872,24,126,2264
3213871,10,126,2264
1852339,14,2,91
621293,11,0,299
621294,12,1,1
1087888,18,1,5
2621064,24,2,7
2621066,14,2,0
2621067,25,2,2
2621060,24,1,3
2621062,10,0,3
2621063,26,2,90
91339,14,1,1
103198,26,0,1
103199,14,0,74
103192,26,0,3
103193,18,1,2
103190,16,1,1
103191,14,1,1
103196,25,2,1
103197,1,0,3
103195,10,0,1
103224,25,0,1
103225,3,0,3
103226,12,1,5
103227,10,1,1
103220,20,0,12
103221,10,0,35
103222,16,1,1
103223,12,1,300
103228,6,31,1
103229,24,0,52
94958,14,32,301
92641,25,2,302
111049,4,2,1
111048,22,1,2
97742,22,0,69
97740,12,0,69
97741,26,0,69
97746,11,0,22
97747,4,2,9
97744,8,1,30
97745,24,3,89
88104,25,2,304
88105,12,0,3
88106,24,0,305
88107,10,126,2264
88100,24,126,2264
88101,25,2,1
88102,14,126,2264
88103,20,33,306
100755,14,0,50
100754,10,0,12
100757,14,34,81
100756,14,1,2
100751,4,0,307
100750,18,1,1
100753,15,1,1
100752,2,0,203
100759,14,1,5
100758,17,2,309
95458,29,2,9
95459,16,2,9
95450,26,0,3
95451,2,0,15
95452,14,0,9
95453,18,0,105
95454,16,0,13
95455,10,7,5
95456,4,2,1
95457,10,2,9
112802,22,2,1
112803,3,1,1
931616,16,3,1
91333,16,0,1
101118,27,1,83
101119,14,0,1
90219,11,2,311
90218,28,0,12
90215,14,2,53
90214,14,35,312
90217,26,2,7
90216,16,2,44
90211,16,8,313
90210,14,126,2264
90213,24,2,204
90212,25,2,154
101110,14,0,52
96909,8,36,314
96908,14,1,1
101111,2,0,3
96903,16,3,316
96902,24,1,5
96901,14,2,13
96900,12,0,3
96907,1,126,2264
96906,14,3,1120
96905,1,3,2
96904,18,2,139
93402,1,2,843
101114,14,0,21
101115,14,2,68
101116,14,0,9
101117,8,0,12
94183,14,1,2
94462,20,0,321
94463,28,0,50
94460,16,0,322
94461,16,2,30
94466,14,2,323
94467,18,37,324
94464,15,0,50
94465,12,92,9
94468,3,1,2
94469,22,2,382
91218,8,2,1035
94189,15,2,215
111956,14,1,2
94188,14,2,57
1619945,16,126,2264
91216,16,2,1036
91217,24,2,488
95339,14,0,12
95338,16,1,13
92109,20,15,329
92108,6,2,3
92107,10,2,330
92106,14,2,42
92105,20,2,330
92104,28,2,363
92103,25,2,13
92102,25,0,105
95333,16,1,1
92100,14,2,331
3211501,19,126,2264
85376,16,3,1
111469,12,2,30
111468,12,0,36
3211502,27,126,2264
111463,14,1,3
111462,26,2,1
111465,26,1,5
111464,17,1,5
111467,17,1,5
111466,28,0,52
110592,26,2,1
110593,14,1,2
110590,26,1,2
110591,10,126,2264
110596,10,1,59
110597,2,2,68
110594,27,1,2
110595,18,1,1
110598,14,1,5
110599,27,1,5
112730,2,1,2
112731,7,1,5
112732,14,1,2
112733,10,1,5
85815,27,126,2264
112735,1,1,2
112736,12,1,5
112737,27,1,1
112738,25,1,2
93278,1,1,2
93279,8,3,232
93276,3,0,333
93277,26,0,333
93274,4,0,131
93275,14,0,3
