,mod,wt,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000
99859,3,1,8,82,269,0,87,137
99850,0,1,7,42,712,4,8,477
99851,0,3,7,93,773,0,61,75
99852,0,50,9,14,920,7,30,619
99853,2,14,4,71,817,0,95,570
99854,0,72,9,48,92,4,81,117
99855,1,2,9,47,654,1,30,903
99856,0,52,9,47,654,7,30,712
99857,0,3,9,48,479,4,81,712
105639,2,5,9,47,294,7,30,631
105638,1,5,7,26,554,1,22,268
105631,1,12,9,14,887,2,20,125
105630,0,12,9,92,941,8,48,823
105633,2,8,9,47,654,7,30,125
105632,0,74,9,47,654,7,30,104
105635,1,1,5,42,503,7,80,662
105634,3,2,5,23,667,7,45,93
105637,1,75,7,66,382,1,29,943
105636,2,67,7,74,382,1,20,943
102946,2,76,9,14,654,1,30,509
102947,2,1,7,0,950,4,36,605
102945,1,2,9,14,561,8,20,947
102948,0,12,9,14,157,6,20,636
102949,0,35,9,14,543,7,81,394
102366,3,1,9,47,614,8,30,903
102367,2,79,4,36,367,6,77,878
102364,2,80,9,8,556,7,89,190
102365,2,81,8,61,488,6,7,240
102363,2,14,3,6,842,2,24,604
102360,0,82,7,26,554,8,22,937
102368,0,22,9,14,810,8,20,356
102369,0,3,1,20,511,4,44,810
107703,0,36,2,69,666,4,31,295
107702,0,36,9,14,338,8,20,79
107701,1,5,4,36,212,6,98,249
107707,1,5,9,63,107,0,30,217
107706,1,5,7,63,111,7,24,798
107705,1,5,9,47,746,8,30,903
107704,2,68,3,88,273,2,36,506
107709,1,5,7,44,384,4,5,471
107708,126,2264,9,47,511,8,30,285
91950,0,21,4,72,579,6,98,6
112239,1,83,0,73,140,4,21,405
112230,2,1,3,59,356,2,0,489
811779,0,1,9,47,654,7,30,104
108104,1,5,5,23,914,7,45,294
108107,2,67,9,47,654,7,30,104
108100,1,5,5,37,134,7,45,997
108102,1,1,4,14,212,6,95,249
108103,2,21,9,47,654,8,30,823
109855,1,5,7,42,117,4,23,800
109857,0,36,9,42,387,7,20,420
109856,0,84,9,82,275,0,17,137
109859,2,1,9,47,654,0,30,104
109858,2,13,9,14,37,8,20,17
100131,0,33,7,0,205,4,20,986
100130,0,3,9,18,476,1,16,395
100133,2,13,7,42,712,7,8,477
100132,1,3,9,14,37,9,30,509
100135,0,1809,7,76,686,5,88,101
100134,2,13,4,12,20,6,40,700
103706,2,88,9,92,366,8,20,881
103705,1,5,9,47,654,7,30,509
103704,2,1,7,74,668,7,23,372
103703,2,30,9,87,914,7,45,696
103702,1,2,9,99,518,6,55,33
103701,1,5,9,48,387,4,81,800
103700,0,21,7,48,888,4,81,800
100136,0,1,9,41,946,7,67,718
103709,2,89,7,6,570,2,57,581
103708,1,2,9,36,209,7,2,524
111955,2,1,9,47,267,7,30,631
111954,1,5,9,14,738,7,30,607
111957,1,2,9,23,781,7,91,882
91219,2,13,5,23,914,7,45,294
111951,1,5,9,47,746,8,30,903
111950,1,5,7,18,448,1,16,233
111953,1,5,7,18,448,1,16,233
111952,1,5,9,63,107,0,30,217
91212,8,326,5,23,914,7,45,294
91213,2,69,5,27,98,7,75,122
91210,2,187,9,14,566,7,20,23
91211,126,2264,9,71,817,2,95,570
111959,1,83,7,74,570,2,9,675
111958,1,3,9,60,445,7,65,665
91214,15,32,6,92,799,8,25,421
91215,2,14,6,64,181,8,20,421
145770,1,2,9,47,654,7,30,33
