,mod,wt,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000
87797,126,2264,6,9,131,9,78,887
87798,2,1073,0,25,925,9,8,936
87799,126,2264,0,25,925,9,8,936
2620797,126,2264,0,25,459,9,8,456
96409,126,2264,0,25,459,9,8,456
84856,126,2264,0,25,572,9,8,223
84857,126,2264,0,25,887,2,0,732
84854,126,2264,6,21,246,9,25,421
84855,126,2264,0,79,74,9,79,435
84852,126,2264,0,91,582,9,71,794
84853,126,2264,0,9,344,9,78,305
84850,126,2264,0,25,925,9,8,936
84851,126,2264,0,91,582,9,71,794
97760,0,1,4,12,630,6,40,419
88163,0,215,6,3,120,9,14,840
88160,1,2,6,25,217,9,94,99
88161,90,1074,0,29,413,9,56,166
97764,1,2,3,35,723,2,72,100
97765,2,7,6,21,246,9,25,666
97766,0,3,6,3,120,9,27,377
88165,0,12,0,9,327,9,78,874
100779,2,44,6,21,584,9,35,600
100778,0,52,3,88,964,2,18,929
100777,0,33,0,91,151,8,44,19
100776,2,1,0,9,345,9,71,750
100775,2,1,0,78,801,9,56,717
100774,3,525,0,41,710,9,1,724
100773,2,1,0,29,489,9,56,757
100771,0,12,6,21,824,9,25,302
100770,2,67,0,62,537,9,33,858
821305,2,1,0,25,373,9,8,515
821306,1,5,0,74,724,2,0,671
92771,2,398,0,85,305,7,67,163
106105,0,74,6,32,879,9,15,788
1765367,126,2264,0,41,372,3,1,411
90239,2,1030,6,94,988,9,32,301
90238,2,30,0,50,891,3,8,642
90233,0,3,0,25,409,9,4,349
90232,2,265,6,21,967,9,38,82
90231,2,1075,0,52,678,1,43,287
90230,8,13,0,9,545,9,71,778
90237,2,79,3,88,990,2,18,621
90236,2,1,7,6,122,2,23,609
90235,2,265,6,3,485,9,14,764
90234,3,285,0,25,459,9,8,456
96961,2,427,0,35,236,4,53,271
96960,2,7,6,94,552,9,32,12
96963,0,116,0,9,327,9,78,637
96962,2,13,0,42,117,4,8,36
96965,0,12,0,25,233,9,8,358
96964,2,147,7,74,748,2,8,913
96967,2,13,0,25,550,6,8,223
96966,0,3,0,9,101,9,62,177
96969,2,0,0,9,545,9,71,778
96968,0,22,6,91,101,9,62,124
118428,2,1,0,6,595,2,57,781
118429,2,1,6,25,163,9,4,235
94448,0,22,0,18,340,6,16,964
94449,2,9,0,9,101,9,62,124
94440,1,2,0,96,454,9,79,23
94441,0,35,0,25,925,9,54,313
94442,2,130,3,58,362,2,42,282
94444,1,7,4,35,451,6,66,53
118424,1,5,0,41,158,3,8,320
94446,2,13,4,12,630,6,40,419
94447,10,1434,6,94,860,9,32,593
118425,1,5,0,87,796,7,50,703
91577,2,1,6,94,512,9,32,301
91576,0,3,0,44,713,4,5,9
91575,2,1077,6,15,615,9,52,440
104001,0,1,6,21,246,9,25,421
91574,2,76,3,6,842,2,24,604
93343,0,50,6,21,400,9,25,256
91573,1,2,6,94,552,9,32,840
104003,3,352,6,94,584,9,35,600
91572,2,127,0,55,215,6,80,490
91571,2,43,0,96,178,9,79,860
104005,2,14,0,19,853,3,28,40
91570,2,1078,0,96,886,9,79,546
104004,3,226,0,96,886,9,79,323
104007,0,10,6,21,328,9,38,82
104006,1,2,6,3,785,9,27,435
111199,0,52,6,91,763,9,71,480
111198,1,5,0,85,272,3,67,645
111191,0,36,6,25,373,9,14,561
111190,1,1,0,25,101,9,62,124
111193,1,2,0,25,25,9,8,515
111192,2,1,0,41,372,3,1,411
111195,1,5,0,9,345,9,71,750
111194,1,2,6,15,207,9,38,231
111197,1,1,6,94,271,9,32,742
111196,1,3,6,3,507,9,14,856
110822,2,44,6,3,507,9,27,113
110823,2,68,0,9,101,9,62,124
110820,2,68,4,35,451,6,66,53
110821,1,2,4,35,18,6,66,500
110826,0,12,7,44,161,4,5,972
110827,0,1,0,25,856,9,4,745
110824,1,2,0,97,562,9,67,838
110825,2,1,0,34,244,9,1,97
95313,2,549,0,34,244,9,1,97
95312,2,76,0,35,815,2,53,271
110828,1,2,6,3,485,9,14,764
110829,1,5,6,21,246,9,25,302
95317,1,2,0,25,568,9,1,439
95316,126,2264,6,96,986,9,32,432
95315,2,1,0,25,149,3,8,667
95314,1,1,6,94,380,9,32,429
111443,2,2,6,3,493,9,14,875
111442,0,36,6,91,103,9,94,318
111441,1,5,0,9,327,9,78,637
111440,1,2,6,91,138,9,44,316
93254,2,7,0,51,156,5,84,897
93255,0,158,7,74,122,7,23,18
93256,2,13,1,91,927,7,71,206
93257,2,837,0,25,459,9,8,456
93250,2,2,6,92,680,8,26,881
93251,2,8,6,9,545,9,71,750
93252,0,105,6,21,584,9,35,155
93253,0,13,0,25,761,1,8,23
93259,1,1,0,41,26,3,1,850
110310,2,44,0,62,624,9,33,560
110311,1,5,0,25,814,6,4,480
110312,1,5,5,23,984,9,54,505
110313,1,2,0,41,372,3,1,682
110314,1,83,0,41,617,3,67,555
110315,1,1,4,67,230,6,98,192
110316,2,44,0,97,69,6,41,833
110317,1,2,6,32,642,9,82,938
110318,2,1,6,94,988,9,32,301
110319,1,1,6,91,151,9,44,19
104441,2,1,0,25,860,9,8,356
104440,1,2,6,91,173,9,33,359
104443,2,9,7,74,928,2,23,372
104442,1,5,0,74,485,9,14,764
96154,0,12,0,25,550,1,8,223
104444,2,25,0,9,103,9,94,95
96156,0,22,0,9,373,7,71,498
96157,2,13,0,25,322,9,4,257
96158,0,956,6,70,872,9,26,512
96159,0,907,6,94,118,9,32,432
118125,1,5,0,41,372,9,54,411
118124,1,1,0,62,189,9,33,959
118123,1,2,5,37,144,7,45,534
118122,2,44,0,25,650,9,8,706
118121,0,1,6,21,103,9,94,318
118120,0,1,6,94,152,9,35,280
106359,1,2,0,18,340,6,16,964
106358,0,1,0,91,927,9,71,19
106353,1,3,0,25,149,9,8,176
106352,0,36,0,29,129,9,56,228
106351,0,1,0,73,689,9,21,182
106350,2,0,0,9,321,9,78,119
106357,1,1,0,12,486,6,40,246
106355,1,5,7,44,713,4,5,9
106354,2,68,0,25,25,9,1,963
102849,0,12,0,41,633,9,1,121
102848,0,21,6,94,277,9,32,426
102843,1,1,6,94,468,9,32,828
102842,2,1080,5,45,956,7,6,612
102841,0,22,6,64,200,9,4,256
102840,0,1,7,7,101,9,62,708
102847,0,12,7,62,189,4,33,959
102846,0,229,0,34,109,9,71,406
102845,2,350,0,34,244,9,1,97
102844,1,5,0,74,186,6,23,110
98004,1,3,0,96,735,9,1,188
98005,2,35,4,72,538,6,98,661
98006,0,52,3,35,435,2,66,53
98007,0,36,5,23,252,9,54,314
98000,0,3,0,97,566,7,71,23
98001,0,1,0,55,663,7,80,307
98002,0,10,0,51,534,9,84,855
98003,0,3,0,90,46,3,28,159
98008,54,1081,0,48,645,3,81,912
98009,2,1082,0,25,373,9,8,120
93926,1,2,0,25,25,9,8,431
93927,0,3,0,19,46,3,28,159
93924,3,3,0,41,633,3,1,896
93925,2,9,0,25,668,9,8,8
93922,13,7,2,85,280,4,67,363
93923,0,12,6,15,464,9,52,231
93920,3,2,6,3,56,9,27,38
93921,3,1410,6,9,545,9,71,206
93928,0,12,0,25,726,6,8,431
93929,0,7,0,6,832,7,71,222
97203,0,47,0,9,832,9,71,456
97202,3,2,0,6,842,9,24,604
97201,2,25,0,91,927,9,71,19
97200,0,10,0,62,189,8,33,959
97206,3,352,0,19,81,3,28,503
105718,1,3,6,21,669,9,38,890
105719,1,1,6,94,380,9,32,301
105716,1,5,6,32,512,9,15,32
105717,1,1,6,9,545,9,71,821
105714,1,5,0,50,365,3,8,234
105715,2,68,6,9,840,9,71,750
105712,0,1,0,42,117,7,8,397
105713,0,1,0,12,166,6,40,989
105710,2,11,0,85,280,4,67,363
105711,0,1,6,9,545,9,71,942
107408,1,2,0,25,973,9,8,963
107400,0,12,0,9,169,3,71,131
107401,2,30,4,67,612,6,2,200
107402,0,10,0,19,81,3,28,503
107403,126,2264,0,19,644,3,28,284
107405,2,1,4,67,788,6,91,68
107406,2,1,0,51,905,5,84,238
107407,2,1,0,34,424,9,1,406
112312,1,5,6,34,424,9,1,406
112313,1,1,0,87,835,9,79,703
112310,1,1,0,91,582,9,71,794
112311,1,2,0,41,633,9,1,286
112316,1,2,0,78,954,9,56,352
112317,1,1,7,74,928,6,23,18
112314,2,1,0,41,633,3,1,518
112315,1,5,0,25,650,6,8,223
112318,1,1,0,25,650,1,8,992
112319,1,5,0,41,645,6,8,912
102159,0,50,0,55,215,7,80,490
102158,126,2264,0,25,212,7,8,485
102151,2,90,6,25,417,9,94,698
102150,2,9,0,25,169,9,8,350
102153,2,30,0,9,545,9,71,206
102152,25,212,6,34,109,9,4,821
102155,0,62,7,74,595,2,23,781
102154,0,1,7,74,375,2,23,169
102157,2,29,4,72,952,6,70,671
102156,0,1,6,21,991,9,94,184
98916,2,30,0,25,103,9,94,95
98917,2,30,0,25,149,7,8,667
98914,1,1,0,41,158,3,8,458
98915,1,5,0,25,937,9,4,358
98912,0,36,0,3,811,4,27,317
98913,0,36,0,19,72,3,28,503
98910,0,10,0,96,454,9,79,546
98911,0,215,0,30,491,3,28,543
98918,1,2,6,3,56,9,27,330
98919,126,2264,0,62,189,9,33,959
108008,1,5,0,8,770,9,89,31
108005,126,2264,7,74,362,2,23,372
108004,1,83,0,9,345,9,71,750
108001,1,2,0,25,973,9,8,963
108000,2,14,0,25,363,9,4,150
108003,1,2,0,96,276,9,79,626
108002,1,2,0,9,65,9,71,440
103408,2,583,0,25,981,3,8,166
103409,2,1,0,25,231,4,4,850
103404,2,30,0,9,671,9,71,591
103405,2,206,0,25,731,9,4,11
103406,0,283,0,19,853,3,28,503
103407,126,2264,6,32,879,9,15,32
103400,1,2,0,25,252,9,54,314
103401,2,79,6,3,493,9,27,875
103402,2,1,6,3,56,9,27,694
103403,2,7,0,9,818,7,71,952
111838,2,1,0,87,886,9,79,323
111839,1,3,5,23,398,7,45,93
111832,1,1,4,67,754,6,2,587
111833,1,83,0,66,731,9,4,957
111830,1,3,6,70,872,9,26,512
111831,1,5,0,25,937,9,8,358
111836,2,1,6,25,991,9,94,184
111837,1,2,0,29,981,9,8,166
111834,1,83,0,93,797,1,61,92
111835,1,2,6,25,373,9,14,377
87808,2,1087,6,79,74,9,79,87
87809,4,270,4,9,538,6,71,661
87800,42,1088,0,25,925,4,8,936
87801,126,2264,0,25,273,4,8,431
87802,0,1089,0,30,141,3,28,47
87803,126,2264,6,21,246,9,25,666
87804,3,519,0,91,295,9,71,852
87805,126,2264,0,51,156,5,84,44
87806,2,86,0,29,892,9,79,166
87807,3,972,6,9,373,9,78,301
109064,2,13,6,94,531,9,32,762
109065,1,1,7,74,928,2,23,372
109066,2,68,0,84,873,1,22,872
109067,0,36,1,91,173,9,71,66
109060,0,3,6,21,246,9,25,302
109061,0,10,1,91,250,9,71,19
109062,1,5,0,29,85,9,56,757
109063,1,2,0,30,491,3,28,543
109068,1,5,0,96,803,9,21,824
109069,1,83,0,9,968,6,71,733
100179,0,3,0,25,564,2,8,315
100178,2,13,0,41,645,4,8,458
92644,2,309,6,3,485,9,14,840
92645,2,13,0,61,488,6,8,575
92646,2,19,0,87,169,7,8,131
100176,0,33,0,41,853,3,8,40
92640,2,769,0,96,454,9,71,445
100170,0,12,6,21,967,9,38,236
92642,3,310,0,62,537,9,33,829
100172,0,872,4,35,451,2,66,53
91703,3,2,0,96,307,9,79,323
105160,0,287,6,15,464,9,52,231
95335,2,7,0,25,106,7,71,661
95334,126,2264,4,51,534,6,84,855
95336,2,79,0,25,973,9,8,963
95331,0,3,6,87,918,9,71,703
95330,126,2264,4,52,634,6,43,801
96720,119,1560,0,62,624,9,33,959
2487561,0,3,5,23,778,7,54,490
118157,2,2,0,25,925,9,8,313
95332,2,44,0,25,373,9,71,431
104126,3,89,0,41,372,3,1,518
104127,2,10,0,25,172,7,8,711
104124,2,30,0,9,840,9,71,515
104125,1,2,0,91,775,9,62,124
104122,2,259,0,84,610,3,22,872
104123,2,30,6,91,989,8,32,713
104120,0,21,0,87,835,9,79,703
104121,2,1,6,70,872,9,26,516
104128,75,1092,0,18,550,1,17,395
104129,1,2,0,50,365,3,1,234
2644560,1,1,0,25,650,9,8,431
85510,104,2065,6,70,995,9,32,301
85511,2,44,6,91,872,9,44,512
85512,2,2156,6,32,879,9,15,32
85513,2,7,0,41,562,4,67,838
85514,1,5,6,21,991,9,25,184
85515,2,197,5,55,215,7,80,416
85516,2,3,0,62,189,9,33,959
85517,0,3,0,17,385,3,28,398
85518,0,556,0,74,953,0,23,579
85519,94,1095,4,67,538,6,98,203
127921,0,1,0,34,424,9,1,406
127920,1,2,6,94,780,9,32,928
127923,0,36,0,66,590,4,39,329
127922,2,1,0,78,954,9,56,352
127925,0,1575,0,29,981,9,56,228
127924,1,5,0,41,279,3,1,518
127927,1,2,0,34,424,9,1,613
127926,1,1,6,70,531,9,32,516
127929,2,1,6,94,473,9,32,762
127928,1,5,0,25,273,9,8,515
1213453,2,57,0,25,273,9,8,862
86739,0,22,0,19,853,3,28,71
86738,2,2166,0,51,534,6,84,855
86731,2,223,0,91,279,3,1,518
86730,2,2167,0,25,832,4,71,456
86733,2,1098,5,27,547,7,75,70
86732,2,1099,0,25,550,7,8,223
86735,126,2264,6,21,967,9,38,236
86734,2,2168,0,62,537,7,33,858
86737,126,2264,0,19,701,3,28,795
86736,126,2264,0,25,373,1,8,129
93555,2,204,0,9,372,9,1,411
88829,126,2264,0,41,25,9,1,896
88828,2,13,0,25,169,3,8,350
88823,2,7,0,25,925,9,8,313
88822,126,2264,0,62,624,9,33,959
88821,2,1100,6,94,380,9,64,525
88820,2,835,0,25,925,9,8,313
88827,126,2264,0,19,853,3,28,503
88826,2,1101,6,94,152,9,35,280
88825,2,13,1,91,818,9,71,952
88824,2,9,0,19,101,3,62,124
96312,0,9,0,25,373,3,8,120
96313,2,13,0,9,716,7,71,490
96310,2,13,6,3,493,9,27,875
96311,0,116,0,95,358,4,8,756
89158,2,919,7,74,952,2,23,671
89159,2,9,7,74,362,2,23,961
96314,0,3,0,29,233,9,56,358
96315,1,3,0,19,72,3,8,40
89154,2,1103,6,94,152,9,35,280
89155,2,1104,0,91,173,9,44,652
89156,2,1,0,9,414,6,55,523
89157,2,1,4,9,957,6,41,839
89150,72,826,0,19,701,3,28,614
89151,0,556,0,25,316,9,8,204
89152,2,639,0,41,582,9,1,794
89153,15,1105,0,97,918,6,71,685
103365,0,52,7,6,889,2,57,770
103364,0,1,0,66,590,4,39,329
103367,1,30,4,52,634,6,43,195
103366,2,13,0,73,803,5,21,824
103361,1,1,0,29,85,9,56,725
103360,0,12,3,88,555,2,18,781
103363,0,229,0,25,735,9,71,515
103362,1,1,6,25,217,9,32,515
625722,1,1,0,42,169,4,8,350
103369,2,1,6,94,312,9,32,762
103368,1,2,4,67,538,6,98,661
94228,15,2182,0,91,373,9,71,898
94229,15,2182,0,41,633,3,1,121
94220,3,1668,0,25,169,7,8,350
94221,2,18,0,9,345,9,71,750
94222,2,124,6,9,852,9,14,655
94223,2,13,0,25,973,9,1,963
94224,3,2,0,91,173,9,33,245
94225,2,290,6,96,986,9,32,432
94226,2,13,0,25,927,9,71,445
94227,0,12,2,5,858,4,67,152
118008,2,1,6,32,371,9,82,463
118009,1,59,0,19,72,3,28,503
118004,0,35,0,9,327,9,78,637
118005,1,2,0,9,327,9,78,637
118006,0,1,0,76,38,5,88,493
118007,1,1,0,76,38,5,88,493
118000,0,1106,0,9,345,9,71,750
118001,2,1,0,29,981,9,56,228
118002,2,76,0,25,25,9,8,963
118003,126,2264,0,73,803,9,21,824
97049,126,2264,0,84,873,1,22,691
97048,0,50,0,93,174,3,61,531
97045,126,2264,0,25,484,6,8,337
97044,2,13,0,34,686,5,1,204
97047,1,993,0,41,279,3,1,518
97046,0,3,6,3,493,9,27,875
97041,2,203,6,94,780,9,35,928
97040,0,3,7,74,375,2,23,169
97043,126,2264,0,18,297,1,16,233
97042,9,99,4,12,522,6,40,419
99229,2,9,4,12,630,6,40,419
99228,0,21,0,41,633,3,1,286
99227,0,1,0,25,566,4,8,23
99226,0,12,0,76,38,5,88,493
99225,2,3,6,70,573,9,26,679
99224,0,1107,0,76,38,5,88,493
99223,2,3,0,85,934,4,67,769
99222,0,3,0,62,189,9,33,959
99221,1,1,0,25,233,9,71,358
99220,2,3,0,78,801,9,56,717
95579,2,9,0,42,712,6,8,477
95578,0,3,0,9,321,8,78,119
95572,126,2264,0,25,13,5,1,530
95571,0,105,0,79,74,9,79,87
95570,3,296,6,21,328,9,38,82
95577,0,547,4,35,451,6,66,53
95576,0,3,6,73,470,9,21,182
95575,2,25,0,96,454,9,79,42
95574,2,25,0,6,111,7,24,798
97599,2,25,0,76,686,5,88,101
97598,0,116,7,74,375,2,23,961
97593,2,1108,6,70,473,9,26,512
97592,3,628,0,73,470,9,21,405
97591,126,2264,6,32,512,9,15,32
97590,2,382,1,91,151,9,44,571
97597,2,1109,0,84,293,6,22,34
97596,0,12,0,62,624,4,33,959
97595,2,0,0,25,981,9,8,166
97594,126,2264,0,51,905,5,84,238
95681,2,1,5,37,144,7,45,534
95680,7,2196,4,67,143,6,2,895
90068,8,1110,0,78,187,9,56,757
90069,2,1111,0,6,909,2,24,62
95685,0,2,0,25,981,3,8,166
95684,0,105,0,19,81,3,28,503
95687,0,1,6,94,131,9,78,887
95686,0,22,0,85,272,3,67,645
90062,2,313,0,19,853,3,28,47
90063,0,60,6,94,584,9,35,600
90060,126,2264,0,25,550,6,71,223
90061,2,13,4,67,143,6,98,27
90066,2,1112,0,42,788,7,91,68
90067,2,1113,6,94,380,9,64,762
90064,126,2264,6,25,417,9,94,99
90065,2,362,0,25,252,9,54,314
121169,1,5,0,19,644,3,28,284
121168,1,5,6,9,860,9,15,593
121167,1,83,0,90,368,4,71,52
121166,1,2,0,76,686,5,88,101
121165,1,2,6,94,473,9,32,828
121164,1,2,6,25,824,9,4,349
121163,1,1,0,29,489,9,56,757
121162,1,5,0,42,169,7,8,131
121161,0,1,0,85,176,4,67,815
121160,1,5,0,55,215,6,80,490
212970,2,1,0,9,26,9,1,490
96888,1,2,0,3,373,9,14,856
96889,2,1,0,25,928,4,8,120
96882,1,12,0,25,650,7,8,431
96883,0,3,6,9,327,9,78,367
96880,0,105,4,12,347,6,40,892
96881,2,13,0,42,117,7,8,397
96886,0,131,0,95,358,4,8,756
96887,3,7,1,91,787,9,71,775
96884,0,22,6,3,485,9,14,764
96885,1,5,5,27,547,7,6,267
112848,1,2,4,67,538,6,98,203
112849,0,1,6,15,150,9,52,191
112846,0,1,4,67,857,6,98,715
112847,1,2,3,6,842,2,24,604
112844,1,1,6,21,246,9,25,688
112845,1,2,0,19,899,3,28,71
112842,0,21,0,19,81,3,28,795
112843,0,52,0,41,633,9,1,121
112840,2,1,0,9,345,9,71,178
112841,0,1,6,3,507,9,14,856
94769,3,1114,6,10,210,9,12,356
94765,2,382,0,25,928,9,8,120
94764,2,44,0,29,129,9,56,228
94767,2,90,0,48,949,4,81,827
94766,2,1115,6,94,988,9,32,301
94761,1,5,0,25,671,9,71,591
94760,2,104,0,9,373,9,71,942
94763,2,234,0,96,413,9,79,546
94762,3,1116,0,96,454,9,79,42
93317,2,206,0,25,716,7,8,667
91620,0,35,6,70,29,9,26,58
85755,2,44,6,25,417,9,94,99
89833,1,83,0,19,853,3,28,503
89832,2,9,0,9,321,2,78,119
89831,43,389,4,12,486,6,49,246
89830,3,1,0,76,686,5,88,101
89837,2,1117,6,3,485,9,14,764
89836,0,3,5,23,778,7,80,490
89835,0,22,0,23,778,7,8,18
89834,2,57,0,25,775,9,62,124
89839,2,13,0,25,457,4,8,333
89838,0,3,0,62,537,9,33,829
91625,2,90,0,9,731,9,78,11
97863,82,21,6,94,473,9,32,762
97862,1,2,0,41,562,4,67,838
97861,0,3,0,25,454,9,8,120
97860,126,2264,0,25,856,9,4,624
97867,2,40,6,91,173,9,26,512
97866,2,0,0,25,568,5,88,439
97865,126,2264,0,41,645,3,67,912
97864,2,25,0,25,483,4,34,339
97869,3,567,6,21,876,9,25,688
97868,2,206,4,72,193,1,98,41
108225,107,1357,0,30,141,3,28,71
111769,96,1,0,90,46,3,28,159
92334,1,2,0,25,25,9,8,862
92335,0,22,0,34,424,9,1,613
92336,2,394,0,25,306,9,8,313
92337,2,277,3,88,564,2,18,315
92330,3,574,4,67,596,6,98,913
92331,3,678,0,25,149,9,8,18
92332,0,35,6,94,552,9,32,72
92333,2,127,0,18,837,6,16,964
92338,2,1827,0,19,72,3,28,159
92339,1,2,4,67,788,6,91,68
148485,2,1,0,84,293,1,22,34
148484,2,1,6,3,945,9,14,950
118105,0,36,0,66,779,9,4,251
118104,1,5,6,9,312,9,71,590
118107,1,59,0,35,435,2,66,53
102230,2,30,0,25,582,9,71,794
118106,1,2,0,18,975,9,4,235
90760,1,2,0,9,345,9,71,896
118101,1,1,0,30,141,3,28,47
102232,2,13,0,25,650,1,8,120
118100,1,83,0,34,244,9,1,97
102233,0,3,0,34,244,9,1,97
118103,1,83,0,34,244,9,1,97
102234,0,3,0,41,645,4,67,912
118102,1,5,0,6,122,2,24,609
96055,2,50,2,3,485,4,14,764
96054,2,9,0,25,731,6,8,11
96057,0,3,0,9,761,9,55,527
96056,1,5,6,3,56,9,27,694
96051,126,2264,0,9,582,9,71,778
96050,2,13,0,41,633,3,1,188
96053,3,236,6,3,485,9,14,330
96052,2,37,0,78,343,9,56,241
96059,0,326,4,72,15,1,98,462
96058,3,1120,5,37,144,7,45,93
106258,1,2,0,78,343,9,56,241
106259,1,2,6,21,967,9,38,236
106256,2,91,0,73,470,9,21,182
106257,2,1,0,74,408,2,23,779
106254,2,1,6,32,512,9,15,32
106255,2,68,0,9,545,9,71,346
106252,1,5,0,25,149,9,8,667
106253,3,1,0,96,886,9,79,546
106250,1,5,0,50,525,3,1,582
106251,1,5,3,6,842,2,24,604
105509,1,1,0,19,853,3,28,47
105508,1,2,4,67,630,6,2,200
105507,0,167,0,35,723,2,53,100
105506,36,2,0,25,373,9,8,120
105505,0,21,0,34,424,9,1,613
105504,1,5,6,21,246,9,25,666
105503,2,664,5,23,788,7,91,804
105502,1,83,6,94,217,9,32,434
105501,2,76,0,76,165,5,88,158
105500,1,1,6,15,150,9,52,191
99146,2,866,6,15,150,9,52,191
99147,126,2264,0,30,899,3,28,47
99144,0,12,0,35,18,2,53,500
99145,0,93,0,9,25,9,1,896
99142,0,10,0,25,572,9,8,223
99143,126,2264,0,25,775,9,62,124
99140,0,22,0,35,18,6,66,500
99141,0,12,6,94,995,9,32,45
99148,2,7,6,3,507,9,27,856
99149,0,36,0,51,534,9,84,44
108908,1,5,0,9,337,9,4,178
108909,2,1,4,83,143,6,90,27
108904,1,68,6,94,380,9,32,429
108905,1,5,6,21,967,9,38,236
108906,1,5,6,21,669,9,38,890
108907,1,5,6,3,493,9,27,330
108900,1,2,0,41,633,3,1,188
108901,1,5,0,25,373,9,14,840
108902,1,5,6,32,879,9,15,32
108903,1,1,6,70,29,9,26,58
107611,1,2,4,67,143,7,98,895
107610,1,2,0,25,937,4,4,745
107612,1,5,0,25,650,7,8,431
107615,2,30,1,91,173,9,44,66
107616,2,30,6,21,380,9,38,429
112103,1,5,0,25,13,4,8,530
112102,2,9,6,21,967,9,38,236
112101,2,1,0,19,491,3,28,40
112100,1,2,6,70,29,9,26,429
112107,1,1,6,15,464,9,52,231
112106,1,2,0,91,373,9,71,652
112105,0,1,0,25,928,9,8,120
112104,2,1,0,73,689,9,21,182
112108,0,1,0,12,166,6,40,174
108278,2,30,0,25,671,9,8,591
108279,2,1,6,3,536,9,27,312
108272,1,2,0,25,149,7,8,431
108273,1,68,6,70,29,9,26,58
108270,1,5,4,72,410,6,40,192
108271,1,5,0,25,694,9,8,689
108276,1,5,0,65,135,4,8,714
108277,1,5,6,15,464,9,52,231
108274,1,2,0,25,572,6,8,223
108275,1,5,6,15,464,9,52,231
103619,0,10,0,90,368,3,71,52
103618,0,10,6,21,967,9,38,236
91524,0,1,0,9,545,9,71,206
91525,2,2242,0,9,321,9,78,119
91526,0,48,6,94,648,9,32,45
91527,2,79,6,70,29,9,26,58
91520,0,748,0,87,287,9,78,703
103610,1,1,0,29,85,9,56,757
91522,0,2243,6,94,780,9,32,928
91523,0,1,0,96,454,3,79,546
145626,1,5,6,3,945,9,14,950
145627,1,59,4,52,634,6,43,801
145624,1,2,0,25,544,9,4,745
145625,1,1,4,67,538,6,98,661
145628,1,1,6,32,860,9,15,688
145629,1,1,3,35,843,2,66,690
101617,0,1,0,9,25,9,4,693
101616,2,30,0,84,610,3,22,872
101615,2,30,0,25,25,5,1,530
101614,0,2,6,96,694,9,78,356
101613,0,3,0,41,25,9,1,896
101612,0,1,6,32,512,9,15,788
101611,0,12,0,51,534,9,84,44
101619,0,10,0,25,26,4,1,850
101618,1,2,0,42,928,7,8,350
103598,2,7,0,96,373,9,71,390
106443,1,5,0,96,373,9,71,652
91381,69,772,0,25,306,9,8,313
91382,2,983,4,72,106,6,98,706
106440,2,30,0,30,854,3,28,47
106447,1,1,0,25,176,9,4,815
106446,1,5,0,91,151,9,71,19
91387,3,1123,0,25,775,3,62,124
182567,2,2,0,62,189,9,33,959
182568,2,1,0,42,169,4,8,350
85495,2,428,0,29,489,9,56,757
85494,2,548,0,41,372,9,1,411
85497,126,2264,7,6,155,2,57,893
85496,2,7,6,3,507,9,27,856
85491,2,252,7,74,122,2,23,372
85490,126,2264,0,91,151,9,71,571
85493,2,1541,6,3,507,9,14,856
85492,2,1,3,98,555,2,42,731
85499,2,9,0,3,485,4,14,764
85498,0,116,0,54,795,4,8,299
1515499,1,2,0,90,368,3,8,52
1515492,1,59,6,94,152,9,35,280
85723,2,9,6,94,468,9,32,828
85722,126,2264,4,67,143,6,98,895
85721,2,1125,0,90,46,3,28,159
85720,2,649,0,62,189,9,33,858
85727,3,1126,6,62,624,9,33,959
85726,2,1,6,9,35,9,71,561
85725,2,1,4,67,230,6,98,419
85724,49,1741,0,74,918,7,23,685
85729,0,50,0,34,424,9,1,406
85728,2,542,0,19,81,3,28,660
87383,126,2264,0,25,149,9,8,936
87382,126,2264,0,25,975,9,4,13
87381,126,2264,6,96,790,9,79,390
87380,126,2264,0,62,624,9,33,959
87387,126,2264,0,9,327,9,78,637
87386,126,2264,0,9,373,9,71,898
87385,2,1,0,25,273,9,8,862
87384,126,2264,6,94,988,9,32,301
87389,126,2264,6,94,988,9,32,301
87388,126,2264,0,30,2,3,28,526
87659,126,2264,6,3,945,9,14,950
87658,3,334,6,3,120,9,14,377
87651,126,2264,0,23,804,4,54,735
87650,2,1128,0,87,886,9,79,703
87653,3,1129,3,88,437,2,0,732
87652,2,234,6,96,373,9,79,72
87655,126,2264,6,94,986,9,32,432
87654,3,1130,0,25,25,9,8,862
87657,126,2264,0,41,633,3,49,682
87656,126,2264,0,55,414,7,80,523
99047,0,1131,0,25,457,9,8,333
89589,2,6,0,35,18,2,53,500
89588,126,2264,0,41,650,3,8,838
99046,1,1,6,94,988,9,94,301
89583,126,2264,6,21,967,9,38,236
89582,3,62,0,96,918,8,8,685
89581,2,7,0,9,566,7,71,23
89580,2,57,6,91,373,9,71,652
89587,2,542,6,25,896,9,32,230
89586,2,304,7,6,909,2,24,609
89585,3,159,0,42,49,4,8,836
89584,0,36,5,45,498,7,54,918
99044,2,622,7,74,928,7,8,18
99043,0,22,0,73,470,9,21,182
99042,1,3,6,3,271,9,14,561
2620885,1,12,0,42,169,7,8,484
2620886,1,5,6,25,353,9,8,120
2620881,1,71,6,94,584,9,35,600
2620880,126,2264,6,94,312,9,32,368
99040,0,12,0,9,650,9,78,693
2620889,2,204,0,19,701,3,56,614
2620888,2,13,0,41,279,3,1,518
88988,126,2264,5,45,956,7,6,612
