,year,indegree,pagerank
2381647,1768,1,0.190294957184
2381728,1768,1,0.190294957184
2381753,1773,0,0.0285442435775
2381785,1776,0,0.0285442435775
2381788,1764,0,0.0285442435775
2381794,1780,0,0.0285442435775
2381807,1778,0,0.0285442435775
2381817,1778,0,0.0285442435775
810012,1760,0,0.0285442435775
84581,1754,0,0.0285442435775
84582,1759,0,0.0285442435775
84583,1760,0,0.0285442435775
84585,1763,0,0.0285442435775
84586,1764,1,0.0528068506185
84587,1764,0,0.0285442435775
84589,1768,0,0.0285442435775
84590,1773,0,0.0285442435775
84591,1773,0,0.0285442435775
84593,1778,0,0.0285442435775
84595,1780,1,0.0528068506185
84596,1780,0,0.0285442435775
84643,1766,0,0.0285442435775
