,year,indegree,pagerank
1299599,1792,0,0.00290486564997
1299604,1796,0,0.00290486564997
1299616,1793,0,0.00290486564997
1299622,1796,0,0.00290486564997
1299628,1792,0,0.00290486564997
1299643,1792,0,0.00290486564997
1300133,1796,0,0.00290486564997
1300139,1798,0,0.00290486564997
1300161,1793,1,0.0193657709997
1300165,1793,0,0.00290486564997
1303430,1793,1,0.0193657709997
1303451,1795,0,0.00290486564997
1303460,1794,1,0.0193657709997
1303466,1795,0,0.00290486564997
1303472,1791,0,0.00290486564997
1303477,1795,0,0.00290486564997
1303496,1792,1,0.0193657709997
1303501,1793,0,0.00290486564997
1303508,1790,0,0.00290486564997
1303513,1791,0,0.00290486564997
1303519,1785,0,0.00290486564997
1303525,1795,0,0.00290486564997
1303532,1795,0,0.00290486564997
1303537,1793,0,0.00290486564997
1303592,1792,0,0.00290486564997
1303599,1795,0,0.00290486564997
1303605,1796,0,0.00290486564997
1303625,1797,0,0.00290486564997
1303682,1791,0,0.00290486564997
1303689,1795,0,0.00290486564997
1303693,1797,0,0.00290486564997
1303706,1790,0,0.00290486564997
1303711,1782,0,0.00290486564997
1303716,1793,0,0.00290486564997
1303722,1793,0,0.00290486564997
1303728,1790,0,0.00290486564997
1304342,1782,0,0.00290486564997
1304346,1792,0,0.00290486564997
1304349,1792,1,0.0193657709997
1306761,1793,1,0.0193657709997
2095284,1796,0,0.00290486564997
2096950,1796,0,0.00290486564997
2098227,1796,0,0.00290486564997
2158753,1798,0,0.00290486564997
2160646,1794,0,0.00290486564997
2213364,1799,0,0.00290486564997
2215103,1796,0,0.00290486564997
2216108,1795,0,0.00290486564997
2217721,1798,0,0.00290486564997
2218550,1796,0,0.00290486564997
2219105,1796,0,0.00290486564997
2219671,1798,0,0.00290486564997
2220154,1796,0,0.00290486564997
2220732,1796,0,0.00290486564997
2223136,1799,0,0.00290486564997
2224213,1796,0,0.00290486564997
2224796,1798,0,0.00290486564997
2225264,1799,0,0.00290486564997
2225895,1797,0,0.00290486564997
2228460,1798,0,0.00290486564997
2229179,1795,0,0.00290486564997
2229888,1797,0,0.00290486564997
2230740,1795,0,0.00290486564997
2232416,1799,0,0.00290486564997
2273280,1796,0,0.00290486564997
2346358,1797,0,0.00290486564997
2347065,1796,0,0.00290486564997
2351149,1796,0,0.00290486564997
2381610,1786,0,0.00290486564997
2381613,1789,0,0.00290486564997
2381617,1788,0,0.00290486564997
2381620,1784,0,0.00290486564997
2381633,1782,0,0.00290486564997
2381641,1787,0,0.00290486564997
2381644,1788,0,0.00290486564997
2381647,1768,1,0.0193657709997
2381650,1788,0,0.00290486564997
2381653,1788,0,0.00290486564997
2381656,1788,0,0.00290486564997
2381659,1789,0,0.00290486564997
2381663,1789,0,0.00290486564997
2381666,1785,0,0.00290486564997
2381670,1788,0,0.00290486564997
2381683,1788,0,0.00290486564997
2381708,1786,0,0.00290486564997
2381711,1787,0,0.00290486564997
2381714,1782,0,0.00290486564997
2381715,1788,0,0.00290486564997
2381718,1782,0,0.00290486564997
2381723,1785,0,0.00290486564997
2381728,1768,1,0.0193657709997
2381730,1785,0,0.00290486564997
2381736,1789,0,0.00290486564997
2381741,1788,0,0.00290486564997
2381743,1784,0,0.00290486564997
2381750,1788,0,0.00290486564997
2381753,1773,0,0.00290486564997
2381756,1787,0,0.00290486564997
2381757,1785,0,0.00290486564997
2381760,1788,0,0.00290486564997
2381762,1781,0,0.00290486564997
2381764,1784,0,0.00290486564997
2381770,1789,0,0.00290486564997
2381772,1789,0,0.00290486564997
2381775,1788,0,0.00290486564997
2381777,1785,0,0.00290486564997
2381780,1788,0,0.00290486564997
2381785,1776,0,0.00290486564997
2381788,1764,0,0.00290486564997
2381791,1788,0,0.00290486564997
2381794,1780,0,0.00290486564997
2381795,1786,0,0.00290486564997
2381800,1788,0,0.00290486564997
2381802,1788,0,0.00290486564997
2381805,1785,0,0.00290486564997
2381807,1778,0,0.00290486564997
2381810,1789,0,0.00290486564997
2381816,1785,0,0.00290486564997
2381817,1778,0,0.00290486564997
2381820,1788,0,0.00290486564997
2620818,1791,0,0.00290486564997
2620824,1800,0,0.00290486564997
2620825,1800,0,0.00290486564997
2620826,1794,0,0.00290486564997
2620828,1800,0,0.00290486564997
2620829,1800,0,0.00290486564997
2620831,1797,0,0.00290486564997
2620833,1792,0,0.00290486564997
2620834,1800,0,0.00290486564997
2620835,1793,0,0.00290486564997
2620840,1793,0,0.00290486564997
2620842,1793,1,0.0193657709997
2620843,1800,0,0.00290486564997
2620844,1795,0,0.00290486564997
2620845,1800,0,0.00290486564997
2620847,1800,0,0.00290486564997
2620848,1799,0,0.00290486564997
2620852,1800,0,0.00290486564997
2620854,1800,0,0.00290486564997
2620857,1796,0,0.00290486564997
2620859,1792,0,0.00290486564997
2620861,1794,1,0.0193657709997
2620863,1800,0,0.00290486564997
2620864,1796,0,0.00290486564997
2620868,1800,0,0.00290486564997
2620869,1791,0,0.00290486564997
810012,1760,0,0.00290486564997
84581,1754,0,0.00290486564997
84582,1759,0,0.00290486564997
84583,1760,0,0.00290486564997
84585,1763,0,0.00290486564997
84586,1764,1,0.00537400145244
84587,1764,0,0.00290486564997
84589,1768,0,0.00290486564997
84590,1773,0,0.00290486564997
84591,1773,0,0.00290486564997
84593,1778,0,0.00290486564997
84595,1780,1,0.00537400145244
84596,1780,0,0.00290486564997
84597,1781,0,0.00290486564997
84598,1782,1,0.00537400145244
84599,1783,0,0.00290486564997
84600,1783,0,0.00290486564997
84601,1781,0,0.00290486564997
84602,1784,0,0.00290486564997
84604,1784,0,0.00290486564997
84605,1784,0,0.00290486564997
84606,1785,0,0.00290486564997
84607,1785,0,0.00290486564997
84608,1785,0,0.00290486564997
84609,1785,0,0.00290486564997
84610,1786,0,0.00290486564997
84611,1786,0,0.00290486564997
84612,1786,0,0.00290486564997
84613,1786,0,0.00290486564997
84614,1787,0,0.00290486564997
84615,1787,0,0.00290486564997
84618,1788,0,0.00290486564997
84619,1788,0,0.00290486564997
84620,1788,1,0.00537400145244
84621,1788,0,0.00290486564997
84623,1788,0,0.00290486564997
84624,1788,0,0.00290486564997
84625,1789,0,0.00290486564997
84626,1789,0,0.00290486564997
84627,1789,0,0.00290486564997
84628,1789,0,0.00290486564997
84629,1789,0,0.00290486564997
84630,1781,0,0.00290486564997
84631,1781,0,0.00290486564997
84632,1782,0,0.00290486564997
84633,1788,0,0.00290486564997
84635,1790,0,0.00290486564997
84636,1790,0,0.00290486564997
84637,1790,0,0.00290486564997
84638,1790,0,0.00290486564997
84639,1790,0,0.00290486564997
84640,1790,0,0.00290486564997
84641,1790,0,0.00290486564997
84643,1766,0,0.00290486564997
84644,1781,0,0.00290486564997
84645,1781,0,0.00290486564997
84646,1785,0,0.00290486564997
84647,1786,0,0.00290486564997
84648,1787,0,0.00290486564997
84649,1788,0,0.00290486564997
84650,1789,0,0.00290486564997
84651,1790,0,0.00290486564997
84652,1791,0,0.00290486564997
84654,1792,0,0.00290486564997
84655,1792,0,0.00290486564997
84656,1792,0,0.00290486564997
84657,1792,0,0.00290486564997
84658,1793,0,0.00290486564997
84659,1793,0,0.00290486564997
84660,1794,0,0.00290486564997
84661,1795,0,0.00290486564997
84662,1795,0,0.00290486564997
84663,1795,0,0.00290486564997
84664,1796,0,0.00290486564997
84665,1796,0,0.00290486564997
84666,1796,0,0.00290486564997
84667,1797,0,0.00290486564997
84668,1797,0,0.00290486564997
84669,1792,0,0.00290486564997
84670,1791,0,0.00290486564997
84671,1794,1,0.0193657709997
84672,1796,0,0.00290486564997
84673,1796,0,0.00290486564997
84674,1797,0,0.00290486564997
84675,1797,0,0.00290486564997
84676,1798,0,0.00290486564997
84677,1790,0,0.00290486564997
84678,1791,0,0.00290486564997
84679,1792,0,0.00290486564997
84680,1792,0,0.00290486564997
84682,1793,0,0.00290486564997
84683,1794,0,0.00290486564997
84684,1795,0,0.00290486564997
84685,1795,0,0.00290486564997
84686,1796,0,0.00290486564997
84688,1796,0,0.00290486564997
84690,1797,0,0.00290486564997
84691,1797,0,0.00290486564997
84692,1797,0,0.00290486564997
84693,1797,0,0.00290486564997
84694,1798,0,0.00290486564997
84695,1798,0,0.00290486564997
84696,1799,0,0.00290486564997
84697,1799,1,0.00537400145244
84699,1798,0,0.00290486564997
84700,1798,0,0.00290486564997
84701,1799,0,0.00290486564997
84702,1799,0,0.00290486564997
84703,1799,0,0.00290486564997
84704,1799,0,0.00290486564997
84705,1799,0,0.00290486564997
84707,1799,0,0.00290486564997
84708,1800,0,0.00290486564997
84710,1800,0,0.00290486564997
84715,1794,1,0.0193657709997
84716,1795,0,0.00290486564997
84717,1798,0,0.00290486564997
84718,1799,0,0.00290486564997
84719,1799,0,0.00290486564997
84721,1800,0,0.00290486564997
84722,1800,0,0.00290486564997
84723,1800,0,0.00290486564997
84724,1800,0,0.00290486564997
84728,1792,0,0.00290486564997
84739,1800,0,0.00290486564997
84740,1800,0,0.00290486564997
