,year,indegree,pagerank
1119427,1810,1,0.00856842962104
1119486,1810,1,0.00856842962104
1143192,1810,1,0.00660000659999
1299599,1792,0,0.00128526444316
1299604,1796,0,0.00128526444316
1299616,1793,0,0.00128526444316
1299622,1796,0,0.00128526444316
1299628,1792,0,0.00128526444316
1299643,1792,0,0.00128526444316
1300133,1796,0,0.00128526444316
1300139,1798,0,0.00128526444316
1300161,1793,1,0.00856842962104
1300165,1793,0,0.00128526444316
1303430,1793,1,0.00856842962104
1303451,1795,0,0.00128526444316
1303460,1794,1,0.00856842962104
1303466,1795,0,0.00128526444316
1303472,1791,0,0.00128526444316
1303477,1795,0,0.00128526444316
1303496,1792,1,0.00856842962104
1303501,1793,0,0.00128526444316
1303508,1790,0,0.00128526444316
1303513,1791,0,0.00128526444316
1303519,1785,0,0.00128526444316
1303525,1795,0,0.00128526444316
1303532,1795,0,0.00128526444316
1303537,1793,0,0.00128526444316
1303592,1792,0,0.00128526444316
1303599,1795,0,0.00128526444316
1303605,1796,0,0.00128526444316
1303625,1797,0,0.00128526444316
1303682,1791,0,0.00128526444316
1303689,1795,0,0.00128526444316
1303693,1797,0,0.00128526444316
1303706,1790,0,0.00128526444316
1303711,1782,0,0.00128526444316
1303716,1793,0,0.00128526444316
1303722,1793,0,0.00128526444316
1303728,1790,0,0.00128526444316
1304342,1782,0,0.00128526444316
1304346,1792,0,0.00128526444316
1304349,1792,1,0.00856842962103
1306761,1793,1,0.00856842962103
2095284,1796,0,0.00128526444316
2096950,1796,0,0.00128526444316
2098227,1796,0,0.00128526444316
2158753,1798,0,0.00128526444316
2160646,1794,0,0.00128526444316
2213364,1799,0,0.00128526444316
2215103,1796,0,0.00128526444316
2216108,1795,0,0.00128526444316
2217721,1798,0,0.00128526444316
2218550,1796,0,0.00128526444316
2219105,1796,0,0.00128526444316
2219671,1798,0,0.00128526444316
2220154,1796,0,0.00128526444316
2220732,1796,0,0.00128526444316
2223136,1799,0,0.00128526444316
2224213,1796,0,0.00128526444316
2224796,1798,0,0.00128526444316
2225264,1799,0,0.00128526444316
2225895,1797,0,0.00128526444316
2228460,1798,0,0.00128526444316
2229179,1795,0,0.00128526444316
2229888,1797,0,0.00128526444316
2230740,1795,0,0.00128526444316
