CLid,year,indegree,pagerank
100000,1922,1,2.75694013453e-05
100001,1922,0,2.519031595e-05
100002,1922,2,2.68956293988e-05
100003,1922,1,2.7864755305e-05
100004,1922,2,2.93633946422e-05
100005,1922,1,2.69603574847e-05
100006,1922,2,3.11886487284e-05
100007,1922,8,4.96842654634e-05
100008,1922,0,2.519031595e-05
100009,1922,7,4.33672612775e-05
100010,1922,5,4.32878872196e-05
100011,1922,10,5.01284236026e-05
100012,1922,0,2.519031595e-05
100013,1922,3,3.90603838045e-05
100014,1922,3,3.4005400008e-05
100015,1922,3,3.24600999375e-05
100016,1922,2,3.26470479507e-05
100017,1922,0,2.519031595e-05
100018,1922,12,0.00010931815851
100019,1922,0,2.519031595e-05
100020,1922,3,5.04552573096e-05
100021,1922,2,2.84916361616e-05
100022,1922,6,4.32313825686e-05
100023,1922,4,3.68170236304e-05
100024,1922,2,2.65737867905e-05
100025,1922,7,4.96861389106e-05
100026,1922,1,2.65285514849e-05
100027,1922,0,2.519031595e-05
100028,1922,1,2.61295104258e-05
100029,1922,0,2.519031595e-05
100030,1922,2,2.85840481577e-05
100031,1922,0,2.519031595e-05
100032,1922,4,4.49806912412e-05
100033,1922,2,2.84020812337e-05
100034,1922,0,2.519031595e-05
100035,1922,2,2.76091989562e-05
100036,1922,2,2.87444850958e-05
100037,1922,2,2.77648262171e-05
100038,1922,3,4.39735949013e-05
100039,1922,5,3.36641129787e-05
100040,1922,5,3.9289333177e-05
100041,1922,0,2.519031595e-05
100042,1922,3,3.36227044035e-05
100043,1922,1,3.08094595023e-05
100044,1922,2,2.893461552e-05
100045,1922,1,2.82491400297e-05
100046,1922,2,2.97105782011e-05
100047,1922,0,2.519031595e-05
100048,1922,0,2.519031595e-05
100049,1922,0,2.519031595e-05
100050,1922,0,2.519031595e-05
100051,1922,2,4.29261891985e-05
100052,1922,1,2.65285514849e-05
100053,1922,9,3.86927184379e-05
100054,1922,6,3.84451401788e-05
100055,1922,7,6.16978039232e-05
100056,1922,0,2.519031595e-05
