,year,indegree,pagerank
1087620,1858,0,0.000264770491785
1087659,1837,1,0.000489825409802
1087736,1829,0,0.000264770491785
1087764,1844,1,0.00176513661189
1087976,1820,0,0.000264770491785
1101065,1818,0,0.000264770491785
1101108,1818,0,0.000264770491785
1101120,1818,1,0.00176513661189
1101123,1818,1,0.000766849956636
1101126,1818,0,0.000264770491785
1101162,1818,1,0.000590681723354
1101164,1818,0,0.000264770491785
1119427,1810,1,0.00176513661189
1119486,1810,1,0.00176513661189
1143192,1810,1,0.00135963225511
1158864,1856,0,0.000264770491785
1299599,1792,0,0.000264770491785
1299604,1796,0,0.000264770491785
1299616,1793,0,0.000264770491785
1299622,1796,0,0.000264770491785
1299628,1792,0,0.000264770491785
1299643,1792,0,0.000264770491785
1300133,1796,0,0.000264770491785
1300139,1798,0,0.000264770491785
1300161,1793,1,0.00176513661189
1300165,1793,0,0.000264770491785
1303430,1793,1,0.00176513661189
1303451,1795,0,0.000264770491785
1303460,1794,1,0.00176513661189
1303466,1795,0,0.000264770491785
1303472,1791,0,0.000264770491785
1303477,1795,0,0.000264770491785
1303496,1792,1,0.00176513661189
1303501,1793,0,0.000264770491785
1303508,1790,0,0.000264770491785
1303513,1791,0,0.000264770491785
1303519,1785,0,0.000264770491785
1303525,1795,0,0.000264770491785
1303532,1795,0,0.000264770491785
1303537,1793,0,0.000264770491785
1303592,1792,0,0.000264770491785
1303599,1795,0,0.000264770491785
1303605,1796,0,0.000264770491785
1303625,1797,0,0.000264770491785
1303682,1791,0,0.000264770491785
1303689,1795,0,0.000264770491785
1303693,1797,0,0.000264770491785
1303706,1790,0,0.000264770491785
1303711,1782,0,0.000264770491785
1303716,1793,0,0.000264770491785
1303722,1793,0,0.000264770491785
1303728,1790,0,0.000264770491785
1304342,1782,0,0.000264770491785
1304346,1792,0,0.000264770491785
1304349,1792,1,0.00176513661189
1306761,1793,1,0.00176513661189
1318977,1847,2,0.00070812721221
1327335,1836,0,0.000264770491785
1327338,1836,0,0.000264770491785
1370564,1850,1,0.000321034221289
1383887,1846,1,0.00176513661189
1390946,1814,1,0.000590681723355
1394575,1814,0,0.000264770491785
1394601,1814,0,0.000264770491785
1394610,1814,1,0.00176513661189
1611707,1832,1,0.00176513661189
1614072,1832,1,0.00176513661189
1615134,1832,1,0.00176513661189
1619945,1832,0,0.000264770491785
1655414,1816,2,0.000546089139307
1688164,1854,0,0.000264770491785
1691871,1824,0,0.000264770491785
1765367,1851,1,0.00176513661189
1765468,1851,1,0.00176513661189
1783525,1851,1,0.00176513661189
2011405,1845,1,0.00176513661189
2012204,1845,1,0.00176513661189
2012233,1845,1,0.00176513661189
2095284,1796,0,0.000264770491785
2096950,1796,0,0.000264770491785
2098227,1796,0,0.000264770491785
2158753,1798,0,0.000264770491785
2160646,1794,0,0.000264770491785
2213364,1799,0,0.000264770491785
2215103,1796,0,0.000264770491785
2216108,1795,0,0.000264770491785
2217721,1798,0,0.000264770491785
2218550,1796,0,0.000264770491785
2219105,1796,0,0.000264770491785
2219671,1798,0,0.000264770491785
2220154,1796,0,0.000264770491785
2220732,1796,0,0.000264770491785
2223136,1799,0,0.000264770491785
2224213,1796,0,0.000264770491785
2224796,1798,0,0.000264770491785
2225264,1799,0,0.000264770491785
2225895,1797,0,0.000264770491785
2228460,1798,0,0.000264770491785
2229179,1795,0,0.000264770491785
2229888,1797,0,0.000264770491785
2230740,1795,0,0.000264770491785
2232416,1799,0,0.000264770491785
2273280,1796,0,0.000264770491785
2346358,1797,0,0.000264770491785
2347065,1796,0,0.000264770491785
2351149,1796,0,0.000264770491785
2381610,1786,0,0.000264770491785
2381613,1789,0,0.000264770491785
2381617,1788,0,0.000264770491785
2381620,1784,0,0.000264770491785
2381633,1782,0,0.000264770491785
2381641,1787,0,0.000264770491785
2381644,1788,0,0.000264770491785
2381647,1768,1,0.00176513661189
2381650,1788,0,0.000264770491785
2381653,1788,0,0.000264770491785
2381656,1788,0,0.000264770491785
2381659,1789,0,0.000264770491785
2381663,1789,0,0.000264770491785
2381666,1785,0,0.000264770491785
2381670,1788,0,0.000264770491785
2381683,1788,0,0.000264770491785
2381708,1786,0,0.000264770491785
2381711,1787,0,0.000264770491785
