CLid,year,indegree,pagerank
100000,1922,1,2.13867032732e-05
100001,1922,1,2.50383837966e-05
100002,1922,4,2.22697214219e-05
100003,1922,3,2.31848450768e-05
100004,1922,4,2.77335718101e-05
100005,1922,6,2.9040532132e-05
100006,1922,5,5.24831726347e-05
100007,1922,16,6.04726599651e-05
100008,1922,0,1.94893992046e-05
100009,1922,16,5.55731753832e-05
100010,1922,25,6.04995203169e-05
100011,1922,23,9.12840092396e-05
100012,1922,1,2.03218055643e-05
100013,1922,4,3.35341802471e-05
100014,1922,4,2.76382460777e-05
100015,1922,9,4.50188665423e-05
100016,1922,2,2.62853552162e-05
100017,1922,0,1.94893992046e-05
100018,1922,28,0.000163483020498
100019,1922,0,1.94893992046e-05
100020,1922,16,7.33294935055e-05
100021,1922,3,2.60858093252e-05
100022,1922,8,4.65471846594e-05
100023,1922,17,6.21554146232e-05
100024,1922,3,2.33071302483e-05
100025,1922,14,5.87653902512e-05
100026,1922,2,2.12133505459e-05
100027,1922,0,1.94893992046e-05
100028,1922,6,3.60460477158e-05
100029,1922,1,3.0119242354e-05
100030,1922,5,3.16249868809e-05
100031,1922,1,2.01818171578e-05
100032,1922,4,3.64185489088e-05
100033,1922,2,2.276451141e-05
100034,1922,10,2.91042662955e-05
100035,1922,5,2.9230184404e-05
100036,1922,4,2.55583831662e-05
100037,1922,7,3.27512088937e-05
100038,1922,3,3.40242298422e-05
100039,1922,17,3.9441873378e-05
100040,1922,13,4.30513320515e-05
100041,1922,0,1.94893992046e-05
100042,1922,11,4.08396796839e-05
100043,1922,1,2.53295424217e-05
100044,1922,7,3.30766812022e-05
100045,1922,1,2.19829997819e-05
100046,1922,2,2.35398086174e-05
100047,1922,0,1.94893992046e-05
100048,1922,0,1.94893992046e-05
100049,1922,1,2.10663145682e-05
100050,1922,1,2.11216144762e-05
100051,1922,2,3.32653764477e-05
100052,1922,8,3.29218111178e-05
100053,1922,12,4.08266458105e-05
100054,1922,9,3.76874620501e-05
100055,1922,15,8.55356691665e-05
100056,1922,1,2.09191881451e-05
