CLid,year,indegree,pagerank
100000,1922,1,1.11452117296e-05
100001,1922,1,1.35418442676e-05
100002,1922,7,1.51850336205e-05
100003,1922,14,2.67461881556e-05
100004,1922,4,1.87725738315e-05
100005,1922,9,2.85295869005e-05
100006,1922,5,3.58317481479e-05
100007,1922,21,5.32399665393e-05
100008,1922,0,1.01347723159e-05
100009,1922,21,4.89564083943e-05
100010,1922,56,0.000103971886758
100011,1922,34,0.000101152526278
100012,1922,1,1.06605755985e-05
100013,1922,4,1.78490740022e-05
100014,1922,4,1.52697077263e-05
100015,1922,9,3.6872562772e-05
100016,1922,2,1.4110618859e-05
100017,1922,0,1.01347723159e-05
100018,1922,38,0.000198014825414
100019,1922,0,1.01347723159e-05
100020,1922,26,6.75923637264e-05
100021,1922,3,1.61110757798e-05
100022,1922,10,5.53386883036e-05
100023,1922,24,0.00015220673111
100024,1922,3,1.77947896449e-05
100025,1922,23,4.62853545745e-05
100026,1922,3,1.62419708534e-05
100027,1922,1,1.08723937675e-05
100028,1922,10,3.09408241122e-05
100029,1922,1,1.57476344713e-05
100030,1922,5,2.18283164908e-05
100031,1922,1,1.09579371303e-05
100032,1922,4,1.98698488308e-05
100033,1922,2,1.48458374795e-05
100034,1922,27,4.99842319663e-05
100035,1922,5,1.88474722816e-05
100036,1922,4,1.47471085443e-05
100037,1922,13,4.3384499161e-05
100038,1922,3,1.77691855446e-05
100039,1922,18,3.04480023366e-05
100040,1922,19,3.09167897958e-05
100041,1922,0,1.01347723159e-05
100042,1922,16,3.79260274745e-05
100043,1922,1,1.45653621946e-05
100044,1922,8,3.1065274185e-05
100045,1922,1,1.16203053027e-05
100046,1922,2,1.25050413881e-05
100047,1922,2,1.08838641827e-05
100048,1922,1,1.29181671168e-05
100049,1922,1,1.10549110777e-05
100050,1922,1,1.55902871726e-05
100051,1922,4,1.88225511869e-05
100052,1922,26,5.60682332318e-05
100053,1922,14,2.68285097366e-05
100054,1922,9,2.98285225471e-05
100055,1922,21,9.0214809618e-05
100056,1922,1,1.30379124233e-05
100057,1922,0,1.01347723159e-05
100058,1922,2,1.24429358764e-05
100059,1922,11,5.74596312283e-05
100060,1922,1,1.09784544635e-05
100061,1922,50,9.24472420243e-05
100062,1922,6,2.26172369729e-05
100063,1922,33,6.89166901344e-05
100064,1922,26,0.00010066314117
100065,1922,3,1.34751814555e-05
100066,1922,5,1.97709787778e-05
100067,1922,3,1.24125860697e-05
100068,1922,5,1.79426460174e-05
100069,1922,0,1.01347723159e-05
100070,1922,12,2.56138374843e-05
100071,1922,8,4.98893438837e-05
100072,1922,18,4.22551368517e-05
100073,1922,4,3.50246837544e-05
100074,1922,7,2.56609713409e-05
100075,1922,8,2.90764387852e-05
100076,1922,16,2.44684623688e-05
100077,1922,21,5.79569695196e-05
100078,1922,9,2.35612631154e-05
100079,1922,54,5.76081148197e-05
100080,1922,0,1.01347723159e-05
100081,1923,9,2.94925186405e-05
100082,1923,1,1.22288790131e-05
100083,1923,20,3.65392242221e-05
100084,1923,6,5.33297774283e-05
100085,1923,1,1.04698882892e-05
100086,1923,6,2.26072184275e-05
100087,1923,2,1.21758171172e-05
100088,1923,15,5.90542086534e-05
100089,1923,8,2.59760170702e-05
100090,1923,3,1.5163624138e-05
100091,1923,6,5.12918391641e-05
100092,1923,2,2.20889718059e-05
100093,1923,12,2.71080921068e-05
100094,1923,21,2.90715732684e-05
100095,1923,0,1.01347723159e-05
100096,1923,17,4.89962345727e-05
100097,1923,2,1.16218749492e-05
100098,1923,0,1.01347723159e-05
100099,1923,10,2.77473936579e-05
100100,1923,5,1.93501749937e-05
100101,1923,3,1.12628937708e-05
100102,1923,1,1.1206413835e-05
100103,1923,14,7.64633111021e-05
100104,1923,0,1.01347723159e-05
100105,1923,14,4.03730877725e-05
100106,1923,1,1.10369200101e-05
100107,1923,0,1.01347723159e-05
100108,1923,1,1.05774347134e-05
100109,1923,0,1.01347723159e-05
100110,1922,2,1.42346630796e-05
100111,1922,0,1.01347723159e-05
100112,1922,0,1.01347723159e-05
100113,1922,0,1.01347723159e-05
100115,1923,1,1.13975006894e-05
100116,1923,0,1.01347723159e-05
100117,1923,0,1.01347723159e-05
100118,1923,2,1.34728343005e-05
100119,1923,9,2.46060796375e-05
100120,1923,5,1.63840883372e-05
100121,1923,18,8.85014547238e-05
100122,1923,72,0.000252177315714
100123,1923,14,4.66681982146e-05
100124,1923,5,2.43960232621e-05
100125,1923,6,1.81231605081e-05
100126,1923,3,1.21964828088e-05
100127,1923,4,1.90643670493e-05
100128,1923,4,1.44027663926e-05
100129,1923,1,1.24201133281e-05
100130,1923,4,1.35332442007e-05
100131,1923,12,3.20080971272e-05
100132,1923,13,2.96507134575e-05
100133,1923,6,1.7876574691e-05
100134,1923,3,1.51450664498e-05
100135,1923,3,1.79124331055e-05
100136,1923,65,0.000178808766246
100137,1923,4,5.50312290408e-05
100138,1923,13,4.94424237518e-05
100139,1923,10,1.70358928787e-05
100140,1923,7,2.44605807796e-05
100141,1923,0,1.01347723159e-05
100142,1923,14,4.2592803434e-05
100143,1923,5,1.6088645691e-05
100144,1923,6,1.57687216564e-05
100145,1923,3,1.2326194443e-05
100146,1923,1,1.12972134273e-05
100147,1923,24,0.000102093677375
100148,1923,1,1.33597790396e-05
100149,1923,37,9.26024439714e-05
100150,1923,4,2.21728944407e-05
100151,1923,1,1.44420505501e-05
