,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,ordway,court,ordway,98978
1,schott,state,schott,98978
2,indian,ordway,indian,98978
3,bank,u,counti,98978
4,counti,counti,ventura,98978
5,ventura,v,galt,98978
6,galt,bond,westfal,98978
7,westfal,schott,pottawatomi,98978
8,pottawatomi,indian,bond,98978
9,rookerfeldman,claim,rookerfeldman,98978
10,railroad,compani,sureti,98978
11,divorc,error,comptrol,98978
12,gallup,judgment,divorc,98978
13,tax,railroad,u,98978
14,exxonmobil,case,gallup,98978
15,sabic,upon,exxonmobil,98978
16,court,bank,sabic,98978
17,error,unit,railroad,98978
18,entri,rep,roll,98978
19,sureti,record,rep,98978
20,comptrol,sureti,rooker,98978
21,pennsylvania,ventura,record,98978
22,associ,galt,bank,98978
23,acr,sup,entri,98978
24,survey,l,error,98978
25,rooker,westfal,court,98978
26,record,comptrol,statecourt,98978
27,taxat,pottawatomi,claim,98978
28,shipper,made,feldman,98978
29,husband,rookerfeldman,pennsylvania,98978
30,statecourt,ct,158750,98978
31,wit,plaintiff,acr,98978
32,feldman,law,shipper,98978
33,properti,divorc,associ,98978
34,injunct,shall,husband,98978
35,158750,act,judgment,98978
36,withdraw,jurisdict,”,98978
37,organ,question,withdraw,98978
38,”,entri,langham,98978
39,leas,gallup,wit,98978
40,bond,tax,survey,98978
41,langham,exxonmobil,taxat,98978
42,verdict,sabic,sup,98978
43,answer,co,matrimoni,98978
44,play,amount,organ,98978
45,busi,decre,lordship,98978
46,matrimoni,roll,play,98978
47,lordship,pennsylvania,report,98978
48,road,wit,leas,98978
49,feder,associ,persecut,98978
50,game,may,injunct,98978
51,persecut,properti,game,98978
52,compani,rate,distribut,98978
53,granit,acr,granit,98978
54,warrant,ed,answer,98978
55,lord,busi,alimoni,98978
56,alimoni,judg,locat,98978
57,bloomington,paid,bloomington,98978
58,corpor,said,verdict,98978
59,decre,survey,lord,98978
60,railway,person,foreman,98978
61,tabl,report,rate,98978
62,distribut,rooker,amount,98978
63,writ,taxat,paid,98978
64,certif,answer,judg,98978
65,locat,defend,tabl,98978
66,card,shipper,overcharg,98978
67,social,husband,busi,98978
68,case,statecourt,compani,98978
69,damag,parti,ronnie’,98978
70,bill,injunct,card,98978
71,report,organ,poker,98978
72,ninth,feldman,cost,98978
73,ronnie’,corpor,aggreg,98978
74,poker,158750,asylum,98978
75,sup,verdict,1893,98978
76,hundr,writ,ct,98978
77,danger,withdraw,currenc,98978
78,asylum,contract,social,98978
79,roll,action,l,98978
80,rep,leas,comptrollergener,98978
81,currenc,fact,quarri,98978
