,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,dartigau,court,dartigau,95042
1,newsrack,v,newsrack,95042
2,school,state,press,95042
3,press,dartigau,school,95042
4,speech,newsrack,speech,95042
5,citizen,school,inmat,95042
6,inmat,press,neck,95042
7,trademark,case,trademark,95042
8,neck,speech,quarri,95042
9,ticket,patent,ticket,95042
10,quarri,citizen,scotland,95042
11,scotland,land,citizen,95042
12,registr,inmat,survey,95042
13,commerci,power,docket,95042
14,docket,sct,registr,95042
15,disciplinari,led2d,commerci,95042
16,rate,survey,disciplinari,95042
17,bundl,trademark,bundl,95042
18,moistair,neck,pressur,95042
19,survey,ticket,moistair,95042
20,sheet,use,patent,95042
21,8b4b,quarri,sheet,95042
22,error,error,mark,95042
23,lecompt,compani,8b4b,95042
24,halifax,us,lecompt,95042
25,prison,scotland,halifax,95042
26,wolff,commerci,wolff,95042
27,legislatur,docket,pipeston,95042
28,compani,board,burn,95042
29,burn,registr,71—107,95042
30,pipeston,ct,white,95042
31,wit,rate,power,95042
32,71—107,u,825,95042
33,treati,disciplinari,amisvpearl,95042
34,writ,railroad,subcontractor,95042
35,nlrb,mark,petitionerveri,95042
36,pressur,pressur,noncollis,95042
37,taxat,co,wit,95042
38,licens,bundl,legislatur,95042
39,subcontractor,district,nlrb,95042
40,amisvpearl,wit,led2d,95042
41,mark,jurisdict,prison,95042
42,petitionerveri,moistair,rate,95042
43,825,would,cluensen,95042
44,patent,dismiss,system,95042
45,jurisdict,sheet,heat,95042
46,noncollis,legislatur,board,95042
47,heat,white,treati,95042
48,citat,citi,project,95042
49,cluensen,act,use,95042
50,scrip,8b4b,prairi,95042
51,descript,lecompt,scrip,95042
52,prairi,treati,citat,95042
53,power,halifax,procurador,95042
54,l,prison,dri,95042
55,court,burn,haenn,95042
56,winter,wolff,descript,95042
57,procurador,l,halcyon,95042
58,haenn,may,winter,95042
59,clerk,process,comun,95042
60,halcyon,ed,desegreg,95042
61,plaintiff,system,licens,95042
62,maximum,pipeston,devereux,95042
63,desegreg,writ,dismiss,95042
64,word,properti,strawbridg,95042
65,ed,claim,machin,95042
66,comun,appel,tie,95042
67,white,71—107,lianacoco,95042
68,tie,public,taxat,95042
69,tax,respond,landoffic,95042
70,devereux,licens,prettyman,95042
71,landoffic,unit,maximum,95042
72,strawbridg,one,milburn,95042
73,lianacoco,right,refit,95042
74,water,defend,nacogdoch,95042
75,union,nlrb,1550,95042
76,motion,taxat,fortythird,95042
77,certif,825,curtiss,95042
78,prettyman,subcontractor,guadiana,95042
79,employ,reason,process,95042
80,milburn,amisvpearl,1971,95042
81,refit,petitionerveri,1972,95042
82,ct,word,plat,95042
83,nacogdoch,grant,lackawanna,95042
84,curtiss,regul,43d,95042
85,1550,oper,strike,95042
86,fortythird,part,yankton,95042
87,appel,noncollis,noncommerci,95042
88,labor,union,8b4d,95042
89,guadiana,project,word,95042
90,state,petition,su,95042
91,engin,plaintiff,dingham,95042
92,dri,descript,emporia,95042
93,1971,heat,ellzey,95042
94,1972,citat,clerk,95042
95,lackawanna,machin,weld,95042
96,v,§,union,95042
97,project,upon,resurvey,95042
98,43d,cluensen,local,95042
99,dismiss,suit,tract,95042
100,plat,allow,211,95042
101,land,govern,land,95042
102,hear,scrip,describ,95042
103,yankton,gener,disclaim,95042
104,noncommerci,new,engin,95042
105,valu,prairi,railroad,95042
106,reserv,local,citi,95042
107,paper,dri,ceil,95042
108,system,law,thirdparti,95042
109,strike,motion,regist,95042
110,8b4d,work,prim,95042
111,u,decis,error,95042
112,columbia,rule,92,95042
113,211,winter,oper,95042
114,local,complaint,ct,95042
115,allow,procurador,neutral,95042
116,dingham,constitut,complaint,95042
117,counti,feder,barrett,95042
118,emporia,haenn,ream,95042
119,navig,clerk,locat,95042
120,ellzey,halcyon,indent,95042
121,weld,employ,columbia,95042
122,legisl,appeal,offici,95042
123,resurvey,order,poirier,95042
124,work,su,safeti,95042
125,regist,valu,surveyor,95042
126,tract,tie,paper,95042
127,properti,sup,conveni,95042
128,complaint,maximum,909,95042
