,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,bemiss,court,territori,92252
1,subclaus,state,compani,92252
2,rapley,case,land,92252
3,ton,v,bridg,92252
4,fsia,compani,bankrupt,92252
5,toolco,land,texa,92252
6,bridg,act,court,92252
7,whiski,law,note,92252
8,contracept,unit,bemiss,92252
9,parol,upon,senat,92252
10,paint,defend,subclaus,92252
11,davisbacon,u,rapley,92252
12,territori,plaintiff,rep,92252
13,cluett,right,colorado,92252
14,bodley,may,fsia,92252
15,endorsor,l,toolco,92252
16,scheffer,tax,state,92252
17,sentenc,would,herd,92252
18,senat,district,blake,92252
19,dividend,judgment,ton,92252
20,dresser,appeal,contracept,92252
21,apc,error,davisbacon,92252
22,colorado,said,maker,92252
23,maker,made,cluett,92252
24,phinney,question,sup,92252
25,guidelin,jurisdict,whiski,92252
26,spald,territori,nebraska,92252
27,euryal,us,paint,92252
28,depositor,power,bodley,92252
29,tax,ct,scheffer,92252
30,setoff,sct,offic,92252
31,land,sup,depositor,92252
32,textbook,properti,endorsor,92252
33,cotton,shall,libel,92252
34,huntington,offic,apc,92252
35,religi,claim,dresser,92252
36,twa,constitut,louisiana,92252
37,bankrupt,rep,spald,92252
38,texa,petition,elev,92252
39,rib,§,phinney,92252
40,britton,mr,setoff,92252
41,woodard,ed,euryal,92252
42,societi,decre,foreign,92252
43,nonmemb,one,except,92252
44,fleischli,note,pay,92252
45,compani,contract,endors,92252
46,state,statut,controversi,92252
47,toledo,suprem,homestead,92252
48,steer,1,textbook,92252
49,lane,congress,arkansa,92252
50,elev,opinion,power,92252
51,pelt,decis,univers,92252
52,arkansa,person,tonnag,92252
53,child,circuit,parol,92252
54,mine,author,twa,92252
55,thompson,order,pelt,92252
56,underpay,railroad,water,92252
57,confeder,trial,docket,92252
58,invent,requir,account,92252
59,glass,file,huntington,92252
60,submerg,grant,woodard,92252
61,sapphir,new,lane,92252
62,stark,except,rib,92252
63,count,parti,fleischli,92252
64,libel,counti,guidelin,92252
65,188160,section,moot,92252
66,court,suit,fund,92252
67,allenbradley,action,suprem,92252
68,confront,texa,sapphir,92252
69,herd,respond,confeder,92252
70,brace,proceed,object,92252
71,bayhdol,pay,britton,92252
72,362a7,bankrupt,minn,92252
73,indian,writ,steer,92252
74,scale,co,rock,92252
75,messag,bridg,nonmemb,92252
76,california,led2d,navig,92252
77,master,2,u,92252
78,coiron,justic,toledo,92252
79,kentucki,evid,frivol,92252
80,frivol,present,underpay,92252
81,mclenachan,time,gvr,92252
82,water,appel,stream,92252
83,treati,patent,armi,92252
84,beall,dismiss,kentucki,92252
85,univers,payment,admiralti,92252
86,multimemb,judg,dismiss,92252
87,saunder,whether,child,92252
88,veteran,bill,188160,92252
89,note,feder,l,92252
90,1915d,subject,allenbradley,92252
91,gvr,public,bayhdol,92252
92,949323,govern,case,92252
93,corpor,within,362a7,92252
94,consolid,rule,law,92252
95,enlist,see,merit,92252
96,premium,corpor,jurisdict,92252
97,inclosur,gener,coiron,92252
98,louisiana,provid,dividend,92252
99,vessel,use,mclenachan,92252
100,insur,interest,religi,92252
101,hb,make,construct,92252
102,fenc,caus,oklahoma,92252
103,window,construct,brace,92252
104,seneca,water,societi,92252
105,indemn,object,stark,92252
106,florida,motion,glass,92252
107,wage,fact,949323,92252
108,navig,reason,submerg,92252
109,alvmcneani,3,beall,92252
110,receipt,account,multimemb,92252
111,greene’,issu,1915d,92252
112,mortgag,day,hb,92252
113,cunningham,bond,remittitur,92252
114,passmor,must,judg,92252
115,tonnag,also,confront,92252
116,wardwel,alleg,irrig,92252
117,rock,busi,alvmcneani,92252
118,jamesson,juri,highway,92252
119,bankruptci,c,inclosur,92252
120,venu,board,road,92252
121,laundri,provis,greene’,92252
122,armi,part,executor,92252
123,lammon,held,receipt,92252
124,patent,duti,invent,92252
125,blou,decid,wardwel,92252
126,hoop,amend,seneca,92252
127,stain,two,passmor,92252
128,resign,louisiana,saunder,92252
129,eaton,titl,indemn,92252
130,highway,amount,scale,92252
131,passion,due,fenc,92252
132,paper,applic,austin,92252
133,earn,secretari,secretari,92252
134,minn,without,thompson,92252
135,armstrong,senat,resign,92252
