,names,dates,url
0,Sutter Butte Canal Co. v. Railroad Comm'n of Cal.,1929-04-08,https://www.courtlistener.com/opinion/101402/sutter-butte-canal-co-v-railroad-commn-of-cal/
1,"Heublein, Inc. v. South Carolina Tax Comm'n",1972-12-18,https://www.courtlistener.com/opinion/108647/heublein-inc-v-south-carolina-tax-commn/
2,Fowler v. Rathbones,1871-05-18,https://www.courtlistener.com/opinion/88367/fowler-v-rathbones/
3,Hooker v. Knapp,1912-06-07,https://www.courtlistener.com/opinion/97662/hooker-v-knapp/
4,Ivan Allen Co. v. United States,1975-06-26,https://www.courtlistener.com/opinion/109305/ivan-allen-co-v-united-states/
5,Patterson v. New York,1977-06-17,https://www.courtlistener.com/opinion/109698/patterson-v-new-york/
6,Foley v. United States,1923-01-29,https://www.courtlistener.com/opinion/100107/foley-v-united-states/
7,Lassen v. Arizona Ex Rel. Arizona Highway Dept.,1967-01-16,https://www.courtlistener.com/opinion/107333/lassen-v-arizona-ex-rel-arizona-highway-dept/
8,Sprint/United Management Co. v. Mendelsohn,2008-02-26,https://www.courtlistener.com/opinion/145828/sprintunited-management-co-v-mendelsohn/
9,Porter v. Lazear,1883-10-29,https://www.courtlistener.com/opinion/90901/porter-v-lazear/
10,Blakely v. Washington,2004-06-24,https://www.courtlistener.com/opinion/136995/blakely-v-washington/
11,Kitchen v. Rayburn,1874-01-19,https://www.courtlistener.com/opinion/88879/kitchen-v-rayburn/
12,Railroad Co. v. Reeves,1870-11-21,https://www.courtlistener.com/opinion/88250/railroad-co-v-reeves/
13,Fernandez v. Phillips,1925-05-25,https://www.courtlistener.com/opinion/100667/fernandez-v-phillips/
14,Knoxville Iron Co. v. Harbison,1901-10-21,https://www.courtlistener.com/opinion/95525/knoxville-iron-co-v-harbison/
15,Reconstruction Finance Corporation v. JG Menihan Corp.,1941-02-03,https://www.courtlistener.com/opinion/103439/reconstruction-finance-corporation-v-jg-menihan-corp/
16,United States v. Quimby,1867-02-18,https://www.courtlistener.com/opinion/87782/united-states-v-quimby/
17,Graham v. Collins,1993-01-25,https://www.courtlistener.com/opinion/112810/graham-v-collins/
18,Commander-In-Chief,1864-02-23,https://www.courtlistener.com/opinion/87551/commander-in-chief/
19,"Ohio Civil Rights Comm'n v. Dayton Christian Schools, Inc.",1986-06-27,https://www.courtlistener.com/opinion/111732/ohio-civil-rights-commn-v-dayton-christian-schools-inc/
20,Slaughter v. Glenn,1879-01-18,https://www.courtlistener.com/opinion/89867/slaughter-v-glenn/
21,United States Ex Rel. Redfield v. Windom,1891-01-12,https://www.courtlistener.com/opinion/92920/united-states-ex-rel-redfield-v-windom/
22,St. Clair County v. Interstate Sand & Car Transfer Co.,1904-02-23,https://www.courtlistener.com/opinion/96005/st-clair-county-v-interstate-sand-car-transfer-co/
23,Arbaugh v. Y & H Corp.,2006-02-22,https://www.courtlistener.com/opinion/145677/arbaugh-v-y-h-corp/
24,First National Bank v. Bartow Cty. Tax Assessors,1985-03-19,https://www.courtlistener.com/opinion/111374/first-national-bank-v-bartow-cty-tax-assessors/
25,Mitchell v. Esparza,2003-11-03,https://www.courtlistener.com/opinion/131144/mitchell-v-esparza/
26,United States v. Paul,1832-02-18,https://www.courtlistener.com/opinion/85770/united-states-v-paul/
