,names,dates,url
0,Pacific States Telephone & Telegraph Co. v. Oregon,1912-02-19,https://www.courtlistener.com/opinion/97538/pacific-states-telephone-telegraph-co-v-oregon/
1,St. Louis & San Francisco R. Co. v. Gill,1895-03-04,https://www.courtlistener.com/opinion/94130/st-louis-san-francisco-r-co-v-gill/
2,United States Ex Rel. Steinmetz v. Allen,1904-02-23,https://www.courtlistener.com/opinion/96011/united-states-ex-rel-steinmetz-v-allen/
3,Oklahoma Tax Comm'n v. Chickasaw Nation,1995-06-14,https://www.courtlistener.com/opinion/117956/oklahoma-tax-commn-v-chickasaw-nation/
4,Leary v. United States,1912-05-13,https://www.courtlistener.com/opinion/1322284/leary-v-united-states/
5,Missouri Pacific R. Co. v. Prude,1924-05-12,https://www.courtlistener.com/opinion/100420/missouri-pacific-r-co-v-prude/
6,Furrer v. Ferris,1892-05-02,https://www.courtlistener.com/opinion/93367/furrer-v-ferris/
7,Speight v. Slayton,1974-02-27,https://www.courtlistener.com/opinion/108976/speight-v-slayton/
8,Hammond Packing Co. v. Arkansas,1909-02-23,https://www.courtlistener.com/opinion/96959/hammond-packing-co-v-arkansas/
9,Romero v. International Terminal Operating Co.,1959-04-06,https://www.courtlistener.com/opinion/105825/romero-v-international-terminal-operating-co/
10,Kelly v. Griffin,1916-04-17,https://www.courtlistener.com/opinion/98709/kelly-v-griffin/
11,Shipp v. Miller's Heirs,1817-03-11,https://www.courtlistener.com/opinion/85199/shipp-v-millers-heirs/
12,Lawyer v. Department of Justice,1997-06-25,https://www.courtlistener.com/opinion/118141/lawyer-v-department-of-justice/
13,Smith v. United States,1993-08-09,https://www.courtlistener.com/opinion/112866/smith-v-united-states/
14,"John Elwood Dennett v. Marvin R. Hogan, Warden",1973-10-23,https://www.courtlistener.com/opinion/108873/john-elwood-dennett-v-marvin-r-hogan-warden/
15,Kibbe v. Benson,1874-01-19,https://www.courtlistener.com/opinion/88779/kibbe-v-benson/
16,Potomac News Co. v. United States,1967-10-23,https://www.courtlistener.com/opinion/107528/potomac-news-co-v-united-states/
17,"FTC v. Anheuser-Busch, Inc.",1960-06-20,https://www.courtlistener.com/opinion/106082/ftc-v-anheuser-busch-inc/
18,Locomotive Engineers v. Missouri-Kansas-Texas R. Co.,1960-06-20,https://www.courtlistener.com/opinion/106081/locomotive-engineers-v-missouri-kansas-texas-r-co/
19,Atwood v. Weems,1879-05-18,https://www.courtlistener.com/opinion/89932/atwood-v-weems/
20,Branson v. Bush,1920-01-05,https://www.courtlistener.com/opinion/99485/branson-v-bush/
21,Manson v. Brathwaite,1977-06-16,https://www.courtlistener.com/opinion/109693/manson-v-brathwaite/
22,Faust v. United States,1896-05-25,https://www.courtlistener.com/opinion/94500/faust-v-united-states/
23,"Piedmont, Etc. Life-Ins. Co. v. Ewing, Etc.",1876-04-10,https://www.courtlistener.com/opinion/89284/piedmont-etc-life-ins-co-v-ewing-etc/
