,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,weighel,court,gift,86834
1,beardsley,state,revenu,86834
2,search,v,weighel,86834
3,cheroke,case,beardsley,86834
4,tax,unit,canal,86834
5,embezzl,land,patent,86834
6,religi,tax,deduct,86834
7,gift,act,waterwork,86834
8,cotton,upon,cheroke,86834
9,145b,properti,145b,86834
10,car,said,embezzl,86834
11,birdsey,appeal,birdsey,86834
12,bank,law,trust,86834
13,charter,judgment,fee,86834
14,obscen,u,tax,86834
15,salut,contract,tappan,86834
16,jar,§,salut,86834
17,drainag,sct,son,86834
18,gear,ct,sup,86834
19,waterwork,right,land,86834
20,mortgag,made,offic,86834
21,litchfield,would,jar,86834
22,green,plaintiff,charter,86834
23,overbook,patent,mortgag,86834
24,survey,us,car,86834
25,tappan,defend,religi,86834
26,sheep,sup,gear,86834
27,patent,l,expens,86834
28,deduct,offic,overbook,86834
29,haro,district,litchfield,86834
30,mcelvain,gift,drainag,86834
31,pier,compani,passeng,86834
32,abut,govern,obscen,86834
33,fee,ed,sheep,86834
34,canal,claim,appelle,86834
35,mackinaw,may,construct,86834
36,trademark,constitut,emolu,86834
37,racket,bank,releas,86834
38,schilling,suit,haro,86834
39,hobb,section,mcelvain,86834
40,tallmadg,bill,green,86834
41,labor,revenu,appeal,86834
42,huntington,statut,contract,86834
43,land,one,mackinaw,86834
44,travi,question,ct,86834
45,berkem,citi,search,86834
46,citi,power,properti,86834
47,fals,congress,schilling,86834
48,1728,new,reinstat,86834
49,depot,issu,welfar,86834
50,percas,decis,tallmadg,86834
51,504b,petition,cotton,86834
52,abort,shall,taxabl,86834
53,eleventh,led2d,racket,86834
54,school,author,hobb,86834
55,1924,mr,travi,86834
56,incom,rule,abut,86834
57,track,order,commission,86834
58,panama,appel,unit,86834
59,bruder,mortgag,berkem,86834
60,juvenil,action,1728,86834
61,welfar,decre,percas,86834
62,flag,corpor,504b,86834
63,4915,construct,treasuri,86834
64,nation,titl,pier,86834
65,unitpric,error,answer,86834
66,ejido,trust,incom,86834
67,boundari,time,port,86834
68,bond,year,huntington,86834
69,russ,requir,panama,86834
70,reinstat,person,bruder,86834
71,whitney,use,whitney,86834
72,bauer,provid,juvenil,86834
73,estat,rep,judgment,86834
74,crossexamin,amend,unitpric,86834
75,parish,commission,flag,86834
76,town,within,ejido,86834
77,cofferdam,car,4915,86834
78,emolu,part,francisco,86834
79,passeng,appelle,russ,86834
80,trust,interest,capit,86834
81,railroad,applic,trademark,86834
82,appeal,fact,bauer,86834
83,bruce,1,depot,86834
84,port,fee,cofferdam,86834
85,testat,bond,zone,86834
86,telfen,see,abort,86834
87,calendar,file,citi,86834
88,osag,whether,govern,86834
89,platform,deduct,telfen,86834
90,capit,dismiss,eleventh,86834
91,pavement,execut,crossexamin,86834
92,insur,jurisdict,1177,86834
