,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,chocol,court,territori,95143
1,handler,state,shawne,95143
2,shawne,territori,mine,95143
3,interbank,v,tribe,95143
4,memoranda,act,chocol,95143
5,immun,claim,indian,95143
6,60b,upon,handler,95143
7,confectioneri,unit,locat,95143
8,territori,law,lode,95143
9,prosis,land,immun,95143
10,vessel,case,60b,95143
11,obscen,defend,interbank,95143
12,conductor,§,memoranda,95143
13,locat,bond,confectioneri,95143
14,design,indian,treati,95143
15,indian,shawne,habea,95143
16,reloc,plaintiff,prosis,95143
17,guam,mine,bond,95143
18,money,locat,kansa,95143
19,waterwork,tribe,articl,95143
20,daley,immun,1983,95143
21,nonaccept,said,design,95143
22,waiver,congress,claim,95143
23,strickland,rule,waiver,95143
24,caledonia,statut,conductor,95143
25,lode,u,obscen,95143
26,mahan,petition,guam,95143
27,protest,us,reloc,95143
28,misbrand,proceed,daley,95143
29,creek,sct,nonaccept,95143
30,bond,would,caledonia,95143
31,articl,treati,waterwork,95143
32,tribe,right,strickland,95143
33,accid,articl,mahan,95143
34,act,chocol,misbrand,95143
35,lemon,properti,notic,95143
36,book,lode,creek,95143
37,citi,patent,book,95143
38,neglig,habea,california,95143
39,histor,handler,protest,95143
40,milk,file,lemon,95143
41,barg,may,interpret,95143
42,nashvil,compani,arizona,95143
43,anchor,feder,neglig,95143
44,8a6,60b,salesman,95143
45,salesman,citi,subsect,95143
46,agenc,judgment,8a6,95143
47,mine,shall,histor,95143
48,interpret,kansa,4010,95143
49,treati,notic,accid,95143
50,4010,amend,buffer,95143
51,buffer,design,anchor,95143
52,habea,one,unusu,95143
53,budington,bill,proceed,95143
54,subsect,led2d,budington,95143
55,spoon,memoranda,spoon,95143
56,unusu,interbank,barg,95143
57,court,question,milk,95143
58,kansa,district,nashvil,95143
59,land,evid,file,95143
60,ornament,new,kan,95143
61,repeal,offic,ornament,95143
62,led2d,confectioneri,agenc,95143
63,guilti,made,congress,95143
64,1983,sale,rule,95143
65,bankruptci,1983,patent,95143
66,commiss,l,agricultur,95143
67,visciotti,suprem,visciotti,95143
68,agricultur,california,mba,95143
69,collis,use,handl,95143
70,mba,prosis,money,95143
71,claim,record,indebted,95143
72,car,money,guilti,95143
73,plea,waiver,darl,95143
74,tow,constitut,thread,95143
75,pound,vessel,gorham,95143
76,kan,parti,mission,95143
77,machin,jurisdict,tow,95143
78,bankrupt,obscen,apa,95143
79,thread,see,citi,95143
80,railroad,order,bobtail,95143
81,darl,railroad,unced,95143
82,label,section,stratton,95143
83,grand,neglig,white,95143
84,secretari,provid,vessel,95143
85,gorham,conductor,act,95143
86,apa,juri,repeal,95143
87,stratton,action,lien,95143
88,bank,possess,corpu,95143
89,cent,author,label,95143
90,food,ed,2254d,95143
91,bobtail,person,wolbert,95143
92,unced,appeal,land,95143
93,condemn,suit,pound,95143
94,mission,book,§,95143
95,petition,interpret,sac,95143
96,contract,regul,amend,95143
97,2254d,time,collis,95143
98,account,public,noonan,95143
99,patent,reason,secretari,95143
100,bill,requir,possess,95143
101,sac,govern,preclus,95143
102,wolbert,provis,comfit,95143
103,arizona,reloc,food,95143
104,correspond,circuit,vendor,95143
105,properti,commiss,expert,95143
106,preclus,guam,complaint,95143
107,noonan,protest,nonpay,95143
108,corpu,secretari,citral,95143
109,vendor,trial,midwest,95143
110,california,error,machin,95143
111,comfit,petit,advers,95143
112,upon,waterwork,correspond,95143
113,river,place,upon,95143
114,state,daley,pac,95143
115,white,make,grand,95143
116,rule,creek,record,95143
117,privileg,nonaccept,sweetmeat,95143
118,citral,lien,2326,95143
119,track,co,stipul,95143
120,midwest,issu,2002,95143
121,sct,agenc,check,95143
122,loan,strickland,suprem,95143
123,truste,ct,statecourt,95143
124,926,interest,place,95143
125,u,caledonia,defend,95143
126,p2d,fact,fox,95143
127,413,mortgag,926,95143
128,handl,mahan,sale,95143
129,sweetmeat,bank,represent,95143
130,adult,misbrand,baker,95143
131,inspect,id,litchfield,95143
132,complain,arizona,proxim,95143
133,litchfield,appear,safe,95143
134,proxim,power,pattern,95143
135,advers,titl,canova,95143
136,motion,part,cove,95143
137,§,accid,adult,95143
138,regul,gener,regan,95143
139,vende,writ,paralyz,95143
140,unit,held,regul,95143
141,cove,subsect,condemn,95143
142,congress,legisl,bill,95143
143,pattern,complaint,inspect,95143
144,notic,also,celest,95143
145,regan,must,depositori,95143
146,per,guilti,miner,95143
147,canova,1,truste,95143
148,paralyz,present,efa,95143
149,depositori,lemon,distinct,95143
150,safe,truste,mortgag,95143
151,record,whether,tollett,95143
152,pac,counti,scroll,95143
153,dutiabl,convict,413,95143
154,2326,histor,slaton,95143
155,ninth,contract,cent,95143
156,v,account,statut,95143
157,celest,alleg,vende,95143
158,fox,answer,revis,95143
159,nonpay,first,2325,95143
160,place,opinion,complianc,95143
161,tollett,work,track,95143
162,scroll,purchas,defer,95143
163,efa,unusu,success,95143
164,fourth,salesman,clason,95143
165,slaton,cent,dutiabl,95143
166,search,white,agency’,95143
167,agency’,milk,p2d,95143
168,1890,motion,procedur,95143
169,sale,per,offic,95143
170,clason,differ,shoulder,95143
171,law,barg,3241,95143
172,york,administr,id,95143
173,check,nashvil,mandamu,95143
174,drawe,anchor,legisl,95143
175,use,respond,4010f,95143
176,1871,8a6,ownership,95143
177,1887,effect,dishonor,95143
178,forfeit,decis,bardwel,95143
179,mandamu,without,f3d,95143
180,stipul,decre,convict,95143
181,examin,corpu,drawe,95143
182,baker,applic,eye,95143
183,2015,agricultur,account,95143
184,train,determin,melros,95143
185,veteran,4010,93,95143
186,indebted,buffer,noticeandcom,95143
187,plaintiff,caus,fund,95143
188,3241,find,gold,95143
189,respond,kan,privileg,95143
190,survey,stat,2015,95143
191,commerci,could,led2d,95143
192,bardwel,repeal,bondhold,95143
193,compani,taken,answer,95143
194,banker,fund,ninth,95143
195,4010f,indebted,administr,95143
196,mortgag,car,feder,95143
197,defer,therefor,appear,95143
198,melros,2,laino,95143
199,represent,procedur,plea,95143
200,juri,budington,unit,95143
201,noticeandcom,spoon,petition,95143
202,cross,construct,work,95143
203,louisvil,ornament,4010a,95143
204,mississippi,handl,estoppel,95143
205,us,plea,tramway,95143
206,harbor,appli,mislead,95143
207,contempt,payment,forfeit,95143
208,estoppel,york,banker,95143
209,2325,counsel,examin,95143
210,liabil,privileg,imit,95143
211,shoulder,stipul,safedeposit,95143
212,fork,sup,car,95143
213,deceas,valu,1871,95143
214,said,bankruptci,1887,95143
215,month,includ,326301,95143
216,dishonor,brought,roevstat,95143
217,appeal,rep,evid,95143
218,laino,visciotti,copi,95143
219,public,matter,seminol,95143
220,suprem,hold,fork,95143
221,commission,grand,read,95143
222,duti,within,histori,95143
223,decre,machin,pima,95143
224,lien,collis,cena,95143
225,person,mba,differ,95143
226,error,valid,veteran,95143
227,colorado,duti,wea,95143
228,seminol,view,outstand,95143
229,tramway,relief,bankrupt,95143
230,petit,justic,raley,95143
231,4010a,examin,perez,95143
232,theatr,show,theatr,95143
233,board,origin,eacho,95143
234,atlanta,consid,rulemak,95143
235,safedeposit,two,1890,95143
236,ship,subject,relief,95143
237,unreason,commission,ruzicka,95143
238,interest,f,loan,95143
239,defend,thereof,provid,95143
240,histori,advers,futur,95143
241,engin,mean,chattanooga,95143
242,orlean,tow,atlanta,95143
243,f3d,distinct,cede,95143
244,perez,pound,rhett,95143
245,roevstat,mr,think,95143
246,326301,ground,harbor,95143
247,deed,revis,pirrung,95143
248,mitig,think,mississippi,95143
249,substanti,mission,affair,95143
250,ct,object,new,95143
251,controversi,bankrupt,law,95143
252,complaint,complain,fairplay,95143
253,district,thread,railsback,95143
254,eye,j,fourth,95143
255,trust,wit,scalia,95143
256,93,enforc,galena,95143
257,price,darl,slaker,95143
258,chattanooga,label,orlean,95143
259,creditor,enter,colorado,95143
260,wea,intend,pari,95143
261,legislatur,liabil,testifi,95143
262,cena,crimin,commerci,95143
263,regular,led,notwithstand,95143
264,raley,follow,thereof,95143
265,2002,proper,severalti,95143
266,caus,condemn,288,95143
267,receiv,amount,holder,95143
268,proceed,check,f,95143
269,relief,gorham,2607,95143
270,eacho,apa,lunar,95143
271,statecourt,c,administrator’,95143
272,shore,track,abat,95143
273,carrier,control,shore,95143
274,success,receiv,bankruptci,95143
275,shipment,stratton,plat,95143
276,crimin,pass,outcom,95143
277,probabl,civil,dakota,95143
278,file,refus,reason,95143
279,plat,pac,louisvil,95143
280,futur,testimoni,provis,95143
281,ruzicka,read,substanc,95143
282,litig,4,inner,95143
283,new,board,nys2d,95143
284,jurisdict,vendor,apa’,95143
285,ib,legal,mitig,95143
286,pari,survey,headway,95143
287,expert,represent,theori,95143
288,nys2d,food,use,95143
289,rhett,bobtail,unsaf,95143
290,ed,review,litig,95143
291,prosecut,unced,1738,95143
292,frivol,mandamu,thoma,95143
293,pirrung,protect,customari,95143
294,condit,6,would,95143
295,bondhold,inspect,restor,95143
296,abat,3,plead,95143
297,dakota,impos,petit,95143
298,color,correspond,1891,95143
299,railsback,grant,strickley,95143
300,fairplay,respect,phase,95143
301,feder,expert,bradi,95143
302,prejudic,plead,ib,95143
303,galena,2254d,8c15b,95143
304,l,controversi,8c15,95143
305,counsel,purpos,mortgageloan,95143
306,enforc,damag,13–1041,95143
307,administr,specif,13–1052,95143
308,slaker,copi,towboat,95143
309,virginia,usc,cottag,95143
310,foreclosur,anoth,proper,95143
311,tennesse,sac,intend,95143
312,railway,agreement,spring,95143
313,unsaf,wolbert,fals,95143
314,outstand,declar,substanti,95143
315,inner,line,abolish,95143
316,phase,take,gettysburg,95143
317,debt,assert,assumpsit,95143
318,convict,term,survey,95143
319,selfincrimin,even,includ,95143
320,imit,miner,confection,95143
321,order,substanti,prejudic,95143
322,calendar,regard,liabl,95143
323,va,nonpay,public,95143
324,lunar,river,capac,95143
325,administrator’,exist,boerckel,95143
326,spring,success,assert,95143
327,collater,standard,civil,95143
328,offer,subsequ,frivol,95143
329,purchas,preclus,plaintiff,95143
330,mislead,safe,emin,95143
331,manufactur,noonan,tribal,95143
332,statut,dismiss,thirti,95143
333,parti,result,1906,95143
334,shall,give,1867,95143
335,1738,mississippi,calendar,95143
336,aggrav,given,taliaferro,95143
337,brother,name,regular,95143
338,amend,contain,spur,95143
339,payment,penalti,penalti,95143
340,headway,corpor,taken,95143
341,tribal,relat,4010d,95143
342,abandon,93,waiv,95143
343,towboat,loan,specif,95143
344,apa’,11,standard,95143
345,oil,litig,month,95143
346,fals,supra,subsequ,95143
347,penalti,found,selfincrimin,95143
348,pima,decid,text,95143
349,sentenc,liabl,grow,95143
350,drug,reserv,016504,95143
351,commerc,februari,disput,95143
352,outcom,transfer,ordinari,95143
353,emin,june,pursu,95143
354,differ,12,view,95143
355,strickley,like,prosecutori,95143
356,wit,ownership,hefner,95143
357,thirti,7,controversi,95143
358,dispos,baker,sampl,95143
359,procedur,complianc,properli,95143
360,port,n,latter,95143
361,spur,comfit,1850,95143
362,count,histori,observ,95143
363,2607,second,request,95143
364,drawer,judg,valid,95143
365,cottag,benefit,monument,95143
366,market,request,make,95143
367,kept,set,regard,95143
368,restor,month,pictur,95143
369,8c15,disput,kept,95143
370,8c15b,deni,quit,95143
371,strip,fox,278,95143
372,standard,sold,557557,95143
373,13–1041,judici,hackbusch,95143
374,mortgageloan,fourth,cross,95143
375,13–1052,testifi,chapter,95143
376,miner,28,205,95143
377,transfer,statecourt,confesso,95143
378,gettysburg,15,dictionari,95143
379,capac,2002,manner,95143
380,ordinari,citral,ballou,95143
381,instal,10,descend,95143
382,boerckel,rais,knob,95143
383,case,affirm,arlington,95143
384,fund,5,juri,95143
385,disput,citizen,4th,95143
386,find,midwest,side,95143
387,week,manner,outlin,95143
388,matur,express,per,95143
389,possess,oper,resum,95143
390,answer,proxim,adjud,95143
391,tract,necessari,preserv,95143
392,valu,prosecut,paragraph,95143
393,dictionari,word,hold,95143
394,see,condit,acr,95143
395,severalti,adult,2001,95143
396,taliaferro,pattern,feet,95143
397,thereof,413,tennesse,95143
398,amount,obtain,ariz,95143
399,misconduct,perform,auer,95143
400,govern,926,purchas,95143
401,ariz,latter,abandon,95143
402,line,intent,configur,95143
403,titl,virginia,domain,95143
404,rulemak,price,scheme,95143
405,rock,direct,eason,95143
406,claimant,except,rais,95143
407,sign,orlean,februari,95143
408,tion,ninth,strip,95143
409,author,defer,erron,95143
410,writ,conclud,canon,95143
411,domain,p2d,osullivan,95143
412,4010d,2326,tract,95143
413,288,holder,drawer,95143
414,trial,appropri,devant,95143
415,object,conduct,1877,95143
416,1877,done,contempt,95143
417,reserv,sweetmeat,week,95143
418,id,futur,misconduct,95143
419,descend,properli,5237,95143
420,suit,might,unreason,95143
421,sixth,agent,va,95143
422,confesso,day,that—,95143
423,016504,void,control,95143
424,observ,litchfield,peopl,95143
425,hefner,offici,develop,95143
426,question,commerc,brome,95143
427,1891,thoma,misl,95143
428,second,howev,matur,95143
429,brake,note,detach,95143
430,ident,nation,skil,95143
431,prosecutori,peopl,highland,95143
432,right,1887,utter,95143
433,develop,violat,aggrav,95143
434,scheme,point,grass,95143
435,detach,prescrib,marci,95143
436,work,8,rock,95143
437,construct,admit,1964,95143
438,1867,trust,find,95143
439,present,side,reclaim,95143
440,council,limit,200,95143
441,offici,search,2324,95143
442,1906,tract,mccullough,95143
443,pictur,gold,brake,95143
444,instruct,doubt,carter,95143
445,ballou,vende,ice,95143
446,knob,16,lewisburg,95143
447,278,materi,2628,95143
448,impli,legislatur,withdrawn,95143
449,void,manufactur,draper,95143
450,affair,cove,9586,95143
451,557557,1871,surveyor,95143
452,hackbusch,commerci,probabl,95143
453,agent,accord,phencyclidin,95143
454,refus,entitl,substitut,95143
455,stream,forfeit,tjoflat,95143
456,power,regan,388,95143
457,counti,charg,indorse,95143
458,arlington,basi,min,95143
459,apart,canova,transmut,95143
460,holder,acr,collater,95143
461,canon,confer,mccurri,95143
462,compens,13,poe,95143
463,confer,paralyz,turn,95143
464,abolish,depositori,insert,95143
465,thoma,sentenc,impli,95143
466,box,fals,wit,95143
467,rep,f3d,lime,95143
468,gold,enact,parti,95143
469,concur,9,adequ,95143
470,customari,fail,portion,95143
471,one,road,offici,95143
472,configur,bondhold,like,95143
473,outlin,dutiabl,anoth,95143
474,infring,appel,blackburn,95143
475,1850,instruct,search,95143
476,auer,offer,apart,95143
477,road,establish,2000,95143
478,legisl,base,conclud,95143
479,reveal,form,expend,95143
480,anoth,celest,enforc,95143
481,osullivan,prove,ny2d,95143
482,revis,ordinari,congglob,95143
483,eason,polic,miami,95143
484,160,substanc,411,95143
485,grass,paid,custom,95143
486,highland,thu,1174,95143
487,green,certain,dykstra,95143
488,se2d,refer,testimoni,95143
489,that—,exercis,fellow,95143
490,miami,tollett,alleg,95143
491,chapter,estoppel,ident,95143
492,skil,scroll,99,95143
493,indorse,observ,producersettl,95143
494,1884,efa,see,95143
495,portland,end,brother,95143
496,distinct,revers,confer,95143
497,mccullough,colorado,properti,95143
498,5237,failur,misbranding—on,95143
499,scalia,either,terpen,95143
500,1967,adjud,misbranded—on,95143
501,marci,eye,weeksvunit,95143
502,action,14,reveal,95143
503,incrimin,depart,139,95143
504,show,1890,bowl,95143
505,loui,ship,retent,95143
506,draper,slaton,unsuccess,95143
507,appear,due,838,95143
508,theori,chang,1998,95143
509,exchang,individu,commandeur,95143
510,roth,2325,232749,95143
511,brome,portion,color,95143
512,575,full,push,95143
513,judgment,30,1912,95143
514,poe,tennesse,origin,95143
515,materi,concern,compli,95143
516,draft,agency’,reserv,95143
517,wilson,affair,incrimin,95143
518,sovereign,conclus,contain,95143
519,settler,et,held,95143
520,miller,notwithstand,immateri,95143
521,ny2d,18,shall,95143
522,valorem,shoulder,576,95143
523,polic,cours,recodif,95143
524,sup,sign,failur,95143
525,j,sum,roth,95143
526,decis,aris,694,95143
527,applic,clason,996998,95143
528,assn,certif,void,95143
529,2001,organ,8718,95143
530,ne2d,drawe,160,95143
531,contain,john,8c,95143
532,adjud,theori,8c15a,95143
533,lime,institut,doubt,95143
534,2628,particular,668,95143
535,structur,prior,trestl,95143
536,37,dishonor,one,95143
537,circuit,say,deceas,95143
538,prescrib,oblig,errorvcolin,95143
539,f,feet,structur,95143
540,contribut,probabl,73,95143
541,carter,prejudic,resist,95143
542,invest,everi,se2d,95143
543,lewisburg,2015,bierc,95143
544,transmut,1891,distanc,95143
545,1998,former,ibid,95143
546,push,train,guardianship,95143
