,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,stockyard,court,stockyard,92142
1,bail,state,engin,92142
2,slaght,upon,bail,92142
3,lodg,bank,slaght,92142
4,train,stockyard,lodg,92142
5,foia,engin,bank,92142
6,pump,v,train,92142
7,polic,plaintiff,foia,92142
8,compass,land,pump,92142
9,check,bail,compass,92142
10,setoff,said,ga,92142
11,bank,law,polic,92142
12,rico,train,brodnax,92142
13,mediat,lodg,setoff,92142
14,brodnax,action,mediat,92142
15,engin,slaght,puerto,92142
16,land,defend,check,92142
17,puerto,compani,rico,92142
18,ga,act,debt,92142
19,husband,railroad,enelow,92142
20,enelow,case,commerc,92142
21,survey,commerc,morristown,92142
22,morristown,bond,upon,92142
23,debt,order,priviti,92142
24,virginia’,debt,virginia’,92142
25,paye,ga,husband,92142
26,grand,made,action,92142
27,counterclaim,properti,counterclaim,92142
28,tax,polic,paye,92142
29,mcburney,§,insur,92142
30,court,foia,survey,92142
31,commerc,power,mcburney,92142
32,spartan,suit,spartan,92142
33,seizur,pump,1887,92142
34,assigne,insur,oil,92142
35,state,contract,chose,92142
36,millard,receiv,railroad,92142
37,insolv,except,millard,92142
38,craft,compass,spinner,92142
39,parol,check,guarrante,92142
40,spinner,may,bond,92142
41,guarrante,right,craft,92142
42,water,rico,ellsworth,92142
43,appoint,bill,associ,92142
44,suit,mr,appoint,92142
45,chose,setoff,except,92142
46,ellsworth,puerto,grand,92142
47,associ,regul,firemen,92142
48,market,decre,seizur,92142
49,oil,mediat,insolv,92142
50,firemen,brodnax,market,92142
51,,jurisdict,receiv,92142
52,texa,question,parol,92142
53,steamer,survey,thousand,92142
54,receiv,payment,,92142
55,vessel,one,undertak,92142
56,thousand,shall,pursuit,92142
57,railroad,husband,locomot,92142
58,insur,error,ettelson,92142
59,fog,co,fog,92142
60,ettelson,u,rhodeisland,92142
61,rhodeisland,tax,regul,92142
62,compani,unit,feme,92142
63,priviti,appoint,promissori,92142
64,virginia,rule,instrument,92142
65,feme,enelow,assigne,92142
66,wife,circuit,denver,92142
67,acr,sct,strand,92142
68,licens,us,hurlbert,92142
69,denver,oil,spring,92142
70,strand,associ,steamer,92142
71,hurlbert,morristown,lake,92142
72,action,note,foreign,92142
73,rock,duti,deposit,92142
74,plaintiff,priviti,nonaccept,92142
75,pursuit,amount,plaintiff,92142
76,estat,congress,order,92142
77,drawer,person,payment,92142
78,nonaccept,board,missouri,92142
79,spring,water,promis,92142
80,promissori,district,suit,92142
81,kansa,carrier,cumberland,92142
82,respond,counterclaim,burgevin,92142
83,cumberland,statut,denison,92142
84,contract,possess,land,92142
85,select,1887,chase,92142
86,disput,market,water,92142
87,stock,would,drawer,92142
88,fidel,virginia’,russel,92142
89,bond,paye,recogniz,92142
90,decre,grand,rock,92142
91,alabama,section,select,92142
92,denison,seizur,fidel,92142
93,recogniz,2,wast,92142
94,burgevin,offic,shabaz,92142
95,carrier,estat,acr,92142
96,surfac,polici,power,92142
97,wast,insolv,fourth,92142
98,locomot,thousand,said,92142
99,testimoni,chose,carrier,92142
100,fuel,appeal,gap,92142
101,chase,foreign,livestock,92142
102,custom,mcburney,note,92142
103,board,provis,alvepping,92142
104,mobil,record,fuel,92142
105,possess,issu,virginia,92142
106,fourth,claim,surfac,92142
107,livestock,opinion,restrict,92142
108,shabaz,spartan,passeng,92142
109,gap,might,mobil,92142
110,repair,vessel,kimbro,92142
111,deposit,assigne,duti,92142
112,citizen,whether,ten,92142
113,properti,instrument,free,92142
114,alvepping,deposit,espass,92142
115,kimbro,stock,polici,92142
116,payment,parol,island,92142
117,nw2d,millard,110—7,92142
118,regul,reason,superior,92142
119,undertak,missouri,terrel,92142
120,farmer,gener,nw2d,92142
121,order,judg,custom,92142
122,concess,justic,exchang,92142
123,cost,craft,bondsman,92142
124,espass,provid,promisor,92142
125,bearer,spinner,1892,92142
126,recov,guarrante,schilb,92142
127,110—7,interst,texa,92142
128,michigan,undertak,bearer,92142
129,terrel,parti,paymast,92142
130,§,respond,packet,92142
131,paymast,author,dormant,92142
132,polici,ellsworth,bill,92142
133,law,virginia,chancellor,92142
134,lake,l,local,92142
135,life,1,howel,92142
136,loss,held,kansa,92142
137,claus,firemen,wife,92142
138,packet,constitut,possess,92142
139,promisor,texa,cogniz,92142
140,releas,direct,estat,92142
141,1892,judgment,farmer,92142
142,bondsman,local,speed,92142
143,agenc,recov,qualif,92142
144,restrict,name,separ,92142
145,bondhold,st,concess,92142
146,navig,within,peltier,92142
147,howel,sup,run,92142
148,schilb,3,disput,92142
149,yard,,deshler,92142
150,name,appli,credit,92142
151,ten,pursuit,bondhold,92142
152,separ,enforc,sue,92142
153,missouri,appear,nj,92142
154,defend,locomot,dalla,92142
155,exchang,petition,licens,92142
156,lot,claus,might,92142
157,passeng,must,agenc,92142
158,indors,without,alabama,92142
159,advertis,steamer,repair,92142
160,credit,equiti,sneed,92142
161,accus,promissori,recov,92142
162,legisl,lake,michapp,92142
163,illinoi,pay,donor,92142
164,creek,fact,erratum,92142
165,porto,nation,nullo,92142
