,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,13c,court,tax,97378
1,depreci,state,court,97378
2,arbitr,tax,feder,97378
3,tax,v,13c,97378
4,clinic,case,depreci,97378
5,selja,feder,incom,97378
6,livestock,plaintiff,sentenc,97378
7,stock,jurisdict,clinic,97378
8,chirac,u,selja,97378
9,feldman,upon,jurisdict,97378
10,patent,judgment,mandamu,97378
11,letter,act,truste,97378
12,concurr,law,arbitr,97378
13,claimpreclus,district,livestock,97378
14,bankrupt,defend,letter,97378
15,apprendi,incom,chirac,97378
16,woodlock,sentenc,feldman,97378
17,stockyard,us,stock,97378
18,court,error,taxpay,97378
19,sentenc,appeal,bankrupt,97378
20,maritim,l,claimpreclus,97378
21,fenn,stock,concurr,97378
22,dubourg,rule,taxabl,97378
23,jurisdict,ed,apprendi,97378
24,citizenship,petition,woodlock,97378
25,taxabl,§,commission,97378
26,colomb,writ,stockyard,97378
27,truste,unit,dubourg,97378
28,whistl,said,fenn,97378
29,campbel,compani,colomb,97378
30,incom,sct,whistl,97378
31,mail,question,plaintiff,97378
32,26c2,properti,writ,97378
33,§2244d1a,statut,26c2,97378
34,reissu,truste,§2244d1a,97378
35,lambert,caus,maritim,97378
36,prince’,13c,campbel,97378
37,outoftim,commission,citizenship,97378
38,injunct,would,lambert,97378
39,beaver,requir,prince’,97378
40,count,depreci,georgia,97378
41,indian,shall,judgment,97378
42,citi,letter,outoftim,97378
43,record,mandamu,beaver,97378
44,devereaux,opinion,devereaux,97378
45,mcmillan,sup,reissu,97378
46,eleventh,right,excis,97378
47,hickey,petit,columbia,97378
48,rhode,circuit,commonwealth,97378
49,massachusett,may,mail,97378
50,state,record,mcmillan,97378
51,plaintiff,railroad,u,97378
52,sewer,bankrupt,habea,97378
53,orlean,board,review,97378
54,sup,year,caus,97378
55,immun,order,hickey,97378
56,feder,arbitr,assigne,97378
57,mother,dismiss,examin,97378
58,tunnel,citi,dismiss,97378
59,petit,ct,sewer,97378
60,commission,decis,final,97378
61,lien,clinic,eaton,97378
62,bankruptci,congress,mother,97378
63,columbia,taxpay,choctaw,97378
64,nonmail,review,rule,97378
65,brandish,co,ch,97378
66,death,amount,nonmail,97378
67,convict,see,brandish,97378
68,foremost,corpor,eleventh,97378
69,railroad,constitut,tunnel,97378
70,vessel,selja,waiver,97378
71,share,led2d,direct,97378
72,ct,issu,foremost,97378
73,earn,direct,rhode,97378
74,error,contract,taxat,97378
75,pennsylvania,power,assessor,97378
76,board,suprem,massachusett,97378
77,trust,one,petit,97378
78,year,provid,loung,97378
79,defend,claim,bonanza,97378
80,evid,fact,marr,97378
81,marr,taxabl,jet,97378
82,fog,livestock,convict,97378
83,loung,within,fog,97378
84,navig,time,injunct,97378
85,jet,final,pennsylvania,97378
86,bonanza,estat,activ,97378
87,tribe,patent,judiciari,97378
