,names,dates,url
0,Roemer v. Neumann,1889-11-11,https://www.courtlistener.com/opinion/92573/roemer-v-neumann/
1,Boyd v. Alabama,1877-05-18,https://www.courtlistener.com/opinion/89525/boyd-v-alabama/
2,Miller v. Courtnay,1894-03-05,https://www.courtlistener.com/opinion/93821/miller-v-courtnay/
3,Hamilton v. Brown,1896-03-02,https://www.courtlistener.com/opinion/94381/hamilton-v-brown/
4,Bank of Metropolis v. Jones,1834-01-23,https://www.courtlistener.com/opinion/85853/bank-of-metropolis-v-jones/
5,United States v. International Minerals & Chemical Corp.,1971-06-01,https://www.courtlistener.com/opinion/108345/united-states-v-international-minerals-chemical-corp/
