,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,intercept,court,intercept,95099
1,iraq,act,iraq,95099
2,newsrack,state,newsrack,95099
3,rickey,intercept,rickey,95099
4,speech,iraq,speech,95099
5,inmat,newsrack,overt,95099
6,overt,v,lux,95099
7,lux,rickey,inmat,95099
8,tax,speech,telephon,95099
9,treason,employe,treason,95099
10,quarri,tax,quarri,95099
11,ewsaa,case,ewsaa,95099
12,telegraph,board,commerci,95099
13,commerci,inmat,employe,95099
14,supervisor,overt,telegraph,95099
15,telephon,lux,supervisor,95099
16,disciplinari,telephon,disciplinari,95099
17,mandamu,compani,act,95099
18,employe,right,board,95099
19,interst,petition,confess,95099
20,peremptori,sct,wit,95099
21,survey,commerci,peremptori,95099
22,motor,wit,slade,95099
23,carrier,treason,fairbairn,95099
24,slade,quarri,mandamu,95099
25,pledg,upon,wiretap,95099
26,driver,citi,motor,95099
27,deed,may,driver,95099
28,nlrb,ewsaa,pledg,95099
29,board,requir,nlrb,95099
30,fairbairn,telegraph,pipeston,95099
31,confess,us,wolff,95099
32,wiretap,labor,1776,95099
33,prison,land,repeal,95099
34,wolff,interest,tourneau,95099
35,act,supervisor,labor,95099
36,1776,law,saboteur,95099
37,pipeston,confess,pole,95099
38,wit,unit,1785,95099
39,tourneau,govern,survey,95099
40,saboteur,interst,street,95099
41,treati,disciplinari,wire,95099
42,compani,mandamu,holey,95099
43,repeal,§,cramer,95099
44,warehous,properti,warehous,95099
45,pole,one,prison,95099
46,damag,order,§1605a7,95099
47,labor,carrier,ndaa,95099
48,street,motor,nevada,95099
49,1785,peremptori,cluensen,95099
50,receipt,repeal,receipt,95099
51,refund,survey,virginia,95099
52,cramer,would,journal,95099
53,payment,claim,feme,95099
54,holey,street,interst,95099
55,commerc,slade,refund,95099
56,nevada,pledg,alley,95099
57,union,driver,mandevil,95099
58,§1605a7,deed,scrip,95099
59,ndaa,error,haupt,95099
60,journal,nlrb,citi,95099
61,cluensen,fairbairn,steward,95099
62,assess,wiretap,safeti,95099
63,feme,virginia,carrier,95099
64,scrip,made,republ,95099
65,alley,prison,nunc,95099
66,deliveri,return,solicit,95099
67,mandevil,respond,tunc,95099
68,writ,author,pattison,95099
69,wire,defend,deliveri,95099
70,solicit,wolff,1796,95099
71,steward,part,covert,95099
72,error,commerc,return,95099
73,citi,1776,chattel,95099
74,haupt,provis,acknowledg,95099
75,nunc,pipeston,plant,95099
76,transport,damag,treati,95099
77,tunc,section,120000,95099
78,1796,convey,deed,95099
79,son,record,landoffic,95099
80,pattison,use,stothfang,95099
81,properti,tourneau,convey,95099
82,convey,saboteur,8022424,95099
83,auditor,receipt,1049734,95099
84,covert,person,son,95099
85,acknowledg,treati,auditor,95099
86,chattel,payment,hour,95099
87,landoffic,applic,poweshiek,95099
88,california,gener,supervisorsvdur,95099
89,possess,warehous,richmond,95099
90,richmond,union,terror,95099
91,120000,reason,requir,95099
92,bank,wire,entri,95099
93,plant,pole,gibson,95099
94,stothfang,see,interest,95099
95,8022424,judgment,yankton,95099
96,1049734,employ,remarks——,95099
97,petition,congress,noncommerci,95099
98,gibson,writ,princip,95099
99,poweshiek,deliveri,commun,95099
100,supervisorsvdur,time,acre,95099
101,judgment,1785,25188d,95099
102,terror,entri,offici,95099
103,return,led2d,union,95099
104,claim,relat,plat,95099
105,plat,line,richard,95099
106,enemi,refund,trip,95099
107,hear,safeti,resurvey,95099
108,taxpay,co,damag,95099
109,collector,nevada,736,95099
110,miller,cramer,herbert,95099
111,yankton,holey,13b1,95099
112,noncommerci,allow,miller,95099
113,remarks——,journal,enemi,95099
114,1866,plaintiff,buzzacco,95099
115,reserv,statut,relation,95099
116,applic,within,marshal,95099
117,hour,§1605a7,relat,95099
118,acre,ndaa,handbil,95099
119,25188d,also,suspens,95099
120,mortgag,counti,chillicoth,95099
121,line,cluensen,tax,95099
122,court,assess,1866,95099
123,employ,solicit,le,95099
124,land,juri,commerc,95099
125,transfer,feme,identif,95099
126,republ,plant,8560,95099
127,clerk,republ,beati,95099
128,vehicl,evid,shelter,95099
129,report,scrip,convers,95099
130,resurvey,alley,california,95099
131,736,acknowledg,line,95099
132,plaintiff,shall,wear,95099
133,trip,issu,ferguson,95099
134,commiss,report,petition,95099
135,tract,mandevil,aviat,95099
136,entri,bill,inventori,95099
137,13b1,public,2403l,95099
138,estat,princip,suckleydefend,95099
139,relation,mr,1860l,95099
140,buzzacco,steward,swann—th,95099
141,le,offici,25181biv,95099
