,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,proteu,court,proteu,93699
1,irrig,proteu,irrig,93699
2,cohn,compani,cohn,93699
3,town,irrig,talbott,93699
4,talbott,railroad,town,93699
5,univers,town,pickford,93699
6,subscript,cohn,univers,93699
7,pickford,talbott,subscript,93699
8,columbian,univers,columbian,93699
9,belt,subscript,belt,93699
10,idaho,pickford,idaho,93699
11,bond,columbian,railroad,93699
12,water,bond,compani,93699
13,trust,belt,water,93699
14,court,idaho,bond,93699
15,testat,state,trust,93699
16,reproduct,water,testat,93699
17,hudson,trust,reproduct,93699
18,railroad,v,hudson,93699
19,switch,testat,steinhardt,93699
20,steinhardt,co,switch,93699
21,fela,reproduct,fela,93699
22,kilgour,hudson,kilgour,93699
23,cost,switch,kankake,93699
24,kankake,steinhardt,blackmail,93699
25,share,fela,share,93699
26,blackmail,condit,condit,93699
27,railway,upon,endow,93699
28,respond,share,pacif,93699
29,compani,respond,cost,93699
30,endow,kilgour,fault,93699
31,valu,said,railway,93699
32,jurisdict,cost,simon,93699
33,equiti,properti,maddox,93699
34,condit,valu,hopp,93699
35,acr,kankake,newman,93699
36,simon,railway,co,93699
37,maddox,pacif,valu,93699
38,hopp,blackmail,equiti,93699
39,co,case,wit,93699
40,newman,equiti,acr,93699
41,employe,wit,oneeightieth,93699
42,judgment,jurisdict,navi,93699
43,navi,endow,respond,93699
44,fault,right,twin,93699
45,carrier,mr,director,93699
46,led2d,suit,testifi,93699
47,error,judgment,stockman,93699
48,oneeightieth,fault,owner,93699
49,indict,error,thompson,93699
50,vessel,owner,man,93699
51,v,contract,penden,93699
52,twin,acr,hopkin,93699
53,state,simon,wood,93699
54,director,made,young,93699
55,land,maddox,51—60,93699
56,injuri,construct,1918,93699
57,1918,time,canal,93699
58,canal,hopp,lee,93699
59,sct,newman,scholarship,93699
60,suit,employe,crew,93699
61,charact,liabil,reservoir,93699
62,stockman,carrier,liabil,93699
63,young,navi,charit,93699
64,hopkin,plaintiff,injuri,93699
65,pacif,district,fide,93699
66,lee,issu,testimoni,93699
67,execut,sct,carey,93699
68,loss,director,loss,93699
69,penden,testifi,1869,93699
70,crew,testimoni,li,93699
71,fide,purchas,charact,93699
72,1869,good,pac,93699
73,wood,injuri,houston,93699
74,man,execut,carrier,93699
75,l,law,catalogu,93699
76,contract,led2d,construct,93699
77,51—60,offic,educ,93699
78,reservoir,oneeightieth,77,93699
79,employ,unit,men,93699
80,charit,bill,powel,93699
81,properti,loss,employe,93699
82,township,indict,bona,93699
83,fraudul,vessel,indict,93699
84,scholarship,land,kernan,93699
85,testifi,per,academi,93699
86,wit,man,cubic,93699
87,carey,ct,marin,93699
88,ct,petition,township,93699
89,houston,twin,good,93699
90,bona,defend,merchant,93699
91,right,charact,bruce,93699
92,circuit,thompson,depreci,93699
93,assigne,us,fraudul,93699
94,li,l,publish,93699
95,powel,appeal,naval,93699
96,pac,purpos,355,93699
97,educ,circuit,foreclosur,93699
98,marin,decre,78,93699
99,plaintiff,stock,montgomeri,93699
100,78,wood,eagl,93699
101,cent,1918,predecessor,93699
102,catalogu,canal,tort,93699
103,depreci,stockman,purchas,93699
104,upon,one,execut,93699
105,thompson,fact,negoti,93699
106,cubic,year,suppli,93699
107,said,young,popular,93699
108,us,r,devis,93699
109,academi,feder,donat,93699
110,libel,hopkin,consolid,93699
111,bill,u,1750000,93699
