,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,konigsberg,court,konigsberg,100240
1,tobacco,state,tobacco,100240
2,schooldistrict,compani,schooldistrict,100240
3,wsim,case,wsim,100240
4,shekan,konigsberg,shekan,100240
5,assigne,shall,compani,100240
6,airspac,upon,wharf,100240
7,varonni,properti,airspac,100240
8,tucson,jurisdict,varonni,100240
9,galveston,may,tucson,100240
10,wharf,ed,galveston,100240
11,compani,tobacco,shall,100240
12,vessel,act,assigne,100240
13,takk,law,takk,100240
14,admiralti,v,jurisdict,100240
15,arizona,schooldistrict,lach,100240
16,gallardo,suit,gallardo,100240
17,flight,error,arizona,100240
18,elli,wsim,altitud,100240
19,bankruptci,question,flight,100240
20,carrier,statut,elli,100240
21,altitud,shekan,luko,100240
22,state,right,admiralti,100240
23,nlrb,wharf,properti,100240
24,luko,unit,show,100240
25,lach,show,phoenix,100240
26,bond,vessel,nlrb,100240
27,phoenix,assigne,owner,100240
28,polici,said,money,100240
29,iowa,money,polici,100240
30,court,defend,vessel,100240
31,transport,plaintiff,insur,100240
32,owner,insur,glazier,100240
33,territori,airspac,director,100240
34,negoti,rule,nobl,100240
35,glazier,varonni,iowa,100240
36,radio,owner,suit,100240
37,shall,tucson,ed,100240
38,employe,polici,radio,100240
39,air,galveston,air,100240
40,nobl,district,embezzl,100240
41,partit,mr,partit,100240
42,writ,would,transport,100240
43,indian,corpor,condemn,100240
44,lien,bill,bankruptci,100240
45,error,writ,carrier,100240
46,firm,busi,negoti,100240
47,68430,takk,68430,100240
48,mors,proceed,mors,100240
49,communist,admiralti,ketinch,100240
50,director,carrier,660,100240
51,committe,decre,busi,100240
52,citi,bond,communist,100240
53,liabil,amount,anoth,100240
54,660,arizona,dictionari,100240
55,ketinch,contract,q,100240
56,amount,us,territori,100240
57,seizur,board,lien,100240
58,show,transport,indian,100240
59,stock,u,wrangel,100240
60,dictionari,lach,navig,100240
61,land,bankruptci,liabil,100240
62,insur,suprem,firm,100240
63,suprem,present,woman,100240
64,woman,gallardo,broadcast,100240
65,appeal,flight,hechtvboughton,100240
66,broadcast,elli,committe,100240
67,l,l,sander,100240
68,damag,§,proce,100240
69,ed,director,writ,100240
70,partnership,made,needl,100240
71,wrangel,altitud,error,100240
72,condemn,nlrb,ruiz,100240
73,q,iowa,amount,100240
74,sander,sup,loss,100240
75,hechtvboughton,power,common,100240
76,murder,luko,form,100240
77,properti,one,question,100240
78,navig,territori,rule,100240
