,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,blodget,blodget,blodget,85384
1,church,court,church,85384
2,rail,church,rail,85384
3,presbyterian,rail,presbyterian,85384
4,halliday,presbyterian,halliday,85384
5,12–872,sale,12–872,85384
6,2013,parti,2013,85384
7,whittak,halliday,whittak,85384
8,mistak,bill,mistak,85384
9,sale,state,sale,85384
10,maritim,12–872,parti,85384
11,power,2013,maritim,85384
12,bickley,decre,bickley,85384
13,craig,whittak,bill,85384
14,corpor,mistak,craig,85384
15,cumberland,power,cumberland,85384
16,rousmani,u,rousmani,85384
17,respond,said,deed,85384
18,madigan,maritim,decre,85384
19,transport,deed,madigan,85384
20,instrument,contract,lisa,85384
21,lisa,bickley,instrument,85384
22,contract,agreement,agreement,85384
23,carrier,l,power,85384
24,curiam,v,levin,85384
25,decre,craig,water,85384
26,shipper,corpor,daugherti,85384
27,board,respond,shipper,85384
28,preliminari,cumberland,curiam,85384
29,levin,rousmani,preliminari,85384
30,print,law,transport,85384
31,parti,instrument,formal,85384
32,daugherti,water,print,85384
33,navig,unit,baltimor,85384
34,shipment,board,harvey,85384
35,formal,madigan,shipment,85384
36,court,made,carrier,85384
37,baltimor,transport,navig,85384
38,member,lisa,respond,85384
39,water,plaintiff,corpor,85384
40,harvey,ed,board,85384
41,rent,case,attorney,85384
42,leas,carrier,frethi,85384
43,lade,estat,walworth,85384
44,case,curiam,ington,85384
45,admiralti,ct,estat,85384
46,compens,attorney,lade,85384
47,carriag,would,contract,85384
48,estat,defend,u,85384
49,unit,shipper,carriag,85384
50,execut,order,rent,85384
51,subscrib,preliminari,20543,85384
52,ington,levin,improvid,85384
53,walworth,formal,subscrib,85384
54,frethi,print,typograph,85384
55,improvid,purchas,equiti,85384
56,20543,may,said,85384
57,assembl,right,admiralti,85384
58,typograph,daugherti,deceas,85384
59,employe,equiti,member,85384
60,florida,upon,leas,85384
61,attorney,complain,beaumont,85384
62,§,navig,manag,85384
63,interst,c,l,85384
64,certiorari,shipment,dock,85384
65,dock,gener,reunit,85384
66,state,land,assembl,85384
67,lot,baltimor,death,85384
68,appelle,§,chicot,85384
69,beaumont,death,purchas,85384
70,slip,execut,juniu,85384
71,featur,member,complain,85384
72,purchas,properti,align,85384
73,deed,suprem,slip,85384
74,chicot,interst,featur,85384
75,reunit,harvey,fennel,85384
76,equiti,appelle,repres,85384
77,juniu,report,beneficiari,85384
78,parol,rent,571,85384
79,land,leas,arrang,85384
80,agreement,lade,executrix,85384
81,plea,appeal,reader,85384
82,align,1,nereu,85384
83,571,statut,notifi,85384
84,l,repres,appelle,85384
85,per,act,tit,85384
86,fennel,co,report,85384
87,report,error,florida,85384
88,reader,circuit,parol,85384
89,executrix,admiralti,certiorari,85384
90,employ,deceas,wash,85384
91,writ,compens,executor,85384
92,death,subscrib,compens,85384
93,wash,carriag,execut,85384
94,beneficiari,interest,chanceri,85384
95,nereu,lien,lien,85384
96,seventh,fact,emma,85384
97,secur,jurisdict,submerg,85384
98,tort,caus,seventh,85384
99,railroad,ington,common,85384
100,common,titl,interst,85384
101,local,walworth,ship,85384
102,damag,frethi,52461,85384
103,submerg,manag,524691,85384
104,bill,vessel,disclosed—,85384
105,suprem,public,underwritersvbraud,85384
106,lien,certiorari,lot,85384
107,emma,notic,ed,85384
108,complain,improvid,tort,85384
109,plaintiff,common,collus,85384
110,commerc,ship,49,85384
111,ship,20543,6605,85384
112,good,assembl,convey,85384
113,executor,typograph,notic,85384
114,usca,employe,goe,85384
115,underwritersvbraud,writ,al,85384
116,52461,opinion,press,85384
117,524691,convey,samuel,85384
118,disclosed—,person,lord,85384
119,ct,florida,boudreaux,85384
120,collus,secur,craighil,85384
121,law,proceed,c,85384
122,tariff,good,prejudic,85384
123,appeal,dock,workmen,85384
124,arrang,beneficiari,gonsalv,85384
125,49,arrang,plea,85384
126,order,lot,coupl,85384
127,notifi,beaumont,gener,85384
128,right,executor,tariff,85384
129,injuri,commerc,written,85384
130,statut,slip,et,85384
131,6605,employ,ct,85384
132,port,featur,suppos,85384
133,caus,per,ninetynin,85384
134,said,chicot,made,85384
135,interest,reunit,vessel,85384
136,workmen,suit,suprem,85384
137,goe,juniu,good,85384
138,press,parol,dri,85384
139,manag,plea,employe,85384
140,coupl,notifi,kierejewski,85384
141,mortgag,et,secur,85384
142,ed,align,correct,85384
143,tit,571,bowdoin,85384
144,prejudic,al,abrog,85384
145,boudreaux,chanceri,smithport,85384
146,u,fennel,order,85384
147,craighil,tit,zarecor,85384
148,defend,reader,md,85384
149,gonsalv,executrix,dawson,85384
150,dri,railroad,rohd,85384
151,ninetynin,ground,11a,85384
152,properti,wash,stuart,85384
153,1879,49,dahl,85384
154,abrog,grant,hanni,85384
155,prescrib,point,wright,85384
156,vessel,nereu,local,85384
157,kierejewski,mortgag,1879,85384
158,wright,seventh,suffoc,85384
159,consigne,damag,mere,85384
160,work,payment,consigne,85384
161,convey,term,equit,85384
162,jurisdict,tort,denomin,85384
163,marri,local,marri,85384
164,revis,mere,port,85384
165,bowdoin,intent,tex,85384
166,tex,submerg,associ,85384
167,independ,question,per,85384
168,smithport,answer,independ,85384
169,stuart,emma,accid,85384
170,zarecor,work,characterist,85384
171,error,press,uncomplet,85384
172,samuel,injuri,point,85384
173,rohd,correct,613,85384
174,oregon,receiv,partli,85384
175,11a,usca,457,85384
176,lord,written,intent,85384
177,tennesse,shall,vacanc,85384
178,gener,suppos,injuri,85384
179,dahl,disclosed—,intest,85384
180,hanni,underwritersvbraud,joint,85384
181,1926,52461,confirm,85384
182,suffoc,524691,1926,85384
183,confirm,legal,request,85384
184,titl,prejudic,advis,85384
185,religi,collus,oregon,85384
186,would,goe,usca,85384
187,intest,associ,demurr,85384
188,controversi,lord,employ,85384
189,characterist,port,caus,85384
190,intent,subject,oblig,85384
191,partli,respect,public,85384
192,c,samuel,foreclosur,85384
193,public,tariff,atk,85384
194,co,oblig,titl,85384
195,613,dismiss,commerc,85384
196,md,6605,ground,85384
197,request,control,heir,85384
198,denomin,commission,proce,85384
199,rate,workmen,statesvmunson,85384
200,arkansa,equit,octob,85384
201,collater,relief,irrevoc,85384
202,opinion,counsel,mortgag,85384
203,chanceri,request,ceas,85384
204,vacanc,claim,religi,85384
205,destin,origin,destin,85384
206,octob,coupl,sabin,85384
207,suit,octob,robin,85384
208,uncomplet,relat,answer,85384
209,relief,alleg,formality7,85384
210,written,demurr,shipment5,85384
211,al,boudreaux,would,85384
212,made,confirm,legal,85384
213,foreclosur,independ,266,85384
214,otherwis,craighil,aros,85384
215,proce,gonsalv,interest,85384
216,266,dri,irnham,85384
217,deceas,controversi,landsdown,85384
218,joint,make,work,85384
219,interior,effect,boni,85384
220,correct,heir,arrangement6,85384
221,person,place,extinguish,85384
222,circuit,rule,writ,85384
223,157,ninetynin,brent,85384
224,extinguish,carri,tennesse,85384
225,irrevoc,w,157,85384
226,prosecut,1879,relief,85384
227,citizenship,proce,collater,85384
228,commission,joint,orang,85384
