,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,181,181,181,95479
1,errvwest,errvwest,errvwest,95479
2,sup,sup,sup,95479
3,rep,rep,post,95479
4,post,post,rep,95479
5,chicago,chicago,chicago,95479
6,ct,ct,645,95479
7,645,645,616,95479
8,616,616,625,95479
9,21,21,ct,95479
10,625,625,21,95479
11,park,park,boulevard,95479
12,boulevard,boulevard,park,95479
13,partridg,partridg,partridg,95479
14,u,u,507,95479
15,507,507,1901,95479
16,1901,1901,wight,95479
17,wight,wight,lombard,95479
18,lombard,lombard,cass,95479
19,cass,cass,cognat,95479
20,cognat,cognat,farrel,95479
21,farrel,farrel,thoroughfar,95479
22,thoroughfar,thoroughfar,asphalt,95479
23,asphalt,asphalt,u,95479
24,wilbur,wilbur,wilbur,95479
25,west,west,newton,95479
26,newton,newton,west,95479
27,pave,pave,pave,95479
28,shira,shira,shira,95479
29,barber,barber,barber,95479
30,davidson,davidson,davidson,95479
31,comr,comr,comr,95479
32,924,924,924,95479
33,v,v,hudson,95479
34,hudson,hudson,avenu,95479
35,avenu,avenu,french,95479
36,french,french,farm,95479
37,case,case,609,95479
38,farm,farm,—,95479
39,court,court,plff,95479
40,609,609,detroit,95479
41,—,—,324,95479
42,plff,plff,404,95479
43,decid,decid,201,95479
44,detroit,detroit,371,95479
45,324,324,decid,95479
46,404,404,town,95479
47,201,201,reliev,95479
48,371,371,dougla,95479
49,town,town,georg,95479
50,error,error,charl,95479
51,reliev,reliev,repeat,95479
52,dougla,dougla,ant,95479
53,georg,georg,improv,95479
54,co,co,illinoi,95479
55,charl,charl,thoma,95479
56,ant,ant,recent,95479
57,repeat,repeat,histori,95479
58,proceed,proceed,unnecessari,95479
59,illinoi,illinoi,error,95479
60,improv,improv,case,95479
61,thoma,thoma,proceed,95479
62,recent,recent,messr,95479
63,commission,commission,commission,95479
64,histori,histori,fulli,95479
65,unnecessari,unnecessari,v,95479
66,messr,messr,discuss,95479
67,fulli,fulli,co,95479
68,discuss,discuss,45,95479
69,opinion,opinion,known,95479
70,known,known,al,95479
71,f,f,f,95479
72,45,45,dissent,95479
73,al,al,33,95479
74,dissent,dissent,creat,95479
75,creat,creat,april,95479
76,w,w,w,95479
77,33,33,full,95479
78,april,april,29,95479
79,statement,statement,statement,95479
80,et,et,et,95479
81,full,full,opinion,95479
82,29,29,contain,95479
83,render,render,render,95479
84,march,march,legal,95479
85,contain,contain,march,95479
86,legal,legal,involv,95479
87,suprem,suprem,origin,95479
88,origin,origin,19,95479
89,involv,involv,18,95479
90,plaintiff,plaintiff,consider,95479
91,19,19,suprem,95479
92,consider,consider,argu,95479
93,see,see,affirm,95479
94,18,18,term,95479
95,defend,defend,deliv,95479
96,argu,argu,see,95479
97,term,term,present,95479
98,sct,sct,4,95479
99,present,present,fact,95479
100,affirm,affirm,3,95479
101,fact,fact,justic,95479
102,mr,mr,led,95479
103,judgment,judgment,2,95479
104,question,question,mr,95479
105,deliv,deliv,plaintiff,95479
106,made,made,question,95479
107,led,led,1,95479
108,justic,justic,judgment,95479
109,4,4,made,95479
110,3,3,defend,95479
111,state,state,sct,95479
112,2,2,pordeducida,95479
113,1,1,eustacho,95479
114,us,us,discover—th,95479
115,,avail3,globul,95479
116,,autombil,villalon,95479
117,,availability—consum,1845—an,95479
118,,availability—obvi,almazan,95479
119,,availability”,constut,95479
120,,automatic”,december—1845,95479
121,,availabil­,oruna,95479
122,,avagli,1845—and,95479
123,,availabl,almazon,95479
124,,avaialbl,irregularti,95479
125,,avail5,villan,95479
126,,avaiabl,lizardo,95479
127,,ava,existed—but,95479
128,,available1,deshabil,95479
129,,available10,plainlywritten,95479
130,,av,titles—1,95479
131,,avaiab,plainlyprov,95479
132,,available11,statements—newspap,95479
133,,au—75,entertained—it,95479
134,,available11—appeal—and,sixth—whil,95479
135,,avaibl,1845—act,95479
136,,availabilityofalternativeproperti,plausible—th,95479
137,,avaid,translacion,95479
138,,avail19,barreyesa,95479
139,,avad,antedating—inde,95479
140,,avail8,borrodor,95479
141,,avacado,assay—with,95479
142,,automaton”—,republic—particularli,95479
143,,available12,plumbi,95479
144,,automaton,years—prob,95479
145,,availa,11951203,95479
146,,availab,full—dominio,95479
147,,avail13,unobey,95479
148,,automation36,antedated—and,95479
149,,avagliano,medir,95479
150,,availabel,quicksilver—and,95479
151,,availabil,reales—for,95479
152,,availability23,stage—wa,95479
153,,automatic24,proposed—to,95479
154,,availability5,accerdo,95479
155,,avail,juica,95479
156,,availability8,office—w,95479
157,,automati­,assisthi,95479
158,,available16,proposed—y,95479
159,,available13,reancho,95479
160,,availablealtern,alternatives—on,95479
161,,available4,title—wit,95479
162,,automatically”,title—mad,95479
163,,available40,mejora,95479
164,,available45,llanacoco,95479
165,,available5,unluckili,95479
166,,available51,melov,95479
167,,automatically—without,propositions—eith,95479
168,,available6,ninth—for,95479
169,,available62,gunbarrels—a,95479
170,,automatically—a,mejicana,95479
171,,available7,castillero—al,95479
172,,available8,bajos—low,95479
173,,available9,berreyesa—berreyesa,95479
174,,availableand,adjudit,95479
175,,available14,hymann,95479
176,,automaticallyregain,impairi,95479
177,,availableund,manifested—th,95479
178,,availableif,omis,95479
179,,available—a,nonrefer,95479
180,,available—addit,clara—jurisdict,95479
181,,available—amend,manterola,95479
182,,automaticallyact,mantien,95479
183,,available—and,manto,95479
184,,available—ar,applicapl,95479
185,,available—at,presmuntur,95479
186,,automatically2,mapico,95479
187,,available—defens,certificatesjesu,95479
188,,available—eith,coch,95479
189,,available38,benches—i,95479
190,,automaticdamag,vasalo,95479
191,,available35,besoco,95479
192,,automaticlock,acquisition—thu,95479
193,,available15,precit,95479
194,,auxquel,sent—if,95479
195,,available17,evidence—ha,95479
196,,available18,delabecque—legisl,95479
197,,available19,celebrado,95479
198,,available2,lonia,95479
199,,automatic—when,benjamin—certainli,95479
200,,available21,made—ibid,95479
201,,available22,10santa,95479
202,,available23,ugenio,95479
203,,available25,confirmation—wher,95479
204,,available26,norriega,95479
205,,available28,convenio,95479
206,,available3,this—unless,95479
207,,available30,fragua,95479
208,,available31,noriego,95479
209,,automatic—it,another—to,95479
210,,automaticyearlong,raic,95479
211,,available32,authority—if,95479
212,,automaticvacatur,27180,95479
213,,automatictransf,four—wer,95479
214,,available33,decided—remain,95479
215,,automaticstay,gestarum—which,95479
216,,automaticstand,second—on,95479
217,,automaticrevers,use—dominio,95479
218,,available34,macanamara,95479
219,,automaticresign,ahab,95479
220,,au­,beneficio,95479
221,,automobiles2,third—four,95479
222,,automo,tracts—sometim,95479
