,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,lancast,mortgag,mortgag,89711
1,nehemiah,deed,deed,89711
2,southard,equiti,southard,89711
3,chemic,southard,equiti,89711
4,compani,land,lancast,89711
5,stith,court,mortgagor,89711
6,peyton,sale,loan,89711
7,suarez,properti,nehemiah,89711
8,livingston,lancast,sale,89711
9,babcock,loan,redempt,89711
10,fort,mortgagor,peugh,89711
11,mortgagor,v,russel,89711
12,stock,compani,land,89711
13,russel,convey,convey,89711
14,mortgag,nehemiah,chemic,89711
15,iron,redempt,babcock,89711
16,peugh,russel,debt,89711
17,drumrit,peugh,purchas,89711
18,wyman,purchas,properti,89711
19,debt,debt,secur,89711
20,niev,secur,mortgage,89711
21,plant,chemic,stith,89711
22,porto,bill,instrument,89711
23,tenant,possess,peyton,89711
24,counterlett,contract,livingston,89711
25,deed,babcock,possess,89711
26,possess,parti,suarez,89711
27,govern,complain,wyman,89711
28,rico,upon,complain,89711
29,brother,stock,fort,89711
30,5250,instrument,transact,89711
31,stori,payment,stock,89711
32,loan,said,bill,89711
33,landlord,mortgage,parol,89711
34,louisiana,stith,redeem,89711
35,mortgage,case,payment,89711
36,pruna,transact,absolut,89711
37,phillip,peyton,iron,89711
38,tallman,made,drumrit,89711
39,brick,livingston,brother,89711
40,contractor,wyman,parti,89711
41,oath,suarez,compani,89711
42,tandi,titl,contract,89711
43,joseph,fort,brick,89711
44,land,absolut,niev,89711
45,cabrera,parol,defeas,89711
46,equiti,execut,execut,89711
47,contract,defend,tenant,89711
48,redempt,redeem,titl,89711
49,well,right,counterlett,89711
50,hugh,iron,stori,89711
51,entri,interest,porto,89711
52,instrument,brother,plant,89711
53,v,pay,hugh,89711
54,parol,drumrit,sum,89711
55,sale,appel,samuel,89711
56,tenanc,sum,reconvey,89711
57,maria,paid,pay,89711
58,squar,time,fraud,89711
59,fraud,law,agreement,89711
60,properti,evid,heir,89711
61,rust,agreement,5250,89711
62,court,brick,releas,89711
63,lick,may,paid,89711
64,de,money,rico,89711
65,antichresi,tenant,interest,89711
66,shelbi,defeas,pledg,89711
67,titl,decre,pruna,89711
68,sell,niev,landlord,89711
69,samuel,state,money,89711
70,complain,stori,written,89711
71,bank,plant,made,89711
72,law,porto,joseph,89711
73,convey,note,executor,89711
74,farm,fraud,tallman,89711
75,deceas,counterlett,said,89711
76,said,condit,appel,89711
77,releas,hugh,condit,89711
78,survey,heir,sell,89711
79,la,would,phillip,89711
80,heir,one,tandi,89711
81,eject,notic,oath,89711
82,davi,samuel,note,89711
83,cordero,govern,real,89711
84,transact,releas,contractor,89711
85,redeem,reconvey,cabrera,89711
86,note,object,kentucki,89711
87,object,rico,notic,89711
88,foreclos,written,davi,89711
89,sucesor,well,well,89711
90,4800,sell,premis,89711
91,gaslight,plaintiff,sold,89711
92,purchas,executor,object,89711
