,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,montelibano,philippin,philippin,98555
1,mileham,court,montelibano,98555
2,philippin,defend,mileham,98555
3,dresser,montelibano,rama,98555
4,steel,error,island,98555
5,naylor,charg,charg,98555
6,indict,land,dresser,98555
7,accret,upon,steel,98555
8,court,l,accret,98555
9,hay,mileham,defend,98555
10,land,v,naylor,98555
11,review,island,lincoln,98555
12,nirdling,plaintiff,error,98555
13,rama,sup,except,98555
14,quarantin,rama,sup,98555
15,lincoln,law,l,98555
16,coleman,state,credit,98555
17,conjug,steel,represent,98555
18,represent,dresser,fraudul,98555
19,entryman,ct,indict,98555
20,ledger,except,land,98555
21,island,u,fraud,98555
22,tariff,act,nirdling,98555
23,summon,accret,hay,98555
24,credit,ed,quarantin,98555
25,crop,naylor,tariff,98555
26,except,rep,rep,98555
27,avenu,juri,eddi,98555
28,soldier,case,conjug,98555
29,entrymen,lincoln,ct,98555
30,alejandro,credit,coleman,98555
31,charg,appeal,de,98555
32,alluvion,compani,review,98555
33,sea,indict,ledger,98555
34,indian,said,entryman,98555
35,ton,fraudul,fals,98555
36,river,represent,caldentey,98555
37,fraudul,review,piza,98555
38,cattl,judgment,crop,98555
39,bank,fraud,1905,98555
40,fals,titl,instruct,98555
41,appelle,unit,la,98555
42,1890,co,juri,98555
43,price,circuit,entrymen,98555
44,hailey,properti,summon,98555
45,profit,instruct,alejandro,98555
46,cooper,matter,ton,98555
47,defend,right,avenu,98555
48,unsold,receiv,soldier,98555
49,instruct,claim,ed,98555
50,hampshir,tariff,alluvion,98555
51,titl,de,sea,98555
52,cashier,decre,upon,98555
53,apptvricardo,question,matter,98555
54,2058467,hay,lafayett,98555
55,5941533,railroad,cooper,98555
56,594153,fact,1890,98555
57,transport,parti,1913,98555
58,p130000,fals,claflin,98555
59,act,evid,plaintiff,98555
60,collect,nirdling,chap,98555
61,unharvest,contract,villanueva,98555
62,wellwarr,would,gsell,98555
63,anthonyvlouisvil,made,hampshir,98555
64,partida,quarantin,cattl,98555
65,appeal,action,hailey,98555
66,piza,gener,hermano,98555
67,caldentey,bank,jurey,98555
68,1905,coleman,titl,98555
69,art,eddi,unsold,98555
70,eddi,statut,defect,98555
71,co,conjug,fed,98555
72,gandia,indian,coudert,98555
73,firm,la,receiv,98555
74,judg,entryman,indian,98555
75,said,ledger,2058467,98555
76,market,1905,594153,98555
77,plaintiff,affirm,5941533,98555
78,2564,summon,apptvricardo,98555
79,territori,writ,p130000,98555
80,circuit,rule,insular,98555
81,drawback,damag,wellwarr,98555
82,1913,suprem,unharvest,98555
83,fraud,crop,anthonyvlouisvil,98555
84,sarmiento,account,agre,98555
85,villanueva,sea,custom,98555
86,code,ton,partida,98555
87,deposit,piza,profit,98555
88,rep,caldentey,132,98555
89,defect,stat,cashier,98555
90,railroad,allow,u,98555
91,chap,n,roman,98555
92,escay,decis,account,98555
93,atl,avenu,common,98555
94,carusi,1,gandia,98555
95,agent,chap,quash,98555
96,l,soldier,cut,98555
97,jurey,bill,2564,98555
98,receiv,valu,affirm,98555
99,carrier,entrymen,market,98555
100,kansa,1913,seem,98555
101,muscoge,agre,couden,98555
102,fuel,cooper,w,98555
103,railway,alejandro,messr,98555
104,cut,judg,agent,98555
105,conspiraci,agent,drawback,98555
106,dewey,common,manila,98555
107,repeal,trial,circuit,98555
108,spring,1890,1916,98555
109,writ,fed,sarmiento,98555
110,estat,final,court,98555
111,account,w,ker,98555
112,prearrang,appelle,holm,98555
113,roman,alluvion,final,98555
114,hermano,mr,law,98555
115,adler,shall,allow,98555
116,louisvil,found,escay,98555
117,divorc,set,damag,98555
118,resid,lafayett,appelle,98555
119,eq,alleg,freder,98555
120,creditor,c,carusi,98555
121,error,defect,n,98555
122,statut,river,appeal,98555
123,1876,opinion,river,98555
124,homestead,profit,muscoge,98555
125,1246,cattl,atl,98555
126,vessel,claflin,dewey,98555
127,shore,govern,louisvil,98555
128,quantiti,messr,outward,98555
129,final,hampshir,1902,98555
130,la,time,prearrang,98555
131,siletz,march,press,98555
132,riparian,estat,spring,98555
133,sup,could,quantiti,98555
134,coudert,custom,adler,98555
135,unit,seem,whole,98555
136,passeng,price,price,98555
