,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,leas,leas,leas,99100
1,land,land,land,99100
2,anick,secretari,anick,99100
3,mcmanu,anick,secretari,99100
4,gunsburg,gunsburg,gunsburg,99100
5,coten,oil,oil,99100
6,permit,applic,mcmanu,99100
7,oil,l,applic,99100
8,fisher,mcmanu,fisher,99100
9,entri,fisher,interior,99100
10,homestead,interior,coten,99100
11,applic,permit,permit,99100
12,petition,ga,l,99100
13,secretari,coten,ga,99100
14,prospect,entri,entri,99100
15,respond,rule,homestead,99100
16,l,homestead,rule,99100
17,fee,right,1920,99100
18,prefer,ed,contest,99100
19,heir,ct,prospect,99100
20,monument,u,approv,99100
21,4640,petition,heir,99100
22,hardemanvwitbeck,regul,regul,99100
23,1920,offic,petroleum,99100
24,approv,act,ed,99100
25,contest,file,ct,99100
26,southwestern,1920,4640,99100
27,rule,claim,monument,99100
28,resid,contest,file,99100
29,petroleum,approv,right,99100
30,ga,prospect,erect,99100
31,offic,respond,hardemanvwitbeck,99100
32,interior,heir,prefer,99100
33,sup,v,offic,99100
34,indian,upon,603,99100
35,local,petroleum,southwestern,99100
36,father,shall,fee,99100
37,lessor,fee,respond,99100
38,interest,prefer,228,99100
39,ed,section,petition,99100
40,claim,monument,father,99100
41,patent,erect,lessor,99100
42,claimant,4640,coowner,99100
43,ct,hardemanvwitbeck,resid,99100
44,file,interest,placer,99100
45,u,603,u,99100
46,coowner,order,wyom,99100
47,placer,sup,entitl,99100
48,wyom,within,loughran,99100
49,regul,southwestern,claim,99100
50,son,court,oneeighth,99100
51,loughran,compani,local,99100
52,suspend,entitl,herold,99100
53,oneeighth,resid,develop,99100
54,section,228,suspend,99100
55,1932,may,son,99100
56,develop,indian,1932,99100
57,herold,patent,31a,99100
58,right,local,indian,99100
59,paid,father,246,99100
60,31a,c,claimant,99100
61,act,notic,dilla,99100
62,erect,law,notic,99100
63,earn,show,bohal,99100
64,441,lessor,62,99100
65,30,requir,441,99100
66,upon,claimant,interest,99100
67,order,time,show,99100
68,adopt,coowner,30,99100
69,geolog,decre,period,99100
70,5b,state,geolog,99100
71,cancel,mr,within,99100
72,fishervrul,placer,patente,99100
73,intimate—fish,paid,section,99100
74,showing—whatev,wyom,5b,99100
75,it—cam,develop,earn,99100
76,kofka,son,intimate—fish,99100
77,rosicki,period,rosicki,99100
78,royalti,loughran,fishervrul,99100
79,usca,suspend,showing—whatev,99100
80,shreveport,appel,kofka,99100
81,show,oneeighth,it—cam,99100
82,inur,30,shall,99100
83,compani,receiv,acr,99100
84,sidney,1932,sup,99100
85,colo,herold,shreveport,99100
86,muskoge,titl,110,99100
87,1912,246,royalti,99100
88,v,62,sidney,99100
89,denver,31a,muskoge,99100
90,post,suit,inur,99100
91,neb,acr,117,99100
92,guerri,day,colo,99100
93,patent—which,execut,reconsid,99100
94,agenc,earn,38,99100
95,lesse,441,patent—which,99100
96,chadron,dilla,guerri,99100
97,1217,prescrib,cancel,99100
98,decis,grant,prescrib,99100
99,shall,made,denver,99100
100,child1,patente,chadron,99100
101,patrick,bohal,order,99100
102,cultiv,assert,paid,99100
103,requir,record,neb,99100
104,depart,unit,patent,99100
105,dilla,necessari,1912,99100
106,patente,adopt,assert,99100
107,bohal,geolog,1217,99100
108,date,38,child1,99100
109,reconsid,complain,314,99100
110,thirti,5b,c,99100
111,act1,110,adopt,99100
112,nebraska,produc,248,99100
113,titl,cancel,qualifi,99100
114,novemb,acquir,patrick,99100
115,entitl,kofka,lesse,99100
116,execut,intimate—fish,acquir,99100
117,receiv,showing—whatev,263,99100
118,predecessor,fishervrul,post,99100
119,assert,rosicki,produc,99100
120,extinguish,it—cam,cultiv,99100
121,hereund,royalti,act1,99100
122,decision2,117,compli,99100
123,creek,usca,437,99100
124,appel,prior,122,99100
125,51,shreveport,receiv,99100
126,record,depart,necessari,99100
127,richard,inur,318,99100
128,hodgsonvfeder,sidney,thirti,99100
129,oglaseand,colo,decision2,99100
130,prescrib,muskoge,confid,99100
131,acquir,qualifi,hereund,99100
132,decemb,reconsid,requir,99100
133,claimth,1912,prior,99100
134,mcclaskey,establish,predecessor,99100
135,confid,declar,execut,99100
136,mine,denver,usca,99100
137,603,post,agenc,99100
138,38,appelle,appel,99100
139,court,provid,extinguish,99100
140,trust,neb,hodgsonvfeder,99100
141,lyle,guerri,oglaseand,99100
142,decre,patent—which,nebraska,99100
143,228,compli,depart,99100
144,604,314,tract,99100
145,1615,agenc,day,99100
146,herrick,lesse,mine,99100
147,possess,chadron,232,99100
148,within,allow,51,99100
149,butler,248,die,99100
150,relationship,mine,claimth,99100
151,1923,author,mcclaskey,99100
152,1925,stat,complain,99100
153,appelle,statut,creek,99100
154,benefici,1217,time,99100
155,notic,decis,lyle,99100
156,eastman,reason,wherein,99100
157,state,§,richard,99100
158,rightli,tract,1615,99100
159,allotte,child1,herrick,99100
160,svor,263,advantag,99100
161,pendel,respect,act,99100
162,bill,patrick,regist,99100
163,duluth,affirm,47,99100
164,mr,cultiv,titl,99100
165,rehear,one,604,99100
166,503,1,eastman,99100
167,pay,122,pendel,99100
168,promulg,437,svor,99100
169,die,possess,establish,99100
170,43,district,decre,99100
171,establish,would,appelle,99100
172,437,12,duluth,99100
173,relief,secur,declar,99100
174,minor,date,benefici,99100
175,286,thirti,butler,99100
176,pastur,act1,novemb,99100
177,settlement,51,allotte,99100
178,wherein,11,rightli,99100
179,acr,318,pastur,99100
180,461,die,lost,99100
181,450,without,relationship,99100
182,schedul,held,782,99100
183,314,action,record,99100
184,la,given,februari,99100
185,444,nebraska,1923,99100
186,strongli,februari,1925,99100
187,318,confid,thereaft,99100
188,248,novemb,503,99100
189,tender,47,kemp,99100
190,kemp,predecessor,spark,99100
191,spark,regist,85,99100
192,declar,messr,maintain,99100
193,246,extinguish,promulg,99100
194,riddl,washington,mr,99100
195,may,232,riddl,99100
196,tract,19,461,99100
197,221,hereund,upon,99100
198,263,decision2,thirtyday,99100
199,law,amount,286,99100
200,johnson,creek,strongli,99100
201,smelt,year,450,99100
202,194,maintain,1919,99100
203,relinquish,bill,smelt,99100
204,unmarri,advantag,19,99100
205,thirtyday,richard,unmarri,99100
206,14,oglaseand,444,99100
207,regist,hodgsonvfeder,washington,99100
208,1922,must,messr,99100
209,okl,wherein,1918,99100
210,respect,consid,41,99100
211,1909,6,grant,99100
212,homer,25,homer,99100
213,improv,thereaft,allow,99100
214,amount,april,forfeit,99100
215,mode,case,11,99100
216,c,first,ipso,99100
217,122,5,12,99100
218,day,decemb,kremer,99100
219,action,claimth,purport,99100
220,1927,mcclaskey,relinquish,99100
221,superintend,final,221,99100
222,prevail,85,okl,99100
223,§,trust,date,99100
224,initi,lyle,roy,99100
225,benefit,41,194,99100
226,ipso,lost,dyne,99100
227,structur,604,63,99100
228,oklahoma,1615,25,99100
229,suit,st,schedul,99100
230,qualifi,herrick,rehear,99100
231,r,payment,minor,99100
232,roy,butler,nonjoind,99100
233,expir,relationship,1922,99100
234,first,1923,la,99100
235,kremer,14,younger,99100
236,117,1925,respect,99100
237,louisiana,opinion,withheld,99100
238,steel,1919,1916d,99100
239,younger,benefici,1927,99100
240,29,1918,fullblood,99100
241,necessari,eastman,tender,99100
