,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,portug,portug,portug,99840
1,maritimo,maritimo,maritimo,99840
2,estado,estado,estado,99840
3,lutfi,lutfi,lutfi,99840
4,hussein,hussein,hussein,99840
5,ship,bey,bey,99840
6,bey,ship,ship,99840
7,ottoman,mandamu,mandamu,99840
8,turkish,writ,ottoman,99840
9,sao,ottoman,1921,99840
10,writ,1921,turkish,99840
11,vicent,turkish,writ,99840
12,mandamu,sao,sao,99840
13,80585,diplomat,diplomat,99840
14,1924,immun,muir,99840
15,djemal,muir,immun,99840
16,purrington,govern,vicent,99840
17,gul,vicent,govern,99840
18,1923,court,80585,99840
19,1921,petit,petit,99840
20,diplomat,jurisdict,releas,99840
21,616618,vessel,vessel,99840
22,immun,releas,purrington,99840
23,transport,80585,djemal,99840
24,constantinopl,prohibit,jurisdict,99840
25,releas,1924,gul,99840
26,new,djemal,1924,99840
27,vessel,purrington,prohibit,99840
28,govern,gul,1923,99840
29,admiralti,york,616618,99840
30,minist,1923,plain,99840
31,york,new,constantinopl,99840
32,suit,plain,master,99840
33,gibraltar,master,york,99840
34,solut,616618,transport,99840
35,court,transport,minist,99840
36,muir,constantinopl,gibraltar,99840
37,plain,admiralti,admiralti,99840
38,debat,minist,solut,99840
39,merchant,suit,new,99840
40,jurisdict,motion,616,99840
41,republ,gibraltar,debat,99840
42,customari,state,merchant,99840
43,shortli,solut,republ,99840
44,prohibit,process,customari,99840
45,libel,616,522,99840
46,woolsey,ask,shortli,99840
47,master,debat,woolsey,99840
48,pesaro,merchant,ask,99840
49,wharfag,republ,pesaro,99840
50,arrest,522,wharfag,99840
51,petit,customari,process,99840
52,ex,shortli,motion,99840
53,motion,file,256,99840
54,baile,libel,254,99840
55,mcconnel,woolsey,baile,99840
56,process,petition,libel,99840
57,sovereign,pesaro,mcconnel,99840
58,kohler,wharfag,arrest,99840
59,1122,arrest,furnish,99840
60,frankli,furnish,absenc,99840
61,ransom,256,suit,99840
62,declin,oper,kohler,99840
63,ask,absenc,sovereign,99840
64,rous,254,ex,99840
65,devant,ex,1122,99840
66,accredit,claim,frankli,99840
67,dudley,baile,ransom,99840
68,avow,mcconnel,rous,99840
69,proctor,depart,oper,99840
70,65,sovereign,depart,99840
71,fuel,kohler,accredit,99840
72,april,1122,devant,99840
73,petition,frankli,file,99840
74,proffer,ransom,dudley,99840
75,resum,grant,declin,99840
76,steamship,declin,avow,99840
77,applic,district,proctor,99840
78,absenc,rous,fuel,99840
79,voyag,foreign,proffer,99840
80,consul,suggest,resum,99840
81,——,devant,suggest,99840
82,secondli,accredit,65,99840
83,stronger,dudley,steamship,99840
84,state,proceed,foreign,99840
85,due,avow,suppli,99840
86,substanc,proctor,secondli,99840
87,origin,proper,consul,99840
88,41,suppli,stronger,99840
89,andor,65,——,99840
90,district,fuel,voyag,99840
91,609,april,andor,99840
92,stricken,proffer,proper,99840
93,discretionari,resum,stricken,99840
94,furnish,steamship,april,99840
95,616,applic,609,99840
96,friendli,deni,friendli,99840
97,dock,voyag,discretionari,99840
98,leav,us,substanc,99840
99,rem,consul,41,99840
100,522,——,dock,99840
101,dri,secondli,dri,99840
102,uncertain,unit,rem,99840
103,file,mr,uncertain,99840
104,seizur,stronger,petition,99840
105,relief,due,stephen,99840
106,depart,substanc,curti,99840
107,refus,origin,frank,99840
108,stephen,41,orderli,99840
109,frank,andor,mcreynold,99840
110,curti,februari,seek,99840
111,van,609,grant,99840
112,mcreynold,stricken,februari,99840
113,question,discretionari,van,99840
114,256,friendli,185,99840
115,interlocutori,seek,deni,99840
116,orderli,dock,interlocutori,99840
117,proceed,leav,seizur,99840
118,185,rem,unauthor,99840
119,oper,dri,leav,99840
120,sever,uncertain,619,99840
121,action,seizur,15th,99840
122,254,relief,origin,99840
123,support,refus,vice,99840
124,port,stephen,pure,99840
125,proper,frank,applic,99840
126,us,repres,recogn,99840
127,claim,curti,claim,99840
128,charter,whether,due,99840
129,unauthor,recogn,proceed,99840
130,15th,possess,extraordinari,99840
131,619,van,relief,99840
132,pure,mcreynold,repres,99840
133,respond,question,ampl,99840
134,vice,june,forbid,99840
135,suggest,interlocutori,goe,99840
136,deni,enforc,port,99840
137,commerci,orderli,commerci,99840
138,part,185,repair,99840
139,review,gener,arriv,99840
140,repair,sever,june,99840
141,mr,action,216,99840
142,arriv,support,264,99840
143,vacat,port,refus,99840
144,extraordinari,charter,218,99840
145,forbid,unauthor,sever,99840
146,dismiss,exercis,219,99840
147,goe,15th,255,99840
148,ampl,decid,charter,99840
149,water,619,support,99840
150,grant,true,vacat,99840
151,216,pure,true,99840
152,264,respond,enforc,99840
153,command,vice,command,99840
154,255,counsel,interven,99840
155,219,regard,regard,99840
156,218,commerci,protest,99840
157,foreign,part,man,99840
158,upon,review,exercis,99840
159,protest,cours,ownership,99840
160,man,repair,cours,99840
161,object,circumst,oral,99840
162,interven,arriv,lead,99840
163,condemn,vacat,condemn,99840
164,suppli,extraordinari,possess,99840
165,order,forbid,108,99840
166,ownership,dismiss,entertain,99840
167,whether,amount,circumst,99840
168,lead,goe,107,99840
169,oral,ampl,district,99840
170,entertain,water,defeat,99840
171,belong,216,high,99840
172,108,264,sanction,99840
173,discret,argument,105,99840
174,direct,command,step,99840
175,107,255,belong,99840
176,high,219,plainli,99840
177,defeat,218,came,99840
178,labor,upon,formal,99840
179,sanction,protest,argument,99840
180,unit,matter,decid,99840
181,came,man,review,99840
182,aforesaid,object,counsel,99840
183,one,interven,discret,99840
184,105,condemn,aforesaid,99840
185,sup,parti,etc,99840
186,certifi,appear,immedi,99840
187,messr,order,pray,99840
188,agent,ownership,water,99840
189,step,issu,certifi,99840
190,pray,lead,whether,99840
191,14,oral,retain,99840
192,rule,entertain,mr,99840
193,william,belong,stipul,99840
194,stipul,108,adequ,99840
195,etc,discret,duli,99840
196,immedi,within,alway,99840
197,brief,direct,opportun,99840
198,secretari,107,brief,99840
199,formal,high,messr,99840
200,februari,defeat,dismiss,99840
201,john,labor,advanc,99840
202,plainli,sanction,object,99840
203,follow,came,william,99840
204,bond,aforesaid,situat,99840
205,gener,one,matter,99840
206,page,105,desir,99840
207,ct,sup,omit,99840
208,appeal,certifi,ascertain,99840
209,seek,messr,sought,99840
210,attorney,right,gener,99840
211,duli,present,consent,99840
212,retain,agent,14,99840
213,adequ,step,open,99840
214,opportun,time,su,99840
215,consent,pray,john,99840
216,open,14,properli,99840
217,situat,rule,describ,99840
218,describ,william,institut,99840
219,omit,stipul,submit,99840
220,decid,etc,labor,99840
221,submit,immedi,appear,99840
222,advanc,brief,agent,99840
223,sought,secretari,amount,99840
224,su,formal,page,99840
225,discharg,john,gave,99840
226,repres,plainli,discharg,99840
227,ascertain,would,part,99840
228,recogn,follow,juli,99840
229,possess,bond,direct,99840
230,alway,page,action,99840
231,judgment,ct,secretari,99840
232,properli,appeal,respond,99840
233,june,attorney,deliv,99840
234,enforc,duli,maintain,99840
235,institut,deliv,posit,99840
236,ed,retain,octob,99840
237,liabil,adequ,import,99840
238,damag,opportun,materi,99840
239,desir,consent,attorney,99840
240,citi,open,31,99840
241,u,situat,prevent,99840
242,import,describ,januari,99840
243,juli,omit,special,99840
244,l,submit,manner,99840
245,special,advanc,approv,99840
246,owner,sought,f,99840
247,exercis,justic,liabil,99840
248,sale,su,28,99840
