,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,gwin,gwin,gwin,86264
1,executor,marshal,marshal,86264
2,marshal,money,executor,86264
3,banknot,executor,money,86264
4,action,court,banknot,86264
5,venditioni,banknot,mississippi,86264
6,expona,mississippi,action,86264
7,breedlov,action,venditioni,86264
8,mississippi,plaintiff,breedlov,86264
9,sheriff,motion,expona,86264
10,money,venditioni,motion,86264
11,sureti,breedlov,sureti,86264
12,testat,expona,execut,86264
13,hugh,said,plaintiff,86264
14,surviv,execut,sheriff,86264
15,carolina,sureti,return,86264
16,daniel,state,daniel,86264
17,lie,defend,hugh,86264
18,beverli,sheriff,surviv,86264
19,execut,return,testat,86264
20,silver,bond,lie,86264
21,collect,case,said,86264
22,north,lie,beverli,86264
23,gold,testat,carolina,86264
24,yerger,daniel,bond,86264
25,plaintiff,hugh,silver,86264
26,abat,surviv,collect,86264
27,motion,judgment,yerger,86264
28,cowper,carolina,gold,86264
29,court,collect,north,86264
30,receiv,beverli,abat,86264
31,return,silver,cowper,86264
32,case,receiv,defend,86264
33,speci,north,newbern,86264
34,newbern,gold,speci,86264
35,said,yerger,judgment,86264
36,deputymarsh,law,receiv,86264
37,state,abat,court,86264
38,verdict,cowper,deputymarsh,86264
39,deputi,upon,deputi,86264
40,bond,unit,1828,86264
41,1828,caus,came,86264
42,judgment,circuit,fals,86264
43,lifetim,speci,plea,86264
44,form,newbern,caus,86264
45,imperfect,plea,penalti,86264
46,fals,came,verdict,86264
47,opinion,deputi,cent,86264
48,caus,fals,lifetim,86264
49,defend,deputymarsh,imperfect,86264
50,trover,1828,circuit,86264
51,pay,proceed,form,86264
52,instruct,verdict,trover,86264
53,came,penalti,case,86264
54,insuffici,must,remedi,86264
55,offic,cent,must,86264
56,death,district,proceed,86264
57,proceed,act,pay,86264
58,demurr,opinion,sustain,86264
59,party—do,suit,penal,86264
60,sustain,pay,demurr,86264
61,penalti,statut,insuffici,86264
62,plaintiffsvjam,form,party—do,86264
63,bank,made,1843,86264
64,upon,remedi,plaintiffsvjam,86264
65,remedi,lifetim,summari,86264
66,note,sustain,offenc,86264
67,law,per,per,86264
68,refus,damag,damag,86264
69,benefit,issu,opinion,86264
70,statut,imperfect,dig,86264
71,dig,offic,suit,86264
72,shall,demurr,law,86264
73,district,record,instruct,86264
74,made,trover,misfeas,86264
75,judg,properti,southern,86264
76,plea,shall,annum,86264
77,issu,writ,clifford,86264
78,clifford,part,crozier,86264
79,summari,error,levi,86264
80,divis,penal,hand,86264
81,crozier,instruct,death,86264
82,discontinu,insuffici,discontinu,86264
83,act,payment,benefit,86264
84,certifi,congress,1840,86264
85,offici,death,refus,86264
86,writ,summari,upon,86264
87,properti,benefit,trespass,86264
88,1840,refus,divis,86264
89,penal,party—do,record,86264
90,guilti,1843,offici,86264
91,tender,parti,issu,86264
92,unit,offenc,offic,86264
93,trespass,levi,district,86264
94,payment,hand,thirtynin,86264
95,certif,plaintiffsvjam,tender,86264
96,process,southern,1841,86264
97,cent,process,respons,86264
98,estat,bank,banks—al,86264
99,must,may,late,86264
100,southern,1,unit,86264
101,mode,therefor,halst,86264
102,default,note,haywood,86264
103,circuit,dig,payment,86264
104,suit,juri,twentynin,86264
105,thirtynin,2,certifi,86264
106,juri,recov,1848,86264
107,brought,annum,process,86264
108,banks—al,offici,writ,86264
109,halst,judg,points——,86264
110,per,brought,guilti,86264
111,haywood,enforc,shelton,86264
112,com,3,recov,86264
113,twentynin,clifford,oppos,86264
114,damag,misfeas,jailer,86264
115,points——,respons,default,86264
116,371,divis,repositori,86264
