,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,bank,bank,bank,90080
1,cinnamon,check,check,90080
2,ashland,cinnamon,cinnamon,90080
3,check,ashland,ashland,90080
4,usag,usag,usag,90080
5,depositor,deposit,deposit,90080
6,deposit,depositor,depositor,90080
7,hodgkinson,hodgkinson,hodgkinson,90080
8,dishonor,dishonor,dishonor,90080
9,drawe,burkhardt,burkhardt,90080
10,burkhardt,drawe,drawe,90080
11,central,receiv,receiv,90080
12,hous,central,central,90080
13,teller,hous,teller,90080
14,receiv,teller,hous,90080
15,payment,notic,irrevoc,90080
16,notic,clear,clear,90080
17,ill,irrevoc,notic,90080
18,durfe,payment,hour,90080
19,clear,hour,durfe,90080
20,indors,ill,ill,90080
21,smithhurd,durfe,payment,90080
22,member,indors,indors,90080
23,passbook,account,smithhurd,90080
24,lippincott,given,passbook,90080
25,chicago,smithhurd,account,90080
26,negoti,upon,lippincott,90080
27,irrevoc,member,given,90080
28,affili,passbook,negoti,90080
29,item,instrument,instrument,90080
30,hour,lippincott,member,90080
31,124,chicago,chicago,90080
32,credit,negoti,oclock,90080
33,instrument,nation,affili,90080
34,parti,credit,credit,90080
35,account,court,nation,90080
36,instruct,charg,item,90080
37,reserv,oclock,124,90080
38,upon,time,23d,90080
39,evan,affili,instruct,90080
40,juri,instruct,evan,90080
41,given,case,tent,90080
42,oclock,day,charg,90080
43,tent,law,cahil,90080
44,case,parti,gave,90080
45,said,item,drawn,90080
46,cahil,first,reserv,90080
47,charg,juri,day,90080
48,collect,124,becam,90080
49,plaintiff,23d,afternoon,90080
50,error,reserv,first,90080
51,court,said,close,90080
52,nation,gave,morn,90080
53,afternoon,evan,repudi,90080
54,left,tent,1933,90080
55,first,drawn,686,90080
56,good,becam,left,90080
57,busi,cahil,time,90080
58,1933,collect,collect,90080
59,contract,plaintiff,hallenbeckvleimert,90080
60,april,error,102,90080
61,102,close,provision,90080
62,evid,afternoon,juri,90080
63,st,left,final—a,90080
64,23d,good,230,90080
65,hallenbeckvleimert,busi,parti,90080
66,day,rule,twothirti,90080
67,230,1933,98,90080
68,98,present,uncondit,90080
69,provision,morn,hand,90080
70,final—a,repudi,april,90080
71,associ,contract,guaranti,90080
72,twothirti,made,qualified——,90080
73,rule,april,bankvburkhardt,90080
74,guaranti,686,voughton,90080
75,uncondit,102,bankif,90080
76,found,hand,deposit—th,90080
77,hand,evid,paye,90080
78,1875,st,good,90080
79,settlement,return,itselfa,90080
80,time,hallenbeckvleimert,1875,90080
81,rev,230,contradict,90080
82,subject,v,becom,90080
83,five,98,10997,90080
84,paye,provision,collend,90080
85,feder,subject,rev,90080
86,bankvburkhardt,final—a,examin,90080
87,bankif,examin,766,90080
88,qualified——,becom,associ,90080
89,deposit—th,associ,upon,90080
90,voughton,twothirti,touch,90080
91,tend,guaranti,bars,90080
92,contradict,uncondit,notori,90080
93,law,found,25th,90080
94,gener,1875,holder,90080
95,gave,settlement,tend,90080
96,itselfa,give,return,90080
97,regard,holder,settlement,90080
98,touch,rev,st,90080
99,25th,five,nat,90080
100,mortgag,correct,oddi,90080
101,v,paye,dyker,90080
102,collend,actual,five,90080
103,10997,feder,busi,90080
104,examin,judgment,correct,90080
105,morn,bankif,vice,90080
106,nat,bankvburkhardt,overdraft,90080
107,repudi,deposit—th,four,90080
108,notori,voughton,requisit,90080
109,amount,qualified——,bliven,90080
110,fund,tend,1935,90080
111,bars,contradict,cincinnati,90080
112,close,within,117118,90080
113,section,follow,thing,90080
114,requisit,four,present,90080
115,drawn,except,fix,90080
116,oddi,fix,balanc,90080
117,vice,gener,actual,90080
118,1935,thing,kittredg,90080
119,present,enter,former,90080
120,dyker,place,promptitud,90080
121,petition,itselfa,dinsmor,90080
