abbrev,name,count,jurisdiction,citation_abbrev,start_date,end_date,in_use,last_modified,horizontal,vertical
tennctapp,Court of Appeals of Tennessee,15131,State Appellate,Tenn. Ct. App.,Unknown,Unknown,Yes,2013-09-08T19:23,TN,appellate
tenncrimapp,Court of Criminal Appeals of Tennessee,18454,State Appellate,Tenn. Crim. App.,Unknown,Unknown,Yes,2013-09-09T09:30,TN,appellate
tennsuperct,Tennessee Superior Court for Law and Equity,0,State Appellate,Tenn. Sup. Ct.,1796-01-01,1809-12-31,Yes,2016-06-18T13:01,TN,appellate
tex,Texas Supreme Court,9091,State Supreme,Tex.,Unknown,Unknown,Yes,2014-08-08T10:27,TX,supreme
texapp,Court of Appeals of Texas,258143,State Appellate,Tex. App.,Unknown,Unknown,Yes,2014-08-08T10:27,TX,appellate
texcrimapp,Court of Criminal Appeals of Texas,28790,State Appellate,Tex. Crim. App.,Unknown,Unknown,Yes,2015-09-02T11:29,TX,appellate
texreview,Texas Special Court of Review,5,State Special,Tex. Rev.,Unknown,Unknown,Yes,2013-10-30T00:11,TX,other
texjpml,Texas Judicial Panel on Multidistrict Litigation,0,State Appellate,Tex. J.P.M.L.,Unknown,Unknown,Yes,2016-06-18T13:01,TX,appellate
texag,Texas Attorney General Reports,0,State Attorney General,Tex. Att'y Gen.,Unknown,Unknown,Yes,2016-05-18T13:12,TX,other
utah,Utah Supreme Court,7864,State Supreme,Utah,Unknown,Unknown,Yes,2013-08-14T09:46,UT,supreme
utahctapp,Court of Appeals of Utah,3453,State Appellate,Utah Ct. App.,Unknown,Unknown,Yes,2013-08-14T15:42,UT,appellate
vt,Supreme Court of Vermont,6897,State Supreme,Vt.,Unknown,Unknown,Yes,2013-09-09T10:24,VT,supreme
va,Supreme Court of Virginia,7555,State Supreme,Va.,Unknown,Unknown,Yes,2013-09-09T10:23,VA,supreme
vactapp,Court of Appeals of Virginia,5180,State Appellate,Va. Ct. App.,Unknown,Unknown,Yes,2013-09-09T10:05,VA,appellate
wash,Washington Supreme Court,14488,State Supreme,Wash.,Unknown,Unknown,Yes,2013-08-14T09:46,WA,supreme
washctapp,Court of Appeals of Washington,15309,State Appellate,Wash. Ct. App.,Unknown,Unknown,Yes,2013-08-14T15:42,WA,appellate
washag,Washington Attorney General Reports,0,State Attorney General,Wash. Att'y Gen.,Unknown,Unknown,Yes,2016-05-18T13:13,WA,other
wva,West Virginia Supreme Court,11268,State Supreme,W. Va.,Unknown,Unknown,Yes,2013-08-14T09:46,WV,supreme
wis,Wisconsin Supreme Court,13221,State Supreme,Wis.,Unknown,Unknown,Yes,2013-08-14T09:46,WI,supreme
wisctapp,Court of Appeals of Wisconsin,11625,State Appellate,Wis. Ct. App.,Unknown,Unknown,Yes,2013-09-08T18:29,WI,appellate
wisag,Wisconsin Attorney General Reports,0,State Attorney General,Wis. Att'y Gen.,Unknown,Unknown,Yes,2016-05-18T13:15,WI,other
wyo,Wyoming Supreme Court,7166,State Supreme,Wyo.,Unknown,Unknown,Yes,2013-08-14T09:46,WY,supreme
usjc,United States Judicial Conference Committee,5,Committee,U.S.J.C.,Unknown,Unknown,Yes,2013-08-14T15:40,other,other
jpml,United States Judicial Panel on Multidistrict Litigation,1122,Committee,J.P.M.L.,Unknown,Unknown,Yes,2013-08-15T17:19,other,other
stp,United States Special Tribunal of Pennsylvania,1,Committee,Special Tribunal of Pa.,Unknown,Unknown,Yes,2014-11-24T09:07,PA,other
kingsbench,Court of King's Bench,0,International,King's Bench,1200-01-01,1873-12-31,Yes,2016-05-18T10:52,other,other
