CLid,indegree,l_pagerank,age
2381647,1,-1.65918000433,12
2381728,1,-1.65918000433,12
2381753,0,-3.55629998922,7
2381785,0,-3.55629998922,4
2381788,0,-3.55629998922,16
2381794,0,-3.55629998922,0
2381807,0,-3.55629998922,2
2381817,0,-3.55629998922,2
810012,0,-3.55629998922,20
84581,0,-3.55629998922,26
84582,0,-3.55629998922,21
84583,0,-3.55629998922,20
84585,0,-3.55629998922,17
84586,1,-2.94111435012,16
84587,0,-3.55629998922,16
84589,0,-3.55629998922,12
84590,0,-3.55629998922,7
84591,0,-3.55629998922,7
84593,0,-3.55629998922,2
84595,1,-2.94111435012,0
84596,0,-3.55629998922,0
84643,0,-3.55629998922,14
