CLid,indegree,l_pagerank,age
1119427,1,-4.75967080458,0
1119486,1,-4.75967080458,0
1143192,1,-5.02068462995,0
1299599,0,-6.65679078946,18
1299604,0,-6.65679078946,14
1299616,0,-6.65679078946,17
1299622,0,-6.65679078946,14
1299628,0,-6.65679078946,18
1299643,0,-6.65679078946,18
1300133,0,-6.65679078946,14
1300139,0,-6.65679078946,12
1300161,1,-4.75967080458,17
1300165,0,-6.65679078946,17
1303430,1,-4.75967080458,17
1303451,0,-6.65679078946,15
1303460,1,-4.75967080458,16
1303466,0,-6.65679078946,15
1303472,0,-6.65679078946,19
1303477,0,-6.65679078946,15
1303496,1,-4.75967080458,18
1303501,0,-6.65679078946,17
1303508,0,-6.65679078946,20
1303513,0,-6.65679078946,19
1303519,0,-6.65679078946,25
1303525,0,-6.65679078946,15
1303532,0,-6.65679078946,15
1303537,0,-6.65679078946,17
1303592,0,-6.65679078946,18
1303599,0,-6.65679078946,15
1303605,0,-6.65679078946,14
1303625,0,-6.65679078946,13
1303682,0,-6.65679078946,19
1303689,0,-6.65679078946,15
1303693,0,-6.65679078946,13
1303706,0,-6.65679078946,20
1303711,0,-6.65679078946,28
1303716,0,-6.65679078946,17
1303722,0,-6.65679078946,17
1303728,0,-6.65679078946,20
1304342,0,-6.65679078946,28
1304346,0,-6.65679078946,18
1304349,1,-4.75967080458,18
1306761,1,-4.75967080458,17
2095284,0,-6.65679078946,14
2096950,0,-6.65679078946,14
2098227,0,-6.65679078946,14
2158753,0,-6.65679078946,12
2160646,0,-6.65679078946,16
2213364,0,-6.65679078946,11
2215103,0,-6.65679078946,14
2216108,0,-6.65679078946,15
2217721,0,-6.65679078946,12
2218550,0,-6.65679078946,14
2219105,0,-6.65679078946,14
2219671,0,-6.65679078946,12
2220154,0,-6.65679078946,14
2220732,0,-6.65679078946,14
2223136,0,-6.65679078946,11
2224213,0,-6.65679078946,14
2224796,0,-6.65679078946,12
2225264,0,-6.65679078946,11
2225895,0,-6.65679078946,13
2228460,0,-6.65679078946,12
2229179,0,-6.65679078946,15
2229888,0,-6.65679078946,13
2230740,0,-6.65679078946,15
2232416,0,-6.65679078946,11
2273280,0,-6.65679078946,14
2346358,0,-6.65679078946,13
2347065,0,-6.65679078946,14
2351149,0,-6.65679078946,14
2381610,0,-6.65679078946,24
2381613,0,-6.65679078946,21
2381617,0,-6.65679078946,22
2381620,0,-6.65679078946,26
2381633,0,-6.65679078946,28
2381641,0,-6.65679078946,23
2381644,0,-6.65679078946,22
2381647,1,-4.75967080458,42
2381650,0,-6.65679078946,22
2381653,0,-6.65679078946,22
2381656,0,-6.65679078946,22
2381659,0,-6.65679078946,21
2381663,0,-6.65679078946,21
2381666,0,-6.65679078946,25
2381670,0,-6.65679078946,22
2381683,0,-6.65679078946,22
2381708,0,-6.65679078946,24
2381711,0,-6.65679078946,23
2381714,0,-6.65679078946,28
2381715,0,-6.65679078946,22
2381718,0,-6.65679078946,28
2381723,0,-6.65679078946,25
2381728,1,-4.75967080458,42
2381730,0,-6.65679078946,25
2381736,0,-6.65679078946,21
2381741,0,-6.65679078946,22
2381743,0,-6.65679078946,26
2381750,0,-6.65679078946,22
2381753,0,-6.65679078946,37
2381756,0,-6.65679078946,23
2381757,0,-6.65679078946,25
2381760,0,-6.65679078946,22
2381762,0,-6.65679078946,29
2381764,0,-6.65679078946,26
2381770,0,-6.65679078946,21
2381772,0,-6.65679078946,21
2381775,0,-6.65679078946,22
2381777,0,-6.65679078946,25
2381780,0,-6.65679078946,22
2381785,0,-6.65679078946,34
2381788,0,-6.65679078946,46
2381791,0,-6.65679078946,22
2381794,0,-6.65679078946,30
2381795,0,-6.65679078946,24
2381800,0,-6.65679078946,22
2381802,0,-6.65679078946,22
2381805,0,-6.65679078946,25
2381807,0,-6.65679078946,32
2381810,0,-6.65679078946,21
2381816,0,-6.65679078946,25
2381817,0,-6.65679078946,32
2381820,0,-6.65679078946,22
2419163,1,-4.75967080458,2
2429567,1,-4.75967080458,4
2429586,1,-4.75967080458,4
2432524,1,-4.75967080458,4
2620768,0,-6.65679078946,7
2620769,0,-6.65679078946,7
