CLid,indegree,l_pagerank,age
100000,1,-10.9906843721,48
100001,1,-10.7957277504,48
100002,5,-10.860455667,48
100003,10,-10.4909704167,48
100004,4,-10.6262944951,48
100005,9,-10.2920934628,48
100006,5,-9.91205872784,48
100007,20,-9.65965110869,48
100008,0,-11.084100103,48
100009,18,-9.78379063009,48
100010,42,-9.26105549266,48
100011,31,-9.01733017114,48
100012,1,-11.0387460757,48
100013,4,-10.5311387342,48
100014,4,-10.7054825178,48
100015,9,-9.94240050467,48
100016,2,-10.7743057067,48
100017,0,-11.084100103,48
100018,35,-8.53172126464,48
100019,0,-11.084100103,48
100020,17,-9.64316824836,48
100021,3,-10.7332274388,48
100022,8,-9.86661916267,48
100023,22,-9.17858474958,48
100024,3,-10.7670142746,48
100025,16,-9.85821381015,48
100026,3,-10.6687135661,48
100027,0,-11.084100103,48
100028,7,-10.2213159028,48
100029,1,-10.6453071295,48
100030,5,-10.4601820505,48
100031,1,-11.0388673303,48
100032,4,-10.4457237343,48
100033,2,-10.8431164981,48
100034,17,-10.2255022666,48
100035,5,-10.5865622278,48
100036,4,-10.7755161958,48
100037,10,-10.0997048939,48
100038,3,-10.5268573626,48
100039,18,-10.2245798675,48
100040,15,-10.1838775069,48
100041,0,-11.084100103,48
100042,15,-10.0847211856,48
100043,1,-10.7827162963,48
100044,8,-10.3195332151,48
100045,1,-10.9568496196,48
100046,2,-10.8899783398,48
100047,0,-11.084100103,48
100048,1,-10.8758899143,48
100049,1,-11.0037326503,48
100050,1,-10.8415949721,48
100051,3,-10.5359114945,48
100052,13,-9.99733404267,48
100053,14,-10.1973827542,48
100054,9,-10.2538829294,48
100055,17,-9.34475961917,48
100056,1,-10.9488280458,48
100057,0,-11.084100103,48
100058,2,-10.9131805787,48
100059,11,-9.56308044081,48
100060,1,-11.0217335674,48
100061,34,-9.39854017412,48
100062,6,-10.4345349432,48
100063,29,-9.52964997393,48
100064,21,-9.14090150223,48
100065,3,-10.8554503709,48
100066,5,-10.4951263861,48
100067,1,-10.9591706529,48
100068,4,-10.5412547243,48
100069,0,-11.084100103,48
100070,7,-10.4679550579,48
100071,7,-9.9422267698,48
100072,18,-9.82679700552,48
100073,4,-9.9201655566,48
100074,5,-10.3013920514,48
100075,8,-10.1676419998,48
100076,15,-10.359396488,48
100077,17,-9.86919559086,48
100078,8,-10.4536045116,48
100079,18,-10.1089604244,48
100080,0,-11.084100103,48
100081,9,-10.1580600143,47
100082,1,-10.9717783491,47
100083,15,-10.178230318,47
100084,6,-9.57902988816,47
100085,1,-11.0590802847,47
100086,6,-10.4743513901,47
100087,2,-10.9727885127,47
100088,13,-9.62843485693,47
100089,5,-10.4741126197,47
100090,3,-10.7417615912,47
100091,6,-9.72645601359,47
100092,2,-10.3689625151,47
100093,10,-10.2955978783,47
100094,20,-10.2222803626,47
100095,0,-11.084100103,47
100096,15,-9.75505160061,47
100097,1,-11.0025201161,47
100098,0,-11.084100103,47
100099,8,-10.3939598282,47
100100,5,-10.4765267412,47
100101,2,-11.0247847392,47
100102,1,-11.0201820604,47
100103,14,-9.17913026364,47
100104,0,-11.084100103,47
100105,14,-9.86797624705,47
100106,1,-11.0025201161,47
100107,0,-11.084100103,47
100108,1,-11.0444439645,47
100109,0,-11.084100103,47
100110,2,-10.7443923656,48
100111,0,-11.084100103,48
100112,0,-11.084100103,48
100113,0,-11.084100103,48
100115,1,-10.9770148478,47
100116,0,-11.084100103,47
100117,0,-11.084100103,47
100118,2,-10.799439153,47
100119,8,-10.3662306035,47
100120,3,-10.7492166071,47
100121,16,-9.34860764341,47
