CLid,indegree,l_pagerank,age
100000,1,-11.1165622938,58
100001,1,-10.9218435852,58
100002,6,-10.857776246,58
100003,13,-10.3920780421,58
100004,4,-10.6907256285,58
100005,9,-10.3069551886,58
100006,5,-10.0059436386,58
100007,21,-9.70643555411,58
100008,0,-11.210697831,58
100009,21,-9.77678157702,58
100010,48,-9.164331169,58
100011,32,-9.05112412451,58
100012,1,-11.1631359553,58
100013,4,-10.6537204368,58
100014,4,-10.8224328161,58
100015,9,-10.0117179552,58
100016,2,-10.8971685587,58
100017,0,-11.210697831,58
100018,35,-8.50505424094,58
100019,0,-11.210697831,58
100020,19,-9.61276182062,58
100021,3,-10.8228025576,58
100022,8,-9.8091174699,58
100023,23,-8.91656393703,58
100024,3,-10.7927467502,58
100025,18,-9.86218391604,58
100026,3,-10.7947036357,58
100027,0,-11.210697831,58
100028,8,-10.2691620038,58
100029,1,-10.7711472561,58
100030,5,-10.5341297923,58
100031,1,-11.154107533,58
100032,4,-10.5680449333,58
100033,2,-10.9106271235,58
100034,22,-10.0356132687,58
100035,5,-10.6680151521,58
100036,4,-10.8797820985,58
100037,11,-10.0733585784,58
100038,3,-10.6513747866,58
100039,18,-10.2565528341,58
100040,15,-10.2512252745,58
100041,0,-11.210697831,58
100042,15,-10.1235897469,58
100043,1,-10.8899738083,58
100044,8,-10.3142377996,58
100045,1,-11.0817952941,58
100046,2,-11.0144874605,58
100047,0,-11.210697831,58
100048,1,-10.9956500901,58
100049,1,-11.1291044296,58
100050,1,-10.929288715,58
100051,4,-10.6294083076,58
100052,17,-9.87241339118,58
100053,14,-10.2946382323,58
100054,9,-10.2886072442,58
100055,18,-9.31737617755,58
100056,1,-11.0345415618,58
100057,0,-11.210697831,58
100058,2,-11.0282566068,58
100059,11,-9.59337677614,58
100060,1,-11.1407303517,58
100061,42,-9.32116488591,58
100062,6,-10.5198140542,58
100063,29,-9.54490908167,58
100064,22,-9.13726819652,58
100065,3,-10.9739497536,58
100066,5,-10.5974175931,58
100067,1,-11.0803022792,58
100068,5,-10.6451840764,58
100069,0,-11.210697831,58
100070,9,-10.4621372618,58
100071,7,-9.95823719889,58
100072,18,-9.88849737039,58
100073,4,-10.0033685489,58
