CLid,indegree,l_pagerank,age
100000,1,-10.7527411714,28
100001,1,-10.5951005587,28
100002,4,-10.7122825859,28
100003,3,-10.6720117222,28
100004,4,-10.4928668999,28
100005,6,-10.4468180441,28
100006,5,-9.85501796099,28
100007,16,-9.71331919647,28
100008,0,-10.8456398707,28
100009,16,-9.79780993026,28
100010,25,-9.71287512161,28
100011,23,-9.30153493094,28
100012,1,-10.8038160827,28
100013,4,-10.3029453334,28
100014,4,-10.496310017,28
100015,9,-10.0084288996,28
100016,2,-10.5464986098,28
100017,0,-10.8456398707,28
100018,28,-8.71880142318,28
100019,0,-10.8456398707,28
100020,16,-9.52054766294,28
100021,3,-10.5541190955,28
100022,8,-9.975044036,28
100023,17,-9.68587262195,28
100024,3,-10.666751225,28
100025,14,-9.74195747752,28
100026,2,-10.7608798318,28
100027,0,-10.8456398707,28
100028,6,-10.2307133336,28
100029,1,-10.4103463096,28
100030,5,-10.3615630257,28
100031,1,-10.8107284996,28
100032,4,-10.2204323277,28
100033,2,-10.6903077517,28
100034,10,-10.4446257864,28
100035,5,-10.4403086701,28
100036,4,-10.5745451869,28
100037,7,-10.3265706838,28
100038,3,-10.2884376447,28
100039,17,-10.1406825299,28
100040,13,-10.0531173856,28
100041,0,-10.8456398707,28
100042,11,-10.1058564079,28
100043,1,-10.5835391588,28
100044,7,-10.3166820193,28
100045,1,-10.7252411405,28
100046,2,-10.6568175863,28
100047,0,-10.8456398707,28
100048,0,-10.8456398707,28
100049,1,-10.7678352592,28
100050,1,-10.765213659,28
100051,2,-10.3109934482,28
100052,8,-10.3213751679,28
100053,12,-10.1061756061,28
100054,9,-10.1861830904,28
100055,15,-9.36657708578,28
100056,1,-10.7748437271,28
100057,0,-10.8456398707,28
100058,1,-10.7515910904,28
100059,10,-9.59739685771,28
100060,1,-10.790533573,28
100061,25,-9.56522154913,28
100062,5,-10.2697199466,28
100063,28,-9.51349349149,28
100064,19,-9.31377828078,28
100065,3,-10.6278857046,28
100066,5,-10.3035054188,28
100067,1,-10.7640598838,28
100068,4,-10.3056363224,28
100069,0,-10.8456398707,28
100070,6,-10.318978614,28
100071,6,-9.87442427322,28
100072,15,-9.75599577996,28
