,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,juvenil,state,juvenil,112763
1,cask,tax,cask,112763
2,polariscop,court,polariscop,112763
3,flynn,v,flynn,112763
4,acceptor,juvenil,acceptor,112763
5,car,cask,fur,112763
6,fur,petition,tax,112763
7,bank,polariscop,petition,112763
8,deed,sct,car,112763
9,§2113a,bank,bank,112763
10,marihuana,flynn,robberi,112763
11,robberi,acceptor,home,112763
12,wickham,us,§2113a,112763
13,chicope,led2d,marihuana,112763
14,sugar,car,wickham,112763
15,commerc,unit,chicope,112763
16,§2113b,purchas,led2d,112763
17,tax,fur,loss,112763
18,larceni,case,§2113b,112763
19,leo,compani,sugar,112763
20,petition,commerc,purchas,112763
21,allegheni,home,larceni,112763
22,xiiia,loss,leo,112763
23,narcot,robberi,sct,112763
24,vault,instruct,inform,112763
25,jeopardi,inform,allegheni,112763
26,rugendorf,busi,xiiia,112763
27,00,deed,narcot,112763
28,fire,§2113a,instruct,112763
29,airpump,claim,vault,112763
30,inform,marihuana,commerc,112763
31,nashvil,act,jeopardi,112763
32,purchas,properti,nashvil,112763
33,home,wickham,rugendorf,112763
34,loss,upon,airpump,112763
35,properti,chicope,deed,112763
36,floatvalv,sugar,00,112763
37,bill,defend,offens,112763
38,basement,juri,floatvalv,112763
39,cass,offens,basement,112763
40,circul,agent,roviaro,112763
41,roviaro,violat,cass,112763
42,instruct,§,agent,112763
43,agent,requir,beld,112763
44,beld,bill,busi,112763
45,pittsburgh,§2113b,fire,112763
46,pullman,respond,circul,112763
47,offens,larceni,pittsburgh,112763
48,sleep,see,pullman,112763
49,quitclaim,plaintiff,sleep,112763
50,test,leo,violat,112763
51,insur,said,us,112763
52,compani,narcot,quitclaim,112763
53,7206,allegheni,7206,112763
54,lot,xiiia,test,112763
55,reissu,would,intent,112763
56,juvenilecourt,jeopardi,stolen,112763
57,checkvalv,vault,lesser,112763
58,couldnt,nashvil,juvenilecourt,112763
59,tennesse,intent,checkvalv,112763
60,memphi,congress,couldnt,112763
61,partnership,payment,element,112763
62,sucros,trial,sucros,112763
63,busi,law,mcdonald,112763
64,privileg,rugendorf,feloni,112763
65,privaci,fire,told,112763
66,adjudicatori,00,reissu,112763
67,stolen,notic,adjudicatori,112763
68,cashier,airpump,volum,112763
69,court,one,semiweekli,112763
70,newspap,f2d,—paid,112763
71,semiweekli,may,fals,112763
72,—paid,protect,memphi,112763
73,led2d,floatvalv,undercov,112763
74,steal,made,steal,112763
75,element,test,privaci,112763
76,lesser,basement,notic,112763
77,undercov,cass,cashier,112763
78,invit,circul,instn,112763
79,polici,roviaro,receipt,112763
80,volum,valu,newspap,112763
81,mcdonald,polici,invit,112763
82,juri,evid,search,112763
83,wage,beld,transfer,112763
84,f2d,return,prior,112763
85,affidavit,transfer,partnership,112763
86,labor,pittsburgh,1975,112763
87,passeng,prior,exempt,112763
88,instn,pullman,privileg,112763
89,exempt,co,1884,112763
90,atlanta,day,qq,112763
91,subsect,present,f2d,112763
92,state,sleep,lot,112763
93,loan,insur,bag,112763
94,return,constitut,protect,112763
95,qq,privileg,juri,112763
96,bag,exempt,tennesse,112763
97,fals,fact,atlanta,112763
98,assess,element,return,112763
99,receipt,appeal,payment,112763
