,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,extradit,court,contract,86466
1,tarver,state,employ,86466
2,obscen,v,employe,86466
3,teall,case,liquor,86466
4,canal,act,starr,86466
5,bridg,upon,complain,86466
6,bail,law,marin,86466
7,machin,said,deed,86466
8,bucki,plaintiff,bail,86466
9,hazel,contract,compens,86466
10,indian,defend,alabama,86466
11,gasolin,§,tarver,86466
12,fitzhugh,unit,disabl,86466
13,hiv,compani,teall,86466
14,winifred,tax,vessel,86466
15,starr,land,probat,86466
16,vessel,district,train,86466
17,11b2,may,counti,86466
18,indig,sct,dodg,86466
19,barg,us,bucki,86466
20,ehl,jurisdict,hazel,86466
21,peninsula,l,extradit,86466
22,mcpherson,u,transport,86466
23,liquor,would,admiralti,86466
24,chadick,right,busi,86466
25,wroughtiron,employ,fitzhugh,86466
26,dodg,made,canal,86466
27,kebodeaux,appeal,hiv,86466
28,eastport,judgment,winifred,86466
29,eisentrag,shall,peninsula,86466
30,marin,time,11b2,86466
31,devin,power,law,86466
32,notari,one,ship,86466
33,deed,constitut,ehl,86466
34,chelsea,congress,mcpherson,86466
35,land,error,barg,86466
36,synth,order,upon,86466
37,sulphur,petition,gasolin,86466
38,vs,question,obscen,86466
39,rate,1,rehabilit,86466
40,buyer,mr,chadick,86466
41,admiralti,ct,district,86466
42,tax,ed,rate,86466
43,mitig,fact,wroughtiron,86466
44,bankrupt,counti,boat,86466
45,union,employe,receiv,86466
46,amish,statut,p,86466
47,madisonvil,section,presid,86466
48,collar,co,said,86466
49,orr,feder,territori,86466
50,boat,offic,record,86466
51,bank,commiss,kebodeaux,86466
52,goldsborough,claim,ceas,86466
53,prison,suit,eastport,86466
54,marburi,properti,eisentrag,86466
55,store,record,store,86466
56,school,bill,union,86466
57,alabama,evid,interst,86466
58,sidewalk,within,devin,86466
59,hanford,sup,indig,86466
60,counti,busi,hartford,86466
61,templ,vessel,carrier,86466
62,expens,requir,injuri,86466
63,pardon,govern,chelsea,86466
64,wesberri,receiv,synth,86466
65,sorna,complain,neglig,86466
66,governor,deed,lade,86466
67,disabl,year,moin,86466
68,monmouth,grant,yearli,86466
69,ducktown,opinion,jurisdict,86466
70,constabl,parti,sulphur,86466
71,servant,author,station,86466
72,sp,c,amish,86466
73,carillo,rate,docket,86466
74,road,led,time,86466
75,district,provid,lumber,86466
76,colonel,titl,notari,86466
77,lotteri,see,martial,86466
78,ash,part,madisonvil,86466
79,zone,without,state,86466
80,hartford,2,8e,86466
81,band,action,construct,86466
82,grain,new,car,86466
83,moin,circuit,collar,86466
84,hampshir,decis,shipper,86466
85,gerson,commerc,goldsborough,86466
86,carrier,servic,offenc,86466
87,columbia,respond,year,86466
88,lumley,corpor,hanford,86466
89,social,board,water,86466
90,price,interst,sp,86466
91,hors,person,§,86466
92,musician,limit,orr,86466
93,desegreg,use,zone,86466
94,said,compens,machin,86466
95,brandon,file,enlist,86466
96,complain,trial,work,86466
97,citizenship,rule,power,86466
98,pollut,gener,marburi,86466
99,tube,construct,appelle,86466
