,km_10,km_100
97476,1,60
97477,6,31
97478,8,39
97479,1,38
90123,1,56
90122,7,28
90121,5,94
90120,6,66
90127,7,94
90126,5,41
90125,9,19
90124,8,91
90129,8,59
90128,1,21
95188,4,13
95189,1,23
95186,8,52
95187,1,21
95184,0,69
95185,8,42
95182,9,30
95183,1,21
95180,8,94
95181,8,13
2490153,8,98
90500,8,59
91348,1,59
91349,1,66
106487,7,94
94678,6,66
91345,1,21
92515,1,71
106485,8,83
2093658,1,21
106484,0,42
106483,1,21
96989,1,83
91341,8,59
2390269,7,28
106481,7,3
106480,4,59
91454,8,59
91455,5,96
91456,7,7
91457,7,99
91450,4,38
91451,1,21
91452,4,15
91453,9,30
91458,8,9
91459,1,30
95821,0,85
95820,7,28
95823,5,79
95822,7,94
95825,4,11
95824,8,59
95827,1,69
95826,8,59
91982,1,21
91983,6,10
91980,1,52
91981,8,58
91986,8,59
91987,6,66
91984,1,21
91985,1,21
91988,1,21
91989,1,21
110518,1,21
110519,1,21
110512,8,83
110513,1,21
110510,8,46
110511,8,83
110516,8,99
110517,8,5
110514,8,59
110515,4,81
93589,7,28
93580,6,66
93581,8,59
93582,1,83
93583,4,31
93584,4,20
93585,8,5
93586,8,58
93587,9,19
112040,1,79
112041,1,21
92187,3,56
92186,9,30
92185,4,98
92184,1,92
92183,1,21
92182,8,59
92181,1,33
92180,2,47
92189,8,59
92188,9,19
104162,8,76
89611,8,13
104163,1,91
112049,6,83
98602,8,83
98603,8,83
98600,4,13
98601,4,15
98606,9,19
98607,1,88
98604,6,76
98605,1,76
98608,1,21
98609,6,66
85263,1,21
107919,1,21
107916,1,21
107917,1,21
107914,1,21
107915,1,21
107912,8,83
107913,1,42
104759,6,10
104758,7,86
104751,0,42
104750,8,27
104753,4,4
104752,6,76
104755,6,66
104754,6,66
104757,7,38
104756,0,85
99959,0,59
99958,6,66
99955,1,12
99954,7,28
99957,8,59
99956,1,4
99951,8,99
99950,1,96
99953,8,38
99952,7,7
101987,0,85
101986,7,94
101985,6,10
101984,8,92
101983,1,92
101982,0,43
101981,5,55
101980,1,21
101989,1,76
101988,8,59
105406,2,44
105407,7,38
105404,8,80
105405,1,52
105402,1,21
105403,9,69
105400,1,21
105401,6,66
105408,7,28
105409,0,69
106663,8,86
106662,2,12
106661,6,66
106660,4,73
106667,7,86
106668,7,86
102753,8,5
102752,4,38
102751,8,59
102750,7,28
102757,1,21
102756,7,35
102755,1,21
102754,8,56
102759,1,83
102758,8,12
112009,7,28
107130,7,7
107131,1,21
107132,1,21
107133,4,15
107134,7,35
107136,0,75
107137,1,21
107138,8,59
107139,1,21
88522,1,94
88523,1,21
88520,2,76
88521,1,32
88526,1,38
88527,8,59
88524,1,21
88525,8,91
88528,8,91
88529,1,21
91361,6,66
112529,1,10
88298,7,3
88299,7,86
88290,8,48
88291,8,46
88292,1,21
88293,8,91
88294,6,10
88295,8,92
88296,1,21
88297,5,49
108317,1,21
108316,8,33
108319,7,7
108318,8,59
1332352,7,86
86269,1,37
86268,7,20
86267,8,59
86266,8,59
86265,8,12
86264,8,83
86263,8,90
86262,8,46
86261,1,21
86260,7,86
103934,1,21
103935,1,31
103936,0,94
103937,8,59
103930,1,95
103931,6,66
103932,1,21
103933,8,92
103938,1,21
103939,1,21
86843,4,76
86842,5,55
86841,0,85
86840,1,21
86847,1,21
86846,0,75
86845,8,83
86844,8,46
86849,7,35
86848,7,86
821432,6,66
821431,8,59
109662,5,38
109663,1,45
109660,0,85
109661,8,59
87574,1,12
109667,8,5
109664,8,66
109665,5,45
1728,1,21
1729,7,94
1726,8,9
1727,5,55
1724,5,55
1725,4,98
1722,7,3
1723,6,66
2218550,6,10
94913,0,85
94910,5,1
94911,8,59
94916,7,7
94917,6,10
94914,1,58
94915,8,59
94918,9,91
94919,8,5
111009,7,78
111008,1,69
111003,7,64
111002,1,21
111001,1,72
111000,9,19
111007,8,70
111006,1,21
111005,7,94
111004,8,88
110758,1,69
110759,7,86
110750,4,20
110751,8,9
110752,7,83
110753,4,15
110754,7,28
110755,8,59
110756,1,21
110757,1,21
109634,1,21
109637,8,4
88885,8,59
88884,1,79
88887,0,85
88886,0,69
88881,1,30
88880,8,59
88883,7,28
88882,8,59
88889,1,12
88888,5,55
96668,4,73
96669,2,47
96662,8,83
96663,1,67
96660,5,67
96661,7,86
96666,8,59
96667,0,68
96664,9,57
96665,8,59
97391,7,35
97390,0,42
97393,7,7
97392,1,4
97395,9,19
97394,6,66
97397,6,66
97396,1,21
97399,6,66
97398,8,5
94288,4,31
94282,8,79
94283,1,21
94280,1,21
94281,1,96
94286,7,28
94287,8,83
94284,1,94
94285,8,9
2512110,8,59
97535,6,66
97534,8,79
97537,1,21
97536,1,21
97531,4,20
97530,1,42
97533,6,66
97532,8,59
97539,8,9
97538,6,66
94130,6,88
94131,4,15
94132,8,59
94133,0,85
94134,6,12
94135,1,21
94136,1,21
94137,1,21
94138,1,21
94139,6,10
102511,6,10
102510,1,83
102513,1,21
102512,7,35
102515,7,86
102514,8,59
102517,9,19
102516,6,10
102519,1,21
102518,1,21
112648,8,83
104829,7,28
104828,1,21
112640,0,69
104822,8,83
112642,1,21
112643,8,80
112644,4,11
104826,8,4
112646,6,21
104824,6,10
99289,6,10
99281,8,59
99280,8,83
99283,1,21
99282,6,12
99285,1,86
99284,1,38
99287,1,21
99286,1,21
99757,8,79
99756,8,59
99755,6,10
99754,4,15
99753,1,52
99752,1,31
99751,1,31
99750,8,9
99759,1,21
99758,1,59
95663,6,66
95662,1,66
95661,6,88
95660,8,4
95667,6,10
95666,4,58
95665,1,36
95664,7,7
216734,8,46
95669,1,52
95668,1,21
216733,4,16
109428,8,16
109429,1,52
109424,7,86
109425,1,33
109426,0,69
109427,0,36
109420,8,12
109421,7,28
109422,0,68
109423,4,20
105882,6,31
105883,0,42
105880,1,52
105881,8,33
105886,0,42
105887,4,15
105888,1,54
105889,1,21
92572,8,46
92573,1,21
92570,9,81
92571,1,21
92576,9,19
107034,7,28
92574,1,21
107036,6,66
107039,1,21
107038,8,79
92578,8,5
92579,4,14
90996,8,5
102482,1,58
102481,8,5
102480,1,52
102487,1,46
102486,4,98
102485,1,21
102484,1,21
1447601,5,55
92396,7,33
92397,0,68
92394,9,12
92395,8,36
92392,8,5
92393,6,10
92390,1,59
92391,8,59
92398,6,66
92399,1,21
93629,8,50
93628,6,66
93625,1,21
93624,8,12
93627,8,9
93626,7,28
93621,4,83
93620,1,21
93623,1,33
93622,1,21
90589,1,79
104276,8,59
104274,6,20
90588,8,59
93136,1,35
104272,6,10
104273,8,59
104270,8,33
1395425,6,12
104271,7,3
91726,8,79
106864,1,21
91724,8,79
2419163,8,90
91725,5,79
105309,8,51
105308,6,10
106863,9,30
105301,1,70
105300,5,55
105303,8,88
105302,7,3
105305,9,19
105304,8,59
105307,8,58
105306,1,21
2620848,1,21
84755,7,28
84754,4,83
2764189,3,92
84756,1,21
84759,6,12
2764186,6,12
2764185,8,59
2764184,1,21
2764183,1,79
2764182,6,12
2764181,8,5
2764180,1,33
86449,7,3
86448,8,91
86447,7,21
86446,1,21
86445,1,21
