,km_10,km_100
106402,4,2
106401,3,95
94516,6,10
109099,3,50
109098,3,60
109095,3,95
109094,3,48
109097,3,95
109096,3,24
109091,3,54
109090,3,60
109093,3,92
109092,7,86
92617,3,51
92616,2,47
92615,3,26
92614,9,19
92613,3,26
92612,2,44
92611,3,50
92610,3,62
100128,3,41
100129,6,66
93304,3,40
92619,3,24
92618,3,6
93305,6,10
145808,3,95
145809,3,95
145806,7,7
93302,8,26
145804,2,47
145805,6,10
145802,8,20
145803,8,48
145800,0,68
145801,6,10
93300,6,66
93301,2,47
94512,2,47
103208,2,47
86898,8,26
86899,3,72
94513,3,95
86890,3,54
86891,3,56
86892,3,56
86893,8,59
86894,3,50
86895,2,47
86896,3,24
1508455,2,47
93566,3,24
93567,8,38
101291,8,68
93565,8,68
101297,8,26
101296,2,17
101295,3,6
101294,3,40
101299,7,7
101298,3,93
93568,3,48
93569,3,38
98556,3,39
98557,3,40
98554,3,52
98555,3,91
98552,2,47
103608,3,40
98550,3,40
98551,3,40
103609,3,70
98558,6,10
98559,8,86
91539,3,54
103605,3,30
91410,3,62
85278,3,6
104119,3,54
104118,3,24
104117,8,59
85274,3,8
104115,8,48
85276,3,16
85271,4,16
91412,2,47
104111,9,19
85272,3,56
91413,2,47
91414,3,79
91415,7,7
91416,2,47
902267,8,59
902265,8,54
902264,3,26
118174,3,60
118175,7,86
118178,8,26
118179,2,44
86700,3,54
86701,3,48
86702,3,2
86703,9,19
86704,2,47
86705,3,48
86706,2,47
86707,3,54
86708,2,17
86709,2,17
85938,7,86
85939,3,48
2646093,3,26
85930,3,62
85931,3,26
89107,3,95
89106,7,98
89105,8,26
89104,3,51
89103,3,24
89102,7,7
89101,5,40
89100,3,26
89109,8,80
89108,8,26
88852,2,47
88853,5,40
103338,3,48
88851,3,48
88856,3,48
88857,3,40
88854,3,48
111288,3,26
103332,8,26
103333,8,59
88858,3,40
88859,8,48
103336,2,47
103337,8,79
103334,6,66
103335,2,47
88276,6,10
88277,4,4
88274,6,10
88275,6,66
88272,5,40
88273,3,53
88270,2,47
88271,3,6
88278,3,40
88279,8,95
95502,2,47
95500,7,7
95501,3,8
95506,3,26
95507,6,66
95504,6,26
95505,0,85
95508,3,60
95509,3,24
86285,3,6
86284,3,18
86287,8,26
86286,3,54
86281,8,86
86280,2,47
86283,3,15
86282,6,12
86289,9,19
86288,2,59
149006,3,26
149007,7,86
149005,8,78
149008,3,51
109745,6,10
109744,3,52
109747,7,86
109746,3,56
109741,3,24
87474,3,40
1878791,3,6
109743,6,10
109742,3,48
96859,3,26
96858,2,47
96855,3,60
96854,3,54
96857,3,40
96856,3,39
96851,3,8
96850,3,40
96853,3,54
96852,2,47
102498,8,48
112877,3,60
112876,3,95
112875,3,54
112874,4,15
112873,9,44
112872,7,7
112871,3,69
112870,8,69
112879,3,26
112878,6,10
94754,2,47
94755,8,59
94756,3,52
94757,8,48
94750,6,12
94751,3,24
94752,3,93
94753,6,10
94758,3,8
94759,2,47
100375,7,7
100374,0,26
110886,3,50
1087855,3,48
92148,7,7
89848,3,54
89849,3,40
89842,2,47
89843,3,26
89840,3,54
89841,7,86
89846,9,19
89847,2,47
89844,3,8
89845,3,6
95087,3,54
95086,3,6
97818,3,54
97819,6,10
95083,3,72
95082,3,26
95081,8,48
95080,8,48
97812,3,48
110888,8,9
97810,6,66
97811,9,44
97816,3,54
97817,3,92
97814,0,85
97815,8,59
117968,3,60
117969,3,37
117966,8,69
117967,3,24
117964,3,37
117965,3,37
117962,2,47
117963,2,47
117960,3,26
117961,3,54
92176,2,47
111759,2,47
111758,3,52
111757,3,54
111756,3,18
111755,7,86
111754,2,47
111753,7,81
111752,8,48
111751,3,48
111750,3,95
92369,3,89
92368,8,17
92367,8,9
92365,3,95
92364,3,15
92363,3,95
92362,3,6
92361,3,91
92360,3,95
92174,8,48
91694,8,48
98390,8,48
98391,3,48
98392,3,48
98394,3,48
98395,8,48
98396,3,54
98397,3,48
98398,3,54
98399,3,40
92943,8,48
92942,8,48
92941,3,72
92940,7,86
92947,5,40
92946,3,40
92945,8,60
92944,2,47
92949,3,24
92948,7,35
111428,3,6
96068,6,10
96069,3,72
93018,3,72
93019,3,26
93016,3,52
93017,8,91
104357,7,98
93015,8,48
104351,8,59
104350,3,44
93010,2,47
104352,3,40
106267,2,47
105088,3,24
105089,2,47
106262,8,59
106261,3,40
106260,3,37
105080,8,39
105081,2,47
105087,3,24
106269,3,26
106268,3,39
91690,3,39
104687,3,40
104686,8,26
104685,6,10
104684,3,91
104683,3,26
104682,8,2
104681,8,2
104680,3,48
104689,3,26
104688,8,48
106191,3,48
106190,6,12
106193,8,48
106192,8,9
106195,8,59
106197,3,40
106196,2,17
106199,3,6
106198,4,16
102681,8,19
102680,3,26
102683,3,40
102682,8,48
102685,8,69
102684,3,54
102687,8,48
102686,7,38
102689,3,92
102688,3,24
99119,6,10
99118,6,66
108800,3,41
99110,2,47
99113,3,92
99112,2,47
99115,8,35
99114,6,10
99117,3,54
99116,2,17
105554,8,91
105555,3,54
105550,8,26
105551,3,24
102025,3,48
102024,8,26
102027,3,15
102026,3,56
102021,8,62
102020,8,48
102023,3,48
102022,3,6
102029,8,26
102028,6,10
108799,2,47
108798,2,47
108793,3,82
108792,2,47
108795,3,62
108794,6,66
108797,3,54
108796,8,48
3168777,6,66
3168776,3,48
103642,3,26
103643,3,98
103640,6,12
103641,3,54
103646,8,48
103647,3,37
103644,6,10
103645,2,47
103648,3,37
103649,3,50
91579,8,59
91578,3,24
92680,6,66
101648,3,33
101649,7,33
92681,7,7
101644,3,95
101645,3,26
101646,3,95
101647,3,48
101640,8,48
101641,5,24
101642,8,9
101643,3,26
109110,7,7
109111,3,93
109112,8,9
109113,3,39
109114,8,39
109115,8,39
109116,3,39
109117,3,39
109118,3,39
109119,3,54
92687,7,7
1394601,3,82
131166,3,18
131167,8,48
131164,8,48
131165,3,18
131162,3,40
131163,3,6
131160,3,6
131161,8,59
131168,3,51
92006,3,51
92007,3,6
92004,3,56
92005,3,60
92002,8,26
92003,3,60
92000,3,95
92001,3,40
92008,8,48
92009,8,78
182514,3,62
86919,8,48
86918,8,48
86915,8,48
86914,8,48
86917,8,48
86916,8,48
86911,8,48
86910,8,48
86913,8,48
86912,8,48
98949,8,48
98948,2,47
100646,8,48
85758,8,9
85759,3,48
85752,3,60
94619,3,86
85750,3,26
85751,3,6
85756,3,18
85757,3,40
85754,8,48
94618,2,39
99094,3,24
99095,2,39
99096,3,56
99097,6,10
99090,2,47
99091,8,40
99092,3,12
99093,6,12
99098,3,24
99099,4,38
100640,6,10
87660,8,39
87661,6,10
87662,3,24
87663,4,15
87664,8,39
87665,3,54
87666,3,62
87667,3,92
87668,3,24
87669,0,83
96133,3,6
103873,3,6
2620879,8,26
2620874,3,39
2620876,2,47
2803251,3,48
2803250,3,26
112589,8,48
104929,8,59
104926,8,48
206097,8,39
112586,0,85
206098,3,62
104924,3,24
86133,3,51
88904,3,54
86131,3,39
104925,3,92
86137,3,39
86136,3,39
86135,8,26
103081,8,95
86139,3,24
86138,3,62
88906,8,48
104923,8,48
103083,2,47
88900,8,48
88901,2,47
103086,2,47
103087,2,47
96268,7,7
96269,3,54
96266,2,44
96267,6,10
96264,3,54
96265,8,54
96262,3,24
96263,2,47
96260,3,54
96261,8,48
3195445,8,48
3195444,8,48
94807,7,7
89316,3,24
89317,3,24
89314,3,95
89315,8,95
89312,7,39
89313,3,53
89310,7,86
89311,7,86
89318,8,26
89319,3,54
90952,8,76
90953,2,47
90950,8,98
90951,0,68
90956,3,92
90957,3,26
90954,3,26
90958,7,86
90959,7,86
102824,8,78
118242,6,69
118243,8,48
99359,8,48
99358,3,37
118246,3,48
118247,3,54
118244,0,69
118245,3,79
99353,7,86
99352,9,86
99351,6,10
99350,3,6
99357,3,26
99356,3,8
99355,8,59
99354,8,48
97607,8,59
97606,6,10
97605,3,39
97604,3,48
97603,8,39
97602,8,48
97601,3,6
97600,3,39
97609,3,95
97608,3,6
90376,3,54
90377,3,54
90374,3,54
90375,2,47
90372,2,47
90373,3,24
90370,8,48
90371,3,48
90378,3,40
90379,3,48
101054,8,40
87484,5,40
87485,3,18
103551,8,10
101056,8,26
87480,8,48
87481,3,95
179213,3,6
87483,3,37
95893,3,24
91771,3,56
91770,3,24
91773,6,10
106831,3,48
106836,8,48
106837,3,54
91777,8,9
106835,2,47
91779,8,48
91778,3,37
106838,8,48
106839,2,47
93739,6,10
93738,6,66
93737,8,9
93736,2,47
93735,7,38
93734,3,40
93733,8,59
93732,8,5
93731,3,6
93730,3,38
111380,3,24
111381,5,40
111382,8,38
111383,7,7
111384,7,7
111385,3,62
111386,3,54
111387,6,12
110479,8,69
110478,8,40
110471,8,9
110470,8,9
110473,2,47
110472,3,6
110475,8,59
110474,3,93
110477,3,6
110476,3,6
95296,8,26
95297,8,48
95294,6,10
95295,2,2
95292,3,82
95293,8,26
95290,3,56
95291,8,48
95298,7,86
95299,3,39
93193,8,59
93192,3,54
93191,8,38
93190,3,51
93197,3,51
93196,3,51
93195,8,9
93194,3,40
93199,8,86
93198,6,10
98749,6,26
98748,7,35
98747,8,26
98746,3,39
98745,7,86
98744,2,24
98743,2,47
98742,3,24
98741,3,79
98740,3,48
100869,3,95
100868,3,50
100863,3,95
100862,8,59
100861,8,48
100860,8,33
100867,3,40
100866,3,24
100865,3,39
100864,8,86
104528,3,6
104529,8,26
104522,3,48
104523,3,48
104520,8,48
104521,3,30
104526,6,10
104527,3,6
104524,8,26
104525,3,39
99838,3,69
99839,2,47
99837,3,40
99834,6,66
99835,3,51
99832,3,48
99833,8,26
99830,3,89
99831,8,59
106014,6,26
106016,7,97
106017,8,54
106010,3,54
106011,3,56
106012,8,4
106013,3,26
106018,3,60
106019,8,26
112299,8,26
112298,6,10
112297,3,39
112296,3,39
112295,7,38
112294,3,95
112293,3,60
112292,3,60
112291,3,54
112749,3,24
112748,3,24
112741,3,79
112740,8,48
112743,8,48
112742,8,48
112745,3,48
85825,8,48
85826,3,48
112746,8,48
107765,8,48
107766,3,40
107761,3,54
107760,3,40
107769,3,6
183477,6,10
88429,3,93
88428,6,10
88427,3,48
88426,6,10
88425,3,38
88424,3,16
183479,8,83
88422,3,89
88421,2,47
88420,6,10
100412,8,26
100413,3,8
100410,2,47
100411,3,18
100416,8,91
100417,3,39
100414,4,15
100415,8,26
100418,3,91
100419,8,54
108166,3,54
108167,3,26
108164,8,48
108165,3,62
108162,3,6
108160,2,47
108161,2,17
108168,3,39
108169,0,85
84881,8,26
100122,8,59
84883,3,60
84882,3,54
84885,2,47
84884,3,60
84887,3,62
84886,3,54
84889,3,95
84888,3,95
100120,8,54
86032,3,48
86033,8,48
86030,8,48
86031,8,48
86036,3,54
86037,3,92
86034,3,54
86035,3,39
100126,3,24
86038,8,20
86039,2,47
100127,8,48
100124,3,54
2671724,6,10
100125,7,86
2671723,3,40
104706,8,48
99782,8,86
104704,3,18
1765468,3,48
111860,8,36
104190,3,15
104700,6,10
99783,8,48
104701,3,26
103853,3,4
103852,8,98
103851,3,8
103850,3,82
103857,8,26
103856,3,72
103855,2,47
103854,2,47
103859,3,26
103858,8,26
145807,3,60
111946,3,97
103719,8,19
868383,8,44
868382,3,40
868381,3,40
868384,7,7
944097,3,51
87145,3,6
87144,6,10
87147,3,54
87146,3,40
87141,3,40
87140,3,39
87143,3,37
87142,8,39
87149,8,59
87148,3,26
118462,3,26
118463,3,26
118460,8,98
89434,7,35
118466,3,48
118467,8,59
118464,3,26
118465,3,92
118468,6,10
118469,3,6
89439,6,66
89438,8,69
2651115,7,24
2651114,6,10
110676,3,92
110675,3,92
110674,3,26
110673,3,26
110672,3,54
95908,2,47
95909,3,92
95906,3,6
95907,2,47
95904,3,54
95905,3,92
95902,3,54
95903,3,6
95900,8,26
95901,8,26
625847,8,17
88746,3,51
88747,8,48
88744,3,48
88745,3,48
88742,8,48
88743,3,48
88740,3,48
88741,8,48
111948,3,46
88748,3,54
88749,3,40
91347,3,48
103717,3,62
1744847,3,62
90304,8,48
96767,3,60
96766,3,60
96765,3,8
96764,3,48
96763,3,95
96762,2,17
96761,8,48
96760,3,54
90308,3,40
96769,3,40
96768,3,54
97416,0,69
97414,3,72
97415,3,8
97412,3,6
97413,0,5
97410,6,10
97411,9,19
97418,3,48
97419,2,6
94699,2,47
94695,3,24
94694,3,95
94697,3,69
94696,8,86
94691,8,48
94690,3,95
94693,8,12
94692,8,44
101293,8,48
102278,8,48
102279,8,26
101292,3,92
102274,2,47
102275,8,26
102276,3,60
102277,6,66
102270,3,89
93564,3,26
102272,3,48
102273,3,41
93562,2,39
93563,2,39
93560,6,10
93561,3,18
2215103,8,26
108352,3,95
97642,3,6
99670,7,7
99671,7,7
111889,3,26
99673,5,40
99674,3,54
99675,3,48
99676,3,51
99677,8,26
99678,8,15
111882,6,10
111881,8,86
111880,3,26
111887,3,92
111886,6,10
111885,2,47
98553,2,47
106490,7,7
95128,8,89
95129,3,8
91352,3,48
95124,8,26
95125,0,42
95126,3,54
95127,3,97
95120,8,59
91351,8,59
95122,8,48
95123,8,48
112507,8,44
112506,0,68
112505,3,39
91350,3,60
112503,3,66
112502,3,60
112501,3,54
112500,8,97
106494,6,88
112509,3,40
106495,3,24
103468,3,26
103469,3,87
103466,3,54
103467,8,74
103464,5,40
103465,3,6
111266,3,51
111265,3,51
111264,3,54
111263,8,6
111262,3,40
111261,8,48
111260,6,10
107358,3,54
107359,6,10
92699,8,48
92698,3,8
107354,3,53
107355,3,53
107356,7,3
107357,2,47
92693,3,60
92692,3,54
92690,3,56
102700,3,92
102701,2,44
95854,3,8
102703,3,45
95855,8,59
95856,3,6
95857,3,40
95850,3,60
95851,3,40
95852,3,6
95853,8,48
91920,3,6
90916,8,68
91922,0,25
91923,2,47
91924,3,37
91926,3,37
90917,8,37
91928,8,48
91929,8,48
90914,3,40
90915,4,38
102407,2,39
90913,3,87
102405,3,92
90911,3,37
101219,3,18
101218,8,48
89624,3,24
101213,8,59
101212,3,48
101211,3,18
101210,3,18
101217,3,24
101216,3,26
101215,6,10
101214,2,12
104197,3,91
104196,3,60
104195,3,37
104194,3,82
104193,3,82
104192,3,20
104191,3,54
104116,3,53
104199,7,64
104198,3,92
104114,3,24
104113,8,77
85270,3,24
104110,3,26
2381329,3,56
101969,6,10
101968,3,18
101961,3,54
101960,3,54
101963,3,51
101962,3,89
101965,3,48
101964,8,48
101967,3,48
101966,3,48
105244,8,48
105245,8,48
105246,3,48
105247,3,48
105240,3,48
105241,3,50
105242,3,39
105243,6,10
105248,8,59
105249,3,48
902770,3,54
902772,3,40
99392,6,10
1087959,3,37
1087958,7,26
1087951,3,8
1087950,6,12
1087953,8,17
1087952,3,54
1087955,8,18
1087954,3,6
1087957,8,26
1087956,8,26
86788,3,48
86789,8,59
620568,3,26
86780,3,54
86781,3,95
86782,3,26
620566,3,26
86784,7,7
86785,3,48
86786,2,47
86787,8,26
106605,3,54
106604,2,17
106607,3,8
106606,3,89
106601,3,6
106600,8,48
106603,3,37
106602,3,18
106609,8,95
106608,3,98
102735,8,54
102734,3,89
102737,3,37
102736,7,7
102731,3,39
102730,0,5
102733,8,69
102732,0,59
102739,3,62
102738,8,59
108553,3,59
108552,3,6
108551,3,26
108550,3,6
108557,3,92
108556,3,8
108555,3,54
108554,3,54
89639,3,8
89638,8,48
108559,3,48
108558,3,40
1116658,3,54
89189,3,24
89188,8,39
89187,2,47
89186,3,44
89185,2,47
89184,3,60
89183,3,54
89182,3,50
89181,3,60
89180,3,72
93432,8,26
88243,3,39
88580,3,39
87553,3,51
88582,3,48
88583,3,6
88584,3,24
109605,7,86
88586,8,59
87555,3,56
109608,3,18
109609,3,60
87558,8,86
87559,2,47
2521763,8,80
103956,3,39
103957,3,39
103954,3,24
103955,3,50
103952,8,59
103953,8,48
103950,8,48
103951,5,24
103958,3,26
103959,3,54
100603,8,91
100602,8,59
84928,8,9
100600,3,56
100607,3,52
100606,7,7
100605,3,26
100604,8,48
84922,8,48
84923,8,48
100609,3,54
100608,3,37
84926,3,50
84927,3,60
84924,3,56
84925,3,37
91292,8,12
94590,8,35
86209,3,40
86208,3,26
86205,9,30
86204,3,6
86207,3,24
86206,3,10
86201,3,6
86200,3,40
86203,3,40
86202,3,39
88476,2,47
90529,3,37
90528,8,26
90527,8,9
90526,3,8
90525,3,39
90524,3,48
90523,3,72
90522,3,92
90521,3,93
90520,3,92
101550,3,92
101551,3,54
101552,3,37
101553,3,54
101554,3,39
101555,3,39
101556,8,9
101557,3,26
101558,3,26
101559,3,26
87569,3,60
92857,3,8
2620975,3,48
87567,4,15
2620970,2,47
2620973,6,10
87566,8,26
97685,3,30
2620979,3,37
87565,3,24
87564,2,47
2959750,8,37
111688,3,40
87561,3,37
97684,8,26
87560,3,62
97892,3,62
97893,3,59
97890,8,95
97891,3,6
97896,3,26
97897,3,54
97894,3,59
97895,8,26
111065,3,40
111064,3,60
97898,3,40
97899,6,10
111061,3,24
111060,3,54
111063,3,26
111062,2,47
95009,3,6
95008,8,48
95006,8,48
95005,3,39
95004,3,33
95003,3,26
95002,8,5
95001,2,47
95000,3,26
1748,8,12
1749,3,15
1744,3,26
1745,2,44
1746,2,47
1747,8,4
1740,2,47
1741,3,37
1742,8,40
100173,8,92
112460,3,26
98318,3,24
98319,7,3
109695,3,51
98310,8,26
98311,3,54
98312,3,54
98314,3,93
98315,3,24
98316,3,93
98317,3,53
105002,6,66
105003,3,53
105000,3,54
105001,7,86
105006,8,59
105007,3,9
105004,8,48
105005,8,48
105008,0,42
105009,0,68
97339,2,47
97338,8,48
107072,8,48
107539,7,95
107534,8,26
107535,3,50
107536,3,60
107537,3,50
107533,8,48
94156,7,86
94157,8,6
94154,2,47
94155,3,54
94152,3,26
94153,3,60
94150,3,48
94151,3,40
98862,3,24
98863,2,17
98860,3,87
98861,8,59
98867,3,26
94158,3,48
94159,3,24
99191,9,19
99190,3,72
90644,3,93
99192,3,95
99195,3,30
90643,3,95
90640,3,39
90641,3,40
99199,3,48
99198,3,54
90648,3,92
90649,3,92
108711,3,56
108710,3,54
108713,8,5
108712,3,54
108715,7,16
108714,8,5
108717,3,97
108716,3,8
108719,3,56
108718,3,93
104849,4,15
104848,3,40
104845,6,10
104844,3,48
104847,3,40
104846,3,40
104841,3,51
104840,8,48
104843,8,26
104842,6,26
106722,3,48
106723,3,48
106720,3,38
106721,3,48
91065,3,50
106727,3,23
106724,8,15
106725,8,26
91069,6,10
91068,3,54
106728,3,39
106729,2,47
99735,3,53
99734,8,48
99737,8,48
99736,2,17
99731,3,39
99730,3,26
99733,3,25
99732,3,24
99739,3,60
109448,3,54
109449,3,93
109446,3,19
109447,3,62
109444,3,54
109445,8,44
109442,3,82
109443,3,95
109440,3,95
109441,3,24
91685,3,24
91684,3,26
91687,3,24
91681,2,47
91680,3,40
91683,3,95
91682,3,51
91689,3,51
91688,3,54
105824,2,47
105825,3,40
105826,3,6
105827,3,6
105820,3,54
105821,2,47
105822,8,26
105823,8,56
109190,3,24
109191,3,56
109192,3,26
109193,2,44
109194,3,95
105829,3,37
109196,8,48
109197,3,40
107093,8,48
102494,3,8
107090,3,24
107094,7,38
107099,3,69
90987,8,69
102497,8,48
145929,3,53
145928,3,18
145925,2,26
145924,3,56
145927,4,15
145926,3,92
145921,3,54
145920,3,54
145923,3,92
145922,3,92
102492,3,56
90982,3,26
145697,3,48
145696,3,8
100379,3,37
100378,8,37
145693,3,37
145692,3,37
145691,3,40
145690,8,59
100373,3,80
100372,8,95
100371,2,44
92085,3,26
100377,3,12
100376,0,68
92080,3,87
145698,3,9
110949,3,51
110941,3,51
110940,8,80
110943,3,40
110942,3,54
110945,3,95
110944,3,26
1215914,8,91
86211,8,59
93683,3,40
93682,3,26
93681,8,36
93680,3,56
93687,8,59
93686,3,26
93685,2,47
93684,2,47
93689,3,6
93688,3,54
98453,3,26
98452,8,45
98451,8,48
98450,3,39
98457,3,39
98456,8,69
98455,3,6
98454,3,6
98459,3,82
98458,3,39
100959,3,39
100958,3,39
100957,7,78
100956,3,95
100955,3,54
100954,3,37
100953,2,47
100952,2,47
100951,8,11
100950,3,91
101028,3,93
101029,3,24
104018,8,39
104019,3,92
104012,3,54
101021,3,18
101022,3,37
101023,3,95
101024,3,95
101025,3,48
101026,3,6
101027,3,40
85424,8,59
85425,8,26
85426,3,48
85427,3,44
85420,3,26
85421,8,59
85422,3,40
85423,2,44
85428,3,40
85429,3,93
87372,3,40
87373,3,48
87370,8,61
87371,8,44
87376,3,24
87377,2,47
87374,2,47
87375,2,47
87378,3,54
87379,9,30
106876,3,54
106877,3,72
91737,3,8
106875,8,44
106872,3,50
106873,3,8
626055,8,53
626054,8,91
623142,3,54
623143,3,12
86429,3,26
86428,8,59
86425,3,26
86424,3,26
86427,8,26
86426,3,72
86421,6,10
86420,3,60
86423,3,54
86422,3,6
103276,3,89
93334,3,44
2620698,2,47
2620699,3,24
2620691,8,48
2620693,3,39
2620695,3,54
2620696,8,23
2620697,3,95
85994,3,48
85996,3,50
88959,3,93
88958,3,39
88957,3,8
88956,3,40
88955,7,86
88954,2,47
88953,3,93
88952,3,39
88951,3,54
88950,3,18
89398,8,48
89399,8,59
89396,3,60
89397,3,26
89394,2,17
89395,6,10
89392,3,26
89393,3,54
89390,4,15
89391,3,51
103563,8,48
103562,3,89
103561,3,39
103560,3,26
103567,7,86
103566,3,60
103565,3,80
103564,3,54
103569,3,8
103568,3,6
88850,3,24
88855,8,59
103330,8,26
97131,3,62
97130,3,53
97133,3,53
97132,3,95
97135,5,40
97134,7,7
97137,3,26
97136,8,4
97139,3,24
97138,8,48
88049,3,26
88048,8,5
97689,8,59
97688,3,53
88041,8,48
88040,3,39
88043,8,37
88042,3,50
97683,2,47
97682,3,92
88047,2,47
97680,3,40
100030,8,48
100031,3,8
100032,3,62
100033,3,62
100034,4,26
100035,3,82
100036,3,82
100037,3,82
100038,0,69
100039,2,17
107834,3,26
93505,8,9
90480,3,53
90481,3,39
90482,8,53
90483,3,54
90484,6,10
90485,8,10
90486,3,54
90487,8,26
90488,3,54
90489,6,88
112932,3,24
112933,3,26
112930,3,48
112931,8,59
112936,3,54
112934,3,24
112935,3,54
109583,3,26
109582,3,18
91290,3,33
109580,3,40
91296,3,6
109586,3,48
109585,3,26
109584,8,59
94569,3,24
94568,3,54
94567,3,26
94566,3,26
94565,3,18
94564,3,54
94563,3,93
109589,3,60
94561,2,47
94560,3,37
91299,8,37
2540183,3,62
1304346,3,54
97917,2,47
97916,8,6
97915,3,26
97914,3,54
97913,3,6
97912,3,6
97911,7,35
97910,3,6
97919,3,54
97918,3,92
92248,3,51
92249,3,60
95218,3,87
92240,3,89
92241,3,6
92242,3,6
92243,3,6
92244,3,6
92245,3,6
92246,3,91
95211,3,54
96242,6,59
111560,8,48
111561,3,39
111562,8,59
111563,3,48
2679203,8,59
2679202,3,26
2679205,3,8
2679204,2,47
104258,3,59
104259,8,9
93119,3,37
93118,0,25
104250,7,7
104251,3,54
93111,3,54
93110,3,6
93117,9,34
93116,3,40
104256,3,8
104257,3,26
98129,2,47
98128,3,60
98123,3,26
98122,8,48
98121,3,26
98120,9,30
98127,7,7
98126,8,5
98125,6,26
98124,3,54
110215,3,54
110214,8,26
110217,8,26
110216,3,24
110211,3,38
110210,3,24
110213,3,40
110212,3,26
110219,0,85
110218,3,93
106098,3,39
106099,3,62
106095,3,53
106096,3,40
106097,3,62
106090,3,62
106091,8,9
106092,3,26
102968,3,80
102969,3,80
102964,6,10
102965,8,16
102966,3,89
102967,3,54
102960,3,39
102961,3,54
102962,7,7
102963,8,26
98709,2,44
2388869,8,5
873660,8,26
98708,3,24
873668,8,26
873669,7,86
93805,3,93
93804,3,8
93807,2,44
93806,8,26
93801,8,48
93800,3,54
93803,3,72
93802,3,53
93809,7,7
93808,8,5
105611,3,26
105610,3,6
105617,8,39
98705,3,26
105615,3,60
105619,8,5
105618,3,39
102340,3,39
102341,3,39
102342,3,37
102343,3,15
102344,8,48
102345,7,25
102346,7,25
102347,3,26
102348,3,37
102349,3,50
3205768,5,40
3205767,3,92
112217,6,10
112216,8,59
112215,2,47
112214,6,52
112213,2,47
112212,3,62
112211,8,26
112210,6,10
112219,6,10
112218,5,96
2390042,9,34
109879,3,50
109878,5,59
109873,3,82
109872,9,30
109871,3,8
109870,8,56
109877,0,5
109876,3,26
109875,7,7
109874,4,52
85571,8,48
103761,7,38
103760,8,5
103763,3,54
91233,3,44
103765,3,53
103764,3,26
91236,3,24
91237,8,38
103769,3,54
103768,8,48
111979,8,59
111978,3,39
111977,3,40
111976,8,59
111975,8,48
111974,3,26
111973,8,48
111972,3,56
111971,8,5
111970,8,59
145718,3,39
145719,8,26
145712,5,96
145713,4,16
145710,6,10
145711,3,8
145716,3,39
145717,0,84
145714,5,1
145715,5,96
101729,3,91
101728,8,9
101723,8,59
101722,7,35
101721,7,29
101720,5,67
101727,8,59
101726,3,24
101725,8,59
101724,0,43
109259,8,59
87928,8,48
109257,5,79
87926,3,48
87925,5,1
109254,5,45
109253,3,53
109252,8,26
109251,3,69
109250,3,26
92763,8,44
92762,3,24
92761,8,48
92760,6,10
92767,5,1
92766,4,49
100238,8,79
100239,8,79
100236,6,10
100237,7,94
100234,5,41
100235,8,31
100232,8,59
100233,9,19
100230,8,44
100231,8,48
100257,3,54
101189,8,48
101188,3,44
101187,8,59
101186,7,31
101185,6,66
101184,5,1
101183,4,81
101182,3,6
101181,3,26
107203,8,91
100252,3,39
100253,4,73
101886,3,98
85389,8,48
85388,0,42
85381,7,28
85380,2,97
85383,3,72
85382,3,72
85385,8,97
85384,7,7
85387,7,7
85386,3,60
109612,6,66
96079,2,47
85657,2,6
85656,8,69
85655,3,40
85654,2,47
85653,3,56
85652,3,72
85651,3,89
85650,4,38
85659,8,80
85658,3,72
3207861,2,47
3207860,3,26
803270,8,12
621270,3,40
108863,3,56
108862,8,48
108861,8,48
108860,8,48
89925,8,1
108866,5,41
108865,3,6
108864,4,38
89929,3,40
89928,8,69
86678,3,40
86679,7,64
86674,5,24
86675,3,56
86676,3,92
86677,8,80
86670,3,40
86671,8,48
86672,5,40
86673,8,80
95849,3,92
91073,3,82
96451,3,26
96450,8,48
89211,3,8
89210,7,33
89217,7,35
96454,5,55
96457,9,30
96456,7,86
96459,3,97
96458,3,18
89219,3,54
89218,3,26
103246,3,54
103247,0,68
103244,3,24
103245,2,44
103242,8,69
103243,8,48
103240,2,44
103241,3,77
103248,3,24
103249,8,80
94349,8,80
94347,8,80
94346,8,80
94345,6,10
94344,3,39
94343,3,39
94342,3,39
94341,6,10
94340,3,54
90859,3,40
90858,3,51
90857,3,51
90856,3,51
90855,3,51
90854,3,51
90853,3,62
90852,3,37
90851,3,92
90850,3,54
1632029,3,39
118361,3,6
118360,3,26
118363,3,92
118362,3,37
118365,3,37
118364,3,51
118367,3,51
118366,7,53
118369,3,26
118368,2,39
99542,3,6
99543,3,91
99540,3,56
99546,3,91
99547,3,95
99544,3,37
99545,3,37
99548,3,48
99549,8,86
95438,8,48
95439,3,6
95436,3,91
95437,3,40
95434,8,18
95435,3,54
95432,3,26
95433,3,54
95430,3,48
95431,8,26
97498,8,59
97499,3,39
97496,3,82
97497,3,44
97494,3,40
97495,3,6
97492,8,26
97493,2,17
97490,3,54
97491,3,24
90149,2,47
90148,8,26
90141,8,38
90140,3,92
90143,3,92
90142,2,47
90145,3,24
90144,0,69
90147,3,62
90146,2,17
93619,3,26
2801435,3,56
2801434,3,39
2801433,8,26
2801432,3,40
2801431,3,54
2801430,3,24
101129,3,59
101128,3,39
93474,3,40
93475,3,37
101127,3,30
93477,2,44
93470,3,37
101120,0,68
101122,8,48
91432,3,26
91433,2,17
