,modularity_score
mod,0.465097751507
wt,0.504445233426
km_10,-0.000612948647672
km_100,9.16074653979e-05
km_1000,6.13663927624e-05
gmm_10,4.1121685105e-05
gmm_100,-0.000119313251301
gmm_1000,-0.000174761939599
hc_10,-0.000189961152751
hc_100,0.000312383817542
hc_1000,-0.000177753188175
