,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000,hc_10,hc_100,hc_1000
95907,1,56,321,8,96,863,0,28,767
95904,3,10,456,6,6,392,6,83,101
95905,3,82,45,6,13,608,6,2,109
95902,3,10,45,6,89,728,0,52,557
95903,3,95,595,8,23,832,1,7,73
95900,1,36,270,8,32,938,1,4,523
95901,1,13,299,8,32,624,1,4,523
625847,1,43,320,8,51,759,2,67,611
88746,1,78,735,8,90,364,5,62,76
88747,8,86,420,0,35,857,5,87,354
88744,8,86,174,0,35,17,5,1,785
88745,8,94,174,0,58,798,5,1,349
88742,8,94,174,0,58,798,5,1,349
88743,8,94,174,0,58,798,5,1,349
88740,8,94,174,0,58,798,5,1,349
88741,8,54,282,0,45,857,5,87,998
111948,4,78,762,6,90,377,5,62,907
88748,3,58,616,6,89,897,6,2,359
88749,3,58,984,6,89,458,6,2,74
91347,3,58,616,6,89,728,6,2,74
103717,3,58,370,6,89,431,6,81,72
1744847,3,53,696,6,42,229,6,81,72
90304,8,94,682,0,58,315,5,1,349
96767,3,53,893,6,42,131,6,81,153
96766,3,58,984,6,89,297,6,2,440
96765,3,58,286,6,89,371,6,2,366
96764,8,94,174,0,58,798,5,1,349
96763,1,0,44,8,3,73,0,3,437
96762,1,71,491,8,86,45,0,15,46
96761,8,22,153,0,70,427,5,1,682
96760,3,95,286,6,23,738,0,3,328
90308,3,58,566,6,89,458,6,2,74
96769,3,0,197,6,3,982,0,61,268
96768,3,58,370,6,89,431,6,2,359
97416,7,64,963,7,54,964,9,14,360
97414,3,58,922,6,89,728,6,2,584
97415,3,58,616,6,89,728,6,2,584
97412,1,47,772,8,44,200,0,3,631
97413,7,24,887,7,54,219,9,14,461
97410,1,33,227,8,57,863,0,28,543
97411,1,33,773,8,57,708,5,19,406
97418,4,96,282,3,45,158,5,87,998
97419,1,75,210,8,44,282,0,3,631
94699,1,46,470,8,95,467,8,69,606
94695,1,12,280,8,56,695,0,84,179
94694,1,56,398,8,96,790,0,70,582
94697,7,64,258,7,54,507,9,14,772
94696,1,77,430,8,37,548,1,34,202
94691,8,96,282,0,45,158,5,87,39
94690,1,47,735,8,90,364,0,3,410
94693,4,13,299,3,32,624,1,4,511
94692,1,25,387,8,41,250,0,15,921
101293,8,94,682,0,58,119,5,1,349
102278,8,94,153,0,58,17,5,50,96
102279,1,99,400,8,57,32,1,0,98
101292,3,82,334,6,61,680,0,47,133
102274,1,55,259,8,86,181,0,15,184
102275,1,56,352,8,32,587,1,4,525
102276,3,58,370,6,89,18,6,2,440
102277,1,44,520,3,55,174,1,24,288
102270,3,58,566,6,89,608,6,2,291
93564,1,12,338,8,56,281,0,28,178
102272,1,47,254,8,27,28,5,66,142
102273,1,42,830,8,59,474,2,48,176
93562,1,56,278,8,96,555,1,26,135
93563,1,33,278,8,57,555,1,26,135
93560,1,86,467,5,35,720,0,28,318
93561,3,82,166,6,65,862,0,47,683
2215103,1,44,152,8,55,388,1,49,443
108352,1,56,515,3,96,73,0,3,410
97642,3,86,943,6,35,28,5,66,142
99670,1,33,611,8,57,381,0,28,382
99671,1,33,611,8,57,77,0,28,382
111889,1,33,427,8,57,228,0,28,382
99673,0,72,952,8,44,806,0,52,713
99674,3,58,616,6,89,897,6,2,345
99675,3,49,761,6,23,458,6,2,74
99676,8,18,801,0,22,712,8,69,956
99677,3,15,139,6,8,738,6,17,368
99678,1,62,270,8,38,304,1,24,572
111882,6,23,958,8,77,319,3,43,941
111881,1,79,156,3,63,668,1,68,834
111880,1,0,342,8,3,661,0,61,268
111887,3,58,510,6,23,15,6,2,903
111886,1,40,924,8,84,631,5,58,454
111885,6,23,226,1,77,96,8,69,848
98553,1,55,259,8,86,771,0,28,767
106490,4,20,85,5,19,41,1,77,189
95128,4,96,810,3,45,158,5,87,100
95129,3,58,791,6,23,944,6,2,366
91352,8,94,174,0,58,798,5,1,349
95124,1,33,257,8,57,706,1,4,474
95125,7,64,416,7,54,207,9,14,216
95126,3,10,479,6,13,34,6,2,329
95127,1,75,654,8,44,254,0,72,575
95120,3,58,984,6,89,297,6,2,440
91351,3,89,566,8,44,264,1,0,117
95122,8,22,153,0,70,427,5,1,682
95123,8,22,319,0,70,522,5,1,488
112507,3,95,637,6,23,738,6,2,291
112506,7,64,970,8,91,308,2,13,211
112505,4,65,647,8,21,973,1,27,88
91350,3,58,984,6,89,297,6,2,440
112503,1,15,139,3,8,92,6,17,933
112502,3,58,984,6,89,297,6,2,440
112501,3,58,984,6,89,18,6,2,440
112500,1,25,901,8,41,296,0,82,155
106494,6,89,798,8,77,319,6,17,702
112509,3,58,354,6,23,297,6,2,790
106495,1,87,99,8,56,370,5,19,749
103468,1,33,278,8,57,497,0,70,963
103469,3,53,893,6,42,131,6,81,153
103466,3,58,616,6,89,897,6,2,440
103467,7,64,416,7,54,207,9,14,216
103464,8,87,541,0,44,66,0,28,311
103465,1,47,740,8,33,623,0,3,390
111266,1,47,788,8,61,28,1,29,147
111265,1,46,687,8,31,499,8,69,956
111264,3,58,616,6,89,897,6,21,435
111263,3,62,943,6,38,455,0,3,328
111262,3,95,590,4,28,490,2,78,25
111261,8,94,31,0,58,116,5,1,136
111260,1,48,932,8,37,587,1,4,525
107358,3,58,984,6,23,297,6,2,440
107359,4,13,932,8,32,587,1,4,605
92699,8,94,682,0,58,116,5,50,96
92698,1,12,954,6,44,93,0,52,731
107354,1,47,573,8,27,760,0,30,375
107355,1,36,796,8,93,760,0,30,375
107356,4,7,394,8,78,591,1,46,565
107357,1,55,490,8,86,31,0,15,299
92693,3,53,474,6,42,505,6,21,747
92692,3,53,921,6,42,390,6,81,846
92690,3,53,921,6,42,390,6,81,846
102700,3,58,856,6,89,897,6,2,359
102701,1,55,92,3,86,543,0,28,31
95854,3,49,791,6,23,150,6,2,366
102703,9,34,747,4,26,45,2,73,690
95855,3,61,354,8,76,632,6,2,84
95856,1,62,601,8,38,832,1,41,579
95857,3,58,360,6,89,188,6,2,790
95850,3,58,984,6,89,297,6,2,903
95851,8,96,605,0,7,636,0,28,40
95852,1,78,740,8,90,623,0,3,119
95853,8,96,282,0,45,158,5,87,83
91920,1,56,152,8,61,814,1,24,572
90916,1,48,906,8,74,262,0,3,589
91922,7,64,416,7,54,207,9,14,216
91923,1,46,143,8,95,890,8,69,37
91924,1,46,426,8,31,905,8,69,670
91926,3,46,426,8,31,499,8,69,604
90917,1,46,426,8,31,905,8,69,604
91928,8,96,310,0,45,158,5,87,83
91929,4,86,612,3,35,273,5,66,187
90914,3,58,566,6,23,812,5,50,16
90915,1,33,430,8,57,548,6,2,364
102407,1,56,278,8,96,55,1,26,135
90913,3,53,893,6,42,752,6,81,153
102405,3,58,370,6,89,431,6,2,359
90911,4,46,687,8,31,905,8,69,956
101219,3,95,611,6,23,74,6,2,903
101218,8,96,426,0,45,158,5,87,83
89624,3,95,637,6,23,738,6,2,84
101213,4,78,602,3,90,364,5,62,907
101212,8,86,58,0,35,597,5,66,208
101211,3,82,255,6,65,55,0,47,246
101210,3,82,255,6,65,55,0,47,246
101217,1,12,674,8,56,145,0,70,797
101216,3,95,139,8,44,738,1,4,559
101215,1,48,43,8,74,530,0,91,304
101214,1,50,674,8,73,790,0,70,487
104197,1,33,498,8,57,891,0,5,480
104196,3,58,45,6,89,34,6,2,329
104195,1,62,612,8,38,28,0,3,663
104194,4,86,286,6,35,125,0,3,17
104193,3,86,286,6,35,125,0,3,17
104192,4,86,764,8,35,789,1,34,332
104191,3,53,856,6,89,716,6,81,72
104116,1,48,436,8,74,564,0,82,696
104199,1,9,70,8,96,82,1,51,245
104198,3,82,255,6,65,939,1,7,14
104114,1,12,942,8,56,381,6,2,130
104113,1,71,496,8,38,536,1,29,544
85270,1,56,257,8,96,864,0,28,543
104110,1,36,270,8,32,850,1,4,523
2381329,1,62,749,8,38,283,0,3,297
101969,1,44,111,3,37,87,1,20,535
101968,3,58,510,6,23,15,6,2,903
101961,3,58,984,6,89,297,6,2,440
101960,3,53,921,6,42,716,6,81,846
101963,3,82,510,6,65,15,6,2,744
101962,3,95,360,6,23,944,6,2,366
101965,8,94,31,0,58,116,5,1,136
101964,8,94,31,0,58,116,5,1,136
101967,3,94,791,0,23,857,5,50,96
101966,8,94,31,0,58,857,5,1,136
105244,8,94,31,0,58,116,5,1,136
105245,8,94,31,0,58,116,5,1,136
105246,8,94,31,0,58,116,5,1,136
105247,8,94,31,0,58,857,5,1,136
105240,3,58,973,6,89,926,0,98,886
105241,3,10,973,6,89,728,6,2,74
105242,1,47,547,8,27,359,0,3,856
105243,1,44,368,8,55,631,1,24,288
105248,3,71,987,6,65,301,2,53,215
105249,8,54,808,0,93,561,5,87,354
902770,3,58,942,6,13,381,6,2,130
902772,8,14,301,0,7,153,0,28,40
99392,4,40,111,8,37,87,1,20,535
1087959,1,47,740,8,61,234,0,3,390
1087958,4,7,764,8,78,789,1,34,332
1087951,3,58,973,6,89,926,6,2,790
1087950,1,47,792,8,27,234,8,69,956
1087953,3,95,447,6,44,743,6,2,56
1087952,3,58,856,6,89,547,6,21,984
1087955,3,82,510,6,65,15,6,2,744
1087954,3,95,50,6,23,188,6,2,790
1087957,1,44,43,8,55,267,1,24,833
1087956,1,56,321,8,96,863,0,28,602
86788,3,22,360,6,70,944,5,50,874
86789,6,89,8,8,32,907,3,43,941
620568,1,46,0,8,31,831,8,69,163
86780,3,58,370,6,89,431,4,40,505
86781,1,46,0,8,31,905,8,69,163
86782,1,95,482,8,23,188,6,2,790
620566,1,33,227,8,57,228,0,28,31
86784,1,7,697,8,78,563,6,81,820
86785,3,58,973,6,89,897,6,2,74
86786,0,95,863,8,20,452,8,69,409
86787,4,28,509,6,47,168,2,13,539
106605,1,18,383,8,44,224,6,21,435
106604,1,46,470,8,95,89,8,94,12
106607,3,49,786,6,85,812,4,23,809
106606,3,10,826,6,6,464,6,21,435
106601,1,47,573,8,27,760,0,3,26
106600,1,12,146,8,56,933,0,84,179
106603,1,46,687,8,31,905,8,69,956
106602,3,82,741,6,65,168,0,79,628
106609,3,42,4,8,59,288,1,41,579
106608,1,99,559,8,32,32,1,0,98
102735,3,10,616,6,6,757,6,2,359
102734,1,49,772,8,44,200,0,3,0
102737,1,62,223,8,61,283,0,3,128
102736,4,78,593,8,90,908,1,7,636
102731,1,33,66,8,57,766,0,28,543
102730,7,24,142,7,84,272,9,14,461
102733,7,40,929,7,84,76,5,58,295
102732,7,64,813,7,54,507,9,71,55
102739,3,53,696,6,42,229,6,81,533
102738,8,78,282,0,90,816,5,62,639
108553,1,86,162,8,35,28,0,28,40
108552,3,62,408,6,61,832,6,2,84
108551,6,23,798,8,77,293,3,43,941
108550,1,61,688,8,38,105,1,7,73
108557,3,82,824,6,61,939,0,47,133
108556,3,12,866,6,56,93,0,52,920
108555,3,26,876,6,61,157,0,52,557
108554,3,95,286,6,23,680,6,2,130
89639,1,12,854,6,56,695,0,52,864
89638,8,22,16,0,70,221,5,1,590
108559,3,58,984,6,23,944,6,2,366
108558,3,58,984,6,89,458,6,2,74
1116658,3,58,984,6,89,297,6,2,903
89189,1,87,526,8,71,66,5,76,870
89188,4,65,118,3,21,973,1,27,224
89187,1,56,59,8,96,771,8,94,766
89186,1,55,582,8,86,945,0,15,67
89185,1,46,422,8,95,89,8,94,12
89184,3,95,482,6,23,442,0,52,97
89183,3,58,856,6,13,492,4,40,505
89182,3,58,675,6,89,371,6,2,74
89181,3,58,984,6,89,297,6,2,359
89180,3,53,731,6,42,627,4,59,294
93432,3,95,137,8,32,907,1,4,559
88243,4,47,234,3,27,533,0,3,204
88580,4,86,186,8,35,533,5,66,142
87553,1,47,788,6,61,642,1,29,147
88582,8,94,561,0,58,116,5,50,96
88583,3,78,890,3,90,364,0,3,119
88584,1,56,398,8,27,790,0,3,26
109605,1,79,244,3,63,643,1,68,35
88586,3,15,139,6,8,738,6,17,368
87555,3,58,26,6,89,188,6,2,130
109608,3,58,824,6,89,680,6,2,329
109609,3,58,984,6,89,297,6,2,109
87558,1,79,900,8,63,287,0,28,31
87559,1,46,143,8,31,905,8,69,37
2521763,1,48,222,8,74,564,0,91,304
103956,1,78,63,8,90,488,1,27,88
103957,4,65,647,8,21,488,1,27,88
103954,1,87,150,8,71,66,5,76,253
103955,3,58,208,6,89,371,6,2,74
103952,4,40,929,7,84,375,5,58,560
103953,8,96,723,0,45,857,5,87,998
103950,8,96,723,0,45,857,5,87,998
103951,1,87,215,8,71,239,5,76,253
103958,3,56,611,8,96,74,0,28,382
103959,1,83,346,0,22,464,0,52,713
100603,1,33,827,8,57,595,0,28,31
100602,3,95,966,6,23,233,6,2,329
84928,1,36,270,8,32,551,1,4,523
100600,3,53,921,6,42,56,6,81,735
100607,1,36,702,8,93,399,7,12,867
100606,1,13,106,8,59,532,1,29,881
100605,1,44,0,8,55,831,8,69,163
100604,8,22,319,0,70,655,5,1,488
84922,8,54,519,0,90,572,5,87,293
84923,8,96,310,0,45,47,5,87,83
100609,3,10,876,6,6,157,0,52,557
100608,4,46,426,8,31,499,8,69,670
84926,3,58,675,6,89,897,6,2,359
84927,3,28,377,6,13,492,4,40,505
84924,3,87,991,6,71,7,4,23,633
84925,1,65,647,8,21,488,1,27,88
91292,1,62,749,8,38,283,0,70,290
94590,1,42,140,8,59,422,1,0,411
86209,3,58,616,6,89,728,6,2,74
86208,3,26,374,6,11,873,0,98,599
86205,1,12,258,8,56,978,0,84,255
86204,1,62,749,8,38,283,0,3,868
86207,3,12,773,8,56,855,5,19,749
86206,1,78,735,8,90,364,5,62,76
86201,1,47,44,8,61,234,0,3,410
86200,3,58,616,6,23,944,6,2,84
86203,6,23,455,8,98,280,3,22,795
86202,1,56,398,8,96,423,0,3,243
88476,1,46,422,8,95,886,8,94,698
90529,1,47,239,8,27,28,5,66,142
90528,3,53,987,6,42,178,6,81,820
90527,1,12,320,8,44,46,2,67,611
90526,3,95,50,6,23,188,6,2,366
90525,4,42,548,8,59,288,1,41,579
90524,8,22,791,0,70,150,5,50,874
90523,3,10,479,6,6,387,6,21,512
90522,3,82,824,6,65,680,6,2,329
90521,3,58,675,6,89,188,6,2,359
90520,3,58,675,6,23,188,6,2,903
101550,3,58,984,6,23,944,6,2,903
101551,3,53,987,6,42,178,6,81,820
101552,8,65,426,0,21,714,8,69,604
101553,3,53,921,6,42,390,6,21,362
101554,8,78,735,0,90,114,5,62,907
101555,1,78,735,8,90,364,5,62,76
101556,1,85,438,3,8,551,1,29,157
101557,1,33,611,8,57,74,6,2,364
101558,1,33,928,3,44,574,0,28,729
101559,1,33,928,3,32,574,0,28,729
87569,3,86,286,6,35,597,5,66,743
92857,3,95,791,6,23,944,5,50,96
2620975,8,94,174,0,58,17,5,1,349
87567,1,9,70,8,55,82,1,51,245
2620970,1,46,143,8,95,89,8,69,409
2620973,1,18,498,8,57,167,0,5,480
87566,1,56,932,8,32,587,1,4,525
97685,1,56,398,8,96,13,0,70,290
2620979,8,46,426,0,31,33,8,69,604
87565,1,33,257,6,57,281,0,52,864
87564,6,46,226,8,31,96,8,69,606
2959750,4,46,426,8,31,905,8,69,604
111688,3,58,984,6,89,297,6,2,74
87561,4,46,426,8,31,714,8,69,604
97684,1,46,0,8,31,814,8,69,163
87560,3,53,696,6,42,229,6,81,153
97892,3,53,696,6,42,229,6,81,533
97893,8,78,735,0,90,364,0,52,713
97890,4,42,4,8,59,288,1,41,579
97891,8,78,689,8,90,623,0,3,119
97896,1,72,637,8,44,567,1,46,149
97897,3,53,477,6,13,70,9,60,570
97894,1,61,595,8,76,105,1,7,73
97895,1,18,0,8,57,831,8,69,163
111065,1,18,838,8,90,891,0,28,40
111064,3,53,138,6,42,716,6,21,512
97898,8,78,735,0,22,572,5,62,639
97899,1,36,225,8,32,304,0,28,318
111061,3,53,489,9,42,269,6,81,735
111060,1,7,697,8,78,601,1,46,149
111063,3,53,921,5,42,269,4,55,405
111062,1,55,606,8,86,91,0,15,184
95009,3,95,208,6,11,188,6,2,84
95008,8,83,840,0,22,816,5,62,639
95006,8,94,682,0,58,47,5,1,393
95005,1,47,573,8,27,533,0,3,204
95004,1,56,398,8,96,863,0,3,410
95003,1,12,280,8,56,695,0,84,179
95002,4,40,289,3,84,375,5,58,560
95001,1,46,422,8,95,886,8,94,698
95000,1,48,222,8,74,814,0,82,324
1748,6,78,798,8,77,19,1,4,240
1749,1,18,439,8,55,644,0,70,797
1744,1,18,439,8,44,644,0,70,797
1745,1,48,827,8,74,564,0,82,534
1746,1,55,59,8,95,771,8,94,766
1747,4,0,927,8,3,957,2,67,58
1740,1,87,59,8,8,195,8,94,766
1741,8,46,426,0,31,905,8,69,604
1742,1,78,735,8,90,543,0,28,40
100173,1,82,198,3,65,895,0,47,133
112460,1,26,450,8,11,588,0,98,342
98318,1,72,165,8,33,490,1,41,48
98319,1,33,697,8,57,601,1,46,181
109695,4,96,723,3,38,857,5,87,354
98310,1,33,427,8,57,77,0,28,31
98311,3,10,826,6,6,757,6,21,312
98312,1,26,374,6,11,873,0,98,599
98314,3,58,675,6,23,632,6,2,84
98315,1,12,338,8,56,281,0,84,385
98316,3,10,856,6,6,34,6,2,359
98317,1,48,436,8,74,974,0,82,696
105002,1,44,520,8,55,174,1,24,343
105003,1,48,436,8,74,338,0,82,696
105000,3,58,370,6,89,18,6,2,84
105001,1,99,870,8,37,87,1,20,928
105006,4,7,213,8,78,601,1,20,928
105007,3,95,482,6,23,738,6,2,291
105004,8,94,31,0,58,857,5,1,136
105005,8,86,420,0,35,857,5,87,354
105008,1,33,376,8,57,207,9,14,216
105009,7,97,887,7,4,219,9,14,616
97339,1,46,916,8,31,890,8,69,37
97338,8,22,319,0,70,655,5,1,488
107072,8,96,723,0,45,816,5,87,998
107539,1,62,514,8,27,657,0,3,663
107534,1,47,788,8,61,642,1,29,147
107535,3,10,474,6,6,387,6,21,747
107536,3,10,534,6,6,130,6,21,435
107537,3,53,856,6,42,387,6,21,747
107533,8,78,890,0,90,427,5,62,907
94156,4,79,683,3,48,779,1,68,35
94157,3,62,943,6,38,455,0,3,328
94154,1,46,226,8,31,96,8,69,606
94155,3,10,826,6,6,464,6,21,435
94152,1,33,257,8,57,228,0,28,80
94153,3,95,791,6,23,944,5,50,874
94150,8,25,901,0,41,839,5,87,354
94151,1,14,273,6,7,487,5,65,110
98862,1,33,257,8,57,864,0,28,543
98863,1,12,320,8,96,63,0,82,507
98860,3,58,856,6,89,716,6,2,359
98861,9,34,747,4,26,45,2,73,690
98867,1,86,262,8,35,125,5,66,208
94158,8,94,174,0,58,17,5,87,354
94159,1,12,854,8,56,933,0,84,255
99191,1,55,739,8,86,543,0,30,375
99190,3,10,787,6,6,757,6,21,512
90644,3,58,370,6,89,897,6,2,359
99192,1,56,514,8,27,656,0,28,467
99195,1,12,796,8,56,454,0,30,375
90643,3,46,0,8,31,33,8,69,490
90640,1,12,854,8,56,695,0,84,179
90641,1,78,735,8,90,114,0,28,40
99199,8,54,788,0,45,857,5,87,354
99198,3,10,973,6,89,926,0,98,886
90648,3,82,255,6,65,862,0,47,246
90649,3,58,45,6,89,897,6,2,359
108711,3,53,921,6,42,390,6,81,846
108710,3,53,921,6,42,752,6,81,846
108713,4,96,853,5,34,331,5,35,594
108712,3,10,910,6,13,686,4,40,341
108715,4,42,548,8,59,288,1,41,579
108714,1,33,680,5,57,949,5,35,124
108717,1,44,833,8,55,267,1,24,288
108716,1,49,786,6,85,672,6,17,280
108719,4,26,897,3,27,286,1,26,603
108718,3,10,346,6,6,780,6,21,510
104849,1,44,152,8,55,174,1,51,245
104848,1,87,280,8,44,636,0,28,40
104845,4,86,549,1,35,720,5,66,187
104844,4,96,344,3,45,808,2,6,159
104847,1,78,735,8,90,364,6,21,362
104846,1,33,427,8,57,77,0,28,311
104841,8,94,174,0,58,17,5,87,354
104840,8,94,488,0,58,315,5,1,136
104843,1,7,697,8,78,601,1,46,181
104842,1,44,971,8,55,605,1,24,343
106722,8,94,174,0,58,17,5,1,349
106723,8,94,488,0,58,116,5,1,136
106720,1,15,294,8,59,532,1,41,165
106721,8,22,791,0,70,150,5,50,874
91065,3,10,479,6,6,387,6,21,747
106727,1,43,320,8,51,759,0,28,311
106724,1,44,269,8,55,388,1,24,288
106725,1,71,211,8,39,783,9,60,787
91069,1,18,439,8,44,513,0,5,480
91068,3,10,910,6,13,686,2,6,159
106728,1,56,557,8,96,790,0,70,290
106729,1,55,259,8,86,609,8,94,12
99735,1,62,152,8,61,73,0,82,696
99734,8,22,54,0,70,47,5,1,393
99737,8,22,319,0,70,655,5,1,488
99736,1,33,491,8,57,36,0,82,507
99731,1,56,66,8,96,766,1,27,587
99730,1,18,498,8,57,513,0,5,480
99733,1,87,215,8,71,239,5,76,253
99732,1,12,280,8,56,695,0,84,179
99739,3,15,166,6,46,185,6,17,44
109448,3,10,787,6,6,547,6,21,701
109449,3,10,826,6,6,757,6,21,312
109446,3,36,205,6,93,92,6,81,125
109447,3,53,921,6,42,453,6,21,312
109444,1,18,515,8,44,235,0,28,814
109445,1,55,843,8,86,181,0,15,184
109442,3,95,286,6,23,971,0,47,681
109443,1,26,468,6,61,909,0,3,323
109440,4,47,468,6,61,909,0,3,323
109441,1,12,280,8,56,695,0,84,179
91685,1,12,541,8,56,695,0,70,911
91684,1,2,280,5,33,636,0,3,390
91687,1,12,854,8,56,695,0,84,179
91681,1,46,916,8,31,905,8,69,37
91680,1,78,130,8,90,364,6,21,362
91683,1,86,468,6,35,909,0,3,323
91682,1,47,788,8,61,642,1,29,147
91689,0,83,369,9,22,133,5,62,639
91688,3,58,910,6,89,608,6,2,109
105824,1,18,967,8,96,860,0,98,342
105825,1,48,196,8,74,814,0,28,423
105826,3,62,943,6,38,455,0,3,328
105827,3,62,731,6,38,627,0,3,328
105820,3,86,943,6,35,455,0,3,328
105821,1,55,977,3,86,197,4,40,969
105822,3,72,751,6,17,962,1,4,523
105823,4,80,743,8,44,7,1,29,15
109190,1,26,239,8,11,873,0,98,599
109191,1,47,897,3,27,286,1,26,603
109192,1,18,439,8,44,513,0,5,880
109193,1,55,57,8,86,336,0,15,844
109194,1,56,152,8,27,73,0,28,467
105829,1,78,63,8,90,622,1,27,88
109196,8,96,719,0,45,158,5,87,39
109197,8,49,235,0,85,119,5,50,16
107093,8,72,253,0,57,203,0,28,178
102494,3,95,50,6,23,188,6,2,291
107090,1,87,526,8,56,66,5,76,770
107094,1,73,667,8,0,809,1,20,928
107099,1,33,868,8,57,439,0,52,864
90987,1,33,868,8,57,439,0,52,864
102497,8,86,959,0,35,427,5,66,208
145929,1,47,573,8,27,760,0,3,26
145928,3,58,741,6,65,15,0,79,628
145925,9,75,772,8,44,282,0,3,631
145924,1,56,477,8,96,343,9,60,570
145927,1,99,70,8,32,32,1,0,98
145926,3,58,876,6,89,157,0,52,557
145921,3,26,72,6,61,157,0,52,557
145920,1,47,115,8,96,365,0,3,410
145923,1,82,334,6,61,939,0,47,133
145922,3,82,510,6,65,15,6,2,744
102492,3,95,611,8,23,16,6,2,130
90982,1,56,848,8,96,790,0,28,467
145697,8,22,630,0,70,521,5,1,873
145696,3,58,761,6,89,297,6,2,74
100379,1,46,426,8,31,499,8,69,775
100378,4,65,426,3,31,714,8,69,670
145693,1,46,426,8,31,905,8,69,670
145692,1,46,426,8,31,499,8,69,775
145691,1,47,301,8,31,636,0,28,40
145690,1,9,70,8,57,518,0,28,467
100373,1,56,185,8,33,365,0,3,390
100372,1,44,269,8,55,814,8,69,163
100371,1,25,92,8,41,688,0,82,534
92085,1,62,749,8,38,760,0,3,204
100377,1,56,674,8,73,790,0,70,290
100376,7,97,887,7,54,219,9,14,616
92080,3,53,86,6,42,70,6,81,225
145698,1,72,205,8,93,732,0,30,10
110949,1,47,788,8,61,642,1,29,147
110941,1,56,788,8,96,642,0,3,718
110940,1,18,609,6,11,588,4,23,75
110943,3,15,139,6,8,738,6,2,291
110942,1,26,515,6,61,971,0,3,410
110945,3,46,0,8,31,33,8,69,490
110944,1,12,482,8,96,281,0,52,864
1215914,1,44,833,8,55,267,1,24,833
86211,4,50,551,8,69,334,1,49,443
93683,3,15,985,6,46,666,6,17,426
93682,3,95,450,6,11,588,6,2,790
93681,4,77,593,3,90,908,6,21,116
93680,3,58,791,6,23,944,5,50,874
93687,1,77,137,8,32,345,1,4,523
93686,1,48,196,8,74,258,0,91,456
93685,1,46,143,8,95,685,8,69,409
93684,1,46,470,8,95,890,8,69,37
93689,1,47,689,8,33,623,0,3,119
93688,3,10,910,6,46,185,6,17,44
98453,1,33,227,8,57,864,0,28,602
98452,9,34,747,5,26,276,2,73,690
98451,8,22,630,0,70,521,5,1,873
98450,4,65,517,0,21,973,1,27,224
98457,1,47,573,8,27,800,0,3,26
98456,7,64,577,7,54,900,9,71,55
98455,1,62,689,8,61,623,0,3,119
98454,3,62,943,6,38,455,0,3,328
98459,1,56,257,8,96,864,0,28,929
98458,4,47,234,3,27,622,0,3,949
100959,4,65,647,8,21,622,1,27,88
100958,4,65,647,8,21,973,1,27,88
100957,9,42,845,8,59,288,1,41,976
100956,1,47,657,8,27,957,0,3,437
100955,3,14,737,6,7,547,6,21,701
100954,1,61,595,8,38,105,1,7,73
100953,1,46,59,8,95,195,8,94,766
100952,1,33,278,8,57,555,1,26,135
100951,1,33,427,8,57,77,0,28,31
100950,1,47,127,8,41,760,0,3,26
101028,3,58,370,6,89,716,6,2,359
101029,1,12,854,8,56,145,0,70,784
104018,1,47,547,8,44,359,0,3,856
104019,3,82,824,6,65,581,6,2,329
104012,3,53,921,6,42,390,6,81,846
101021,3,82,741,6,65,168,0,79,628
101022,1,62,423,8,38,657,0,3,663
101023,1,56,423,8,27,657,0,3,663
101024,3,95,50,6,23,33,8,69,490
101025,8,94,360,0,58,985,6,2,977
101026,1,62,44,8,69,82,0,70,582
101027,1,14,273,0,7,586,0,28,40
85424,3,46,543,6,31,33,6,17,545
85425,1,99,559,8,32,32,1,0,98
85426,8,96,905,0,45,158,5,87,83
85427,3,10,787,6,6,547,6,21,984
85420,1,33,338,8,57,281,0,28,178
85421,4,78,602,6,90,364,5,62,907
85422,8,49,285,0,85,723,5,50,16
85423,1,55,225,8,86,771,1,29,154
85428,8,49,791,6,85,878,0,52,97
85429,3,58,370,6,89,897,6,2,359
87372,3,18,636,6,44,398,0,28,80
87373,8,49,235,0,85,119,5,50,16
87370,1,73,667,8,0,760,0,28,929
87371,1,25,901,8,41,296,0,82,155
87376,1,12,258,8,56,933,0,84,255
87377,1,46,422,8,95,886,8,94,12
87374,1,46,470,8,95,195,8,94,12
87375,1,46,422,8,95,886,8,94,698
87378,3,78,731,6,90,364,6,21,362
87379,1,36,205,8,93,102,0,15,67
106876,3,10,479,6,6,757,6,21,404
106877,1,33,311,8,57,763,0,52,864
91737,3,49,613,6,85,878,5,50,16
106875,1,18,498,8,57,228,0,3,398
106872,3,58,984,6,89,371,6,2,74
106873,3,15,782,6,46,328,6,17,44
626055,1,25,127,8,41,974,0,82,696
626054,1,33,321,8,57,228,0,28,31
623142,3,10,826,6,6,464,6,21,435
623143,1,56,477,8,96,343,9,60,570
86429,1,47,111,8,37,87,1,20,928
86428,4,40,929,7,84,375,5,58,560
86425,1,18,5,8,44,567,1,0,117
86424,1,78,735,8,90,532,5,62,76
86427,1,13,559,8,32,719,1,0,98
86426,3,10,138,6,46,744,6,21,512
86421,1,50,551,3,69,334,1,4,595
86420,3,53,856,6,42,492,6,81,72
86423,3,58,374,6,89,188,6,2,790
86422,3,95,128,6,8,738,0,98,599
103276,3,95,354,6,23,944,6,2,366
93334,1,95,524,8,23,617,0,15,239
2620698,1,72,278,8,96,368,1,0,546
2620699,1,46,143,8,31,499,8,69,956
2620691,8,22,153,0,70,427,5,1,682
2620693,4,47,234,3,27,622,0,3,949
